IARE_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
IARE501001,1597,1653,3247,19,27,41,86,97,182,1698,1773,3467,4624,4945,9574,976,998,1975,7295,7711,15012
IARE501002,661,702,1361,0,0,0,8,7,21,673,708,1379,228,236,467,60,52,107,957,993,1954
IARE502001,382,449,835,3,0,4,0,5,7,387,456,843,1691,1492,3183,465,385,854,2545,2334,4879
IARE502002,101,83,181,0,0,0,0,0,0,103,83,185,428,273,701,338,193,536,871,552,1418
IARE502003,168,165,330,0,0,0,0,3,0,169,167,337,2381,2158,4538,433,369,808,2980,2696,5679
IARE502004,1780,1875,3658,12,12,26,33,19,52,1821,1906,3736,15508,16102,31608,1703,1549,3250,19039,19561,38595
IARE502005,159,194,353,5,3,5,0,0,5,168,196,361,3176,2955,6135,602,463,1061,3945,3611,7554
IARE502006,209,230,438,0,0,0,0,0,5,212,237,449,341,159,499,163,95,258,717,485,1200
IARE502007,128,82,203,0,0,0,0,0,0,125,84,207,577,596,1173,100,94,198,805,772,1571
IARE503001,338,327,668,5,4,13,3,0,3,347,339,684,6894,6797,13686,854,742,1600,8093,7881,15970
IARE503002,198,210,405,3,0,0,3,4,12,199,216,421,1647,1321,2972,573,421,997,2428,1963,4389
IARE503003,1134,984,2121,25,17,43,36,34,67,1196,1031,2231,12626,11632,24258,1446,1133,2581,15265,13805,29072
IARE503004,503,536,1046,0,0,0,0,0,3,508,534,1044,422,189,609,393,127,523,1325,855,2177
IARE503005,116,133,254,8,0,11,0,3,4,125,143,267,763,441,1209,483,153,639,1374,737,2113
IARE503006,206,225,431,0,0,0,0,0,0,206,225,431,37,30,61,9,8,16,247,264,511
IARE503007,63,73,137,0,0,0,0,0,0,63,73,141,162,75,236,117,39,161,345,189,535
IARE504001,292,286,582,0,0,0,0,0,0,295,286,582,98,77,179,33,29,65,432,399,824
IARE504002,464,461,919,0,0,0,0,0,0,464,459,919,71,72,135,39,26,70,566,558,1124
IARE504003,516,605,1122,0,0,0,4,5,3,521,607,1133,145,134,281,101,89,191,771,828,1605
IARE504004,182,169,349,0,0,0,0,0,0,182,165,349,32,13,50,10,8,22,233,194,421
IARE504005,163,176,341,0,0,0,0,0,0,163,176,343,10,15,23,13,14,22,184,198,388
IARE504006,578,685,1266,7,4,14,18,16,36,605,713,1314,1313,1332,2648,371,394,768,2290,2441,4726
IARE504007,115,115,232,0,0,0,0,0,0,116,115,229,388,369,753,145,119,259,649,593,1245
IARE504008,212,234,445,0,0,0,0,0,0,209,234,448,113,80,201,53,50,104,377,365,745
IARE505001,1314,1372,2682,21,21,43,27,32,64,1366,1417,2785,42882,44187,87071,2352,1973,4327,46604,47583,94184
IARE505002,199,183,383,0,4,12,0,9,7,205,196,399,7151,7586,14740,443,350,796,7797,8135,15932
IARE505003,463,500,969,23,17,30,26,21,52,512,535,1050,31315,32115,63431,1470,1188,2655,33294,33835,67129
IARE505004,519,562,1080,18,15,35,11,10,19,547,582,1129,19458,19128,38583,1391,1126,2517,21402,20842,42236
IARE505005,550,616,1165,20,9,31,13,26,45,586,652,1236,45372,45476,90850,1816,1452,3271,47775,47579,95358
IARE505006,1085,1085,2167,22,8,41,26,24,45,1133,1114,2248,53819,55853,109669,2800,2040,4843,57753,59011,116763
