IARE_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
IARE501001,15,41,57,6,14,25,41,20,60,88,54,141,55,81,141,54,68,118,54,93,145,56,103,163,59,174,232,57,159,220,58,156,215,44,178,221,119,440,554,77,303,382,68,327,393,148,740,882,151,415,561,65,60,128,1196,3440,4636
IARE501002,5,13,10,12,3,19,19,6,23,30,3,30,20,4,24,24,4,22,41,6,48,29,4,35,42,10,52,37,13,45,17,8,19,18,11,24,20,21,36,4,10,17,8,15,18,3,15,25,29,5,37,28,6,34,380,152,533
IARE502001,5,22,25,4,10,14,20,19,41,20,38,57,26,82,112,18,53,74,29,78,113,23,90,114,23,86,112,14,101,117,14,53,72,18,75,95,18,142,163,19,89,110,13,86,89,15,146,167,29,109,137,9,46,57,318,1340,1662
IARE502002,0,12,15,0,0,0,0,0,4,5,13,15,0,30,32,0,15,17,3,21,30,0,8,11,4,18,22,7,19,29,5,15,22,3,14,15,6,23,30,0,12,10,6,11,11,8,15,19,8,17,24,0,10,10,60,260,319
IARE502003,4,44,41,0,14,12,3,29,32,4,59,66,8,154,164,8,91,96,8,163,171,4,139,141,15,125,143,10,137,145,9,100,114,3,87,96,5,170,177,7,107,113,0,95,98,12,152,161,19,166,189,5,50,55,135,1883,2020
IARE502004,28,203,235,15,81,92,35,208,241,76,304,374,83,793,874,74,590,657,89,825,914,121,760,881,77,834,911,85,820,904,79,658,738,74,643,715,119,1401,1521,77,913,998,75,779,852,109,1461,1570,145,1138,1280,31,223,256,1391,12631,14020
IARE502005,3,72,72,3,18,21,5,37,46,5,96,96,15,220,232,9,150,159,9,192,197,14,189,198,10,174,187,19,175,191,17,128,144,9,116,124,19,247,263,0,119,125,7,106,109,6,238,246,24,248,272,3,88,92,163,2610,2778
IARE502006,3,3,7,0,0,0,9,0,7,12,5,15,4,7,21,3,4,11,11,8,20,9,10,11,16,6,23,8,7,17,8,9,18,9,5,15,7,27,36,3,4,7,0,8,8,4,14,18,12,8,26,24,10,31,135,138,276
IARE502007,7,15,19,0,0,0,3,5,11,0,14,20,7,38,48,3,15,16,0,38,43,11,29,40,8,34,39,6,31,42,3,15,20,3,26,32,9,46,55,5,22,24,0,17,19,8,28,36,7,43,45,5,21,23,88,438,531
IARE503001,10,89,92,4,42,49,6,74,83,8,140,155,12,387,400,10,248,255,18,311,341,12,314,330,28,366,395,26,368,389,18,278,301,8,306,316,24,629,657,14,344,360,18,332,351,25,576,600,35,520,558,10,140,151,296,5482,5777
IARE503002,0,23,28,0,7,9,3,25,28,4,43,49,21,100,123,9,39,50,12,72,87,12,63,77,13,55,68,8,52,58,9,55,63,3,52,59,13,151,168,7,65,68,9,79,86,12,185,198,23,111,132,8,47,54,182,1220,1401
IARE503003,21,115,132,6,48,50,20,70,96,26,112,140,29,300,326,24,207,231,42,261,306,36,318,351,40,406,443,33,444,480,50,466,517,39,507,537,71,1254,1325,51,745,801,47,886,934,124,2157,2279,68,734,801,51,170,218,776,9199,9975
IARE503004,0,3,3,0,0,0,19,0,18,18,0,17,30,6,41,22,6,18,27,3,32,19,10,32,27,8,30,11,10,24,13,12,26,7,7,14,6,17,24,7,11,12,3,9,11,0,14,20,30,5,38,21,8,25,263,131,389
IARE503005,0,8,8,6,0,6,3,4,3,6,5,12,6,15,20,0,10,10,5,14,21,3,10,10,6,14,20,9,30,36,4,25,25,3,13,14,5,47,53,4,12,18,9,18,26,3,47,50,4,31,43,0,5,10,71,310,385
IARE503006,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,9,0,9,10,0,11,9,0,9,6,0,13,17,5,22,9,4,13,8,5,12,0,0,0,0,10,10,0,0,6,6,0,12,0,3,3,98,34,129
IARE503007,0,0,4,0,0,0,4,0,7,5,0,5,9,4,8,0,0,5,8,0,6,0,3,9,9,3,6,3,6,9,4,0,3,0,3,3,0,4,6,0,3,3,0,3,3,0,3,3,0,3,5,0,6,9,39,49,84
IARE504001,0,7,7,0,0,0,5,0,11,10,0,10,8,6,9,4,0,8,12,4,12,11,10,16,16,0,18,13,3,15,6,11,11,3,4,9,12,10,21,4,0,4,0,4,3,4,6,4,14,4,18,4,5,3,124,53,183
IARE504002,0,0,0,0,0,0,11,0,12,7,0,10,20,0,20,24,0,21,29,0,30,21,5,23,22,3,25,19,10,28,7,3,11,3,6,5,0,4,9,7,6,8,3,3,6,0,4,4,12,0,16,13,8,18,194,52,251
IARE504003,3,0,0,5,0,5,22,0,21,12,3,14,31,0,29,13,9,19,24,5,25,35,0,36,25,9,35,22,4,29,14,12,30,10,18,31,20,25,41,12,14,19,5,15,15,3,17,26,35,16,49,18,3,30,316,150,460
IARE504004,0,0,0,0,0,0,3,0,3,13,0,13,11,0,8,7,0,11,7,4,8,6,0,6,4,0,4,10,0,6,0,0,0,0,0,5,0,6,4,0,0,5,0,3,3,0,0,4,9,0,9,16,0,16,90,15,106
IARE504005,0,0,0,0,0,0,7,0,7,10,0,10,0,0,0,6,0,6,7,0,7,13,0,13,11,0,16,5,0,5,8,0,8,3,0,3,3,3,6,0,3,3,0,0,4,0,3,4,0,0,0,0,0,0,68,14,85
IARE504006,6,10,19,5,3,9,9,3,12,9,10,26,21,10,31,15,21,36,14,18,41,21,21,46,31,50,86,42,59,100,14,73,84,20,73,91,31,136,168,22,100,128,16,94,117,36,157,191,49,109,155,24,36,55,407,993,1397
IARE504007,0,6,6,4,4,9,4,0,4,0,3,6,8,7,15,0,4,4,0,3,9,10,3,14,3,4,14,0,17,15,5,15,16,4,10,13,6,34,38,7,21,24,0,24,23,3,55,65,9,30,37,4,4,8,72,248,322
IARE504008,6,0,9,0,0,0,7,0,9,10,4,16,5,0,11,8,5,14,14,3,21,10,3,14,13,5,13,7,6,12,6,8,10,5,5,7,10,13,24,3,6,5,0,8,11,9,9,12,19,6,25,9,3,11,142,78,226
IARE505001,26,441,472,5,145,147,22,318,344,21,598,624,52,1476,1528,66,1166,1225,78,1621,1702,69,1764,1831,100,2194,2296,79,2316,2390,64,1956,2023,61,1923,1985,141,3864,4003,92,2562,2653,56,2231,2288,118,3906,4026,111,2435,2550,25,452,480,1182,31370,32549
