IARE_CODE_2021,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
IARE501001,86,46,130,131,168,299,81,111,184,292,320,613
IARE501002,4,0,5,67,60,127,13,15,27,77,74,158
IARE502001,7,12,19,26,20,45,71,34,111,103,63,169
IARE502002,13,0,13,161,30,191,179,41,218,356,67,425
IARE502003,0,0,3,19,19,42,19,8,29,39,32,68
IARE502004,154,32,189,202,207,413,52,41,95,411,282,700
IARE502005,4,0,4,101,29,131,115,45,153,213,80,291
IARE502006,5,3,11,173,41,210,102,26,131,278,71,347
IARE502007,4,0,0,80,82,165,4,0,10,92,88,181
IARE503001,10,9,15,141,118,260,37,5,49,190,132,322
IARE503002,16,0,12,191,53,240,205,49,253,406,101,510
IARE503003,170,44,213,283,159,432,101,72,168,553,269,824
IARE503004,19,15,31,267,62,328,317,65,380,602,138,740
IARE503005,18,0,18,368,71,434,393,78,468,780,144,927
IARE503006,6,0,6,0,0,0,0,0,0,5,0,5
IARE503007,0,0,0,100,25,122,97,24,113,191,42,236
IARE504001,3,0,3,43,31,75,5,0,6,54,34,85
IARE504002,7,18,24,26,18,47,19,5,22,48,38,86
IARE504003,6,0,8,19,11,30,30,18,44,65,26,89
IARE504004,4,0,4,19,0,19,0,0,0,16,0,22
IARE504005,0,0,0,0,0,0,0,0,0,0,0,0
IARE504006,18,21,37,57,60,117,22,26,51,100,104,207
IARE504007,3,0,7,58,20,81,37,13,50,99,32,130
IARE504008,0,0,0,16,0,16,22,3,29,38,8,41
IARE505001,0,3,5,140,212,346,10,20,29,147,235,383
IARE505002,4,0,0,39,63,105,0,0,4,45,64,107
IARE505003,0,4,6,182,317,497,65,85,146,248,404,651
IARE505004,13,11,22,180,275,460,42,26,68,232,315,549
IARE505005,9,9,20,238,310,552,12,17,25,260,338,603
IARE505006,26,14,39,472,500,973,368,167,530,861,675,1543
IARE505007,11,6,21,366,396,760,159,97,249,531,492,1027
IARE505008,338,106,449,895,546,1444,23,22,45,1257,673,1930
IARE505009,13,5,16,311,554,867,61,86,146,385,646,1032
IARE505010,16,33,49,227,269,497,20,30,49,261,335,595
IARE505011,503,7,510,783,103,888,0,3,5,1288,115,1406
IARE505012,8,19,28,387,984,1369,119,158,274,517,1162,1675
IARE505013,597,3,600,1314,102,1418,13,16,29,1926,127,2047
IARE505014,105,119,229,2432,2523,4955,741,455,1195,3278,3101,6380
IARE505015,10,11,25,206,363,572,86,78,158,306,449,759
IARE505016,53,0,53,339,39,381,5,4,14,402,46,444
IARE505017,97,64,158,1084,1265,2355,109,114,224,1294,1445,2738
IARE505018,35,26,58,1206,1838,3041,142,147,288,1380,2011,3387
IARE505019,44,165,207,529,643,1172,37,29,71,606,836,1444
IARE505020,9,10,13,199,386,583,5,9,16,212,406,618
IARE505021,9,8,10,162,318,484,5,16,20,178,338,512
IARE506001,128,33,164,1848,492,2336,1443,301,1742,3410,832,4245
IARE506002,82,41,122,1052,443,1488,512,170,675,1644,645,2285
IARE506003,14,9,19,190,41,228,186,27,216,388,81,462
IARE506004,19,29,49,160,68,224,237,70,309,418,162,585
IARE506005,185,21,203,308,65,371,364,75,432,853,155,1004
IARE507001,138,13,149,425,344,775,50,25,78,620,386,1009
IARE507002,6,6,9,450,138,586,17,18,33,478,157,637
IARE507003,115,9,124,562,236,798,21,30,55,699,281,980
IARE507004,6,3,8,171,261,431,22,27,43,191,293,488
IARE507005,9,4,11,191,86,275,128,37,158,324,127,446
IARE507006,6,5,11,55,65,121,15,3,19,71,75,143
IARE507007,3,5,6,68,61,128,22,6,31,91,73,168
IARE507008,0,0,0,24,28,45,3,5,6,23,31,55
IARE507009,19,23,44,257,517,774,31,42,72,308,583,889
IARE507010,13,3,15,215,171,382,15,20,33,239,189,428
IARE507011,43,29,70,150,123,268,70,25,91,256,174,436
IARE507012,3,4,8,99,92,188,21,8,29,121,101,223
IARE507013,3,4,16,116,143,260,17,9,29,141,160,296
IARE507014,6,3,11,50,50,102,23,21,45,79,78,154
IARE507015,3,13,18,233,269,501,71,73,142,301,351,653
IARE508001,23,32,52,32,17,51,10,3,13,62,53,119
IARE508003,0,0,0,4,0,6,0,0,0,4,0,6
IARE508005,14,21,29,29,16,52,17,10,31,61,50,112
IARE508006,171,32,202,33,31,62,48,29,69,248,86,340
IARE594994,0,0,0,0,0,0,0,0,0,0,0,0
IARE597997,0,0,0,0,0,0,0,0,0,0,0,0
