IARE_CODE_2021,Ty_LTHC_Arth_Ind_M,Ty_LTHC_Arth_Ind_F,Ty_LTHC_Arth_Ind_P,Ty_LTHC_Arth_NoInd_M,Ty_LTHC_Arth_NoInd_F,Ty_LTHC_Arth_NoInd_P,Ty_LTHC_Arth_In_ns_M,Ty_LTHC_Arth_In_ns_F,Ty_LTHC_Arth_In_ns_P,Ty_LTHC_Arth_Tot_M,Ty_LTHC_Arth_Tot_F,Ty_LTHC_Arth_Tot_P,Ty_LTHC_Asth_Ind_M,Ty_LTHC_Asth_Ind_F,Ty_LTHC_Asth_Ind_P,Ty_LTHC_Asth_NoInd_M,Ty_LTHC_Asth_NoInd_F,Ty_LTHC_Asth_NoInd_P,Ty_LTHC_Asth_In_ns_M,Ty_LTHC_Asth_In_ns_F,Ty_LTHC_Asth_In_ns_P,Ty_LTHC_Asth_Tot_M,Ty_LTHC_Asth_Tot_F,Ty_LTHC_Asth_Tot_P,Ty_LTHC_Canc_Ind_M,Ty_LTHC_Canc_Ind_F,Ty_LTHC_Canc_Ind_P,Ty_LTHC_Canc_NoInd_M,Ty_LTHC_Canc_NoInd_F,Ty_LTHC_Canc_NoInd_P,Ty_LTHC_Canc_In_ns_M,Ty_LTHC_Canc_In_ns_F,Ty_LTHC_Canc_In_ns_P,Ty_LTHC_Canc_Tot_M,Ty_LTHC_Canc_Tot_F,Ty_LTHC_Canc_Tot_P,Ty_LTHC_Dem_Ind_M,Ty_LTHC_Dem_Ind_F,Ty_LTHC_Dem_Ind_P,Ty_LTHC_Dem_NoInd_M,Ty_LTHC_Dem_NoInd_F,Ty_LTHC_Dem_NoInd_P,Ty_LTHC_Dem_In_ns_M,Ty_LTHC_Dem_In_ns_F,Ty_LTHC_Dem_In_ns_P,Ty_LTHC_Dem_Tot_M,Ty_LTHC_Dem_Tot_F,Ty_LTHC_Dem_Tot_P,Ty_LTHC_Diab_Ind_M,Ty_LTHC_Diab_Ind_F,Ty_LTHC_Diab_Ind_P,Ty_LTHC_Diab_NoInd_M,Ty_LTHC_Diab_NoInd_F,Ty_LTHC_Diab_NoInd_P,Ty_LTHC_Diab_In_ns_M,Ty_LTHC_Diab_In_ns_F,Ty_LTHC_Diab_In_ns_P,Ty_LTHC_Diab_Tot_M,Ty_LTHC_Diab_Tot_F,Ty_LTHC_Diab_Tot_P,Ty_LTHC_Heart_Dis_Ind_M,Ty_LTHC_Heart_Dis_Ind_F,Ty_LTHC_Heart_Dis_Ind_P,Ty_LTHC_Heart_Dis_NoInd_M,Ty_LTHC_Heart_Dis_NoInd_F,Ty_LTHC_Heart_Dis_NoInd_P,Ty_LTHC_Heart_Dis_In_ns_M,Ty_LTHC_Heart_Dis_In_ns_F,Ty_LTHC_Heart_Dis_In_ns_P,Ty_LTHC_Heart_Dis_Tot_M,Ty_LTHC_Heart_Dis_Tot_F,Ty_LTHC_Heart_Dis_Tot_P,Ty_LTHC_Kid_Dis_Ind_M,Ty_LTHC_Kid_Dis_Ind_F,Ty_LTHC_Kid_Dis_Ind_P,Ty_LTHC_Kid_Dis_NoInd_M,Ty_LTHC_Kid_Dis_NoInd_F,Ty_LTHC_Kid_Dis_NoInd_P,Ty_LTHC_Kid_Dis_In_ns_M,Ty_LTHC_Kid_Dis_In_ns_F,Ty_LTHC_Kid_Dis_In_ns_P,Ty_LTHC_Kid_Dis_Tot_M,Ty_LTHC_Kid_Dis_Tot_F,Ty_LTHC_Kid_Dis_Tot_P,Ty_LTHC_Lung_Con_Ind_M,Ty_LTHC_Lung_Con_Ind_F,Ty_LTHC_Lung_Con_Ind_P,Ty_LTHC_Lung_Con_NoInd_M,Ty_LTHC_Lung_Con_NoInd_F,Ty_LTHC_Lung_Con_NoInd_P,Ty_LTHC_Lung_Con_In_ns_M,Ty_LTHC_Lung_Con_In_ns_F,Ty_LTHC_Lung_Con_In_ns_P,Ty_LTHC_Lung_Con_Tot_M,Ty_LTHC_Lung_Con_Tot_F,Ty_LTHC_Lung_Con_Tot_P,Ty_LTHC_MHC_Ind_M,Ty_LTHC_MHC_Ind_F,Ty_LTHC_MHC_Ind_P,Ty_LTHC_MHC_NoInd_M,Ty_LTHC_MHC_NoInd_F,Ty_LTHC_MHC_NoInd_P,Ty_LTHC_MHC_In_ns_M,Ty_LTHC_MHC_In_ns_F,Ty_LTHC_MHC_In_ns_P,Ty_LTHC_MHC_Tot_M,Ty_LTHC_MHC_Tot_F,Ty_LTHC_MHC_Tot_P,Ty_LTHC_Stroke_Ind_M,Ty_LTHC_Stroke_Ind_F,Ty_LTHC_Stroke_Ind_P,Ty_LTHC_Stroke_NoInd_M,Ty_LTHC_Stroke_NoInd_F,Ty_LTHC_Stroke_NoInd_P,Ty_LTHC_Stroke_In_ns_M,Ty_LTHC_Stroke_In_ns_F,Ty_LTHC_Stroke_In_ns_P,Ty_LTHC_Stroke_Tot_M,Ty_LTHC_Stroke_Tot_F,Ty_LTHC_Stroke_Tot_P,Ty_LTHC_oth_LTHC_Ind_M,Ty_LTHC_oth_LTHC_Ind_F,Ty_LTHC_oth_LTHC_Ind_P,Ty_LTHC_oth_LTHC_NoInd_M,Ty_LTHC_oth_LTHC_NoInd_F,Ty_LTHC_oth_LTHC_NoInd_P,Ty_LTHC_oth_LTHC_In_ns_M,Ty_LTHC_oth_LTHC_In_ns_F,Ty_LTHC_oth_LTHC_In_ns_P,Ty_LTHC_oth_LTHC_Tot_M,Ty_LTHC_oth_LTHC_Tot_F,Ty_LTHC_oth_LTHC_Tot_P,Ty_LTHC_no_LTHC_Ind_M,Ty_LTHC_no_LTHC_Ind_F,Ty_LTHC_no_LTHC_Ind_P,Ty_LTHC_no_LTHC_NoInd_M,Ty_LTHC_no_LTHC_NoInd_F,Ty_LTHC_no_LTHC_NoInd_P,Ty_LTHC_no_LTHC_In_ns_M,Ty_LTHC_no_LTHC_In_ns_F,Ty_LTHC_no_LTHC_In_ns_P,Ty_LTHC_no_LTHC_Tot_M,Ty_LTHC_no_LTHC_Tot_F,Ty_LTHC_no_LTHC_Tot_P,Ty_LTHC_Ns_Ind_M,Ty_LTHC_Ns_Ind_F,Ty_LTHC_Ns_Ind_P,Ty_LTHC_Ns_NoInd_M,Ty_LTHC_Ns_NoInd_F,Ty_LTHC_Ns_NoInd_P,Ty_LTHC_Ns_In_ns_M,Ty_LTHC_Ns_In_ns_F,Ty_LTHC_Ns_In_ns_P,Ty_LTHC_Ns_Tot_M,Ty_LTHC_Ns_Tot_F,Ty_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_ns_M,Tot_p_In_ns_F,Tot_p_In_ns_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P,Co_LTHC_no_SC_Ind_M,Co_LTHC_no_SC_Ind_F,Co_LTHC_no_SC_Ind_P,Co_LTHC_no_SC_NoInd_M,Co_LTHC_no_SC_NoInd_F,Co_LTHC_no_SC_NoInd_P,Co_LTHC_no_SC_In_ns_M,Co_LTHC_no_SC_In_ns_F,Co_LTHC_no_SC_In_ns_P,Co_LTHC_no_SC_Tot_M,Co_LTHC_no_SC_Tot_F,Co_LTHC_no_SC_Tot_P,Co_LTHC_1ms_LTHC_onec_Ind_M,Co_LTHC_1ms_LTHC_onec_Ind_F,Co_LTHC_1ms_LTHC_onec_Ind_P,Co_LTHC_1ms_LTHC_onec_NoInd_M,Co_LTHC_1ms_LTHC_onec_NoInd_F,Co_LTHC_1ms_LTHC_onec_NoInd_P,Co_LTHC_1ms_LTHC_onec_In_ns_M,Co_LTHC_1ms_LTHC_onec_In_ns_F,Co_LTHC_1ms_LTHC_onec_In_ns_P,Co_LTHC_1ms_LTHC_onec_Tot_M,Co_LTHC_1ms_LTHC_onec_Tot_F,Co_LTHC_1ms_LTHC_onec_Tot_P,Co_LTHC_1ms_LTHC_twoc_Ind_M,Co_LTHC_1ms_LTHC_twoc_Ind_F,Co_LTHC_1ms_LTHC_twoc_Ind_P,Co_LTHC_1ms_LTHC_twoc_NoInd_M,Co_LTHC_1ms_LTHC_twoc_NoInd_F,Co_LTHC_1ms_LTHC_twoc_NoInd_P,Co_LTHC_1ms_LTHC_twoc_In_ns_M,Co_LTHC_1ms_LTHC_twoc_In_ns_F
IARE501001,26,71,101,204,246,452,0,0,0,237,321,551,67,151,220,231,312,545,0,0,0,303,464,767,17,32,49,106,99,208,0,0,0,121,134,259,5,10,18,18,4,23,0,3,4,22,21,43,86,144,229,121,92,215,0,3,3,209,232,442,58,80,139,120,45,166,0,0,0,177,125,304,29,35,65,37,25,57,0,0,0,66,61,124,19,32,54,59,58,118,0,3,3,77,97,170,76,118,195,205,402,601,0,0,0,277,520,798,13,17,25,23,10,28,0,0,0,29,33,59,92,112,206,230,260,489,0,4,4,323,374,700,1102,1133,2234,3422,3616,7043,49,34,79,4576,4789,9366,235,129,366,213,183,397,927,953,1884,1375,1262,2643,1698,1773,3467,4624,4945,9574,976,998,1975,7295,7711,15012,1166,1183,2351,3579,3772,7341,49,34,80,4791,4988,9777,227,310,536,631,762,1395,3,7,8,868,1077,1943,44,90,141,137,178,319,0,0
IARE501002,5,16,25,10,12,22,0,0,0,12,29,44,15,32,52,3,17,25,0,0,0,23,52,72,0,3,3,4,3,9,0,0,0,8,10,18,7,3,6,0,0,0,0,0,0,7,3,7,26,45,75,4,7,9,0,0,0,28,51,82,21,18,39,6,9,11,0,0,0,29,24,47,4,10,15,0,0,0,0,0,0,4,13,15,0,5,10,3,0,4,0,0,0,3,8,14,15,21,26,8,21,25,0,0,0,17,41,56,6,5,9,0,0,0,0,0,0,6,3,9,16,23,43,12,12,22,0,0,0,32,32,65,539,524,1065,184,170,359,7,0,7,733,697,1430,42,50,92,9,10,18,47,44,94,103,103,203,673,708,1379,228,236,467,60,52,107,957,993,1954,552,540,1096,189,173,369,7,0,7,747,719,1467,71,88,153,26,39,68,0,0,6,92,129,226,5,11,17,7,10,17,0,0
IARE502001,12,38,50,124,143,263,0,0,0,137,186,319,26,71,94,86,112,198,0,4,4,107,183,294,9,9,15,48,35,91,0,0,0,63,41,102,3,9,16,4,10,11,0,0,0,6,20,28,48,65,116,86,58,140,0,0,0,138,121,261,29,29,63,97,39,138,0,0,0,128,63,199,7,12,19,24,19,36,0,0,0,26,32,61,5,11,17,41,40,84,0,0,0,50,50,101,18,26,45,73,116,186,0,0,0,90,143,237,4,5,6,16,12,26,0,0,0,15,18,35,28,34,62,93,105,202,3,0,4,125,141,267,222,243,471,1158,971,2120,18,9,31,1401,1227,2624,44,40,80,76,61,142,444,365,813,559,472,1034,387,456,843,1691,1492,3183,465,385,854,2545,2334,4879,235,260,491,1209,1031,2232,23,9,32,1459,1297,2762,72,91,164,283,275,558,3,0,3,359,368,727,23,39,62,69,86,159,0,0
IARE502002,8,3,12,33,31,68,0,0,0,33,39,74,10,8,20,18,25,44,0,0,0,25,36,66,0,0,7,12,12,24,0,0,0,13,16,30,0,0,0,0,5,0,0,0,0,3,5,3,16,12,26,34,14,45,0,0,0,47,24,71,6,5,13,29,6,36,0,0,0,37,8,45,4,3,9,3,4,3,0,0,0,3,4,9,5,5,8,11,12,21,0,0,0,20,15,28,10,6,17,34,32,62,0,0,0,41,39,78,0,0,0,3,4,7,0,0,0,0,6,9,8,0,11,26,23,44,0,0,0,33,16,51,59,50,109,272,157,429,0,3,3,329,214,538,11,7,17,20,13,33,340,192,530,367,213,581,103,83,185,428,273,701,338,193,536,871,552,1418,60,51,109,284,169,455,0,3,3,348,220,571,21,6,29,83,62,147,0,0,0,103,68,173,0,11,14,27,21,54,0,0
IARE502003,4,7,12,246,314,559,4,0,10,257,323,580,6,13,26,185,190,376,0,0,0,193,207,400,0,0,0,100,82,179,3,0,5,101,88,187,0,0,0,15,11,31,0,0,0,16,14,34,14,21,33,186,100,285,3,3,3,202,125,325,10,11,16,151,82,234,3,0,0,159,90,253,4,7,7,28,26,57,0,0,0,32,33,68,0,4,9,68,54,118,0,0,0,69,58,126,10,14,23,170,187,355,0,0,0,179,198,377,0,0,4,39,18,59,0,0,0,43,19,62,17,12,27,152,167,322,0,0,0,164,181,350,103,93,200,1418,1269,2678,24,15,40,1545,1375,2922,18,20,31,111,104,220,397,346,747,527,469,1004,169,167,337,2381,2158,4538,433,369,808,2980,2696,5679,114,99,219,1503,1341,2843,28,15,41,1639,1459,3098,26,31,52,515,475,991,6,3,9,543,507,1055,0,7,16,150,148,296,0,4
IARE502004,67,132,201,1170,1894,3065,9,16,31,1248,2049,3300,165,264,427,1235,1659,2901,16,18,33,1420,1938,3360,30,31,64,583,565,1150,0,5,6,616,599,1214,13,12,29,147,187,336,4,7,7,163,203,366,162,189,355,974,806,1778,10,5,16,1141,1002,2143,82,77,165,856,563,1419,10,10,21,950,654,1603,26,39,65,203,184,392,3,4,6,231,229,464,32,43,76,356,338,699,4,12,9,399,388,782,122,219,341,1243,1928,3173,7,13,20,1376,2155,3532,13,19,35,158,165,329,0,3,4,176,189,364,130,145,269,1105,1456,2564,19,16,33,1253,1611,2866,998,1073,2075,9619,9374,18994,48,52,99,10664,10495,21163,286,179,460,699,682,1386,1605,1442,3050,2591,2304,4890,1821,1906,3736,15508,16102,31608,1703,1549,3250,19039,19561,38595,1076,1126,2196,10209,10016,20229,58,60,114,11336,11192,22532,326,368,688,3119,3563,6684,31,32,61,3474,3962,7432,78,137,219,953,1149,2104,12,8
IARE502005,8,21,32,335,423,764,4,3,10,356,448,806,14,24,39,224,276,498,3,0,3,240,300,537,5,6,8,149,120,270,4,0,0,151,122,278,0,0,4,29,8,43,0,0,0,35,12,47,19,23,39,251,154,400,3,3,6,274,169,451,11,19,31,222,108,330,4,0,4,237,126,365,5,12,10,48,32,80,0,0,0,53,39,91,4,4,6,102,86,186,0,4,4,106,89,198,5,28,28,226,262,485,0,0,4,229,289,519,0,0,0,47,30,78,0,0,3,48,36,82,3,15,22,194,233,423,0,0,3,200,245,447,117,109,223,1891,1736,3621,16,16,30,2023,1858,3880,6,9,19,139,119,256,575,432,1006,717,565,1281,168,196,361,3176,2955,6135,602,463,1061,3945,3611,7554,123,115,234,1970,1831,3799,16,16,30,2108,1963,4072,22,30,55,712,647,1361,4,11,18,744,692,1428,7,22,32,220,246,469,8,0
IARE502006,5,13,12,17,10,23,0,0,0,22,24,43,5,19,25,17,10,29,0,0,0,25,31,56,5,0,4,5,3,16,0,0,0,13,6,16,3,0,3,4,0,4,0,0,0,3,0,5,20,31,42,16,10,31,0,0,0,30,35,75,17,15,33,17,3,17,0,0,0,36,18,51,3,3,5,6,0,6,0,0,0,5,4,11,6,10,10,8,5,10,0,0,0,8,6,22,7,13,20,18,18,34,0,0,0,21,29,53,3,6,8,0,0,0,0,0,0,5,6,6,8,11,18,12,12,24,0,0,0,24,19,40,136,137,277,256,107,364,5,6,9,403,244,650,27,36,63,9,3,13,155,83,240,192,125,315,212,237,449,341,159,499,163,95,258,717,485,1200,139,141,280,262,111,372,5,6,9,414,254,672,31,40,63,52,26,79,0,3,0,80,74,151,10,12,17,9,10,22,0,0
IARE502007,9,4,11,39,44,82,0,0,4,47,52,101,10,16,21,28,35,66,0,0,0,37,53,92,6,6,6,20,20,46,0,0,0,26,23,50,0,0,0,0,0,0,0,0,0,0,0,3,21,4,23,29,15,45,0,0,0,51,20,68,13,0,15,32,9,40,0,0,0,46,12,59,3,0,3,9,0,7,0,0,0,5,0,6,0,5,5,9,3,17,0,0,0,10,11,21,10,9,17,24,53,81,0,0,0,36,57,96,0,0,0,5,10,11,0,0,0,5,10,11,11,0,12,22,32,57,0,0,0,34,38,75,69,49,121,393,403,798,5,3,7,465,461,922,10,8,16,29,32,61,95,89,185,134,129,264,125,84,207,577,596,1173,100,94,198,805,772,1571,69,49,125,411,421,832,4,3,8,485,476,956,28,13,41,101,110,210,0,0,0,126,123,250,12,5,18,20,24,42,0,0
IARE503001,8,31,45,518,761,1272,8,16,20,534,802,1340,24,36,56,563,660,1226,5,4,8,584,709,1296,10,5,14,236,215,446,5,3,8,242,229,473,0,0,3,37,62,99,0,0,0,40,60,100,21,23,40,396,287,685,3,3,9,421,313,734,12,12,22,384,242,626,3,0,3,396,252,648,0,4,10,70,47,124,0,0,0,76,54,126,5,10,11,144,146,289,0,0,0,156,152,305,28,40,67,451,671,1124,7,3,7,486,712,1195,0,3,3,75,44,120,0,0,0,75,52,126,20,21,40,393,486,877,4,3,7,413,509,923,213,208,416,4470,4239,8706,36,39,73,4716,4483,9200,39,26,70,250,209,457,799,677,1481,1090,915,2002,347,339,684,6894,6797,13686,854,742,1600,8093,7881,15970,226,212,432,4671,4448,9119,36,44,80,4925,4697,9628,64,63,131,1370,1464,2838,15,14,29,1451,1548,2997,12,23,34,402,453,854,7,4
