IARE_CODE_2021,NonI_35_44_PD_GD_GCL_P,NonI_35_44_BDL_P,NonI_35_44_ADip_DipL_P,NonI_35_44_Ct_III_IV_P,NonI_35_44_Ct_I_II_P,NonI_35_44_CL_nfd_P,NonI_35_44_LoE_NS_P,NonI_35_44_Tot_P,NonI_45_54_PD_GD_GCL_P,NonI_45_54_BDL_P,NonI_45_54_ADip_DipL_P,NonI_45_54_Ct_III_IV_P,NonI_45_54_Ct_I_II_P,NonI_45_54_CL_nfd_P,NonI_45_54_LoE_NS_P,NonI_45_54_Tot_P,NonI_55_64_PD_GD_GCL_P,NonI_55_64_BDL_P,NonI_55_64_ADip_DipL_P,NonI_55_64_Ct_III_IV_P,NonI_55_64_Ct_I_II_P,NonI_55_64_CL_nfd_P,NonI_55_64_LoE_NS_P,NonI_55_64_Tot_P,NonI_65ov_PtgdDe_GdDp_GdCt_P,NonI_65ov_BDL_P,NonI_65ov_ADip_DipL_P,NonI_65ov_Ct_III_IV_P,NonI_65ov_Ct_I_II_P,NonI_65ov_CL_nfd_P,NonI_65ov_LoE_NS_P,NonI_65ov_Tot_P,NonI_Tot_PD_GD_GCL_P,NonI_Tot_BDL_P,NonI_Tot_ADip_DipL_P,NonI_Tot_Ct_III_IV_P,NonI_Tot_Ct_I_II_P,NonI_tot_CL_nfd_P,NonI_Tot_LoE_NS_P,NonI_Tot_Tot_P,IS_NS_15_19_PD_GD_GCL_P,IS_NS_15_19_BDL_P,IS_NS_15_19_ADip_DipL_P,IS_NS_15_19_Ct_III_IV_P,IS_NS_15_19_Ct_I_II_P,IS_NS_15_19_CL_nfd_P,IS_NS_15_19_LoE_NS_P,IS_NS_15_19_Tot_P,IS_NS_20_24_PD_GD_GCL_P,IS_NS_20_24_BDL_P,IS_NS_20_24_ADip_DipL_P,IS_NS_20_24_Ct_III_IV_P,IS_NS_20_24_Ct_I_II_P,IS_NS_20_24_CL_nfd_P,IS_NS_20_24_LoE_NS_P,IS_NS_20_24_Tot_P,IS_NS_25_34_PD_GD_GCL_P,IS_NS_25_34_BDL_P,IS_NS_25_34_ADip_DipL_P,IS_NS_25_34_Ct_III_IV_P,IS_NS_25_34_Ct_I_II_P,IS_NS_25_34_CL_nfd_P,IS_NS_25_34_LoE_NS_P,IS_NS_25_34_Tot_P,IS_NS_35_44_PD_GD_GCL_P,IS_NS_35_44_BDL_P,IS_NS_35_44_ADip_DipL_P,IS_NS_35_44_Ct_III_IV_P,IS_NS_35_44_Ct_I_II_P,IS_NS_35_44_CL_nfd_P,IS_NS_35_44_LoE_NS_P,IS_NS_35_44_Tot_P,IS_NS_45_54_PD_GD_GCL_P,IS_NS_45_54_BDL_P,IS_NS_45_54_ADip_DipL_P,IS_NS_45_54_Ct_III_IV_P,IS_NS_45_54_Ct_I_II_P,IS_NS_45_54_CL_nfd_P,IS_NS_45_54_LoE_NS_P,IS_NS_45_54_Tot_P,IS_NS_55_64_PD_GD_GCL_P,IS_NS_55_64_BDL_P,IS_NS_55_64_ADip_DipL_P,IS_NS_55_64_Ct_III_IV_P,IS_NS_55_64_Ct_I_II_P,IS_NS_55_64_CL_nfd_P,IS_NS_55_64_LoE_NS_P,IS_NS_55_64_Tot_P,IS_NS_65ov_PtgdDe_GdDp_GdCt_P,IS_NS_65ov_BDL_P,IS_NS_65ov_ADip_DipL_P,IS_NS_65ov_Ct_III_IV_P,IS_NS_65ov_Ct_I_II_P,IS_NS_65ov_CL_nfd_P,IS_NS_65ov_LoE_NS_P,IS_NS_65ov_Tot_P,IS_NS_Tot_PD_GD_GCL_P,IS_NS_Tot_BDL_P,IS_NS_Tot_ADip_DipL_P,IS_NS_Tot_Ct_III_IV_P,IS_NS_Tot_Ct_I_II_P,IS_NS_tot_CL_nfd_P,IS_NS_Tot_LoE_NS_P,IS_NS_Tot_Tot_P,Tot_15_19_PD_GD_GCL_P,Tot_15_19_BDL_P,Tot_15_19_ADip_DipL_P,Tot_15_19_Ct_III_IV_P,Tot_15_19_Ct_I_II_P,Tot_15_19_CL_nfd_P,Tot_15_19_LoE_NS_P,Tot_15_19_Tot_P,Tot_20_24_PD_GD_GCL_P,Tot_20_24_BDL_P,Tot_20_24_ADip_DipL_P,Tot_20_24_Ct_III_IV_P,Tot_20_24_Ct_I_II_P,Tot_20_24_CL_nfd_P,Tot_20_24_LoE_NS_P,Tot_20_24_Tot_P,Tot_25_34_PD_GD_GCL_P,Tot_25_34_BDL_P,Tot_25_34_ADip_DipL_P,Tot_25_34_Ct_III_IV_P,Tot_25_34_Ct_I_II_P,Tot_25_34_CL_nfd_P,Tot_25_34_LoE_NS_P,Tot_25_34_Tot_P,Tot_35_44_PD_GD_GCL_P,Tot_35_44_BDL_P,Tot_35_44_ADip_DipL_P,Tot_35_44_Ct_III_IV_P,Tot_35_44_Ct_I_II_P,Tot_35_44_CL_nfd_P,Tot_35_44_LoE_NS_P,Tot_35_44_Tot_P,Tot_45_54_PD_GD_GCL_P,Tot_45_54_BDL_P,Tot_45_54_ADip_DipL_P,Tot_45_54_Ct_III_IV_P,Tot_45_54_Ct_I_II_P,Tot_45_54_CL_nfd_P,Tot_45_54_LoE_NS_P,Tot_45_54_Tot_P,Tot_55_64_PD_GD_GCL_P,Tot_55_64_BDL_P,Tot_55_64_ADip_DipL_P,Tot_55_64_Ct_III_IV_P,Tot_55_64_Ct_I_II_P,Tot_55_64_CL_nfd_P,Tot_55_64_LoE_NS_P,Tot_55_64_Tot_P,Tot_65ov_PtgdDe_GdDp_GdCt_P,Tot_65ov_BDL_P,Tot_65ov_ADip_DipL_P,Tot_65ov_Ct_III_IV_P,Tot_65ov_Ct_I_II_P,Tot_65ov_CL_nfd_P,Tot_65ov_LoE_NS_P,Tot_65ov_Tot_P,Tot_Tot_PD_GD_GCL_P,Tot_Tot_BDL_P,Tot_Tot_ADip_DipL_P,Tot_Tot_Ct_III_IV_P,Tot_Tot_Ct_I_II_P,Tot_tot_CL_nfd_P,Tot_Tot_LoE_NS_P,Tot_Tot_Tot_P
IARE501001,223,435,250,408,27,25,60,1424,130,287,206,391,11,39,55,1128,91,163,146,255,11,31,51,749,49,102,82,150,8,15,64,469,710,1593,898,1662,130,141,349,5495,0,0,0,0,0,0,101,100,0,0,0,0,0,0,97,99,4,0,0,0,0,0,348,347,0,0,0,7,0,0,268,276,0,0,0,0,0,0,304,306,0,0,0,3,0,0,212,221,0,0,0,0,0,0,146,145,6,3,3,16,0,0,1474,1496,0,0,3,28,36,5,154,236,7,65,42,146,42,9,148,465,218,567,204,461,50,31,470,2011,236,464,293,505,39,36,382,1954,147,312,225,456,16,38,403,1597,103,181,171,287,17,40,314,1119,58,110,90,172,5,25,231,693,770,1707,1021,2063,214,186,2108,8070
IARE501002,4,19,10,19,0,0,0,53,6,15,0,12,0,4,3,42,5,8,11,13,0,0,10,44,0,4,12,8,0,0,7,32,36,101,47,76,4,7,21,286,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,7,0,0,0,0,0,0,21,21,0,0,0,0,0,0,11,11,0,0,0,0,0,0,21,22,0,0,0,0,0,0,12,12,0,0,0,0,0,0,15,15,0,0,0,5,0,0,84,88,0,0,0,0,3,0,21,22,0,10,6,17,0,10,15,50,10,53,17,43,9,3,54,183,12,23,13,42,9,0,41,137,10,15,3,23,5,8,38,105,4,9,14,27,6,4,22,94,3,7,12,13,0,3,26,61,38,112,65,171,34,27,213,649
IARE502001,15,68,47,88,7,4,28,260,27,56,33,120,5,10,15,258,13,43,34,133,5,11,14,249,13,31,47,90,0,9,55,243,100,288,192,573,65,45,125,1395,0,0,0,0,0,0,46,46,0,0,0,0,0,0,74,74,0,0,0,0,0,0,142,142,0,0,0,3,0,0,103,106,0,0,0,0,0,0,122,124,0,0,0,0,0,0,78,82,0,0,0,0,0,0,91,89,0,0,0,8,0,0,644,661,0,0,0,12,10,0,66,80,0,16,6,41,27,4,77,174,30,75,27,127,18,7,169,458,21,74,49,104,6,10,131,395,27,55,36,139,8,12,148,430,14,45,36,137,4,14,113,368,13,31,52,94,8,11,155,357,104,298,209,650,76,56,862,2259
IARE502002,3,13,3,31,0,0,8,68,8,9,9,24,0,0,7,58,4,11,15,28,4,3,7,71,4,18,7,35,3,3,20,81,23,67,49,177,15,10,50,382,0,0,0,0,0,0,15,15,0,0,0,0,0,0,40,40,0,0,0,0,0,0,100,100,0,0,0,0,0,0,87,87,0,0,0,0,0,0,88,88,0,0,0,0,0,0,67,67,0,0,0,0,0,0,57,57,0,0,0,0,0,0,450,455,0,0,0,0,3,0,20,26,0,4,0,13,5,0,40,66,7,9,10,47,3,3,103,184,6,13,4,36,0,0,96,162,8,10,12,33,0,0,100,160,4,17,15,35,4,0,65,142,4,18,7,35,3,6,78,142,21,70,51,195,19,16,507,875
IARE502003,23,69,41,135,8,6,12,294,22,93,58,159,15,10,30,383,25,61,69,180,11,19,35,399,18,73,86,213,10,25,86,502,102,363,287,856,57,69,190,1924,0,0,0,0,0,0,37,37,0,0,0,0,0,0,32,32,0,0,0,0,0,0,60,65,0,0,0,0,0,0,102,105,0,0,0,0,0,0,100,104,0,0,0,0,0,0,107,112,0,0,0,0,0,0,174,175,0,6,0,0,0,0,611,623,0,0,4,10,10,0,51,70,3,14,0,52,6,0,42,112,8,61,30,123,10,5,72,306,23,72,46,139,8,6,117,409,22,93,64,165,15,13,134,505,25,65,74,188,14,19,144,527,18,70,88,217,11,27,261,690,101,371,301,891,71,73,825,2633
IARE502004,280,645,448,1183,95,81,104,2829,258,606,482,1269,73,104,138,2934,183,352,481,1078,65,95,164,2411,128,320,438,937,51,126,533,2535,1058,2643,2292,6333,667,484,1089,14565,0,0,0,0,0,0,184,184,0,0,0,3,0,0,167,172,0,0,0,8,0,0,416,420,0,4,4,6,0,0,456,471,0,0,5,3,0,0,421,432,0,0,0,7,0,0,349,356,0,0,0,8,0,0,439,453,0,8,10,36,0,0,2439,2494,0,0,18,156,126,14,237,541,22,129,99,487,171,25,218,1151,192,602,358,1407,162,50,537,3312,283,670,479,1274,108,80,588,3488,268,626,518,1337,87,114,589,3538,187,367,511,1127,78,99,538,2906,133,326,456,963,51,125,1022,3075,1073,2728,2432,6751,783,507,3730,18006
IARE502005,28,114,52,186,19,12,20,423,19,88,96,210,14,9,26,462,30,53,96,230,17,19,41,491,37,69,114,288,26,41,166,731,144,405,393,1147,112,91,281,2578,0,0,0,0,0,0,55,55,0,0,0,0,0,0,35,35,0,0,0,0,0,0,97,97,0,0,0,0,0,0,135,141,0,0,0,0,0,0,125,126,0,0,0,4,0,0,177,179,0,0,0,0,0,0,231,231,0,3,0,5,0,0,849,857,0,0,0,16,14,0,69,105,5,8,12,72,17,3,51,161,23,69,30,163,15,7,116,425,28,114,51,196,19,15,157,580,19,92,97,218,14,16,149,601,38,55,95,243,20,21,215,688,37,69,114,287,26,42,400,975,150,410,404,1194,119,102,1152,3529
IARE502006,4,7,8,25,0,3,3,54,0,6,3,18,0,0,4,36,8,5,11,22,0,0,0,43,0,0,3,9,3,0,4,21,21,65,33,122,6,4,16,270,0,0,0,0,0,0,10,10,0,0,0,0,0,0,20,20,0,0,0,0,0,0,73,75,0,0,0,0,0,0,38,42,0,0,3,0,0,0,38,40,0,0,0,0,0,0,27,26,0,0,0,0,0,0,19,19,0,0,0,3,0,0,229,231,0,0,0,0,0,0,21,20,0,4,0,13,4,3,36,56,11,37,11,50,3,0,86,202,4,7,11,32,3,3,47,103,4,5,6,18,0,0,50,90,8,7,13,33,0,0,38,96,0,3,4,9,3,0,30,47,23,68,42,148,13,9,307,619
IARE502007,7,41,20,38,0,4,4,126,9,15,21,41,3,0,9,97,0,20,16,46,4,5,5,93,14,15,21,37,0,0,12,93,50,163,100,224,17,13,41,613,0,0,0,0,0,0,10,10,0,0,0,0,0,0,6,6,0,0,0,0,0,0,18,18,0,0,0,0,0,0,28,28,0,0,0,0,0,0,20,20,0,0,0,3,0,0,30,36,0,0,0,0,0,0,36,32,0,0,0,3,0,0,153,152,0,0,0,5,5,0,15,20,3,11,3,16,8,0,9,52,15,60,25,48,7,5,31,188,7,41,22,43,0,4,34,160,8,15,20,49,7,0,32,126,0,23,16,53,4,5,36,136,14,15,21,40,0,3,45,133,54,167,103,256,22,15,205,817
IARE503001,85,258,154,499,33,27,49,1108,81,233,194,477,30,38,70,1125,56,152,191,417,16,45,83,955,55,177,211,319,18,38,260,1084,335,1160,884,2504,241,177,548,5851,0,0,0,0,0,0,79,79,0,0,0,0,0,0,87,84,0,0,0,0,0,0,168,167,0,0,0,5,0,0,183,186,0,4,0,4,0,0,222,232,0,0,0,0,0,0,194,198,0,0,3,3,0,0,265,273,0,0,3,18,0,0,1193,1223,0,0,0,54,41,8,110,212,3,44,17,208,48,11,112,446,56,302,119,564,68,17,205,1331,85,262,158,519,41,28,236,1329,79,241,200,494,25,41,302,1386,59,154,189,430,18,42,281,1175,55,183,219,332,18,38,534,1370,345,1180,907,2600,257,188,1780,7251
