IARE_CODE_2021,Tot_20_24_PD_GD_GCL_M,Tot_20_24_BDL_M,Tot_20_24_ADip_DipL_M,Tot_20_24_Ct_III_IV_M,Tot_20_24_Ct_I_II_M,Tot_20_24_CL_nfd_M,Tot_20_24_LoE_NS_M,Tot_20_24_Tot_M,Tot_25_34_PD_GD_GCL_M,Tot_25_34_BDL_M,Tot_25_34_ADip_DipL_M,Tot_25_34_Ct_III_IV_M,Tot_25_34_Ct_I_II_M,Tot_25_34_CL_nfd_M,Tot_25_34_LoE_NS_M,Tot_25_34_Tot_M,Tot_35_44_PD_GD_GCL_M,Tot_35_44_BDL_M,Tot_35_44_ADip_DipL_M,Tot_35_44_Ct_III_IV_M,Tot_35_44_Ct_I_II_M,Tot_35_44_CL_nfd_M,Tot_35_44_LoE_NS_M,Tot_35_44_Tot_M,Tot_45_54_PD_GD_GCL_M,Tot_45_54_BDL_M,Tot_45_54_ADip_DipL_M,Tot_45_54_Ct_III_IV_M,Tot_45_54_Ct_I_II_M,Tot_45_54_CL_nfd_M,Tot_45_54_LoE_NS_M,Tot_45_54_Tot_M,Tot_55_64_PD_GD_GCL_M,Tot_55_64_BDL_M,Tot_55_64_ADip_DipL_M,Tot_55_64_Ct_III_IV_M,Tot_55_64_Ct_I_II_M,Tot_55_64_CL_nfd_M,Tot_55_64_LoE_NS_M,Tot_55_64_Tot_M,Tot_65ov_PtgdDe_GdDp_GdCt_M,Tot_65ov_BDL_M,Tot_65ov_ADip_DipL_M,Tot_65ov_Ct_III_IV_M,Tot_65ov_Ct_I_II_M,Tot_65ov_CL_nfd_M,Tot_65ov_LoE_NS_M,Tot_65ov_Tot_M,Tot_Tot_PD_GD_GCL_M,Tot_Tot_BDL_M,Tot_Tot_ADip_DipL_M,Tot_Tot_Ct_III_IV_M,Tot_Tot_Ct_I_II_M,Tot_tot_CL_nfd_M,Tot_Tot_LoE_NS_M,Tot_Tot_Tot_M,Ind_15_19_PD_GD_GCL_F,Ind_15_19_BDL_F,Ind_15_19_ADip_DipL_F,Ind_15_19_Ct_III_IV_F,Ind_15_19_Ct_I_II_F,Ind_15_19_CL_nfd_F,Ind_15_19_LoE_NS_F,Ind_15_19_Tot_F,Ind_20_24_PD_GD_GCL_F,Ind_20_24_BDL_F,Ind_20_24_ADip_DipL_F,Ind_20_24_Ct_III_IV_F,Ind_20_24_Ct_I_II_F,Ind_20_24_CL_nfd_F,Ind_20_24_LoE_NS_F,Ind_20_24_Tot_F,Ind_25_34_PD_GD_GCL_F,Ind_25_34_BDL_F,Ind_25_34_ADip_DipL_F,Ind_25_34_Ct_III_IV_F,Ind_25_34_Ct_I_II_F,Ind_25_34_CL_nfd_F,Ind_25_34_LoE_NS_F,Ind_25_34_Tot_F,Ind_35_44_PD_GD_GCL_F,Ind_35_44_BDL_F,Ind_35_44_ADip_DipL_F,Ind_35_44_Ct_III_IV_F,Ind_35_44_Ct_I_II_F,Ind_35_44_CL_nfd_F,Ind_35_44_LoE_NS_F,Ind_35_44_Tot_F,Ind_45_54_PD_GD_GCL_F,Ind_45_54_BDL_F,Ind_45_54_ADip_DipL_F,Ind_45_54_Ct_III_IV_F,Ind_45_54_Ct_I_II_F,Ind_45_54_CL_nfd_F,Ind_45_54_LoE_NS_F,Ind_45_54_Tot_F,Ind_55_64_PD_GD_GCL_F,Ind_55_64_BDL_F,Ind_55_64_ADip_DipL_F,Ind_55_64_Ct_III_IV_F,Ind_55_64_Ct_I_II_F,Ind_55_64_CL_nfd_F,Ind_55_64_LoE_NS_F,Ind_55_64_Tot_F,Ind_65ov_PtgdDe_GdDp_GdCt_F,Ind_65ov_BDL_F,Ind_65ov_ADip_DipL_F,Ind_65ov_Ct_III_IV_F,Ind_65ov_Ct_I_II_F,Ind_65ov_CL_nfd_F,Ind_65ov_LoE_NS_F,Ind_65ov_Tot_F,Ind_Tot_PD_GD_GCL_F,Ind_Tot_BDL_F,Ind_Tot_ADip_DipL_F,Ind_Tot_Ct_III_IV_F,Ind_Tot_Ct_I_II_F,Ind_tot_CL_nfd_F,Ind_Tot_LoE_NS_F,Ind_Tot_Tot_F,NonI_15_19_PD_GD_GCL_F,NonI_15_19_BDL_F,NonI_15_19_ADip_DipL_F,NonI_15_19_Ct_III_IV_F,NonI_15_19_Ct_I_II_F,NonI_15_19_CL_nfd_F,NonI_15_19_LoE_NS_F,NonI_15_19_Tot_F,NonI_20_24_PD_GD_GCL_F,NonI_20_24_BDL_F,NonI_20_24_ADip_DipL_F,NonI_20_24_Ct_III_IV_F,NonI_20_24_Ct_I_II_F,NonI_20_24_CL_nfd_F,NonI_20_24_LoE_NS_F,NonI_20_24_Tot_F,NonI_25_34_PD_GD_GCL_F,NonI_25_34_BDL_F,NonI_25_34_ADip_DipL_F,NonI_25_34_Ct_III_IV_F,NonI_25_34_Ct_I_II_F,NonI_25_34_CL_nfd_F,NonI_25_34_LoE_NS_F,NonI_25_34_Tot_F,NonI_35_44_PD_GD_GCL_F,NonI_35_44_BDL_F,NonI_35_44_ADip_DipL_F,NonI_35_44_Ct_III_IV_F,NonI_35_44_Ct_I_II_F,NonI_35_44_CL_nfd_F,NonI_35_44_LoE_NS_F,NonI_35_44_Tot_F,NonI_45_54_PD_GD_GCL_F,NonI_45_54_BDL_F,NonI_45_54_ADip_DipL_F,NonI_45_54_Ct_III_IV_F,NonI_45_54_Ct_I_II_F,NonI_45_54_CL_nfd_F,NonI_45_54_LoE_NS_F,NonI_45_54_Tot_F,NonI_55_64_PD_GD_GCL_F,NonI_55_64_BDL_F,NonI_55_64_ADip_DipL_F,NonI_55_64_Ct_III_IV_F,NonI_55_64_Ct_I_II_F,NonI_55_64_CL_nfd_F,NonI_55_64_LoE_NS_F,NonI_55_64_Tot_F,NonI_65ov_PtgdDe_GdDp_GdCt_F,NonI_65ov_BDL_F,NonI_65ov_ADip_DipL_F,NonI_65ov_Ct_III_IV_F,NonI_65ov_Ct_I_II_F,NonI_65ov_CL_nfd_F,NonI_65ov_LoE_NS_F,NonI_65ov_Tot_F,NonI_Tot_PD_GD_GCL_F,NonI_Tot_BDL_F,NonI_Tot_ADip_DipL_F,NonI_Tot_Ct_III_IV_F,NonI_Tot_Ct_I_II_F,NonI_tot_CL_nfd_F,NonI_Tot_LoE_NS_F,NonI_Tot_Tot_F,IS_NS_15_19_PD_GD_GCL_F,IS_NS_15_19_BDL_F,IS_NS_15_19_ADip_DipL_F,IS_NS_15_19_Ct_III_IV_F,IS_NS_15_19_Ct_I_II_F,IS_NS_15_19_CL_nfd_F,IS_NS_15_19_LoE_NS_F,IS_NS_15_19_Tot_F,IS_NS_20_24_PD_GD_GCL_F,IS_NS_20_24_BDL_F,IS_NS_20_24_ADip_DipL_F,IS_NS_20_24_Ct_III_IV_F,IS_NS_20_24_Ct_I_II_F,IS_NS_20_24_CL_nfd_F,IS_NS_20_24_LoE_NS_F,IS_NS_20_24_Tot_F
IARE503002,0,4,3,23,3,0,40,75,3,22,7,101,5,3,119,266,7,13,7,75,5,0,91,197,5,16,11,96,5,0,120,257,4,9,15,88,0,3,87,213,3,5,8,66,0,4,68,155,28,67,52,462,25,12,550,1205,0,0,0,4,3,0,3,6,0,0,0,4,0,0,9,8,0,0,0,5,0,0,4,15,0,0,0,3,0,0,4,8,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,3,22,0,3,20,59,0,0,0,6,4,0,0,14,0,3,4,17,9,0,0,28,11,20,13,34,5,0,4,91,5,21,22,38,7,11,6,108,3,14,13,25,4,3,17,79,8,17,13,30,3,0,19,83,3,3,7,10,0,4,16,47,32,79,73,159,32,18,60,454,0,0,0,0,0,0,32,32,0,0,0,0,0,0,29,29
IARE503003,15,53,11,257,70,12,141,556,116,266,95,902,38,22,297,1744,118,233,155,815,18,27,276,1655,81,146,118,741,14,30,246,1380,46,98,115,580,9,23,237,1102,21,60,50,346,3,16,254,760,401,852,549,3676,191,138,1541,7353,0,0,0,4,3,0,10,20,0,0,0,15,6,0,5,29,0,5,4,19,9,0,12,55,0,9,6,25,7,4,11,55,3,13,8,13,0,4,19,55,0,3,5,11,0,0,16,38,0,8,0,3,0,0,32,41,8,33,24,91,23,9,106,287,0,0,3,51,48,4,12,115,15,108,37,156,69,10,20,421,158,435,182,411,59,42,62,1349,170,363,208,327,34,30,41,1184,89,203,187,257,31,51,72,882,70,128,141,153,13,39,70,618,16,57,59,52,0,24,125,338,524,1297,821,1410,259,202,397,4907,0,0,0,0,0,0,56,56,0,0,0,0,0,0,78,86
IARE503004,0,3,0,10,0,0,30,42,0,16,7,37,8,0,108,184,4,10,10,38,0,0,91,153,3,9,10,22,0,0,87,134,6,10,5,28,0,0,70,114,0,0,3,9,0,0,18,35,13,45,40,142,11,8,421,673,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,11,0,0,0,3,3,0,4,13,0,0,0,5,0,0,4,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,4,15,4,0,25,54,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,20,4,6,4,0,0,32,0,6,9,3,0,0,0,18,3,6,0,4,0,0,0,10,0,8,7,9,3,0,5,33,0,0,0,0,0,0,0,7,12,37,22,24,7,7,12,115,0,0,0,0,0,0,5,5,0,0,0,0,0,0,16,16
IARE503005,0,9,3,16,9,0,68,107,7,17,16,75,7,3,153,272,7,10,15,66,5,0,114,210,4,8,7,48,0,5,72,133,4,7,3,32,0,3,53,103,0,4,9,22,0,0,26,58,21,45,55,257,26,12,489,900,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,3,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,6,8,30,0,0,0,0,0,0,0,0,0,4,0,8,3,0,0,16,13,13,9,13,0,0,5,55,0,10,6,12,0,0,0,38,3,4,13,12,0,0,3,32,4,5,8,9,0,4,3,34,0,4,3,0,0,0,3,15,24,38,39,55,9,8,17,186,0,0,0,0,0,0,9,9,0,0,0,0,0,0,24,24
IARE503006,0,0,0,0,0,0,5,6,0,3,0,0,0,0,5,11,0,4,0,6,0,0,0,15,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,8,0,12,0,0,20,46,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,5,5,0,0,0,3,0,0,0,10,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,3,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,5,10,7,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE503007,0,0,0,6,0,0,12,24,0,3,0,16,0,0,34,53,0,0,5,16,0,0,30,47,0,3,5,13,0,0,19,40,0,0,3,9,0,0,7,22,0,3,0,4,0,0,9,12,3,15,15,62,4,0,117,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,8,0,4,0,0,0,13,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,12,8,9,4,0,4,39,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0
IARE504001,0,0,0,8,0,0,4,11,3,7,0,26,3,4,8,46,0,5,0,22,6,0,5,41,0,4,0,8,0,0,13,22,0,0,4,5,0,3,5,16,0,0,0,0,0,0,10,13,5,12,6,72,9,8,49,170,0,0,0,0,0,0,5,5,0,0,0,5,3,0,4,7,0,0,0,8,5,0,4,18,0,0,0,3,0,3,0,9,0,0,0,6,0,0,0,7,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,23,13,6,10,54,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,4,11,5,3,0,0,0,21,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,4,0,4,6,0,0,0,0,11,0,4,3,0,0,0,0,3,6,24,13,11,0,0,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE504002,0,0,0,8,0,0,5,11,0,3,3,11,0,3,9,39,0,3,0,14,5,5,10,34,7,3,0,13,0,0,14,29,0,4,0,9,0,0,6,19,0,0,0,3,0,0,3,7,4,12,5,49,7,6,56,146,0,0,0,0,0,0,0,4,0,0,0,5,0,0,3,6,0,0,0,3,0,0,5,14,0,0,0,3,4,5,6,18,3,0,0,4,0,0,0,8,3,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,5,0,4,12,6,10,28,67,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,15,0,0,0,0,0,0,0,6,0,4,4,0,0,0,0,7,5,4,0,0,0,0,0,6,0,0,0,0,0,0,0,3,13,18,7,3,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE504003,0,4,6,0,0,0,11,18,4,10,0,15,3,0,22,58,3,5,3,25,0,0,26,57,0,0,0,20,0,0,19,50,4,4,3,10,0,0,18,37,0,4,5,4,0,0,12,27,16,24,13,78,10,0,125,264,0,0,0,0,0,0,7,10,0,0,0,7,0,0,6,10,0,0,0,8,0,0,9,19,0,0,3,10,3,0,11,25,0,5,0,13,0,0,5,28,0,3,0,4,0,0,5,14,0,0,0,0,0,0,4,8,0,9,5,43,6,0,48,117,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,5,15,4,3,0,0,0,33,5,13,0,5,0,3,0,19,0,14,0,0,0,0,0,14,3,8,3,4,0,0,0,15,3,5,0,0,0,0,0,12,19,50,10,19,0,3,6,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
IARE504004,0,0,0,5,0,0,8,11,0,0,0,9,0,0,5,20,0,0,0,11,0,0,8,23,0,0,3,6,0,0,3,11,0,0,0,4,0,0,8,9,0,0,3,0,0,0,3,5,4,3,5,32,3,0,47,92,0,0,0,0,0,0,5,5,0,0,0,3,0,0,3,4,0,0,0,3,0,0,6,10,0,0,0,0,3,0,5,16,0,0,0,4,0,0,0,9,0,0,0,0,0,0,7,4,0,0,0,0,0,0,3,4,0,0,3,18,8,0,29,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE504005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,11,0,0,3,0,0,0,3,3,0,0,0,0,0,0,7,7,0,0,3,3,0,0,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,3,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,6,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE504006,0,13,3,20,3,0,30,76,18,66,29,95,6,0,98,307,15,30,25,86,0,3,60,228,7,23,8,88,0,3,60,189,18,20,15,62,3,4,54,174,4,9,9,41,0,6,54,118,63,161,95,398,12,16,391,1138,0,0,0,0,0,0,10,7,0,0,0,7,0,3,11,21,0,3,3,14,8,0,14,47,0,4,3,5,3,0,6,21,5,3,14,8,3,3,10,49,0,0,3,0,0,0,8,17,0,0,0,0,0,5,13,22,3,9,27,46,16,14,70,186,0,0,0,6,4,0,0,6,4,24,3,16,3,0,0,47,50,122,31,46,6,7,13,268,28,76,30,36,5,3,8,191,19,53,20,37,0,0,4,131,18,34,41,19,4,6,7,120,3,8,6,3,4,0,3,29,121,314,128,157,18,14,44,793,0,0,0,0,0,0,18,18,0,0,0,0,0,0,32,32
IARE504007,0,0,0,6,0,0,21,26,0,9,3,19,0,0,15,52,7,11,8,37,0,0,24,81,4,8,6,38,0,0,35,92,6,7,14,19,0,4,22,69,4,5,4,19,0,0,19,54,22,31,29,142,9,5,141,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,21,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,10,9,17,4,3,0,0,4,33,4,15,8,10,0,0,0,35,9,17,12,10,0,4,0,56,4,12,15,7,4,0,0,42,0,0,11,5,0,0,3,16,29,66,51,36,3,3,7,197,0,0,0,0,0,0,4,4,0,0,0,0,0,0,5,5
IARE504008,0,0,0,0,0,0,6,9,0,0,0,9,0,0,7,27,0,5,5,13,0,0,21,40,0,0,3,13,6,0,15,37,0,0,0,7,0,0,13,24,0,0,3,9,0,3,3,14,4,10,11,46,9,9,72,160,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,11,0,0,0,8,3,0,9,18,0,0,0,3,0,0,0,6,0,3,0,0,4,0,0,8,0,0,5,0,0,0,3,3,0,3,6,16,12,0,21,55,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,4,0,0,0,0,0,6,3,5,0,4,0,0,0,8,0,0,3,3,0,0,0,11,0,0,5,0,0,0,0,0,5,18,8,12,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE505001,18,189,124,590,156,27,211,1321,294,898,636,2062,146,61,553,4661,814,1435,922,1913,70,87,627,5864,360,730,566,1515,47,73,495,3779,207,387,431,1401,16,73,393,2906,179,355,397,1474,22,113,535,3075,1872,3989,3086,9124,593,450,3008,22123,0,0,0,5,0,0,9,11,0,0,5,22,17,3,4,56,3,3,21,55,13,7,13,119,7,9,20,29,0,6,9,75,5,9,20,21,3,0,4,59,0,3,13,10,0,0,10,41,0,0,3,0,0,0,9,23,15,33,80,147,36,14,55,383,4,0,20,215,134,26,40,432,37,283,206,606,136,42,54,1369,655,1793,814,1433,166,91,194,5141,946,2043,1027,1277,118,150,227,5784,419,884,696,880,85,169,149,3288,220,492,584,649,86,133,192,2352,143,429,451,398,60,145,599,2230,2411,5920,3805,5453,788,759,1452,20592,0,0,0,0,0,0,119,122,0,0,0,3,0,0,125,128
IARE505002,8,51,22,85,18,7,46,237,89,269,97,268,18,0,105,857,136,243,122,283,13,8,91,906,105,176,120,269,11,19,79,762,71,109,90,250,11,15,65,615,46,91,98,331,3,20,127,719,459,943,550,1515,89,70,526,4161,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,4,8,4,0,0,19,3,0,0,3,0,0,0,11,0,4,4,0,0,3,0,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,9,10,7,19,8,3,10,66,0,0,0,27,7,4,3,41,9,73,31,65,28,7,5,213,132,386,110,167,25,10,26,852,208,371,131,175,22,28,19,953,153,241,133,128,15,34,19,717,108,154,135,115,4,44,36,598,57,129,127,91,15,36,117,570,660,1354,665,762,106,152,241,3939,0,0,0,0,0,0,8,13,0,0,0,0,0,0,16,16
IARE505003,51,281,185,330,74,14,150,1080,574,1592,553,1167,62,59,420,4426,697,1493,553,1000,29,58,400,4230,397,867,502,829,44,57,305,2997,302,542,374,888,15,57,264,2444,243,538,494,1192,17,96,478,3060,2259,5318,2684,5486,306,337,2081,18468,0,0,0,4,0,0,0,7,0,0,4,9,0,0,3,27,3,13,0,24,9,0,4,58,5,4,3,14,0,4,3,35,3,3,3,10,0,0,6,30,0,7,7,3,0,0,3,17,0,0,5,0,0,3,0,12,17,32,25,69,8,11,30,191,0,0,14,82,50,12,16,174,50,422,180,280,83,19,44,1087,902,2081,589,692,75,48,134,4524,918,1665,587,545,49,97,143,4012,551,982,542,505,54,118,114,2875,318,579,483,390,68,130,152,2119,261,538,522,313,56,183,471,2348,3001,6276,2917,2803,440,615,1081,17143,0,0,0,0,0,0,53,53,0,0,0,0,0,0,62,62
IARE505004,22,195,136,280,64,17,164,885,429,1061,478,850,69,42,444,3371,451,740,411,651,35,37,374,2705,201,411,257,609,15,45,289,1824,125,233,233,566,16,40,225,1440,97,207,193,660,9,41,335,1542,1321,2845,1725,3675,272,227,1896,11968,0,0,0,4,0,0,0,9,0,0,6,10,6,0,4,24,0,6,4,36,8,5,11,67,3,11,7,8,0,0,4,40,5,4,10,3,5,0,7,38,0,5,12,9,0,0,8,34,6,4,5,0,0,0,9,23,13,34,39,77,19,13,42,232,0,0,8,57,43,3,14,139,42,263,135,251,63,14,49,817,534,1354,473,476,45,42,127,3056,456,920,375,364,30,53,98,2299,231,441,321,269,29,63,85,1427,116,263,263,204,30,75,95,1044,77,222,211,178,31,75,366,1156,1454,3458,1793,1796,282,328,830,9934,0,0,0,0,0,0,43,43,0,0,0,0,0,0,82,82
IARE505005,97,737,377,543,158,24,320,2258,1131,2307,854,1091,93,63,686,6223,1264,2027,757,1005,48,56,508,5666,896,1481,565,1070,33,75,405,4529,590,903,489,1067,22,75,327,3469,451,927,663,1421,23,110,458,4062,4428,8388,3731,6347,486,431,2816,26620,0,0,0,4,0,5,4,13,0,0,7,18,9,0,0,34,0,11,8,29,5,0,6,57,0,14,6,17,4,0,0,42,3,0,8,10,0,0,5,28,3,0,5,5,0,0,0,14,3,0,5,4,0,0,4,16,13,32,28,77,24,4,21,200,0,6,27,164,98,8,36,341,107,867,316,399,93,29,101,1908,1438,2600,638,606,69,74,242,5656,1426,2577,834,625,54,96,202,5818,893,1630,736,588,63,135,159,4216,507,920,697,469,64,159,175,3001,329,835,711,349,76,218,579,3103,4707,9435,3963,3210,523,708,1495,24040,0,0,0,0,0,0,64,64,0,0,0,0,0,0,127,128
IARE505006,43,405,196,855,162,34,381,2079,614,1853,728,2553,117,89,771,6727,945,1815,1021,2513,80,128,764,7270,602,1192,854,2218,63,135,589,5656,415,673,586,1865,40,114,424,4120,281,502,615,1847,30,130,778,4184,2899,6444,4005,12043,640,653,3864,30554,0,0,5,3,0,0,7,17,0,15,3,26,15,0,3,56,5,23,20,46,11,3,10,116,6,9,15,22,0,0,4,69,0,9,14,16,5,3,9,50,0,11,3,6,0,0,3,30,5,3,3,0,0,3,8,26,26,74,59,129,29,16,38,364,6,0,39,238,130,22,41,471,79,640,296,680,163,53,65,1978,1133,3001,1001,1429,145,96,217,7037,1267,2807,1227,1275,127,156,259,7117,768,1568,1119,1101,122,243,248,5169,409,848,848,809,92,228,241,3481,225,546,609,437,74,220,732,2843,3880,9418,5134,5971,853,1032,1809,28093,0,0,0,0,0,0,83,85,0,3,0,3,0,0,164,173
IARE505007,21,178,50,130,38,8,71,503,300,817,194,441,16,33,270,2077,463,776,268,466,18,27,245,2264,470,676,302,430,11,34,262,2190,451,597,282,482,20,49,225,2101,457,610,388,564,22,66,430,2538,2163,3656,1497,2553,167,225,1546,11807,0,0,0,0,0,0,0,0,0,4,0,3,0,0,5,12,8,6,4,12,4,0,0,30,0,12,4,0,0,0,3,22,0,0,4,3,0,0,0,14,3,6,3,4,0,0,0,20,0,0,0,0,0,0,9,10,12,26,20,31,5,3,18,112,0,0,7,48,29,8,9,99,13,290,56,113,30,14,26,554,462,1151,213,252,23,22,58,2187,656,1066,247,209,25,35,63,2303,617,924,332,221,28,59,61,2240,569,704,381,206,26,89,96,2080,449,721,420,147,20,109,430,2301,2763,4863,1654,1193,187,335,751,11758,0,0,0,0,0,0,38,38,0,0,0,0,0,0,62,62
IARE505008,45,394,288,835,191,44,268,2074,547,1457,874,1920,139,88,753,5778,1082,1934,1035,2179,85,109,847,7273,608,1094,855,1987,61,114,721,5432,326,624,576,1742,33,98,474,3869,273,508,568,2158,31,137,753,4430,2879,6007,4215,11071,707,614,4035,29521,0,0,0,10,7,0,8,23,0,3,4,32,10,0,6,64,0,14,24,59,16,4,12,133,8,7,7,50,11,5,13,97,5,12,16,25,0,0,9,78,8,10,6,11,0,4,13,50,6,12,5,4,0,4,7,35,27,62,68,191,53,11,71,488,0,4,27,267,174,26,70,562,66,584,310,709,187,59,96,2012,992,2329,933,1267,138,112,267,6044,1260,2567,1110,1292,141,180,294,6844,563,1326,994,1091,127,238,241,4578,316,706,680,784,89,184,280,3042,164,576,588,498,72,240,898,3040,3357,8093,4641,5912,930,1040,2143,26121,0,0,0,0,0,0,135,135,0,0,0,0,0,0,153,157
IARE505009,51,710,252,910,155,49,221,2354,593,1794,631,2587,97,74,528,6299,1080,2358,1202,3002,64,134,700,8540,1267,2332,1417,2900,48,173,755,8899,992,1707,1381,3202,42,171,595,8087,828,1618,1721,3674,56,276,1031,9214,4814,10527,6637,16646,676,891,3988,44175,0,0,0,6,0,0,5,11,0,0,0,19,0,0,0,22,7,9,12,26,6,4,6,59,3,17,5,14,7,0,6,60,6,8,11,15,0,0,5,52,6,3,0,6,0,3,0,18,3,7,0,0,0,0,0,16,22,45,34,81,17,9,23,229,3,3,43,350,166,34,51,649,93,904,336,610,131,57,81,2212,967,2877,929,1246,89,107,187,6404,1647,3773,1440,1463,136,233,278,8953,1418,2957,1836,1519,115,415,337,8602,989,1917,1789,1312,158,436,406,7001,574,1579,1536,875,178,552,1233,6521,5679,14009,7909,7372,966,1839,2577,40348,0,0,0,0,0,0,71,71,0,0,0,0,0,0,91,89
IARE505010,18,142,83,379,93,18,98,820,134,394,207,1168,64,28,244,2250,276,629,433,1219,32,46,293,2929,272,564,425,1176,22,57,276,2800,209,363,331,1119,16,61,263,2371,274,567,532,1391,17,104,447,3336,1183,2657,2031,6582,326,324,1706,14814,0,0,0,5,5,0,5,14,0,0,3,11,6,5,0,27,0,3,14,25,0,0,5,55,6,4,6,20,5,5,0,39,0,10,11,14,4,0,3,44,3,5,6,4,3,4,0,24,0,0,3,0,0,0,5,9,14,31,44,79,17,9,17,210,0,0,11,143,102,12,27,299,18,196,119,287,81,16,23,742,268,821,341,689,60,39,93,2317,465,1057,519,645,69,75,107,2943,342,732,549,607,63,135,110,2546,222,500,519,439,55,132,139,2009,204,584,601,350,47,173,593,2554,1523,3901,2664,3171,476,583,1098,13409,0,0,0,0,0,0,53,53,0,0,0,0,0,0,43,42
IARE505011,8,99,58,364,97,12,105,742,124,447,301,1165,91,34,327,2503,304,659,350,1053,40,53,339,2797,97,316,297,824,23,49,256,1860,66,130,148,615,17,32,159,1162,47,88,121,565,16,32,200,1066,656,1737,1279,4665,352,216,1490,10393,0,0,0,8,0,0,3,9,0,3,9,17,10,0,5,34,0,8,7,39,10,0,4,67,0,5,9,19,7,0,3,45,3,10,3,10,3,0,0,34,0,3,9,7,0,5,0,28,0,6,0,0,0,0,4,14,12,33,35,99,25,8,17,233,0,0,5,106,62,10,25,207,23,136,117,326,89,20,47,753,314,861,414,790,115,54,88,2646,381,863,497,614,66,71,121,2608,177,392,328,427,52,121,102,1601,87,174,201,297,46,61,97,962,37,151,148,138,20,64,192,750,1015,2590,1713,2682,439,397,673,9523,0,0,0,0,0,0,54,54,0,0,0,0,0,0,52,55
