IARE_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
IARE501001,0,185,271,452,23,54,81,58,53,118,0,0,0,82,109,198,296,456,755,828,996,1827,3,5,11,1132,1460,2593,235,129,366,213,183,397,927,953,1884,1375,1262,2643,1698,1773,3467,4624,4945,9574,976,998,1975,7295,7711,15012
IARE501002,0,10,25,33,4,13,21,4,3,4,0,0,0,9,13,24,79,118,193,31,52,80,0,0,5,111,169,280,42,50,92,9,10,18,47,44,94,103,103,203,673,708,1379,228,236,467,60,52,107,957,993,1954
IARE502001,0,98,127,225,17,25,41,47,39,85,0,0,0,62,64,133,115,156,271,406,402,804,3,6,8,518,561,1082,44,40,80,76,61,142,444,365,813,559,472,1034,387,456,843,1691,1492,3183,465,385,854,2545,2334,4879
IARE502002,0,34,29,64,8,3,11,8,14,21,0,0,0,13,19,35,33,23,51,125,94,218,0,0,0,153,118,272,11,7,17,20,13,33,340,192,530,367,213,581,103,83,185,428,273,701,338,193,536,871,552,1418
IARE502003,5,150,157,308,6,14,17,105,89,192,3,0,3,112,103,216,38,52,81,770,709,1477,8,7,18,805,766,1579,18,20,31,111,104,220,397,346,747,527,469,1004,169,167,337,2381,2158,4538,433,369,808,2980,2696,5679
IARE502004,21,1041,1300,2339,60,102,159,531,686,1213,9,8,15,596,795,1392,461,612,1072,4595,5404,10000,44,49,95,5107,6060,11164,286,179,460,699,682,1386,1605,1442,3050,2591,2304,4890,1821,1906,3736,15508,16102,31608,1703,1549,3250,19039,19561,38595
IARE502005,4,234,274,506,9,12,23,134,107,242,3,0,3,147,125,274,42,69,107,1066,1000,2074,11,14,22,1120,1083,2207,6,9,19,139,119,256,575,432,1006,717,565,1281,168,196,361,3176,2955,6135,602,463,1061,3945,3611,7554
IARE502006,0,19,20,37,3,11,18,7,8,13,0,0,0,9,21,29,42,64,107,67,43,110,0,3,0,112,107,218,27,36,63,9,3,13,155,83,240,192,125,315,212,237,449,341,159,499,163,95,258,717,485,1200
IARE502007,0,33,30,66,3,0,11,13,7,27,0,0,0,22,18,38,44,22,67,135,145,283,0,0,4,185,163,353,10,8,16,29,32,61,95,89,185,134,129,264,125,84,207,577,596,1173,100,94,198,805,772,1571
IARE503001,9,419,475,896,9,17,19,192,227,417,0,3,7,198,242,449,83,98,185,1970,2141,4113,17,22,41,2070,2269,4339,39,26,70,250,209,457,799,677,1481,1090,915,2002,347,339,684,6894,6797,13686,854,742,1600,8093,7881,15970
