IARE_CODE_2021,Ow_o_Dw_s_S_Hou_HATSIP,Ow_o_Dw_s_SDRTHT_HATSIP,Ow_o_Dw_s_Fl_Ap_HATSIP,Ow_o_Dw_s_Oth_d_Car_HATSIP,Ow_o_Dw_s_Oth_d_Cab_h_HATSIP,Ow_o_Dw_s_Oth_d_IHTSO_HATSIP,Ow_o_Dw_s_Oth_d_HFASO_HATSIP,Ow_o_Dw_s_Oth_d_Tot_HATSIP,Ow_o_Dw_s_Ns_HATSIP,Ow_o_Tot_HATSIP,Ow_wm_Dw_s_S_Hou_HATSIP,Ow_wm_Dw_s_SDRTHT_HATSIP,Ow_wm_Dw_s_Fl_Ap_HATSIP,Ow_wm_Dw_s_Oth_d_Car_HATSIP,Ow_wm_Dw_s_Oth_d_Cab_h_HATSIP,Ow_wm_Dw_s_Oth_d_IHTSO_HATSIP,Ow_wm_Dw_s_Oth_d_HFASO_HATSIP,Ow_wm_Dw_s_Oth_d_Tot_HATSIP,Ow_wm_Dw_s_Ns_HATSIP,Ow_wm_Tot_HATSIP,R_RAg_Dw_s_S_Hou_HATSIP,R_RAg_Dw_s_SDRTHT_HATSIP,R_RAg_Dw_s_Fl_Ap_HATSIP,R_RAg_Dw_s_Oth_d_Car_HATSIP,R_RAg_Dw_s_Oth_d_Cab_h_HATSIP,R_RAg_Dw_s_Oth_d_IHTSO_HATSIP,R_RAg_Dw_s_Oth_d_HFASO_HATSIP,R_RAg_Dw_s_Oth_d_Tot_HATSIP,R_RAg_Dw_s_Ns_HATSIP,R_RAg_Tot_HATSIP,R_STHA_Dw_s_S_Hou_HATSIP,R_STHA_Dw_s_SDRTHT_HATSIP,R_STHA_Dw_s_Fl_Ap_HATSIP,R_STHA_Dw_s_Ot_d_Car_HATSIP,R_STHA_Dw_s_Ot_d_Cab_h_HATSIP,R_STHA_Dw_s_Ot_d_IHTSO_HATSIP,R_STHA_Dw_s_Ot_d_HFASO_HATSIP,R_STHA_Dw_s_Ot_d_Tot_HATSIP,R_STHA_Dw_s_Ns_HATSIP,R_STHA_Tot_HATSIP,R_Pnsh_Dw_s_S_Hou_HATSIP,R_Pnsh_Dw_s_SDRTHT_HATSIP,R_Pnsh_Dw_s_Fl_Ap_HATSIP,R_Pnsh_Dw_s_Ot_d_Car_HATSIP,R_Pnsh_Dw_s_Ot_d_Cab_h_HATSIP,R_Pnsh_Dw_s_Ot_d_IHTSO_HATSIP,R_Pnsh_Dw_s_Ot_d_HFASO_HATSIP,R_Pnsh_Dw_s_Oth_d_Tot_HATSIP,R_Pnsh_Dw_s_Ns_HATSIP,R_Pnsh_Tot_HATSIP,R_CHP_Dw_s_S_Hou_HATSIP,R_CHP_Dw_s_SDRTHT_HATSIP,R_CHP_Dw_s_Fl_Ap_HATSIP,R_CHP_Dw_s_Oth_d_Car_HATSIP,R_CHP_Dw_s_Oth_d_Cab_h_HATSIP,R_CHP_Dw_s_Oth_d_IHTSO_HATSIP,R_CHP_Dw_s_Oth_d_HFASO_HATSIP,R_CHP_Dw_s_Oth_d_Tot_HATSIP,R_CHP_Dw_s_Ns_HATSIP,R_CHP_Tot_HATSIP,R_othLT_Dw_s_S_Hou_HATSIP,R_othLT_Dw_s_SDRTHT_HATSIP,R_othLT_Dw_s_Fl_Ap_HATSIP,R_othLT_Dw_s_O_d_Car_HATSIP,R_othLT_Dw_s_O_d_Cab_h_HATSIP,R_othLT_Dw_s_O_d_IHTSO_HATSIP,R_othLT_Dw_s_O_d_HFASO_HATSIP,R_othLT_Dw_s_O_d_Tot_HATSIP,R_othLT_Dw_s_Ns_HATSIP,R_othLT_Tot_HATSIP,R_LTns_Dw_s_S_Hou_HATSIP,R_LTns_Dw_s_SDRTHT_HATSIP,R_LTns_Dw_s_Fl_Ap_HATSIP,R_LTns_Dw_s_Ot_d_Car_HATSIP,R_LTns_Dw_s_Ot_d_Cab_h_HATSIP,R_LTns_Dw_s_Ot_d_IHTSO_HATSIP,R_LTns_Dw_s_Ot_d_HFASO_HATSIP,R_LTns_Dw_s_Ot_d_Tot_HATSIP,R_LTns_Dw_s_Ns_HATSIP,R_LTns_Tot_HATSIP,R_Tot_Dw_s_S_Hou_HATSIP,R_Tot_Dw_s_SDRTHT_HATSIP,R_Tot_Dw_s_Fl_Ap_HATSIP,R_Tot_Dw_s_Oth_d_Car_HATSIP,R_Tot_Dw_s_Oth_d_Cab_h_HATSIP,R_Tot_Dw_s_Oth_d_IHTSO_HATSIP,R_Tot_Dw_s_Oth_d_HFASO_HATSIP,R_Tot_Dw_s_Oth_d_Tot_HATSIP,R_Tot_Dw_s_Ns_HATSIP,R_Tot_Tot_HATSIP,Oth_TT_Dw_s_S_Hou_HATSIP,Oth_TT_Dw_s_SDRTHT_HATSIP,Oth_TT_Dw_s_Fl_Ap_HATSIP,Oth_TT_Dw_s_Ot_d_Car_HATSIP,Oth_TT_Dw_s_Ot_d_Cab_h_HATSIP,Oth_TT_Dw_s_Ot_d_IHTSO_HATSIP,Oth_TT_Dw_s_Ot_d_HFASO_HATSIP,Oth_TT_Dw_s_Ot_d_Tot_HATSIP,Oth_TT_Dw_s_Ns_HATSIP,Oth_TT_Tot_HATSIP,TT_ns_Dw_s_S_Hou_HATSIP,TT_ns_Dw_s_SDRTHT_HATSIP,TT_ns_Dw_s_Fl_Ap_HATSIP,TT_ns_Dw_s_Oth_d_Car_HATSIP,TT_ns_Dw_s_Oth_d_Cab_h_HATSIP,TT_ns_Dw_s_Oth_d_IHTSO_HATSIP,TT_ns_Dw_s_Oth_d_HFASO_HATSIP,TT_ns_Dw_s_Oth_d_Tot_HATSIP,TT_ns_Dw_s_Ns_HATSIP,TT_ns_Tot_HATSIP,Tot_Dw_s_S_Hou_HATSIP,Tot_Dw_s_SDRTHT_HATSIP,Tot_Dw_s_Fl_Ap_HATSIP,Tot_Dw_s_Oth_d_Car_HATSIP,Tot_Dw_s_Oth_d_Cab_h_HATSIP,Tot_Dw_s_Oth_d_IHTSO_HATSIP,Tot_Dw_s_Oth_d_HFASO_HATSIP,Tot_Dw_s_Oth_d_Tot_HATSIP,Tot_Dw_s_Ns_HATSIP,Tot_Tot_HATSIP,Ow_o_Dw_s_S_Hou_Oth_h,Ow_o_Dw_s_SDRTHT_Oth_h,Ow_o_Dw_s_Fl_Ap_Oth_h,Ow_o_Dw_s_Oth_d_Car_Oth_h,Ow_o_Dw_s_Oth_d_Cab_h_Oth_h,Ow_o_Dw_s_Oth_d_IHTSO_Oth_h,Ow_o_Dw_s_Oth_d_HFASO_Oth_h,Ow_o_Dw_s_Oth_d_Tot_Oth_h,Ow_o_Dw_s_Ns_Oth_h,Ow_o_Tot_Oth_h,Ow_wm_Dw_s_S_Hou_Oth_h,Ow_wm_Dw_s_SDRTHT_Oth_h,Ow_wm_Dw_s_Fl_Ap_Oth_h,Ow_wm_Dw_s_Oth_d_Car_Oth_h,Ow_wm_Dw_s_Oth_d_Cab_h_Oth_h,Ow_wm_Dw_s_Oth_d_IHTSO_Oth_h,Ow_wm_Dw_s_Oth_d_HFASO_Oth_h,Ow_wm_Dw_s_Oth_d_Tot_Oth_h,Ow_wm_Dw_s_Ns_Oth_h,Ow_wm_Tot_Oth_h,R_RAg_Dw_s_S_Hou_Oth_h,R_RAg_Dw_s_SDRTHT_Oth_h,R_RAg_Dw_s_Fl_Ap_Oth_h,R_RAg_Dw_s_Oth_d_Car_Oth_h,R_RAg_Dw_s_Oth_d_Cab_h_Oth_h,R_RAg_Dw_s_Oth_d_IHTSO_Oth_h,R_RAg_Dw_s_Oth_d_HFASO_Oth_h,R_RAg_Dw_s_Oth_d_Tot_Oth_h,R_RAg_Dw_s_Ns_Oth_h,R_RAg_Tot_Oth_h,R_STHA_Dw_s_S_Hou_Oth_h,R_STHA_Dw_s_SDRTHT_Oth_h,R_STHA_Dw_s_Fl_Ap_Oth_h,R_STHA_Dw_s_Ot_d_Car_Oth_h,R_STHA_Dw_s_Ot_d_Cab_h_Oth_h,R_STHA_Dw_s_Ot_d_IHTSO_Oth_h,R_STHA_Dw_s_Ot_d_HFASO_Oth_h,R_STHA_Dw_s_Ot_d_Tot_Oth_h,R_STHA_Dw_s_Ns_Oth_h,R_STHA_Tot_Oth_h,R_Pnsh_Dw_s_S_Hou_Oth_h,R_Pnsh_Dw_s_SDRTHT_Oth_h,R_Pnsh_Dw_s_Fl_Ap_Oth_h,R_Pnsh_Dw_s_Ot_d_Car_Oth_h,R_Pnsh_Dw_s_Ot_d_Cab_h_Oth_h,R_Pnsh_Dw_s_Ot_d_IHTSO_Oth_h,R_Pnsh_Dw_s_Ot_d_HFASO_Oth_h,R_Pnsh_Dw_s_Oth_d_Tot_Oth_h,R_Pnsh_Dw_s_Ns_Oth_h,R_Pnsh_Tot_Oth_h,R_CHP_Dw_s_S_Hou_Oth_h,R_CHP_Dw_s_SDRTHT_Oth_h,R_CHP_Dw_s_Fl_Ap_Oth_h,R_CHP_Dw_s_Oth_d_Car_Oth_h,R_CHP_Dw_s_Oth_d_Cab_h_Oth_h,R_CHP_Dw_s_Oth_d_IHTSO_Oth_h,R_CHP_Dw_s_Oth_d_HFASO_Oth_h,R_CHP_Dw_s_Oth_d_Tot_Oth_h,R_CHP_Dw_s_Ns_Oth_h,R_CHP_Tot_Oth_h,R_othLT_Dw_s_S_Hou_Oth_h,R_othLT_Dw_s_SDRTHT_Oth_h,R_othLT_Dw_s_Fl_Ap_Oth_h,R_othLT_Dw_s_O_d_Car_Oth_h,R_othLT_Dw_s_O_d_Cab_h_Oth_h,R_othLT_Dw_s_O_d_IHTSO_Oth_h,R_othLT_Dw_s_O_d_HFASO_Oth_h,R_othLT_Dw_s_O_d_Tot_Oth_h,R_othLT_Dw_s_Ns_Oth_h,R_othLT_Tot_Oth_h,R_LTns_Dw_s_S_Hou_Oth_h,R_LTns_Dw_s_SDRTHT_Oth_h,R_LTns_Dw_s_Fl_Ap_Oth_h,R_LTns_Dw_s_Ot_d_Car_Oth_h,R_LTns_Dw_s_Ot_d_Cab_h_Oth_h,R_LTns_Dw_s_Ot_d_IHTSO_Oth_h,R_LTns_Dw_s_Ot_d_HFASO_Oth_h,R_LTns_Dw_s_Ot_d_Tot_Oth_h,R_LTns_Dw_s_Ns_Oth_h,R_LTns_Tot_Oth_h
IARE501001,106,4,0,0,0,0,0,5,3,120,223,11,4,0,0,0,0,0,0,230,93,33,4,0,0,0,0,0,0,136,265,132,8,0,0,0,0,0,0,408,49,8,3,0,0,0,0,0,3,62,30,20,0,0,0,0,0,0,0,56,46,8,0,4,0,0,0,4,0,56,10,3,0,0,0,0,0,0,0,11,495,206,16,4,0,0,0,8,12,731,19,0,0,4,0,0,0,4,5,31,55,22,0,0,0,8,0,8,3,82,893,239,21,10,0,9,4,26,18,1196,450,37,5,82,0,0,9,85,13,596,1018,57,8,12,0,6,3,19,0,1109,419,169,52,8,0,0,0,13,5,670,215,84,0,0,0,0,0,0,0,304,225,38,15,6,0,4,0,9,10,290,7,11,0,0,0,0,0,0,0,22,213,35,4,30,0,0,0,28,15,298,3,0,0,0,0,0,0,0,0,3
IARE501002,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,6,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,4,117,0,0,0,0,0,0,0,0,123,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,340,6,0,0,0,0,0,0,0,347,7,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,0,16,368,3,0,0,0,0,0,0,3,380,4,0,0,39,0,6,0,45,4,58,0,0,0,6,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,4,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0
IARE502001,33,0,0,0,0,0,0,3,0,40,55,0,0,0,0,0,0,0,0,58,19,5,0,0,0,0,0,0,0,21,72,34,3,0,0,0,0,0,0,103,20,4,0,0,0,0,0,0,0,27,36,10,0,0,0,0,0,0,0,52,9,0,0,3,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,150,54,5,0,0,0,0,0,0,213,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,10,247,64,5,7,0,0,0,5,0,318,377,25,0,57,0,0,0,58,5,466,299,9,0,4,0,0,0,4,0,312,63,25,5,0,0,0,0,0,0,90,51,31,5,0,0,0,0,0,0,93,105,32,0,0,0,0,4,3,3,141,0,3,24,0,0,0,0,0,0,24,98,21,4,3,0,0,0,7,4,131,0,0,4,0,0,0,0,0,0,6
IARE502002,11,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,32,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,57,3,0,0,0,0,0,0,0,60,94,0,0,12,0,0,0,10,4,105,20,0,0,0,0,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,3,28,0,0,4,0,0,0,4,4,30,0,0,0,0,0,0,0,0,0,0
IARE502003,26,0,0,0,0,0,0,0,3,33,31,0,0,0,0,0,0,0,0,35,8,0,0,0,0,0,0,0,0,8,21,0,5,0,0,0,0,0,0,24,18,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,50,0,5,0,0,0,0,0,0,58,4,0,0,0,0,0,0,0,6,7,8,0,0,0,0,0,0,0,0,8,121,3,5,0,0,0,0,0,3,135,842,29,0,34,4,0,0,51,10,931,444,3,0,6,0,0,0,5,3,469,39,13,0,0,0,0,0,0,0,57,14,4,0,0,0,0,0,0,0,20,151,10,0,0,0,0,0,3,3,169,6,0,0,0,0,0,0,0,0,13,39,5,0,6,0,0,0,6,0,46,5,0,0,0,0,0,0,0,0,3
IARE502004,152,9,0,9,0,0,0,12,0,164,362,3,0,0,0,0,0,0,0,368,251,60,9,0,0,0,0,0,0,320,131,67,14,0,0,0,0,0,4,212,141,15,4,0,0,0,0,0,0,153,30,9,0,0,0,0,0,0,0,42,23,4,0,0,0,0,0,0,0,34,4,0,0,0,0,0,0,0,0,6,581,146,30,0,0,0,0,0,4,764,9,4,0,0,0,0,0,0,0,12,53,18,3,0,0,0,0,0,3,75,1152,176,34,10,0,4,0,15,10,1391,3784,295,21,62,21,5,9,94,20,4219,4384,181,18,0,0,4,5,11,9,4603,1227,398,93,0,0,0,0,4,5,1725,164,120,24,0,0,0,0,0,0,310,904,146,20,0,0,0,0,5,0,1074,25,33,0,0,0,0,0,0,0,65,136,39,0,13,5,0,0,20,6,207,13,9,0,0,0,0,0,0,0,21
IARE502005,38,0,0,0,0,0,0,0,0,46,32,0,0,0,0,0,0,0,0,35,26,0,0,0,0,0,0,0,0,22,9,0,0,0,0,0,0,0,0,15,18,0,0,0,0,0,0,0,0,18,4,3,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,65,13,0,0,0,0,0,0,0,74,8,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,4,149,13,0,0,0,0,0,0,0,163,1161,50,4,8,12,0,0,24,17,1256,548,12,5,6,5,0,0,9,8,573,128,12,0,0,0,0,0,0,0,144,35,29,5,0,0,0,0,0,0,73,180,17,0,0,0,0,0,4,4,207,15,10,9,0,0,0,0,0,0,37,70,3,0,0,4,0,0,6,0,78,0,0,0,0,0,0,0,0,0,3
IARE502006,21,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,46,9,4,0,0,0,0,0,0,60,11,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,10,6,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,70,7,8,0,0,0,0,0,0,89,3,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,12,112,16,8,0,0,0,0,0,3,135,30,0,0,5,0,0,0,4,4,45,9,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,15,5,4,0,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0
IARE502007,11,0,0,0,0,0,0,0,7,15,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,37,3,0,3,0,0,0,0,0,40,9,3,0,3,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,3,71,6,0,4,5,0,0,9,5,88,82,0,0,70,0,0,0,70,3,161,29,7,0,8,0,0,0,7,3,46,20,0,4,0,0,0,0,0,0,29,18,0,0,0,0,0,0,0,0,23,18,4,0,4,0,0,0,6,0,25,0,4,0,3,0,0,0,3,0,12,32,5,3,16,5,0,0,22,0,63,0,3,0,0,0,0,0,5,0,4
IARE503001,43,3,0,0,0,0,0,3,0,46,87,0,0,0,0,0,0,0,0,86,28,6,0,0,0,0,0,0,0,37,22,15,0,0,0,0,0,0,0,33,32,0,3,0,0,0,0,0,0,34,3,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,3,15,6,0,0,0,0,0,0,0,0,5,106,19,3,0,0,0,0,0,5,135,12,0,0,0,0,0,0,0,0,9,16,0,0,0,0,0,0,0,0,11,259,31,3,0,0,0,0,3,7,296,1811,90,20,43,5,5,0,59,26,1997,1490,29,0,4,0,0,0,7,9,1532,367,101,22,0,0,0,0,0,0,497,116,56,7,0,0,0,0,0,0,180,487,58,7,7,0,0,4,8,7,575,8,16,26,0,0,0,0,0,0,46,146,15,5,14,4,0,0,16,0,174,10,7,3,0,0,0,0,0,0,19
IARE503002,27,0,0,0,0,0,0,0,3,32,36,0,0,0,0,0,0,0,0,36,33,3,0,0,0,0,0,0,0,34,13,0,0,0,0,0,0,0,0,13,20,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,88,6,0,0,0,0,0,0,0,98,3,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,11,166,9,0,0,0,0,0,0,4,182,375,3,0,7,0,0,0,5,6,404,355,10,0,0,0,0,0,0,0,361,146,49,11,0,0,0,0,0,0,206,10,0,0,0,0,0,0,0,0,10,95,4,0,0,0,0,0,0,0,103,0,0,5,0,0,0,0,0,0,7,27,3,0,0,0,0,0,0,3,37,3,0,0,0,0,0,0,0,0,3
IARE503003,56,3,0,0,3,0,0,3,0,60,221,8,0,0,0,0,0,0,0,234,118,29,0,0,0,0,0,0,0,147,87,64,0,0,0,0,0,0,3,148,64,6,0,0,0,0,0,4,0,66,7,0,0,0,0,0,0,0,0,10,27,4,0,0,3,0,0,7,0,34,0,0,0,0,0,0,0,0,0,0,298,95,0,0,6,0,0,4,5,407,11,0,0,0,0,0,0,0,0,11,44,16,0,0,0,0,0,0,0,60,636,122,0,0,8,0,0,12,5,776,1604,103,10,13,28,0,0,43,3,1765,3640,228,10,0,4,0,3,4,0,3886,1097,602,72,0,4,0,0,4,0,1776,190,175,11,0,0,0,0,0,0,381,514,102,5,0,0,0,0,7,3,626,0,61,0,0,0,0,0,0,0,60,209,100,11,18,53,0,0,75,7,391,6,16,0,0,0,0,0,3,0,22
