LGA_CODE_2021,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_Tot,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_Tot_Tot,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_Tot,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_Tot_Tot,C21_Se_h_NPUR_1,C21_Se_h_NPUR_2,C21_Se_h_NPUR_3,C21_Se_h_NPUR_4,C21_Se_h_NPUR_5,C21_Se_h_NPUR_6more,C21_Se_h_Tot,C21_SDRTHT1S_NPUR_1,C21_SDRTHT1S_NPUR_2,C21_SDRTHT1S_NPUR_3,C21_SDRTHT1S_NPUR_4,C21_SDRTHT1S_NPUR_5,C21_SDRTHT1S_NPUR_6mor,C21_SDRTHT1S_Tot,C21_SDRTHT2S_NPUR_1,C21_SDRTHT2S_NPUR_2,C21_SDRTHT2S_NPUR_3,C21_SDRTHT2S_NPUR_4,C21_SDRTHT2S_NPUR_5,C21_SDRTHT2S_NPUR_6mor,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_NPUR_1,C21_SDRTHT_Tot_NPUR_2,C21_SDRTHT_Tot_NPUR_3,C21_SDRTHT_Tot_NPUR_4,C21_SDRTHT_Tot_NPUR_5,C21_SDRTHT_Tot_NPUR_6mor,C21_SDRTHT_Tot_Tot,C21_F_a_1_2SB_NPUR_1,C21_F_a_1_2SB_NPUR_2,C21_F_a_1_2SB_NPUR_3,C21_F_a_1_2SB_NPUR_4,C21_F_a_1_2SB_NPUR_5,C21_F_a_1_2SB_NPUR_6mor,C21_F_a_1_2SB_Tot,C21_F_a_I_a_3SB_NPUR_1,C21_F_a_I_a_3SB_NPUR_2,C21_F_a_I_a_3SB_NPUR_3,C21_F_a_I_a_3SB_NPUR_4,C21_F_a_I_a_3SB_NPUR_5,C21_F_a_I_a_3SB_NPUR_6mor,C21_F_a_In_a_3_st_b_Tot,C21_F_a_4_8SB_NPUR_1,C21_F_a_4_8SB_NPUR_2,C21_F_a_4_8SB_NPUR_3,C21_F_a_4_8SB_NPUR_4,C21_F_a_4_8SB_NPUR_5,C21_F_a_4_8SB_NPUR_6mor,C21_F_a_4_8SB_Tot,C21_F_a_9mor_s_b_NPUR_1,C21_F_a_9mor_s_b_NPUR_2,C21_F_a_9mor_s_b_NPUR_3,C21_F_a_9mor_s_b_NPUR_4,C21_F_a_9mor_s_b_NPUR_5,C21_F_a_9m_s_b_NPUR_6mor,C21_F_a_9mor_st_bl_Tot,C21_F_a_AH_NPUR_1,C21_F_a_AH_NPUR_2,C21_F_a_AH_NPUR_3,C21_F_a_AH_NPUR_4,C21_F_a_AH_NPUR_5,C21_F_a_AH_NPUR_6mor,C21_F_a_AH_Tot,C21_F_a_Tot_NPUR_1,C21_F_a_Tot_NPUR_2,C21_F_a_Tot_NPUR_3,C21_F_a_Tot_NPUR_4,C21_F_a_Tot_NPUR_5,C21_F_a_Tot_NPUR_6mor,C21_F_a_Tot_Tot,C21_OD_CCH_NPUR_1,C21_OD_CCH_NPUR_2,C21_OD_CCH_NPUR_3,C21_OD_CCH_NPUR_4,C21_OD_CCH_NPUR_5,C21_OD_CCH_NPUR_6mor,C21_OD_CCH_Tot,C21_OD_IHTSO_NPUR_1,C21_OD_IHTSO_NPUR_2,C21_OD_IHTSO_NPUR_3,C21_OD_IHTSO_NPUR_4,C21_OD_IHTSO_NPUR_5,C21_OD_IHTSO_NPUR_6mor,C21_OD_IHTSO_Tot,C21_OD_H_f_a_s_o_NPUR_1,C21_OD_H_f_a_s_o_NPUR_2,C21_OD_H_f_a_s_o_NPUR_3,C21_OD_H_f_a_s_o_NPUR_4,C21_OD_H_f_a_s_o_NPUR_5,C21_OD_H_f_a_s_o_NPUR_6mor,C21_OD_H_f_a_s_o_Tot,C21_OD_Tot_NPUR_1,C21_OD_Tot_NPUR_2,C21_OD_Tot_NPUR_3,C21_OD_Tot_NPUR_4,C21_OD_Tot_NPUR_5,C21_OD_Tot_NPUR_6mor,C21_OD_Tot_Tot,C21_DS_ns_NPUR_1,C21_DS_ns_NPUR_2,C21_DS_ns_NPUR_3,C21_DS_ns_NPUR_4,C21_DS_ns_NPUR_5,C21_DS_ns_NPUR_6more,C21_Dwg_st_NS_Tot,C21_Tot_NPUR_1,C21_Tot_NPUR_2,C21_Tot_NPUR_3,C21_Tot_NPUR_4,C21_Tot_NPUR_5,C21_Tot_NPUR_6more,C21_Tot_Tot
LGA50080,0,0,15,121,60,9,9,0,0,202,20,25,5,7,0,0,64,3685,5060,1760,1756,794,369,13424,3376,5164,1867,1744,774,400,13322,669,226,55,31,8,0,989,65,24,10,6,0,0,103,733,248,59,29,12,4,1090,34,10,0,5,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,22,39,18,0,4,0,0,67,151,53,6,0,0,0,211,3,0,0,0,0,0,6,0,0,0,0,0,0,3,155,52,6,0,0,0,219,15,13,0,3,0,0,34,4318,5502,1936,1779,791,402,14733
LGA50210,0,0,18,54,26,3,0,0,0,87,19,18,10,6,3,0,53,5595,8993,5136,4606,1972,1161,27456,5252,8978,5373,5832,2437,1383,29258,1375,823,310,180,56,26,2760,23,16,5,10,0,0,49,1400,833,311,182,56,26,2807,86,29,13,0,0,0,136,24,17,6,3,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,7,0,6,3,38,132,60,18,7,6,3,219,155,60,0,0,0,0,214,0,0,0,0,0,0,0,3,8,0,0,0,0,13,164,64,0,0,0,0,231,11,12,0,5,3,0,31,6955,9950,5710,6029,2496,1417,32549
LGA50250,0,0,7,43,28,6,0,0,0,79,13,3,0,0,0,0,18,487,527,275,386,166,80,1913,263,410,217,282,147,48,1370,49,19,3,3,0,0,78,0,0,0,0,0,0,0,49,26,3,3,0,0,81,15,8,0,0,0,0,26,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,9,0,0,0,0,35,27,33,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,0,0,0,0,64,25,3,0,0,0,0,33,382,476,229,294,146,54,1581
LGA50280,0,0,13,52,33,11,8,0,0,103,15,12,5,6,4,3,53,1184,1829,832,794,322,86,5043,1170,2003,890,924,343,99,5441,124,33,13,8,0,0,180,50,31,11,6,4,0,100,175,70,25,12,4,0,278,20,7,4,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,24,12,4,3,0,0,41,45,21,3,14,0,0,81,5,0,0,0,0,0,10,0,0,0,0,0,0,3,49,28,3,14,0,0,92,10,16,4,3,0,0,34,1422,2130,924,959,356,99,5885
LGA50350,0,0,3,3,0,0,0,0,0,6,5,5,0,0,0,0,13,1686,1992,948,816,305,132,5888,1186,1702,903,821,265,107,4987,471,268,99,55,17,0,906,57,54,31,9,0,0,153,532,312,130,65,19,0,1061,118,56,14,0,0,0,191,27,8,0,0,0,0,32,27,20,9,0,0,0,53,0,0,0,0,0,0,0,6,0,0,0,0,0,12,180,80,23,3,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,3,5,0,5,0,0,7,1903,2098,1054,892,284,113,6350
LGA50420,0,0,15,9,0,0,0,0,0,16,29,18,9,9,5,0,70,6903,9032,4173,3579,1203,584,25480,4313,7085,3610,3321,1072,470,19872,1560,994,422,271,63,44,3353,889,714,254,147,31,18,2047,2449,1712,678,411,97,57,5399,791,438,93,42,11,0,1372,334,179,46,11,0,0,574,296,113,29,11,0,0,448,180,117,33,8,0,0,336,7,0,5,0,0,0,14,1614,849,203,72,13,0,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,4,3,0,0,0,0,9,12,6,3,5,0,0,27,8394,9647,4498,3814,1178,528,28055
LGA50490,0,0,9,6,3,3,0,0,0,18,20,13,8,7,0,3,45,4360,4952,2345,1816,751,450,14663,2887,3653,1931,1600,635,353,11064,944,595,235,163,57,30,2019,508,540,190,136,35,23,1430,1454,1132,425,297,97,51,3450,322,197,63,19,7,0,601,332,181,49,14,5,4,587,247,189,36,7,3,0,473,317,357,60,28,0,0,766,8,10,0,0,0,0,18,1217,930,210,66,13,4,2444,14,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,3,0,0,0,0,23,16,3,4,3,0,0,30,5598,5725,2571,1969,746,404,17018
LGA50560,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,204,279,82,61,19,14,665,197,282,76,54,23,7,647,9,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,0,0,0,0,0,6,11,6,0,0,0,0,12,0,0,0,0,0,0,4,213,286,82,57,28,12,676
LGA50630,0,0,0,8,6,0,0,0,0,9,0,0,0,0,0,0,3,151,231,91,105,44,17,627,135,220,86,83,39,17,577,11,8,0,0,0,0,18,0,0,0,0,0,0,0,11,8,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,151,227,82,83,39,17,599
LGA50770,0,0,4,5,4,0,0,0,0,7,0,3,0,0,0,0,0,186,273,65,74,44,15,654,180,281,69,75,44,18,667,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,188,285,69,73,44,18,677
LGA50840,0,0,0,6,4,0,0,0,0,11,0,7,0,0,0,0,9,558,774,191,193,93,44,1857,512,864,211,217,106,47,1954,42,12,0,3,0,0,58,0,0,0,0,0,0,0,42,12,0,3,0,0,58,3,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,7,10,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,3,0,0,0,16,3,0,0,0,0,0,7,571,886,212,215,106,43,2039
LGA50910,0,0,0,4,0,0,0,0,0,7,3,0,0,0,0,0,6,117,142,45,40,26,3,369,95,117,40,43,13,13,323,6,4,0,0,0,0,10,0,0,0,0,0,0,0,6,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,122,40,43,12,13,332
LGA50980,0,0,30,226,154,15,17,10,0,419,50,37,10,8,4,0,110,1292,1616,796,777,391,249,5116,713,1201,693,790,365,226,3992,241,111,49,38,20,15,479,97,89,21,8,3,0,222,337,202,67,45,27,20,701,44,43,20,17,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,47,44,20,17,0,0,124,96,81,9,13,8,4,211,12,5,5,0,6,0,24,5,10,4,0,0,0,18,115,98,22,11,11,3,258,51,36,3,7,0,0,101,1259,1579,802,870,406,249,5172
