LGA_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA50080,41,21,34,58,27,36,62,30,75,106,39,62,103,106,128,228,4,0,8,0,0,0,0,0,3,47,101,152,67,98,164,129,163,297,1331,903,2236,1698,1263,2954,1475,1033,2514,4816,4634,9456,5327,5052,10375,5344,5221,10571
LGA50210,124,104,136,239,162,181,339,86,181,264,130,280,414,230,423,653,5,0,12,8,6,15,8,3,13,148,245,392,245,422,669,391,604,999,2551,2379,4930,2788,2698,5486,2697,2312,5014,9028,9128,18163,11638,12306,23948,14626,15041,29664
LGA50250,4,5,3,5,4,8,11,13,19,35,20,21,48,8,21,29,0,0,0,0,0,0,0,0,0,14,23,35,30,30,57,19,28,39,1167,362,1526,1787,452,2241,886,487,1372,1951,1073,3026,2674,1176,3848,1577,1182,2757
LGA50280,14,3,8,12,19,16,35,18,28,51,17,36,52,34,61,90,0,0,0,0,0,0,0,0,0,24,34,66,17,43,63,48,75,124,558,463,1023,673,627,1298,766,658,1425,1715,1691,3402,2106,2102,4205,2490,2511,5002
LGA50350,21,18,17,32,20,19,37,25,40,65,24,35,58,48,59,105,0,0,0,0,0,0,0,0,0,34,50,81,44,50,94,67,78,137,501,502,998,468,478,943,485,387,873,1975,1927,3900,2067,2089,4156,2198,2144,4345
LGA50420,199,110,106,219,129,110,233,114,173,287,163,229,397,201,287,486,0,4,4,8,4,14,3,5,9,228,263,484,279,342,624,331,400,723,2434,1959,4395,2306,2309,4617,1712,1422,3139,8627,8462,17087,9283,9409,18695,9383,9261,18644
LGA50490,111,111,84,201,116,96,212,72,122,189,109,162,269,125,162,288,0,3,6,0,4,6,5,4,11,122,185,302,225,251,477,246,267,512,1878,1586,3469,2238,2024,4265,1599,1345,2943,5189,4991,10179,6294,6013,12308,6127,6153,12281
LGA50560,0,0,0,0,5,7,7,0,4,4,0,4,4,4,4,6,0,0,0,0,0,0,0,0,0,0,4,4,4,6,11,5,11,15,48,45,101,115,115,229,107,92,204,180,168,343,233,243,473,193,221,413
LGA50630,4,0,3,3,4,7,8,4,8,6,4,11,11,0,5,5,0,0,0,0,0,0,0,0,0,8,8,11,4,15,14,7,9,13,335,90,423,89,64,159,88,73,157,513,238,761,261,251,512,260,237,496
LGA50770,0,0,0,0,0,0,0,0,3,11,0,3,0,0,5,11,0,0,0,0,0,0,0,0,0,0,3,11,4,4,6,3,5,9,44,41,84,77,75,151,100,96,194,179,194,374,211,231,444,244,269,508
LGA50840,7,0,3,3,3,11,11,4,3,12,0,8,9,7,11,15,0,0,0,0,0,0,0,0,0,11,3,16,5,10,18,9,19,28,94,97,195,207,209,416,210,183,395,519,553,1070,599,670,1271,655,691,1353
LGA50910,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,32,25,53,54,74,123,49,40,88,95,108,206,116,144,252,109,117,224
LGA50980,7,7,15,22,15,14,27,20,34,54,9,32,45,20,49,67,0,0,0,5,0,6,0,0,0,18,43,64,23,50,70,32,58,97,1133,857,1993,1196,1077,2272,1245,1192,2432,2588,2555,5140,2831,2879,5707,2996,3194,6191
LGA51080,0,0,0,3,0,0,0,0,5,0,4,5,9,0,4,4,0,0,0,0,0,0,0,0,0,0,5,8,3,3,11,0,6,7,57,46,97,83,73,157,60,81,137,155,170,327,179,179,354,143,199,347
LGA51120,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,3,28,42,72,43,34,79,75,69,148,121,129,251,116,123,243,163,156,318
LGA51190,45,22,36,59,24,37,61,46,81,124,49,75,123,69,109,176,0,3,3,0,0,0,4,0,4,66,110,178,69,111,185,95,143,240,1651,1291,2947,1629,1322,2947,1589,1013,2607,4281,4256,8538,4409,4366,8777,4582,4299,8882
LGA51260,23,32,38,71,39,41,79,38,76,112,40,82,119,63,136,198,0,0,4,4,0,4,0,3,8,50,93,138,76,122,197,104,178,286,983,957,1935,1464,1477,2933,1275,1103,2380,4102,4210,8313,5201,5508,10703,5518,5660,11172
LGA51310,25,12,14,28,24,30,54,33,73,100,37,80,121,62,85,145,0,0,0,0,0,0,0,3,3,41,86,130,50,100,149,83,117,200,599,650,1250,737,703,1441,413,454,865,4090,4042,8125,4593,4470,9072,4637,4678,9316
LGA51330,256,255,192,447,281,273,556,160,263,421,194,267,458,227,335,565,10,4,13,9,3,9,9,7,10,299,394,691,450,464,915,518,616,1134,2816,2406,5221,2484,2296,4778,2127,1766,3892,14560,14057,28612,15755,14837,30592,16056,15740,31796
LGA51400,11,7,19,27,20,21,41,25,39,66,32,55,87,32,64,96,0,0,0,0,0,0,3,0,6,26,47,75,44,72,119,53,86,143,539,519,1054,564,530,1098,529,419,946,2437,2523,4958,2741,2991,5729,2850,2953,5799
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,30,33,61,25,29,54,45,46,86,63,76,133,72,65,141,72,75,145
LGA51540,8,3,0,4,4,0,5,3,10,17,5,7,9,6,5,16,0,0,0,0,0,0,0,0,0,11,16,23,12,8,20,10,9,23,408,403,814,506,435,945,511,424,933,890,938,1821,945,874,1818,912,812,1729
LGA51610,0,0,0,0,4,0,4,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,4,0,4,39,22,68,106,100,207,114,105,218,144,153,295,238,274,507,275,259,538
LGA51680,12,3,8,7,9,11,14,0,12,19,0,16,16,7,18,29,0,0,0,0,0,0,0,0,3,16,16,31,3,18,26,17,29,45,139,119,261,280,257,538,270,214,486,651,639,1287,856,870,1724,879,896,1777
