LGA_CODE_2021,C16_CFNC_BF_4000more,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_Neg_ni_inc,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_399,C16_CFNC_BPT_400_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_1249,C16_CFNC_BPT_1250_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000more,C16_CFNC_BPT_Ns,C16_CFNC_BPT_Tot,C16_CFNC_1F1P_Neg_ni_inc,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_399,C16_CFNC_1F1P_400_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_1249,C16_CFNC_1F1P_1250_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000more,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_Tot,C16_CFNC_1E1A_Neg_ni_inc,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_399,C16_CFNC_1E1A_400_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_1249,C16_CFNC_1E1A_1250_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000more,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_Tot,C16_CFNC_1F1NW_Neg_ni_inc,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_399,C16_CFNC_1F1NW_400_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_1249,C16_CFNC_1F1NW_1250_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000more,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_Neg_ni_inc,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_399,C16_CFNC_1P1NW_400_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_1249,C16_CFNC_1P1NW_1250_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000more,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_Neg_ni_inc,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_399,C16_CFNC_1A1NW_400_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_1249,C16_CFNC_1A1NW_1250_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000more,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_Tot,C16_CFNC_BA_Neg_ni_inc,C16_CFNC_BA_1_149,C16_CFNC_BA_150_399,C16_CFNC_BA_400_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_1249,C16_CFNC_BA_1250_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000more,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_Neg_ni_inc,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_399,C16_CFNC_BNW_400_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_1249,C16_CFNC_BNW_1250_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000more,C16_CFNC_BNW_Ns,C16_CFNC_BNW_Tot,C16_CFNC_LFns_Neg_ni_inc,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_399,C16_CFNC_LFns_400_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_1249,C16_CFNC_LFns_1250_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000more,C16_CFNC_LFns_Ns,C16_CFNC_LFns_Tot,C16_CFNC_Tot_Neg_ni_inc,C16_CFNC_Tot_1_149,C16_CFNC_Tot_150_399,C16_CFNC_Tot_400_649,C16_CFNC_Tot_650_799,C16_CFNC_Tot_800_1249,C16_CFNC_Tot_1250_1999,C16_CFNC_Tot_2000_2499,C16_CFNC_Tot_2500_2999,C16_CFNC_Tot_3000_3999,C16_CFNC_Tot_4000more,C16_CFNC_Tot_Ns,C16_CFNC_Tot_Tot,C16_CFC_BFT_Neg_ni_inc,C16_CFC_BFT_1_149,C16_CFC_BFT_150_399,C16_CFC_BFT_400_649,C16_CFC_BFT_650_799,C16_CFC_BFT_800_1249,C16_CFC_BFT_1250_1999,C16_CFC_BFT_2000_2499,C16_CFC_BFT_2500_2999,C16_CFC_BFT_3000_3999,C16_CFC_BFT_4000more,C16_CFC_BFT_Ns,C16_CFC_BFT_Tot,C16_CFC_BPT_Neg_ni_inc,C16_CFC_BPT_1_149,C16_CFC_BPT_150_399,C16_CFC_BPT_400_649,C16_CFC_BPT_650_799,C16_CFC_BPT_800_1249,C16_CFC_BPT_1250_1999,C16_CFC_BPT_2000_2499,C16_CFC_BPT_2500_2999,C16_CFC_BPT_3000_3999,C16_CFC_BPT_4000more,C16_CFC_BPT_Ns,C16_CFC_BPT_Tot,C16_CFC_1F1P_Neg_ni_inc,C16_CFC_1F1P_1_149,C16_CFC_1F1P_150_399,C16_CFC_1F1P_400_649,C16_CFC_1F1P_650_799,C16_CFC_1F1P_800_1249,C16_CFC_1F1P_1250_1999,C16_CFC_1F1P_2000_2499,C16_CFC_1F1P_2500_2999,C16_CFC_1F1P_3000_3999,C16_CFC_1F1P_4000more,C16_CFC_1F1P_Ns,C16_CFC_1F1P_Tot,C16_CF_1E1A_Neg_ni_inc,C16_CF_1E1A_1_149,C16_CF_1E1A_150_399,C16_CF_1E1A_400_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_1249,C16_CF_1E1A_1250_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000more,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot,C16_CF_1F1NW_Neg_ni_inc,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_399,C16_CF_1F1NW_400_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_1249,C16_CF_1F1NW_1250_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000more,C16_CF_1F1NW_Ns,C16_CF_1F1NW_Tot,C16_CF_1P1NW_Neg_ni_inc,C16_CF_1P1NW_1_149
LGA50080,68,8,730,0,0,0,23,17,74,67,30,15,10,11,4,264,5,0,0,6,8,69,211,102,70,55,34,11,572,0,0,0,0,4,6,32,21,10,13,13,4,107,4,0,8,7,23,87,133,51,16,21,19,9,370,4,6,17,50,61,113,76,18,6,3,7,9,362,0,0,0,6,5,12,17,6,0,5,0,4,48,0,0,0,0,4,11,11,4,4,6,5,3,49,30,23,32,207,492,365,196,33,20,9,17,85,1514,0,0,0,3,9,7,3,5,0,0,0,282,311,41,36,54,305,624,778,934,454,268,253,158,425,4323,0,0,0,5,4,18,81,119,107,123,88,60,609,0,0,0,4,5,37,66,42,18,12,6,16,207,0,0,0,9,4,101,344,233,210,152,104,70,1227,0,0,0,0,0,5,39,29,29,22,18,15,160,0,0,5,10,10,115,235,87,43,51,28,44,624,0,0
LGA50210,153,31,1733,0,0,0,10,18,78,88,36,10,10,7,6,264,0,0,0,3,6,86,369,210,153,95,60,22,999,0,0,0,0,0,10,41,33,33,39,14,7,183,0,0,4,16,38,229,323,150,45,54,27,32,919,3,11,21,63,64,168,99,26,10,3,14,8,484,3,0,0,8,3,26,29,12,3,4,0,11,106,0,0,0,0,0,3,13,5,3,8,0,3,53,101,46,44,277,659,513,228,43,15,20,21,91,2054,4,0,0,0,10,7,9,0,0,5,0,538,573,119,60,68,377,803,1145,1492,995,644,605,303,745,7368,3,3,0,4,8,14,187,359,322,396,342,135,1762,0,0,0,4,8,57,122,61,34,21,20,22,360,0,0,0,3,11,123,713,589,467,377,289,160,2730,0,0,0,0,3,26,77,73,69,94,58,31,426,3,0,0,31,59,433,949,513,133,233,102,92,2560,0,7
LGA50250,91,0,202,0,0,0,0,0,4,0,0,5,5,0,0,15,0,0,0,0,0,0,11,16,18,17,16,0,77,0,0,0,0,0,0,0,0,9,0,6,0,13,0,0,0,0,0,0,14,26,9,9,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,9,4,18,3,0,0,7,6,3,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,0,46,47,3,0,6,11,3,11,41,58,58,96,120,56,464,0,0,0,0,0,0,5,15,17,40,69,17,169,0,0,0,0,0,0,0,0,9,6,4,3,17,0,0,0,0,0,4,8,25,45,29,66,14,189,0,0,0,0,0,0,4,3,6,13,19,7,57,0,0,0,0,0,7,24,87,9,50,30,8,221,0,0
LGA50280,15,3,268,0,0,0,10,13,34,59,16,4,0,7,4,146,0,0,0,3,6,26,97,50,32,20,14,4,249,0,0,0,0,0,8,15,6,10,7,6,7,57,0,0,0,5,7,27,35,9,3,9,4,0,96,0,0,6,15,22,34,23,7,7,3,0,4,123,0,0,0,0,0,5,3,7,0,0,0,0,22,0,0,0,0,0,5,14,9,4,0,6,0,30,19,3,12,45,112,105,75,21,6,10,5,18,435,0,0,0,6,5,0,3,0,0,0,0,135,145,30,12,21,88,166,259,374,201,104,85,51,175,1572,0,0,0,4,3,6,39,34,32,35,26,28,218,0,0,0,3,8,31,39,14,14,0,3,9,134,0,0,0,3,8,52,180,86,66,56,40,45,542,0,0,0,3,0,3,20,17,6,11,9,0,74,0,0,0,5,3,51,86,35,9,15,8,7,225,0,0
LGA50350,44,8,368,0,0,0,0,0,9,14,9,7,0,4,0,52,0,0,0,0,3,12,75,44,42,30,18,5,237,0,0,0,0,0,3,3,6,9,3,0,0,31,0,0,0,0,8,32,59,42,11,10,14,8,188,0,0,0,18,12,38,21,7,5,4,0,0,105,0,0,0,0,5,4,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,10,31,8,11,67,133,98,49,18,0,5,5,22,440,0,0,0,0,0,0,0,0,0,0,0,108,109,30,6,18,86,165,215,287,199,158,162,84,144,1552,0,0,0,0,0,5,33,39,49,71,72,29,302,0,0,0,0,0,9,25,12,9,7,6,3,74,0,0,0,3,0,17,98,103,99,92,88,34,531,0,0,0,0,0,0,9,11,18,25,15,4,85,0,0,0,3,0,49,98,77,31,41,28,23,348,0,0
LGA50420,330,28,1835,0,0,0,19,31,105,94,35,15,16,3,0,320,0,0,0,10,13,74,337,174,168,124,100,7,1008,0,0,0,0,4,9,28,25,39,41,23,6,178,6,0,4,21,42,185,226,129,47,69,46,17,785,4,3,37,64,76,157,97,21,16,8,16,9,498,0,0,0,8,8,24,13,8,6,4,0,5,71,4,0,0,0,4,6,13,7,0,15,3,9,61,95,33,48,294,596,460,233,51,11,26,12,81,1936,0,0,0,8,11,3,9,4,0,0,0,559,590,106,47,91,418,783,1047,1244,828,657,787,540,728,7277,3,0,0,4,0,29,109,209,194,333,347,91,1327,0,0,0,3,3,57,87,44,38,24,31,30,310,0,0,4,5,10,86,403,388,367,382,370,86,2098,0,0,0,0,0,15,46,46,47,85,60,20,318,7,3,5,21,48,246,453,287,91,180,131,63,1525,0,3
LGA50490,147,14,1089,0,0,0,16,26,67,51,14,3,0,9,0,182,0,0,0,0,3,51,186,121,74,50,36,10,530,0,0,0,6,0,0,23,22,13,21,9,4,90,0,0,0,16,30,116,120,77,30,37,20,8,459,0,0,20,41,32,80,56,14,4,0,5,8,269,0,5,0,12,0,9,7,5,0,5,0,0,41,0,0,0,0,0,0,8,5,8,3,4,0,24,58,23,25,138,305,190,85,17,11,7,10,49,905,0,0,0,0,0,0,6,5,0,0,0,344,359,66,27,46,227,399,538,710,522,358,382,244,439,3956,0,0,0,0,0,8,70,107,92,179,128,43,622,0,0,0,4,3,26,35,15,16,9,3,11,132,0,0,0,3,6,36,218,171,155,139,101,39,878,0,0,0,0,0,6,28,27,18,37,21,4,141,0,0,0,17,29,168,283,159,58,82,44,38,874,0,0
LGA50560,4,0,41,0,0,0,0,5,3,6,3,0,0,0,0,12,0,0,0,5,0,4,6,10,0,5,0,0,31,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,7,3,0,0,0,3,0,17,0,0,0,3,0,5,6,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,14,38,18,9,3,0,3,0,11,102,0,0,0,0,0,0,0,0,0,0,0,17,24,3,3,0,26,50,45,50,26,8,12,11,29,262,0,0,0,0,0,6,5,4,3,4,0,7,24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,14,4,15,0,5,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,0,0,0,0,0,25,0,0
LGA50630,8,0,34,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,7,8,3,0,0,33,0,0,0,0,0,0,6,0,0,4,0,0,7,0,0,0,0,0,4,12,6,3,4,6,0,32,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,8,6,13,6,0,0,0,0,4,45,0,0,0,0,0,0,0,0,0,0,0,5,5,9,0,4,14,10,15,39,18,19,26,22,16,190,0,0,0,0,0,0,0,4,5,8,11,7,31,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,5,8,12,10,11,10,11,55,0,0,0,0,0,0,0,0,0,4,0,3,19,0,0,0,0,0,3,16,13,5,12,0,4,55,0,0
LGA50770,8,4,50,0,0,0,0,0,9,10,4,0,0,3,0,22,0,0,0,0,0,5,8,4,8,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,7,8,0,0,0,0,24,0,0,0,0,4,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,7,4,0,3,7,21,11,8,3,0,6,0,3,72,0,0,0,0,0,0,0,0,0,0,0,16,23,4,0,3,19,36,39,45,31,13,8,16,25,246,0,0,0,0,0,4,5,0,10,8,4,4,30,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,6,12,12,4,0,11,57,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,5,12,0,0,0,0,0,28,0,0
