LGA_CODE_2021,C16_M_25_29_Tot_LF,C16_M_25_29_Not_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Not_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Not_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS,C16_M_40_44_Em_Tot,C16_M_40_44_Unem_Look_FT,C16_M_40_44_Unem_Look_PT,C16_M_40_44_Unem_Tot,C16_M_40_44_Tot_LF,C16_M_40_44_Not_LF,C16_M_40_44_LF_NS,C16_M_40_44_Tot,C16_M_45_49_Em_FT,C16_M_45_49_Em_PT,C16_M_45_49_Em_AFW,C16_M_45_49_Em_Hrs_NS,C16_M_45_49_Em_Tot,C16_M_45_49_Unem_Look_FT,C16_M_45_49_Unem_Look_PT,C16_M_45_49_Unem_Tot,C16_M_45_49_Tot_LF,C16_M_45_49_Not_LF,C16_M_45_49_LF_NS,C16_M_45_49_Tot,C16_M_50_54_Em_FT,C16_M_50_54_Em_PT,C16_M_50_54_Em_AFW,C16_M_50_54_Em_Hrs_NS,C16_M_50_54_Em_Tot,C16_M_50_54_Unem_Look_FT,C16_M_50_54_Unem_Look_PT,C16_M_50_54_Unem_Tot,C16_M_50_54_Tot_LF,C16_M_50_54_Not_LF,C16_M_50_54_LF_NS,C16_M_50_54_Tot,C16_M_55_59_Em_FT,C16_M_55_59_Em_PT,C16_M_55_59_Em_AFW,C16_M_55_59_Em_Hrs_NS,C16_M_55_59_Em_Tot,C16_M_55_59_Unem_Look_FT,C16_M_55_59_Unem_Look_PT,C16_M_55_59_Unem_Tot,C16_M_55_59_Tot_LF,C16_M_55_59_Not_LF,C16_M_55_59_LF_NS,C16_M_55_59_Tot,C16_M_60_64_Em_FT,C16_M_60_64_Em_PT,C16_M_60_64_Em_AFW,C16_M_60_64_Em_Hrs_NS,C16_M_60_64_Em_Tot,C16_M_60_64_Unem_Look_FT,C16_M_60_64_Unem_Look_PT,C16_M_60_64_Unem_Tot,C16_M_60_64_Tot_LF,C16_M_60_64_Not_LF,C16_M_60_64_LF_NS,C16_M_60_64_Tot,C16_M_65_69_Em_FT,C16_M_65_69_Em_PT,C16_M_65_69_Em_AFW,C16_M_65_69_Em_Hrs_NS,C16_M_65_69_Em_Tot,C16_M_65_69_Unem_Look_FT,C16_M_65_69_Unem_Look_PT,C16_M_65_69_Unem_Tot,C16_M_65_69_Tot_LF,C16_M_65_69_Not_LF,C16_M_65_69_LF_NS,C16_M_65_69_Tot,C16_M_70_74_Em_FT,C16_M_70_74_Em_PT,C16_M_70_74_Em_AFW,C16_M_70_74_Em_Hrs_NS,C16_M_70_74_Em_Tot,C16_M_70_74_Unem_Look_FT,C16_M_70_74_Unem_Look_PT,C16_M_70_74_Unem_Tot,C16_M_70_74_Tot_LF,C16_M_70_74_Not_LF,C16_M_70_74_LF_NS,C16_M_70_74_Tot,C16_M_75over_Em_FT,C16_M_75over_Em_PT,C16_M_75over_Em_AFW,C16_M_75over_Em_Hrs_NS,C16_M_75over_Em_Tot,C16_M_75over_Unem_Lo_ft_wor,C16_M_75over_Unem_Lo_pt_wor,C16_M_75over_Unempl_Tot,C16_M_75over_Tot_LF,C16_M_75over_Not_LF,C16_M_75over_LF_NS,C16_M_75over_Tot,C16_M_Tot_Em_FT,C16_M_Tot_Em_PT,C16_M_Tot_Em_AFW,C16_M_Tot_Em_Hrs_NS,C16_M_Tot_Em_Tot,C16_M_Tot_Unem_Look_FT,C16_M_Tot_Unem_Look_PT,C16_M_Tot_Unem_Tot,C16_M_Tot_Tot_labo_for,C16_M_Tot_Not_LF,C16_M_Tot_LF_NS,C16_M_Tot_Tot,C21_M_15_19_Em_FT,C21_M_15_19_Em_PT,C21_M_15_19_Em_AFW,C21_M_15_19_Em_Hrs_NS,C21_M_15_19_Em_Tot,C21_M_15_19_Unem_Look_FT,C21_M_15_19_Unem_Look_PT,C21_M_15_19_Unem_Tot,C21_M_15_19_Tot_LF,C21_M_15_19_Not_LF,C21_M_15_19_LF_NS,C21_M_15_19_Tot,C21_M_20_24_Em_FT,C21_M_20_24_Em_PT,C21_M_20_24_Em_AFW,C21_M_20_24_Em_Hrs_NS,C21_M_20_24_Em_Tot,C21_M_20_24_Unem_Look_FT,C21_M_20_24_Unem_Look_PT,C21_M_20_24_Unem_Tot,C21_M_20_24_Tot_LF,C21_M_20_24_Not_LF,C21_M_20_24_LF_NS,C21_M_20_24_Tot,C21_M_25_29_Em_FT,C21_M_25_29_Em_PT,C21_M_25_29_Em_AFW,C21_M_25_29_Em_Hrs_NS,C21_M_25_29_Em_Tot,C21_M_25_29_Unem_Look_FT,C21_M_25_29_Unem_Look_PT,C21_M_25_29_Unem_Tot,C21_M_25_29_Tot_LF,C21_M_25_29_Not_LF,C21_M_25_29_LF_NS,C21_M_25_29_Tot,C21_M_30_34_Em_FT,C21_M_30_34_Em_PT,C21_M_30_34_Em_AFW,C21_M_30_34_Em_Hrs_NS,C21_M_30_34_Em_Tot,C21_M_30_34_Unem_Look_FT,C21_M_30_34_Unem_Look_PT,C21_M_30_34_Unem_Tot,C21_M_30_34_Tot_LF,C21_M_30_34_Not_LF,C21_M_30_34_LF_NS,C21_M_30_34_Tot,C21_M_35_39_Em_FT,C21_M_35_39_Em_PT,C21_M_35_39_Em_AFW,C21_M_35_39_Em_Hrs_NS,C21_M_35_39_Em_Tot,C21_M_35_39_Unem_Look_FT,C21_M_35_39_Unem_Look_PT,C21_M_35_39_Unem_Tot,C21_M_35_39_Tot_LF,C21_M_35_39_Not_LF,C21_M_35_39_LF_NS,C21_M_35_39_Tot,C21_M_40_44_Em_FT,C21_M_40_44_Em_PT,C21_M_40_44_Em_AFW,C21_M_40_44_Em_Hrs_NS
LGA50080,768,180,60,1003,524,109,31,17,684,36,10,42,721,143,79,945,579,113,23,10,724,38,6,41,761,140,44,945,680,124,30,16,857,35,7,47,896,121,66,1082,711,157,41,22,928,22,11,29,963,163,68,1203,679,159,47,11,899,23,10,32,929,171,53,1157,649,194,43,10,899,29,14,44,947,217,102,1257,423,222,60,10,711,22,17,38,752,361,83,1186,200,167,23,11,393,0,4,6,400,695,87,1188,39,75,13,4,129,0,5,5,134,641,54,827,24,52,8,10,97,0,0,0,98,1275,156,1530,5771,1932,370,157,8230,358,162,514,8746,4809,962,14520,256,378,14,15,665,31,56,91,751,454,59,1260,450,184,15,23,669,33,15,43,712,149,49,913,547,130,35,9,723,33,20,50,776,186,68,1029,652,132,30,15,829,24,15,39,870,173,83,1125,616,134,40,18,800,21,9,24,823,141,63,1035,623,135,30,8
LGA50210,2713,227,225,3171,2426,327,83,48,2890,194,25,214,3101,219,217,3534,2119,286,70,44,2518,147,24,176,2690,206,215,3119,1733,254,60,42,2093,133,14,148,2238,230,179,2649,1619,240,51,35,1947,131,18,154,2097,232,143,2471,1513,208,73,27,1823,108,7,118,1939,256,161,2352,1188,235,58,26,1503,102,21,121,1624,324,133,2076,748,233,59,14,1054,92,24,117,1171,502,124,1793,250,180,32,6,470,12,13,27,502,1057,116,1668,57,94,4,3,155,0,7,7,157,836,86,1084,27,48,3,8,80,0,0,0,86,1306,200,1589,15126,3519,642,386,19664,1489,436,1924,21593,6853,2059,30503,367,694,41,21,1125,90,185,271,1397,1174,154,2721,1187,665,59,42,1949,139,76,208,2164,356,152,2667,1785,400,106,72,2366,162,40,204,2574,283,219,3080,2497,388,80,66,3037,124,25,149,3181,231,217,3631,3046,421,100,56,3624,108,19,124,3748,236,261,4243,2490,307,89,38
LGA50250,908,14,246,1173,963,40,66,16,1082,11,0,11,1093,15,274,1377,817,59,64,14,957,13,0,13,970,21,259,1245,759,61,58,15,899,3,0,9,906,17,231,1156,684,45,46,10,782,7,0,11,789,20,196,1012,612,36,57,10,712,5,0,7,715,13,176,910,450,21,34,8,512,0,0,5,515,18,116,641,220,23,17,10,272,0,0,4,271,16,79,371,62,8,8,0,78,0,0,0,78,11,17,113,12,0,0,0,9,0,0,0,9,5,4,28,0,0,0,0,0,0,0,0,0,17,4,15,5610,365,422,101,6505,75,11,82,6589,248,1688,8523,25,27,3,0,63,0,0,8,66,49,30,138,108,18,6,4,135,9,3,9,148,11,55,216,211,9,16,9,240,4,0,4,248,12,87,345,305,25,38,9,380,0,0,0,381,13,114,505,305,20,30,15,377,0,0,0,376,7,121,503,250,21,23,7
LGA50280,296,24,38,356,272,74,31,6,376,10,3,18,391,23,37,451,365,76,24,12,477,18,4,24,494,36,54,581,334,105,25,9,470,21,0,17,488,44,54,582,301,82,38,5,430,18,8,28,456,41,51,548,247,78,10,8,352,19,4,23,374,45,36,457,225,101,21,4,345,13,4,16,364,61,43,465,120,94,32,6,256,11,3,8,268,157,33,463,62,69,7,0,134,6,6,7,146,224,25,396,25,27,5,0,63,0,0,0,65,168,22,253,12,18,5,4,42,0,0,0,42,288,28,358,2300,968,235,69,3577,136,50,189,3759,1284,461,5504,55,141,15,11,225,8,13,22,250,151,34,434,116,69,14,0,203,6,7,14,217,26,22,260,185,75,18,6,284,9,0,11,290,23,49,363,284,80,30,18,406,6,0,6,417,28,52,492,352,73,33,0,468,10,3,8,478,33,69,576,389,97,34,6
LGA50350,442,47,31,514,364,73,12,10,463,33,0,36,504,39,33,575,362,53,17,5,437,27,3,37,470,38,31,540,372,54,9,4,437,26,6,31,468,57,37,563,377,57,16,8,455,24,0,20,480,58,35,571,296,62,12,0,368,25,9,30,403,59,27,488,272,45,13,7,331,18,4,21,351,60,31,451,168,51,11,0,230,27,8,34,262,119,28,408,66,51,5,4,133,3,0,9,139,210,25,366,13,20,0,0,34,0,0,0,34,173,16,223,3,13,0,0,19,0,0,0,15,386,36,440,2800,753,116,70,3728,267,98,368,4101,1532,360,5988,45,120,6,0,173,9,20,32,200,168,16,386,172,147,12,3,331,18,12,30,361,65,39,459,277,93,8,5,382,23,5,28,406,41,45,492,417,65,20,3,509,13,9,23,533,44,38,620,419,71,12,5,507,18,6,19,525,46,42,615,347,70,13,8
LGA50420,2476,221,201,2901,2136,366,54,39,2597,144,24,166,2766,172,201,3148,1778,268,51,41,2134,111,15,128,2256,169,183,2609,1561,261,40,38,1891,121,21,136,2033,179,145,2351,1432,223,39,29,1723,121,16,137,1852,194,143,2187,1313,243,39,15,1608,107,11,118,1730,218,117,2067,1073,223,42,21,1356,91,20,113,1472,295,135,1899,716,246,49,13,1023,85,22,114,1140,501,110,1753,270,200,25,14,503,11,12,22,522,926,109,1556,63,82,12,5,157,8,6,12,171,897,81,1152,18,49,5,4,75,0,5,5,76,1678,260,2013,12944,3772,425,338,17484,1090,457,1551,19030,6592,1891,27521,142,537,22,8,709,41,116,155,865,707,62,1633,745,761,55,34,1596,76,62,138,1732,271,112,2124,1570,508,41,66,2181,75,48,122,2304,194,156,2649,2099,421,68,51,2636,73,19,90,2729,192,182,3099,2102,345,73,31,2547,70,13,85,2631,184,158,2987,1670,289,51,38
LGA50490,1791,189,274,2255,1338,262,49,43,1688,91,22,116,1802,152,252,2212,1021,171,36,17,1247,92,12,99,1340,147,168,1655,862,125,20,17,1030,73,11,88,1114,134,147,1393,769,103,22,19,908,82,13,88,999,143,125,1273,643,128,36,19,825,58,12,65,888,127,107,1129,541,113,21,4,686,73,9,78,769,196,108,1076,332,111,23,13,473,50,21,73,542,246,95,889,130,80,12,7,224,14,6,21,242,434,78,751,29,47,7,0,86,0,4,3,89,402,55,547,17,24,4,0,42,0,0,0,44,874,155,1069,7567,2156,334,212,10259,748,256,1010,11270,3786,1852,16909,102,272,15,4,390,21,57,81,470,442,54,962,595,452,20,34,1099,55,50,100,1202,206,132,1545,1247,392,41,50,1730,80,24,102,1832,152,169,2160,1395,323,47,49,1811,46,18,65,1876,158,162,2199,1286,213,55,35,1584,46,12,57,1647,138,162,1937,964,162,32,21
LGA50560,19,3,3,30,28,3,0,0,38,0,0,0,37,0,9,44,22,0,0,4,28,4,5,8,31,0,10,43,29,3,4,0,32,0,0,0,32,3,6,40,31,3,4,0,40,0,0,0,44,12,10,65,31,10,4,0,45,0,0,0,42,10,3,58,34,12,4,0,45,0,0,0,45,21,8,76,38,12,0,0,49,3,0,3,55,26,11,95,14,7,5,0,25,0,0,0,25,45,4,74,3,8,0,0,15,0,0,0,15,49,11,73,4,4,0,0,15,0,0,0,14,72,16,97,272,75,18,9,365,26,3,27,396,268,92,755,13,3,0,0,17,0,0,0,17,19,11,39,6,0,6,0,11,4,0,4,15,8,3,22,15,6,0,0,16,3,0,3,23,0,8,34,16,7,0,0,22,0,4,5,28,8,4,33,24,0,0,0,31,0,4,4,33,6,8,48,19,6,0,0
LGA50630,34,8,3,50,58,3,3,0,66,7,0,7,72,3,8,84,45,6,7,0,55,0,0,4,59,5,8,76,49,3,6,0,62,6,0,6,66,3,7,75,43,3,4,0,54,4,0,4,60,7,4,71,54,3,4,0,63,0,0,3,64,8,7,84,38,4,0,4,53,0,0,3,51,10,4,67,34,3,8,0,45,0,0,0,45,14,3,69,9,9,0,0,17,0,0,0,17,26,7,44,3,0,0,0,9,0,0,0,9,23,5,37,0,5,0,0,10,0,0,0,10,25,8,44,393,49,36,19,506,17,10,28,533,162,70,763,8,4,0,0,9,0,0,0,9,14,3,28,19,3,0,0,17,3,0,3,21,5,0,30,24,3,3,0,32,4,0,4,31,4,3,41,23,3,4,0,31,0,0,0,34,7,10,48,30,10,3,0,42,0,0,0,42,4,5,52,36,3,0,0
LGA50770,21,5,0,19,22,6,4,0,31,0,0,0,32,4,0,29,38,3,0,5,48,3,0,3,48,0,3,54,40,6,7,0,51,0,0,0,53,3,3,61,31,7,0,0,43,0,0,0,45,3,4,54,42,7,0,0,56,0,0,0,56,20,13,81,41,10,0,0,53,0,0,3,55,16,10,81,24,9,0,0,39,5,3,3,42,24,10,73,19,18,0,0,33,0,0,0,33,26,5,65,12,3,0,0,19,0,0,0,19,36,3,53,11,6,0,0,17,0,0,0,17,50,9,77,309,75,23,7,416,14,5,20,438,202,54,694,4,8,0,0,16,0,3,3,19,13,0,32,15,4,9,0,31,3,0,3,30,5,5,36,24,0,0,0,29,0,0,0,26,0,4,37,11,5,0,0,15,0,0,0,15,5,0,24,34,3,0,5,41,0,0,0,41,3,4,44,30,8,0,0
