LGA_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
LGA55880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,14,0,14,16,0,43,0,4,0,0,4,0,4,0,0,0,0,6,0,3,0,3,0,0,0,0,10,0,5,3,6,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,10,5,10,12,0,40
LGA55950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,13,12,0,45,0,0,0,0,0,0,3,0,0,3,0,0,0,11,0,0,0,0,0,0,3,0,0,5,3,0,0,10,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,11,7,11,15,5,51
LGA56090,0,0,4,0,0,0,4,0,0,4,9,12,11,19,10,0,67,676,140,29,584,45,11,1493,0,7,5,6,0,0,25,0,5,0,3,0,0,11,0,54,0,24,3,0,87,6,21,17,29,8,0,79,14,4,0,32,3,0,56,44,8,0,64,7,0,127,144,7,0,140,8,0,296,270,4,6,151,16,0,445,141,0,0,56,0,0,195,54,0,0,17,0,0,68,17,0,0,0,0,0,18,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,19,9,7,43,15,4,87,711,129,29,572,58,8,1510
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,15,0,0,7,0,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,7,0,16,0,9,9,4,14,0,34
LGA56230,0,0,7,6,0,0,0,0,0,3,9,6,0,13,12,0,41,607,77,20,395,99,4,1203,0,4,0,9,4,0,11,0,3,0,0,9,0,11,0,10,5,26,4,0,54,15,14,7,32,11,0,84,19,8,0,54,13,3,103,71,5,3,77,16,0,171,260,3,0,118,13,4,404,193,0,0,79,14,0,292,44,0,0,14,3,0,63,5,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,5,9,9,4,31,10,4,60,624,64,24,442,112,8,1277
LGA56300,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,9,55,7,0,36,16,0,113,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,4,0,0,15,4,0,0,7,3,0,13,3,4,6,6,7,0,24,21,0,5,10,5,0,41,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,8,0,13,49,8,8,29,19,0,125
LGA56370,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,11,12,29,13,0,61,0,4,0,0,6,0,7,0,0,0,0,0,0,9,0,0,7,0,0,0,15,0,0,0,4,0,0,8,0,4,0,6,3,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,3,11,5,21,18,0,62
LGA56460,0,0,0,0,0,0,0,0,0,0,5,9,0,6,10,0,35,169,123,21,157,64,4,542,0,0,0,0,0,0,3,5,4,0,0,5,0,13,0,46,6,14,4,0,71,8,23,9,16,6,0,56,23,20,0,36,8,0,91,58,23,5,43,11,0,136,48,13,3,40,9,0,104,28,7,0,11,0,0,49,5,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,4,10,3,0,27,174,132,32,171,42,12,552
LGA56580,0,0,78,174,0,0,47,0,3,229,10,9,5,21,11,3,58,858,142,45,343,103,8,1500,0,4,0,0,0,0,8,0,3,0,0,0,0,8,0,64,3,11,4,0,84,0,25,18,14,5,5,64,4,7,4,8,6,0,23,9,16,5,19,80,0,120,37,7,4,18,38,0,105,149,4,12,40,14,0,219,135,5,7,55,3,0,209,106,0,0,39,5,0,152,106,0,0,31,0,0,142,108,0,0,19,5,0,133,77,0,0,18,0,0,96,217,0,0,31,0,0,247,17,9,0,23,8,0,57,980,131,60,327,165,6,1663
LGA56620,0,0,0,0,0,0,0,0,0,0,0,60,0,0,17,0,78,0,251,11,0,28,0,294,0,132,25,0,11,3,177,0,46,3,0,0,0,51,0,17,0,0,0,0,17,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,4,21,5,49,0,221,28,4,31,7,294
