LGA_CODE_2021,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Total,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1PF_NDC_UR_1,C11_1PF_NDC_UR_2,C11_1PF_NDC_UR_3,C11_1PF_NDC_UR_4mo,C11_1PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1PF_NDC_UR_1,C16_1PF_NDC_UR_2,C16_1PF_NDC_UR_3,C16_1PF_NDC_UR_4mo,C16_1PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot,C21_CFC_SMS_MRM_NDC_UR_1,C21_CFC_SMS_MRM_NDC_UR_2,C21_CFC_SMS_MRM_NDC_UR_3,C21_CFC_SMS_MRM_NDC_UR_4mo,C21_CFC_SMS_MRM_NDC_UR_Tot,C21_CFC_SMS_M_DfM_NDC_UR_1,C21_CFC_SMS_M_DfM_NDC_UR_2,C21_CFC_SMS_M_DfM_NDC_UR_3,C21_CFC_SMS_M_DfM_NDC_UR_4mo,C21_CFC_SMS_M_DfM_NDC_UR_Tot,C21_CFC_SMS_Tot_NDC_UR_1,C21_CFC_SMS_Tot_NDC_UR_2,C21_CFC_SMS_Tot_NDC_UR_3,C21_CFC_SMS_Tot_NDC_UR_4mo,C21_CFC_SMS_Tot_NDC_UR_Tot,C21_1PF_NDC_UR_1,C21_1PF_NDC_UR_2,C21_1PF_NDC_UR_3,C21_1PF_NDC_UR_4mo,C21_1PF_NDC_UR_Tot,C21_Tot_NDC_UR_1,C21_Tot_NDC_UR_2,C21_Tot_NDC_UR_3,C21_Tot_NDC_UR_4mo,C21_Tot_NDC_UR_Tot
LGA50080,771,1049,429,179,2426,247,229,95,43,612,1019,1278,527,215,3034,476,316,99,48,936,1497,1590,625,261,3976,717,1084,437,160,2393,233,253,97,36,622,947,1334,544,200,3024,454,319,121,46,938,1398,1650,669,242,3955,746,1058,412,154,2375,280,290,101,37,710,1023,1354,513,194,3086,494,367,124,55,1043,1519,1727,640,250,4128
LGA50210,1675,1963,764,345,4744,543,439,183,77,1244,2216,2399,940,423,5982,1087,667,208,113,2070,3302,3064,1154,539,8055,2612,3049,1005,409,7074,718,527,200,92,1530,3330,3570,1203,499,8602,1353,791,259,115,2520,4686,4364,1459,615,11125,2972,4206,1319,476,8978,738,648,272,101,1753,3707,4851,1598,574,10728,1408,951,342,164,2868,5114,5804,1936,738,13595
LGA50250,156,264,107,31,562,80,69,39,15,198,234,338,148,53,762,54,42,14,3,113,287,381,157,56,870,138,256,116,43,547,74,82,36,6,197,214,339,146,51,745,55,24,12,3,99,266,363,163,53,844,100,209,89,28,427,56,59,33,5,156,161,267,120,36,587,47,22,8,8,83,204,289,130,41,672
LGA50280,305,392,161,33,891,135,103,36,4,281,439,494,196,34,1174,171,113,32,4,325,608,610,233,43,1493,355,482,202,31,1078,146,165,47,7,369,505,650,248,37,1441,183,150,44,8,383,688,795,295,48,1827,381,586,204,33,1204,193,173,53,11,426,575,762,259,40,1631,214,162,44,3,419,793,919,294,48,2052
LGA50350,388,489,154,34,1066,91,77,26,11,208,479,567,181,36,1274,253,150,38,16,454,733,719,222,53,1723,447,515,161,44,1162,117,93,30,10,247,566,607,184,52,1409,232,145,45,9,438,799,751,232,63,1850,410,565,153,39,1155,155,125,25,14,316,565,689,172,50,1476,227,159,38,11,436,790,849,208,58,1914
LGA50420,1875,2150,626,168,4820,313,251,58,36,656,2189,2397,682,203,5476,899,462,132,38,1533,3092,2865,815,242,7015,2119,2294,611,183,5209,405,261,66,22,755,2521,2555,681,207,5961,898,467,133,35,1533,3418,3021,812,245,7494,2145,2492,628,152,5422,533,344,67,27,975,2680,2841,696,180,6400,939,546,158,42,1689,3618,3391,855,228,8088
LGA50490,980,931,323,123,2364,228,138,57,10,438,1209,1078,376,135,2798,531,271,119,44,972,1741,1349,499,175,3766,1092,1047,365,139,2643,215,177,48,21,459,1309,1225,414,157,3099,482,291,103,28,899,1790,1512,514,183,4002,1251,1214,377,147,2988,255,175,50,14,496,1507,1386,423,172,3484,572,302,101,45,1013,2075,1685,524,213,4493
LGA50560,28,45,17,10,91,12,3,4,4,27,43,46,21,9,123,18,11,0,0,29,58,57,25,13,156,30,44,10,5,88,13,8,5,0,32,47,50,17,6,116,11,11,4,3,31,56,57,19,11,147,31,35,20,5,90,17,5,4,3,28,49,39,16,5,111,15,9,4,0,22,63,49,24,5,137
LGA50630,37,67,21,6,133,22,14,6,6,46,60,76,26,14,179,20,12,0,4,39,82,87,33,19,217,46,69,31,8,144,9,19,3,0,35,54,86,32,8,182,20,9,7,3,45,76,98,40,12,224,34,51,24,7,118,16,16,4,5,42,44,68,25,12,158,15,6,8,4,37,66,83,37,18,192
LGA50770,36,57,22,7,131,0,13,3,5,21,44,68,24,13,148,9,11,4,4,22,51,83,30,16,177,40,46,27,11,123,5,9,0,0,19,43,63,31,11,142,13,15,5,3,33,60,70,38,10,177,26,50,36,11,114,18,11,0,0,35,40,61,39,9,150,24,10,4,0,35,64,68,42,7,190
LGA50840,77,132,60,21,288,28,36,15,14,89,106,166,83,28,384,58,43,19,3,122,163,211,95,39,506,87,118,48,23,283,28,31,12,8,78,118,148,63,32,359,52,42,21,3,105,165,190,82,33,470,80,148,62,23,314,43,26,12,6,93,126,172,80,30,405,48,34,14,0,96,175,205,89,29,496
LGA50910,16,32,11,3,58,10,6,3,9,27,26,37,12,12,78,4,6,0,0,16,32,43,11,12,98,14,32,11,0,55,12,10,4,0,20,24,41,14,0,78,3,8,3,6,15,31,48,18,4,94,13,31,3,5,51,4,9,4,0,20,16,41,6,5,68,5,4,0,3,14,25,42,15,3,81
LGA50980,277,367,145,54,844,186,161,77,48,466,456,529,223,98,1308,266,157,60,30,519,726,690,284,133,1824,288,389,170,47,892,184,182,88,56,510,471,573,257,101,1397,251,176,81,44,551,722,746,335,145,1951,270,428,193,50,939,213,203,77,24,516,477,630,269,76,1452,266,186,104,33,589,742,819,374,107,2041
LGA51080,34,39,18,11,96,6,9,0,4,16,37,46,23,13,121,11,11,5,10,29,47,53,32,16,151,18,32,22,4,78,0,5,0,6,15,17,36,25,8,96,11,3,9,5,26,34,46,30,15,121,14,27,19,5,66,10,6,7,3,22,24,33,25,3,82,7,8,6,3,25,32,38,31,10,110
