LGA_CODE_2021,C11_1_74_CF_NC,C11_1_74_CF_Cu15DS_,C11_1_74_CF_CU15_NDS,C11_1_74_CF_NCU15_DS,C11_1_74_CF_NDCO,C11_1_74_Tot,C11_75_99_CF_NC,C11_75_99_CF_Cu15DS_,C11_75_99_CF_CU15_NDS,C11_75_99_CF_NCU15_DS,C11_75_99_CF_NDCO,C11_75_99_Tot,C11_100_149_CF_NC,C11_100_149_CF_Cu15DS_,C11_100_149_CF_CU15_NDS,C11_100_149_CF_NCU15_DS,C11_100_149_CF_NDCO,C11_100_149_Tot,C11_150_199_CF_NC,C11_150_199_CF_Cu15DS_,C11_150_199_CF_CU15_NDS,C11_150_199_CF_NCU15_DS,C11_150_199_CF_NDCO,C11_150_199_Tot,C11_200_224_CF_NC,C11_200_224_CF_Cu15DS_,C11_200_224_CF_CU15_NDS,C11_200_224_CF_NCU15_DS,C11_200_224_CF_NDCO,C11_200_224_Tot,C11_225_274_CF_NC,C11_225_274_CF_Cu15DS_,C11_225_274_CF_CU15_NDS,C11_225_274_CF_NCU15_DS,C11_225_274_CF_NDCO,C11_225_274_Tot,C11_275_349_CF_NC,C11_275_349_CF_Cu15DS_,C11_275_349_CF_CU15_NDS,C11_275_349_CF_NCU15_DS,C11_275_349_CF_NDCO,C11_275_349_Tot,C11_350_449_CF_NC,C11_350_449_CF_Cu15DS_,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_Tot,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_Tot,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_Tot,C11_650_749_CF_NC,C11_650_749_CF_Cu15DS_,C11_650_749_CF_CU15_NDS,C11_650_749_CF_NCU15_DS,C11_650_749_CF_NDCO,C11_650_749_Tot,C11_750_849_CF_NC,C11_750_849_CF_Cu15DS_,C11_750_849_CF_CU15_NDS,C11_750_849_CF_NCU15_DS,C11_750_849_CF_NDCO,C11_750_849_Tot,C11_850_949_CF_NC,C11_850_949_CF_Cu15DS_,C11_850_949_CF_CU15_NDS,C11_850_949_CF_NCU15_DS,C11_850_949_CF_NDCO,C11_850_949_Tot,C11_950over_CF_NC,C11_950over_CF_Cu15DS_,C11_950over_CF_CU15_NDS,C11_950over_CF_NCU15_DS,C11_950over_CF_NDCO,C11_950over_Tot,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_Tot,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_Tot,C16_1_74_CF_NC,C16_1_74_CF_Cu15DS_,C16_1_74_CF_CU15_NDS,C16_1_74_CF_NCU15_DS,C16_1_74_CF_NDCO,C16_1_74_Tot,C16_75_99_CF_NC,C16_75_99_CF_Cu15DS_,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_Tot,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_Tot,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_Tot,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_Tot,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_Tot,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_Tot,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_Tot,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_Tot,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_Tot,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_Tot,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_Tot,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_Tot,C16_950over_CF_NC,C16_950over_CF_Cu15DS_,C16_950over_CF_CU15_NDS,C16_950over_CF_NCU15_DS,C16_950over_CF_NDCO,C16_950over_Tot,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_Tot,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_Tot,C21_1_74_CF_NC,C21_1_74_CF_Cu15DS_,C21_1_74_CF_CU15_NDS,C21_1_74_CF_NCU15_DS,C21_1_74_CF_NDCO,C21_1_74_Tot,C21_75_99_CF_NC,C21_75_99_CF_Cu15DS_
LGA50080,7,0,4,0,0,17,12,0,0,0,0,15,87,4,39,6,3,134,75,10,76,7,9,173,54,7,56,0,0,123,148,8,149,10,13,332,166,37,220,24,18,463,62,25,118,9,13,226,0,0,8,0,5,14,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,3,12,0,0,55,654,97,683,58,60,1560,8,0,3,0,0,10,3,0,3,0,0,10,34,0,9,0,0,46,74,6,24,3,6,109,51,5,37,0,0,95,106,9,79,6,12,199,213,25,207,18,18,485,163,47,198,19,21,450,24,10,33,3,10,82,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,13,8,4,40,685,105,621,59,69,1537,4,0,0,0,0,6,4,0
LGA50210,11,0,3,0,3,20,7,0,0,0,0,10,67,4,18,0,4,95,38,0,28,5,8,80,57,5,25,0,10,94,100,16,116,8,14,249,318,33,439,15,34,843,109,35,195,21,29,396,50,17,86,7,9,169,9,10,5,3,0,30,0,3,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,4,0,0,0,0,0,25,3,24,3,3,53,800,130,947,67,119,2056,3,0,0,0,0,6,4,0,9,0,0,14,26,0,13,5,4,41,51,5,24,0,0,84,45,3,23,3,3,81,83,3,70,6,13,172,284,24,349,22,45,720,347,58,542,31,68,1050,105,24,161,17,39,354,16,7,31,6,14,76,3,7,7,5,0,15,6,0,0,0,0,6,0,0,5,0,0,3,5,0,5,0,0,8,25,0,33,0,4,71,1010,136,1265,96,182,2701,0,0,5,0,0,6,12,0
LGA50250,255,35,439,12,30,774,13,4,32,0,3,59,16,0,24,0,0,49,4,0,14,0,6,21,0,0,4,0,0,12,6,0,4,0,0,14,5,0,7,0,0,9,0,0,3,0,0,3,0,0,3,0,0,4,3,0,0,0,0,6,4,0,0,0,0,4,4,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,4,23,0,27,0,0,57,349,49,565,22,36,1017,202,42,432,23,20,718,8,3,24,3,0,33,24,0,25,0,0,44,13,4,13,0,0,28,10,0,9,0,0,10,5,0,0,0,0,8,9,0,8,0,0,23,14,0,3,0,0,19,7,4,8,0,0,19,4,0,5,0,0,14,12,0,8,0,0,13,4,0,5,0,0,13,0,0,0,0,0,0,3,0,0,0,0,3,29,0,35,0,0,71,339,56,574,29,28,1027,191,34,292,15,18,553,6,4
LGA50280,8,0,0,0,0,8,0,0,3,0,0,4,13,0,5,0,0,22,33,0,20,3,3,56,24,0,27,3,0,54,28,6,44,0,3,86,97,15,117,4,3,234,36,4,66,3,5,108,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,0,20,257,32,286,16,13,602,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,14,21,0,10,0,0,34,15,0,13,0,0,30,26,4,22,0,0,57,81,0,53,3,3,148,102,3,137,8,12,266,25,9,44,0,5,86,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,0,0,22,303,27,304,20,19,675,5,0,0,0,0,6,3,0
LGA50350,3,0,0,0,0,3,5,0,0,0,0,7,34,9,9,0,3,50,21,4,3,0,4,35,10,0,9,0,3,20,22,0,10,0,4,36,96,11,60,6,13,179,83,9,88,6,8,207,8,8,14,0,0,34,3,0,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,4,0,3,15,288,35,209,17,37,590,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,11,25,7,13,0,3,44,7,0,0,0,0,11,10,0,9,0,8,25,41,8,43,7,0,93,147,15,110,5,11,295,51,4,41,7,8,115,7,0,8,0,0,20,5,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,5,0,3,0,0,9,313,31,238,20,30,637,0,0,0,0,0,3,0,0
LGA50420,17,0,0,0,0,12,9,0,3,0,0,17,78,0,16,9,0,105,80,12,31,3,3,127,78,0,39,6,12,135,229,9,140,7,11,396,528,31,322,20,32,929,499,43,378,43,49,1008,112,14,84,13,15,241,29,4,24,0,7,58,9,3,12,0,0,21,0,3,3,0,0,9,0,0,0,0,0,0,4,0,6,0,4,14,40,3,26,6,0,78,1709,127,1081,111,129,3149,0,0,3,0,0,6,16,0,4,0,0,21,20,3,5,0,3,36,59,0,24,3,4,87,48,3,27,3,8,85,143,3,71,3,8,226,377,17,223,17,14,648,697,64,484,47,57,1341,378,39,260,41,38,755,93,9,58,14,12,178,13,4,9,0,3,25,6,0,3,0,0,12,6,0,0,0,0,7,9,0,0,0,0,8,34,9,21,3,3,80,1894,152,1189,132,149,3526,3,0,0,0,0,4,8,0
LGA50490,8,3,5,0,0,14,3,0,4,0,0,17,106,6,24,0,5,143,47,0,25,0,8,88,27,3,25,3,11,73,93,11,72,0,9,185,244,31,256,9,29,569,331,42,265,29,41,704,99,5,78,8,12,203,39,0,8,0,4,56,6,0,4,0,0,8,4,0,4,0,0,10,0,0,0,0,0,0,7,0,3,0,0,13,26,0,13,0,5,48,1034,106,783,62,130,2118,6,0,0,0,0,6,5,0,4,0,0,8,33,6,6,0,0,48,73,0,30,7,3,113,21,0,27,4,4,54,62,4,27,4,10,110,261,12,162,11,21,467,562,51,439,36,49,1134,304,28,177,14,28,549,48,7,31,6,7,89,9,0,9,3,0,17,3,0,0,0,0,3,0,3,4,0,0,12,5,0,4,0,0,5,36,4,15,0,6,64,1429,123,926,77,121,2683,0,0,0,0,0,3,8,0
LGA50560,3,0,0,0,0,3,0,0,0,0,0,5,3,0,7,0,0,10,4,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,16,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,3,3,0,3,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,5,6,4,0,32,0,0,0,0,0,4,0,0
LGA50630,3,0,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,3,4,0,9,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,9,0,5,0,0,11,11,0,15,0,0,22,0,3,6,0,0,18,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,4,31,5,45,0,3,85,0,0,3,0,0,5,3,0,6,0,0,11,0,0,0,0,0,0,0,3,0,0,0,9,4,0,0,0,0,8,3,0,0,0,0,8,8,0,10,0,0,15,12,0,16,5,0,27,5,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,31,7,50,4,0,91,0,0,3,0,0,3,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,13,0,0,8,0,0,11,5,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,18,0,16,0,0,36,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,4,10,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,19,0,17,0,5,40,5,0,0,0,0,5,0,0
