LGA_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
LGA50080,250,1647,1377,10603,254,14127,0,0,0,111,8,123,118,5,15,63,4,209,29,11,0,51,0,101,629,181,96,369,16,1293,4223,1714,1340,8009,275,15564,438,3,28,6,15,492,73,19,13,32,0,136,350,93,93,671,12,1225,22,14,6,41,0,82,29,0,0,5,4,32,93,4,4,12,0,117,514,232,152,1762,41,2706,365,132,40,510,26,1069,4,0,4,7,0,10,3,0,0,3,0,4,6,0,0,7,0,14,16,5,0,4,0,33,97,31,25,9,11,167,158,78,36,6,5,290,194,47,16,87,0,340,26,0,8,15,0,51,0,0,0,0,0,0,796,309,236,1671,45,3061,8,0,0,4,0,12,193,10,9,3,0,215,29,7,5,27,0,65,13,3,0,0,0,19,12,0,0,0,0,12,153,35,37,89,0,309,722,167,129,231,22,1278,114,52,42,394,1419,2014,8105,2958,2252,18317,2017,33649,280,1731
LGA50210,597,3231,2660,14151,556,21199,0,7,4,223,9,245,875,25,54,52,19,1023,95,49,16,56,8,219,1393,392,247,579,31,2644,11777,2923,2562,9334,646,27229,499,12,58,3,13,585,191,25,21,81,15,328,674,175,117,692,40,1699,63,29,8,64,9,166,84,15,9,13,0,120,913,58,30,27,10,1042,1613,429,297,2256,121,4729,848,374,177,810,50,2256,28,3,8,0,0,37,58,3,8,11,0,74,7,5,3,14,0,38,63,25,10,22,0,130,632,59,58,16,43,810,580,136,111,30,27,875,277,36,18,80,13,422,62,16,7,25,4,115,73,4,0,0,0,84,2066,583,406,2021,101,5176,60,6,0,4,0,77,536,46,31,12,14,639,119,15,13,47,0,196,89,5,4,0,0,101,95,0,0,0,0,91,379,65,58,85,13,597,3370,423,300,429,117,4649,429,103,86,594,3342,4552,23980,5591,4403,23501,4824,62293,1035,3855
LGA50250,66,354,320,2882,53,3677,0,5,0,315,0,320,75,0,7,16,0,95,19,5,3,9,0,33,83,27,22,50,0,182,997,289,260,1796,62,3403,66,0,12,5,4,84,26,6,3,9,0,38,77,39,34,208,11,361,3,5,0,11,0,22,4,4,0,0,0,7,50,6,3,8,0,60,262,63,50,547,8,927,60,37,13,91,0,194,7,0,0,0,3,9,4,0,0,11,0,12,0,0,0,3,0,8,9,9,3,4,0,24,214,5,6,5,8,241,144,21,25,3,0,191,32,15,10,10,0,55,7,0,3,4,0,18,17,0,0,0,0,23,287,60,64,423,15,845,5,0,0,0,0,3,45,0,3,0,0,52,6,0,0,6,0,12,3,0,0,0,0,3,5,0,0,0,0,5,26,12,0,22,0,61,331,46,54,94,4,534,26,9,9,84,1388,1515,2315,613,544,4997,1533,10001,92,401
LGA50280,79,580,507,3149,76,4391,0,0,0,10,0,13,65,6,3,16,7,89,17,8,5,34,0,61,117,37,27,58,4,244,1602,580,495,2563,107,5351,59,0,6,0,0,66,56,11,16,31,0,111,172,49,39,206,3,474,14,5,7,24,0,53,5,0,0,0,0,10,20,4,7,10,0,44,279,117,80,801,26,1301,116,45,21,181,8,368,21,0,0,0,0,21,0,0,0,0,0,5,0,0,0,0,0,3,3,3,6,3,0,17,58,11,13,0,0,84,109,41,27,10,0,188,20,11,4,22,0,60,16,4,0,4,0,23,0,0,0,0,0,0,347,123,104,675,8,1254,0,0,0,3,0,5,55,9,3,3,0,75,9,0,0,11,0,28,8,5,0,0,0,10,5,0,0,0,0,5,48,15,10,27,0,108,349,83,71,89,12,606,29,8,12,101,796,947,2943,1060,870,5887,999,11762,94,772
LGA50350,126,732,559,3234,152,4808,0,5,0,66,0,76,233,19,10,13,5,281,126,27,9,56,0,217,178,54,30,80,5,339,1939,629,507,2239,140,5449,102,0,15,0,6,121,66,12,10,13,6,107,144,46,33,227,5,459,37,13,9,32,0,89,32,5,6,6,0,47,182,8,9,6,6,208,412,126,91,762,29,1426,398,127,50,289,20,886,15,0,3,0,0,21,9,7,0,0,0,12,36,3,0,4,0,42,88,16,6,22,7,141,98,9,4,0,6,112,127,40,26,3,4,201,121,8,3,28,10,170,24,4,0,9,0,38,8,3,0,0,0,11,486,143,103,607,25,1353,79,0,5,13,0,98,57,10,8,3,0,72,26,0,0,11,0,37,23,3,0,3,0,33,104,0,0,5,0,113,82,12,16,25,3,131,901,146,95,130,29,1298,96,28,18,142,627,909,5327,1350,964,5762,992,14401,155,815
LGA50420,575,2444,1738,10443,403,15606,0,10,5,101,5,117,3169,70,88,75,72,3482,325,65,29,134,3,549,658,183,98,184,26,1140,7092,2161,1466,7414,403,18532,705,8,38,7,16,777,261,25,14,69,0,372,681,171,108,632,38,1632,459,101,26,202,15,801,117,21,7,13,0,166,2221,84,46,36,41,2428,1671,459,291,2393,91,4905,3118,725,287,1488,107,5728,159,0,0,4,0,170,67,11,6,0,3,89,286,34,15,66,17,417,112,18,16,36,0,189,482,19,25,12,29,558,462,119,58,25,19,681,696,64,39,123,12,938,126,14,12,18,5,180,35,0,0,0,0,33,1629,465,324,1804,81,4302,411,18,20,12,7,472,457,34,29,0,3,533,157,22,6,32,5,223,212,8,16,0,6,246,1876,17,45,5,60,2003,224,38,34,105,11,411,6761,502,373,412,209,8257,609,67,47,348,2980,4057,31166,4908,3214,19016,4364,62666,724,2549
LGA50490,328,1394,974,6754,276,9723,0,8,0,110,12,122,1930,22,43,46,32,2080,102,32,17,52,8,199,302,113,49,101,3,571,3869,1177,867,4557,258,10726,654,7,42,0,8,719,135,18,12,44,0,213,358,78,55,376,15,875,82,15,7,44,0,147,68,16,4,13,0,92,995,19,17,22,20,1085,872,259,169,1447,53,2804,741,183,94,498,26,1542,146,0,0,0,0,146,105,15,17,8,8,149,34,3,6,21,0,59,26,21,3,17,0,68,418,17,19,12,3,470,331,72,55,11,3,480,296,20,30,73,0,423,65,5,0,13,0,84,65,0,0,3,0,65,910,262,205,940,51,2361,58,0,7,6,0,66,164,23,15,0,3,210,91,6,7,29,0,127,166,10,0,6,5,182,279,0,6,0,3,294,109,26,16,55,4,211,4285,269,167,230,137,5086,423,40,37,269,2517,3281,16052,2513,1775,11591,3276,35205,436,1391
LGA50560,9,61,56,580,25,722,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,5,5,0,0,25,201,68,42,423,15,753,3,0,0,0,6,11,7,0,0,0,0,13,9,3,0,28,0,40,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,25,5,4,71,6,103,6,5,5,9,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,10,0,0,0,0,12,4,0,0,0,0,4,0,0,0,4,0,9,0,0,0,0,0,0,18,12,9,118,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,12,28,3,0,11,0,54,0,4,0,23,54,81,307,101,69,984,102,1565,11,74
LGA50630,17,74,79,660,29,858,0,0,0,0,0,0,8,0,0,0,0,8,7,0,0,5,0,9,20,14,0,6,0,42,193,80,54,412,20,758,6,0,0,0,0,13,4,0,5,0,0,12,16,8,4,43,0,71,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,29,17,3,97,4,145,16,5,0,23,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,0,6,0,0,30,27,4,3,0,0,29,7,0,4,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,53,22,18,111,6,206,0,0,0,0,0,3,17,0,0,0,0,23,7,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,22,105,10,10,13,4,139,3,7,0,20,357,388,461,151,123,1085,402,2228,8,88
LGA50770,17,76,48,544,10,694,0,0,0,5,0,5,3,4,0,0,0,6,3,0,0,4,0,6,14,3,6,7,0,27,201,62,58,434,9,764,0,0,0,0,0,0,0,0,0,6,0,7,17,9,0,43,3,70,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,26,7,8,85,7,129,12,13,0,27,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,6,0,0,0,0,6,9,6,5,0,0,17,3,0,0,0,0,6,3,0,0,0,0,7,0,0,0,0,0,0,45,13,6,91,0,161,0,0,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,13,21,9,7,9,0,35,5,0,3,11,49,69,333,132,88,962,71,1592,6,59
