LGA_CODE_2021,C21_M_FoodHos_PS_15_19,C21_M_FoodHos_PS_20_24,C21_M_FoodHos_PS_25_34,C21_M_FoodHos_PS_35_44,C21_M_FoodHos_PS_45_54,C21_M_FoodHos_PS_55_64,C21_M_FoodHos_PS_65_74,C21_M_FoodHos_PS_75_84,C21_M_FoodHos_PS_85over,C21_M_FoodHos_PS_Tot,C21_M_MixFld_pr_15_19,C21_M_MixFld_pr_20_24,C21_M_MixFld_pr_25_34,C21_M_MixFld_pr_35_44,C21_M_MixFld_pr_45_54,C21_M_MixFld_pr_55_64,C21_M_MixFld_pr_65_74,C21_M_MixFld_pr_75_84,C21_M_MixFld_pr_85over,C21_M_MixFld_pr_Tot,C21_M_FldStu_ID_15_19,C21_M_FldStu_ID_20_24,C21_M_FldStu_ID_25_34,C21_M_FldStu_ID_35_44,C21_M_FldStu_ID_45_54,C21_M_FldStu_ID_55_64,C21_M_FldStu_ID_65_74,C21_M_FldStu_ID_75_84,C21_M_FldStu_ID_85over,C21_M_FldStu_ID_Tot,C21_M_FldStu_NS_15_19,C21_M_FldStu_NS_20_24,C21_M_FldStu_NS_25_34,C21_M_FldStu_NS_35_44,C21_M_FldStu_NS_45_54,C21_M_FldStu_NS_55_64,C21_M_FldStu_NS_65_74,C21_M_FldStu_NS_75_84,C21_M_FldStu_NS_85over,C21_M_FldStu_NS_Tot,C21_M_Tot_15_19,C21_M_Tot_20_24,C21_M_Tot_25_34,C21_M_Tot_35_44,C21_M_Tot_45_54,C21_M_Tot_55_64,C21_M_Tot_65_74,C21_M_Tot_75_84,C21_M_Tot_85over,C21_M_Tot_Tot,C11_F_NatPhy_sci_15_19,C11_F_NatPhy_sci_20_24,C11_F_NatPhy_sci_25_34,C11_F_NatPhy_sci_35_44,C11_F_NatPhy_sci_45_54,C11_F_NatPhy_sci_55_64,C11_F_NatPhy_sci_65_74,C11_F_NatPhy_sci_75_84,C11_F_NatPhy_sci_85over,C11_F_NatPhy_sci_Tot,C11_F_InfTec_15_19,C11_F_InfTec_20_24,C11_F_InfTec_25_34,C11_F_InfTec_35_44,C11_F_InfTec_45_54,C11_F_InfTec_55_64,C11_F_InfTec_65_74,C11_F_InfTec_75_84,C11_F_InfTec_85over,C11_F_InfTec_Tot,C11_F_EngRT_15_19,C11_F_EngRT_20_24,C11_F_EngRT_25_34,C11_F_EngRT_35_44,C11_F_EngRT_45_54,C11_F_EngRT_55_64,C11_F_EngRT_65_74,C11_F_EngRT_75_84,C11_F_EngRT_85over,C11_F_EngRT_Tot,C11_F_ArchBuild_15_19,C11_F_ArchBuild_20_24,C11_F_ArchBuild_25_34,C11_F_ArchBuild_35_44,C11_F_ArchBuild_45_54,C11_F_ArchBuild_55_64,C11_F_ArchBuild_65_74,C11_F_ArchBuild_75_84,C11_F_ArchBuild_85over,C11_F_ArchBuild_Tot,C11_F_AgEnv_RS_15_19,C11_F_AgEnv_RS_20_24,C11_F_AgEnv_RS_25_34,C11_F_AgEnv_RS_35_44,C11_F_AgEnv_RS_45_54,C11_F_AgEnv_RS_55_64,C11_F_AgEnv_RS_65_74,C11_F_AgEnv_RS_75_84,C11_F_AgEnv_RS_85over,C11_F_AgEnv_RS_Tot,C11_F_Health_15_19,C11_F_Health_20_24,C11_F_Health_25_34,C11_F_Health_35_44,C11_F_Health_45_54,C11_F_Health_55_64,C11_F_Health_65_74,C11_F_Health_75_84,C11_F_Health_85over,C11_F_Health_Tot,C11_F_Educ_15_19,C11_F_Educ_20_24,C11_F_Educ_25_34,C11_F_Educ_35_44,C11_F_Educ_45_54,C11_F_Educ_55_64,C11_F_Educ_65_74,C11_F_Educ_75_84,C11_F_Educ_85over,C11_F_Educ_Tot,C11_F_MngtCom_15_19,C11_F_MngtCom_20_24,C11_F_MngtCom_25_34,C11_F_MngtCom_35_44,C11_F_MngtCom_45_54,C11_F_MngtCom_55_64,C11_F_MngtCom_65_74,C11_F_MngtCom_75_84,C11_F_MngtCom_85over,C11_F_MngtCom_Tot,C11_F_Soc_cult_15_19,C11_F_Soc_cult_20_24,C11_F_Soc_cult_25_34,C11_F_Soc_cult_35_44,C11_F_Soc_cult_45_54,C11_F_Soc_cult_55_64,C11_F_Soc_cult_65_74,C11_F_Soc_cult_75_84,C11_F_Soc_cult_85over,C11_F_Soc_cult_Tot,C11_F_Creative_art_15_19,C11_F_Creative_art_20_24,C11_F_Creative_art_25_34,C11_F_Creative_art_35_44,C11_F_Creative_art_45_54,C11_F_Creative_art_55_64,C11_F_Creative_art_65_74,C11_F_Creative_art_75_84,C11_F_Creative_art_85over,C11_F_Creative_art_Tot,C11_F_FoodHos_PS_15_19,C11_F_FoodHos_PS_20_24,C11_F_FoodHos_PS_25_34,C11_F_FoodHos_PS_35_44,C11_F_FoodHos_PS_45_54,C11_F_FoodHos_PS_55_64,C11_F_FoodHos_PS_65_74,C11_F_FoodHos_PS_75_84,C11_F_FoodHos_PS_85over,C11_F_FoodHos_PS_Tot,C11_F_MixFld_pr_15_19,C11_F_MixFld_pr_20_24,C11_F_MixFld_pr_25_34,C11_F_MixFld_pr_35_44,C11_F_MixFld_pr_45_54,C11_F_MixFld_pr_55_64,C11_F_MixFld_pr_65_74,C11_F_MixFld_pr_75_84,C11_F_MixFld_pr_85over,C11_F_MixFld_pr_Tot,C11_F_FldStu_ID_15_19,C11_F_FldStu_ID_20_24,C11_F_FldStu_ID_25_34,C11_F_FldStu_ID_35_44,C11_F_FldStu_ID_45_54,C11_F_FldStu_ID_55_64,C11_F_FldStu_ID_65_74,C11_F_FldStu_ID_75_84,C11_F_FldStu_ID_85over,C11_F_FldStu_ID_Tot,C11_F_FldStu_NS_15_19,C11_F_FldStu_NS_20_24,C11_F_FldStu_NS_25_34,C11_F_FldStu_NS_35_44,C11_F_FldStu_NS_45_54,C11_F_FldStu_NS_55_64,C11_F_FldStu_NS_65_74,C11_F_FldStu_NS_75_84,C11_F_FldStu_NS_85over,C11_F_FldStu_NS_Tot,C11_F_Tot_15_19,C11_F_Tot_20_24,C11_F_Tot_25_34,C11_F_Tot_35_44,C11_F_Tot_45_54,C11_F_Tot_55_64,C11_F_Tot_65_74,C11_F_Tot_75_84,C11_F_Tot_85over,C11_F_Tot_Tot
LGA50080,9,15,86,82,81,58,26,20,6,385,3,3,5,0,0,0,0,0,0,10,5,8,14,19,30,20,28,14,3,130,80,77,214,177,182,205,185,122,76,1320,271,472,1412,1404,1557,1606,1409,677,229,9045,0,8,31,37,35,12,4,0,0,134,0,4,14,7,14,4,0,0,0,44,0,10,20,22,14,12,17,16,8,112,4,4,13,13,6,3,0,0,0,46,10,19,62,52,46,16,9,3,0,220,10,48,155,233,310,267,160,75,22,1279,6,21,105,203,245,202,114,37,22,954,64,97,254,305,253,191,73,32,14,1280,41,61,200,212,248,182,56,12,3,1007,18,23,28,57,46,28,14,8,3,223,20,57,102,104,69,49,23,11,5,438,0,0,6,4,0,0,0,0,0,13,0,0,8,16,7,8,5,4,0,56,90,41,76,123,121,135,144,182,101,1010,261,401,1074,1378,1421,1107,622,377,175,6815
LGA50210,15,77,255,290,147,111,48,24,0,954,5,5,8,7,3,0,0,3,0,35,6,17,80,90,67,48,40,18,0,368,197,206,579,619,478,371,227,156,79,2903,521,1321,4661,5864,3779,2906,1963,888,226,22123,0,33,95,61,50,29,12,4,0,273,5,10,43,31,19,12,0,0,0,109,0,24,65,55,36,22,16,8,4,243,3,12,25,19,17,6,0,0,0,76,9,17,62,38,33,13,3,5,0,186,21,102,339,304,332,316,127,56,8,1610,16,82,261,287,334,230,104,37,11,1371,89,275,782,544,416,277,127,46,4,2564,63,224,495,376,349,274,72,24,7,1878,16,46,116,93,51,46,20,10,4,402,54,154,258,194,108,105,43,9,3,931,5,4,0,3,5,0,3,0,0,23,0,5,21,21,11,5,5,3,0,71,203,159,331,321,317,310,238,254,95,2232,484,1142,2904,2342,2064,1649,779,466,136,11970
LGA50250,0,3,7,27,14,7,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,8,11,18,8,0,0,0,50,36,62,215,217,161,116,20,7,0,837,44,139,687,738,481,312,65,19,0,2490,0,9,10,17,3,0,0,0,0,46,0,0,5,0,7,0,0,0,0,10,0,12,31,15,3,0,0,0,0,65,0,3,0,0,0,0,0,0,0,4,0,9,25,15,0,0,0,0,0,47,3,12,46,47,33,16,0,0,0,163,0,11,63,58,23,11,4,0,0,167,7,43,119,88,46,14,0,0,0,318,5,19,48,46,22,10,0,0,0,144,0,5,13,7,6,0,0,0,0,38,0,16,64,26,11,3,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,15,22,34,95,76,66,42,6,0,0,343,34,162,527,404,231,101,16,4,0,1473
LGA50280,6,8,58,85,63,35,10,3,0,272,0,0,0,0,0,0,0,0,0,6,0,6,6,15,17,12,14,0,0,80,47,24,123,151,185,93,97,32,20,771,90,141,654,963,973,774,655,234,68,4549,0,4,24,23,12,5,5,0,0,81,0,0,3,5,0,0,3,0,0,14,0,0,4,12,6,7,3,3,4,36,0,0,13,16,0,0,3,0,0,38,3,4,29,36,18,13,0,0,0,100,0,5,56,97,98,83,50,16,4,418,4,4,48,93,113,107,44,20,7,446,9,20,96,112,81,51,22,14,0,406,8,13,67,86,57,52,24,3,0,315,0,6,34,37,25,18,12,3,3,141,3,19,61,55,37,21,11,0,0,205,0,0,0,0,0,0,0,0,0,3,0,0,8,7,4,6,5,0,0,30,36,15,75,80,66,56,43,46,22,435,68,100,515,662,523,419,223,109,46,2656
LGA50350,9,18,21,33,19,22,11,4,0,128,0,0,0,0,0,0,0,0,0,0,0,0,15,15,20,14,8,3,0,71,21,37,105,101,78,67,65,41,15,519,66,237,857,906,762,615,460,205,48,4161,0,4,41,39,13,9,0,0,0,105,0,0,13,9,8,3,0,0,0,37,0,6,25,15,15,8,6,5,3,86,0,6,13,8,3,0,0,0,0,36,0,8,18,12,3,3,0,0,0,41,0,25,80,84,94,67,24,13,6,389,3,18,73,87,105,66,37,4,5,404,11,64,139,149,96,62,32,11,3,566,4,38,135,118,119,83,26,6,3,530,3,15,61,42,33,8,16,0,3,188,10,32,63,39,31,17,9,5,0,202,0,0,0,0,0,0,4,0,0,9,0,0,7,8,7,5,7,0,0,35,38,25,52,71,71,47,76,70,27,463,76,237,710,685,608,384,223,125,47,3096
LGA50420,4,69,242,181,132,91,62,26,0,805,9,0,0,4,0,5,0,3,0,28,9,14,49,80,58,37,30,13,7,303,73,142,431,403,307,286,181,174,79,2091,243,1119,4554,4353,3099,2541,1929,980,275,19079,0,54,212,145,76,45,16,7,0,562,4,17,104,47,27,9,6,0,0,212,5,31,120,75,50,46,30,18,11,376,0,20,75,36,11,9,3,0,0,149,0,16,53,27,14,8,0,0,0,128,10,149,475,385,341,281,142,60,19,1858,10,64,310,384,345,295,149,52,14,1629,46,316,1038,784,502,312,149,57,17,3224,19,148,624,429,341,278,100,31,4,1965,14,124,269,169,87,50,26,13,10,756,25,139,266,193,123,108,43,12,9,919,3,0,3,3,0,9,0,0,0,27,0,15,57,49,30,19,8,5,0,184,149,153,356,271,286,309,273,318,229,2337,290,1250,3966,2996,2239,1771,941,573,315,14339
LGA50490,15,67,231,174,74,58,29,9,0,663,6,4,6,0,0,0,0,0,0,23,0,16,52,41,27,22,19,9,3,190,70,167,453,362,285,214,138,93,66,1847,212,884,3371,2704,1827,1442,918,447,178,11980,0,27,117,72,23,13,0,0,0,258,0,11,57,24,15,8,0,0,0,130,3,23,79,52,26,11,25,21,11,255,0,9,27,16,9,3,0,0,0,62,6,12,33,24,12,8,3,0,0,91,6,93,298,164,146,115,73,39,12,936,12,27,158,129,137,99,54,17,8,633,23,182,629,385,228,126,73,31,18,1698,17,100,295,216,153,99,30,7,0,925,12,41,113,50,35,12,7,3,0,285,14,78,177,96,61,37,24,11,5,499,0,0,0,0,3,0,0,4,0,11,0,9,29,19,6,8,0,3,0,72,122,131,267,252,184,184,207,211,98,1663,218,740,2274,1506,1035,736,493,355,162,7515
LGA50560,0,0,0,0,4,4,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,10,13,19,19,27,18,9,128,17,6,49,51,65,77,93,43,20,414,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,0,15,0,0,0,7,12,24,16,4,0,55,0,0,6,8,9,11,4,0,0,41,4,0,3,12,8,5,4,0,0,47,0,0,3,4,9,12,4,0,0,27,0,0,0,0,4,3,0,0,0,7,0,0,3,0,3,3,0,0,0,17,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,7,0,5,4,4,11,18,8,0,63,9,8,34,47,46,72,51,15,5,291
LGA50630,0,0,6,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,18,7,25,25,10,6,0,94,7,15,71,56,80,90,54,24,0,392,0,0,4,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,7,3,4,0,0,0,0,11,0,0,6,14,6,9,4,4,0,49,0,0,6,12,3,8,0,0,0,37,4,9,21,21,10,6,6,0,0,72,0,0,8,7,4,8,0,0,0,26,0,0,3,5,0,0,0,0,0,10,0,5,7,10,5,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,10,18,14,9,3,7,0,79,17,23,84,90,51,42,20,9,0,335
LGA50770,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,4,5,9,8,21,21,12,14,0,95,8,15,40,60,75,84,58,30,7,384,0,0,5,7,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,8,3,3,4,0,0,0,0,27,0,0,3,9,10,16,11,0,0,53,0,0,14,13,12,16,9,4,0,61,4,0,12,15,14,6,5,0,0,56,0,0,3,6,6,11,3,3,0,38,0,0,4,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,5,10,10,10,45,12,15,54,65,63,54,36,15,10,315
