LGA_CODE_2021,C11_Chr_Tot_0_14,C11_Chr_Tot_15_24,C11_Chr_Tot_25_34,C11_Chr_Tot_35_44,C11_Chr_Tot_45_54,C11_Chr_Tot_55_64,C11_Chr_Tot_65_74,C11_Chr_Tot_75_84,C11_Chr_Tot_85ov,C11_Chr_Tot_Tot,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_Au_Ab_Tr_R_0_14,C11_OR_Au_Ab_Tr_R_15_24,C11_OR_Au_Ab_Tr_R_25_34,C11_OR_Au_Ab_Tr_R_35_44,C11_OR_Au_Ab_Tr_R_45_54,C11_OR_Au_Ab_Tr_R_55_64,C11_OR_Au_Ab_Tr_R_65_74,C11_OR_Au_Ab_Tr_R_75_84,C11_OR_A_Ab_Tr_Re_85ov,C11_OR_Au_Ab_Tr_Re_Tot,C11_OR_Sikhism_0_14,C11_OR_Sikhism_15_24,C11_OR_Sikhism_25_34,C11_OR_Sikhism_35_44,C11_OR_Sikhism_45_54,C11_OR_Sikhism_55_64,C11_OR_Sikhism_65_74,C11_OR_Sikhism_75_84,C11_OR_Sikhism_85ov,C11_OR_Sikhism_Tot,C11_OR_OR_0_14,C11_OR_OR_15_24,C11_OR_OR_25_34,C11_OR_OR_35_44,C11_OR_OR_45_54,C11_OR_OR_55_64,C11_OR_OR_65_74,C11_OR_OR_75_84,C11_OR_OR_85ov,C11_OR_OR_Tot,C11_OR_Tot_0_14,C11_OR_Tot_15_24,C11_OR_Tot_25_34,C11_OR_Tot_35_44,C11_OR_Tot_45_54,C11_OR_Tot_55_64,C11_OR_Tot_65_74,C11_OR_Tot_75_84,C11_OR_Tot_85ov,C11_OR_Tot_Tot,C11_SBOSB_No_RA_0_14,C11_SBOSB_No_RA_15_24,C11_SBOSB_No_RA_25_34,C11_SBOSB_No_RA_35_44,C11_SBOSB_No_RA_45_54,C11_SBOSB_No_RA_55_64,C11_SBOSB_No_RA_65_74,C11_SBOSB_No_RA_75_84,C11_SBOSB_No_RA_85ov,C11_SBOSB_No_RA_Tot,C11_Rel_aff_ns_0_14,C11_Rel_aff_ns_15_24,C11_Rel_aff_ns_25_34,C11_Rel_aff_ns_35_44,C11_Rel_aff_ns_45_54,C11_Rel_aff_ns_55_64,C11_Rel_aff_ns_65_74,C11_Rel_aff_ns_75_84,C11_Rel_aff_ns_85ov,C11_Rel_aff_NS_Tot,C11_Tot_0_14,C11_Tot_15_24,C11_Tot_25_34,C11_Tot_35_44,C11_Tot_45_54,C11_Tot_55_64,C11_Tot_65_74,C11_Tot_75_84,C11_Tot_85ov,C11_Tot_Tot,C16_Buddhism_0_14,C16_Buddhism_15_24,C16_Buddhism_25_34,C16_Buddhism_35_44,C16_Buddhism_45_54,C16_Buddhism_55_64,C16_Buddhism_65_74,C16_Buddhism_75_84,C16_Buddhism_85ov,C16_Buddhism_Tot,C16_Christ_Angl_0_14,C16_Christ_Angl_15_24,C16_Christ_Angl_25_34,C16_Christ_Angl_35_44,C16_Christ_Angl_45_54,C16_Christ_Angl_55_64,C16_Christ_Angl_65_74,C16_Christ_Angl_75_84,C16_Christ_Angl_85ov,C16_Christ_Angl_Tot,C16_C_Assyr_Apo_0_14,C16_C_Assyr_Apo_15_24,C16_C_Assyr_Apo_25_34,C16_C_Assyr_Apo_35_44,C16_C_Assyr_Apo_45_54,C16_C_Assyr_Apo_55_64,C16_C_Assyr_Apo_65_74,C16_C_Assyr_Apo_75_84,C16_C_Assyr_Apo_85ov,C16_C_Assyr_Apo_Tot,C16_C_Baptist_0_14,C16_C_Baptist_15_24,C16_C_Baptist_25_34,C16_C_Baptist_35_44,C16_C_Baptist_45_54,C16_C_Baptist_55_64,C16_C_Baptist_65_74,C16_C_Baptist_75_84,C16_C_Baptist_85ov,C16_C_Baptist_Tot,C16_Christ_Breth_0_14,C16_Christ_Breth_15_24,C16_Christ_Breth_25_34,C16_Christ_Breth_35_44,C16_Christ_Breth_45_54,C16_Christ_Breth_55_64,C16_Christ_Breth_65_74,C16_Christ_Breth_75_84,C16_Christ_Breth_85ov,C16_Christ_Breth_Tot,C16_Ch_Catholic_0_14,C16_Ch_Catholic_15_24,C16_Ch_Catholic_25_34,C16_Ch_Catholic_35_44,C16_Ch_Catholic_45_54,C16_Ch_Catholic_55_64,C16_Ch_Catholic_65_74,C16_Ch_Catholic_75_84,C16_Ch_Catholic_85ov,C16_C_Catholic_Tot,C16_C_Chur_Christ_0_14,C16_C_Chur_Christ_15_24,C16_C_Chur_Christ_25_34,C16_C_Chur_Christ_35_44,C16_C_Chur_Christ_45_54,C16_C_Chur_Christ_55_64,C16_C_Chur_Christ_65_74,C16_C_Chur_Christ_75_84,C16_C_Chur_Christ_85ov,C16_C_Chur_Christ_Tot,C16_C_East_Ortho_0_14,C16_C_East_Ortho_15_24,C16_C_East_Ortho_25_34,C16_C_East_Ortho_35_44,C16_C_East_Ortho_45_54,C16_C_East_Ortho_55_64,C16_C_East_Ortho_65_74,C16_C_East_Ortho_75_84,C16_C_East_Ortho_85ov,C16_C_East_Ortho_Tot,C16_C_Jeh_Wit_0_14,C16_C_Jeh_Wit_15_24,C16_C_Jeh_Wit_25_34,C16_C_Jeh_Wit_35_44,C16_C_Jeh_Wit_45_54,C16_C_Jeh_Wit_55_64,C16_C_Jeh_Wit_65_74,C16_C_Jeh_Wit_75_84,C16_C_Jeh_Wit_85ov,C16_C_Jeh_Wit_Tot
LGA50080,3168,1809,1529,2340,2835,2940,2282,1619,614,19135,7,3,13,15,8,3,0,0,0,52,24,7,17,14,9,9,0,0,0,80,0,4,3,4,5,7,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,23,20,23,41,23,18,15,5,0,164,23,22,24,41,23,18,16,5,0,169,2756,1672,1345,1458,1365,977,487,233,60,10356,727,542,453,504,455,385,255,176,75,3583,6729,4086,3405,4419,4757,4395,3062,2043,753,33649,36,19,28,37,60,57,29,7,0,270,602,409,300,502,885,1074,1177,800,337,6082,0,0,0,0,0,0,0,0,0,0,271,130,124,123,156,146,109,74,38,1184,14,15,20,11,10,5,13,9,0,102,819,485,436,582,669,693,566,289,138,4677,31,19,7,23,32,15,22,11,5,172,8,10,3,11,18,7,9,0,0,67,28,23,20,26,28,38,36,21,9,218
LGA50210,6321,4365,4446,4619,5170,5019,3081,1639,513,35165,118,67,193,65,44,12,7,0,0,506,163,110,134,75,69,40,12,0,0,607,12,3,8,11,10,3,3,5,0,44,6,0,0,4,4,0,3,0,0,14,24,13,51,8,5,5,0,0,0,113,31,52,72,76,61,46,13,5,0,357,61,68,129,88,70,51,20,5,0,483,4930,3286,3218,2415,1972,1262,537,185,52,17852,1648,1084,1008,879,834,617,338,271,99,6777,13370,9077,9316,8319,8290,7111,4039,2115,660,62293,294,135,355,413,195,133,84,22,7,1629,1388,1015,993,1295,1806,1877,1619,827,279,11097,0,0,0,0,0,0,0,0,0,0,507,270,291,278,258,220,98,80,18,2007,52,38,31,36,18,17,16,3,8,220,2866,1546,2195,1988,1761,1563,1054,492,147,13616,28,20,18,27,21,16,33,13,3,180,56,21,45,39,32,29,10,11,3,237,66,37,38,57,44,55,45,19,7,367
LGA50250,878,389,1022,1080,886,469,85,12,3,4820,5,3,22,6,4,0,0,0,0,30,9,3,8,15,3,0,0,0,0,46,0,0,0,0,0,0,0,0,0,5,7,4,5,3,4,0,0,0,0,23,0,0,3,0,0,0,0,0,0,5,3,3,11,10,3,3,0,0,0,34,10,4,22,10,11,3,0,0,0,60,657,390,798,627,343,138,24,7,0,2992,217,223,527,445,335,150,15,6,0,1930,1784,1039,2431,2206,1617,774,136,16,4,10001,7,10,71,60,53,28,7,0,0,230,187,79,257,334,381,224,44,4,0,1510,0,0,0,0,0,0,0,0,0,0,28,9,23,38,32,24,0,0,0,159,0,0,0,0,0,0,0,0,0,0,353,137,742,654,511,262,36,12,0,2699,0,0,5,4,10,3,0,0,0,15,0,0,15,11,10,3,0,0,0,45,13,0,9,3,4,3,0,0,0,34
LGA50280,925,393,485,854,915,866,582,340,156,5505,7,0,3,5,10,4,0,0,0,31,15,5,7,11,5,0,0,0,0,45,3,0,0,3,4,4,0,0,0,17,0,6,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,4,14,7,6,9,3,5,0,48,6,3,14,7,13,9,3,5,0,57,1186,484,714,763,553,437,155,69,16,4374,310,158,228,255,239,178,75,43,17,1500,2469,1067,1512,1954,1765,1530,816,457,191,11762,33,21,26,41,35,41,11,7,0,214,225,108,110,254,300,411,365,199,86,2055,0,0,0,0,0,0,0,0,0,0,19,13,22,16,25,31,27,10,0,155,0,0,0,0,0,0,0,0,0,0,395,180,207,318,292,245,180,79,29,1919,6,0,0,0,6,0,3,0,0,20,0,0,0,3,3,8,3,0,0,26,23,14,20,15,18,13,3,3,0,116
LGA50350,1276,911,869,1141,1233,1220,778,635,233,8299,17,3,43,11,0,0,5,0,0,88,49,52,46,28,15,8,4,4,0,206,0,6,0,8,0,7,0,0,0,17,3,0,0,0,0,0,0,0,0,5,5,4,19,3,0,0,0,0,0,28,3,16,19,12,25,16,6,0,0,91,19,20,33,10,25,16,6,0,0,125,910,616,740,731,544,337,139,58,18,4095,256,172,201,177,171,128,77,57,21,1264,2557,1822,2002,2170,2041,1758,1015,762,281,14401,42,35,56,70,39,58,19,10,0,332,207,146,142,258,308,351,286,189,78,1976,0,0,0,0,0,0,0,0,0,0,26,18,21,18,23,16,20,8,0,154,0,0,0,0,0,0,0,0,0,3,731,386,421,499,534,435,351,246,93,3689,13,5,0,11,14,6,18,8,4,72,24,11,23,19,26,18,17,11,0,156,9,5,11,9,7,7,0,3,0,57
LGA50420,5492,3867,4683,5031,4852,4910,3555,2322,1091,35810,169,180,582,134,70,47,14,6,0,1211,489,295,427,253,168,103,55,11,8,1805,99,80,62,70,101,139,58,21,13,633,0,3,0,5,0,0,0,0,0,9,31,71,205,25,15,13,4,0,0,362,16,50,87,49,56,43,13,3,3,333,46,126,291,77,73,59,21,3,3,707,2475,2305,3250,2540,1796,1156,547,288,113,14473,872,750,1168,792,669,537,326,225,127,5472,9968,7903,10932,9348,8147,7304,4717,2965,1376,62666,255,276,439,441,393,378,192,81,27,2483,602,365,498,705,921,1075,1049,670,350,6229,0,0,0,0,0,0,0,0,0,0,108,77,104,98,97,96,77,39,23,722,0,0,0,0,0,0,0,0,0,5,3345,2055,2603,2491,2371,2131,1750,1169,446,18359,11,8,15,5,14,29,40,20,14,155,250,121,193,234,173,156,162,97,34,1420,32,13,30,31,33,29,12,34,12,225
LGA50490,2833,2109,2772,2739,2573,2409,1862,1398,549,19260,108,60,257,83,26,15,0,0,0,556,632,312,420,277,124,68,32,9,0,1872,3,5,4,3,0,4,0,0,0,22,0,0,0,0,5,0,0,0,0,10,48,69,131,13,3,0,4,0,0,265,12,15,49,29,26,18,6,6,0,162,52,79,182,43,28,25,12,5,0,434,1399,1432,1895,1261,972,562,244,142,34,7937,637,610,820,607,471,336,234,173,88,3971,5813,4790,6677,5211,4342,3519,2427,1748,671,35205,147,142,352,287,157,128,57,19,5,1296,289,252,337,434,607,711,617,478,219,3955,0,0,0,0,0,0,0,0,0,0,61,45,86,77,45,47,39,35,6,435,0,0,0,0,0,0,0,0,0,0,1700,1074,1558,1322,1145,975,736,549,223,9280,5,5,7,11,9,14,9,8,0,66,42,20,34,39,37,38,29,24,7,262,19,10,16,22,17,17,7,4,8,122
LGA50560,155,59,57,131,149,219,206,82,35,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,6,0,0,0,12,0,0,4,0,5,6,0,0,0,13,96,32,31,24,44,63,32,3,0,322,25,12,16,20,19,24,19,15,0,141,273,101,100,175,226,305,258,99,39,1565,0,0,3,0,3,4,4,4,0,12,56,22,20,41,87,93,95,70,23,504,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,6,0,0,26,0,0,0,0,0,0,0,0,0,0,27,17,27,27,22,56,42,14,3,248,4,0,0,0,0,0,0,3,0,5,3,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
LGA50630,169,81,141,202,198,187,91,37,15,1118,3,0,3,0,0,0,0,0,0,5,11,0,9,3,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,0,0,9,158,69,118,123,75,41,11,4,0,595,28,49,121,104,91,42,14,11,4,461,377,202,388,436,376,267,118,47,21,2228,0,0,0,5,4,0,0,0,0,8,59,24,22,52,78,80,60,27,4,408,0,0,0,0,0,0,0,0,0,0,6,0,5,8,7,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,53,20,30,32,60,37,23,8,0,269,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
LGA50770,177,46,87,130,166,183,146,66,27,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,10,131,48,47,70,56,44,25,9,3,423,28,6,13,17,21,14,11,9,4,120,340,101,146,216,242,240,178,82,36,1592,0,0,4,0,6,6,0,0,0,13,53,10,18,45,64,71,95,44,11,400,0,0,0,0,0,0,0,0,0,0,7,0,7,7,4,5,4,0,0,26,0,0,0,0,0,0,0,0,0,0,74,28,24,45,39,51,21,13,4,311,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,8
