LGA_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
LGA50080,98,36,32,69,885,34,26,153,181,129,52,36,60,662,39,39,123,165,117,53,42,86,661,4045,1664,4671,2993,1263,413,297,1067,16411
LGA50210,128,44,43,75,1011,35,36,165,160,106,56,37,93,686,22,36,114,119,94,48,54,90,581,10127,4979,10338,5492,2346,795,571,2173,36821
LGA50250,0,0,0,4,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,592,237,533,308,120,36,19,419,2270
LGA50280,19,3,3,13,221,15,10,36,43,25,4,3,15,143,14,8,24,52,31,22,9,14,163,1709,862,2057,1086,362,87,39,541,6747
LGA50350,35,3,8,22,277,10,22,43,55,30,10,11,20,204,13,13,57,63,33,18,18,20,241,2250,878,1846,900,337,106,86,405,6810
LGA50420,118,47,28,90,1127,54,63,237,231,117,59,41,89,889,59,67,225,230,162,71,82,138,1032,10829,4134,7552,3521,1243,388,322,1621,29606
LGA50490,53,19,12,45,522,31,24,118,127,74,20,21,66,481,35,42,103,115,91,49,43,101,574,6773,2394,3695,1951,834,292,198,1403,17537
LGA50560,7,0,0,5,44,3,0,7,9,3,0,0,3,29,0,0,5,9,0,0,0,6,27,119,61,199,159,60,29,14,89,727
LGA50630,7,0,0,6,25,0,0,3,4,0,0,0,4,17,0,0,0,3,0,0,0,0,7,131,75,177,121,60,15,11,67,652
LGA50770,7,0,0,13,47,3,0,4,7,5,4,4,4,28,0,0,0,7,4,3,0,0,20,122,58,194,154,78,17,14,93,744
LGA50840,29,4,0,18,140,0,3,25,11,19,7,0,6,70,5,5,6,11,5,4,7,5,57,462,220,653,427,213,43,28,183,2237
LGA50910,7,6,0,0,31,0,5,4,4,4,0,0,0,21,0,0,7,4,0,5,0,0,22,71,27,113,61,42,15,4,31,383
LGA50980,3,5,8,21,98,6,0,7,5,4,3,6,9,46,5,0,3,4,4,0,8,12,33,2218,711,1282,794,348,156,158,1096,6766
LGA51080,7,0,0,5,17,0,0,5,5,0,0,0,3,16,0,0,4,4,0,0,0,0,9,73,22,96,91,41,7,12,53,403
LGA51120,0,0,0,4,24,0,0,3,3,3,0,3,6,21,0,0,5,3,3,0,0,5,12,58,31,102,79,37,14,15,70,388
LGA51190,100,38,21,48,673,21,24,114,134,80,44,27,51,482,15,22,93,140,128,69,52,98,622,3543,1541,3961,2433,1052,399,227,1011,14159
LGA51260,97,37,5,77,923,36,28,142,175,100,35,15,59,588,34,38,121,151,144,62,40,60,645,3930,1757,5281,3361,1210,329,168,1113,17146
LGA51310,40,13,8,16,458,50,32,124,126,35,14,9,19,406,91,38,130,156,104,39,20,45,621,3921,1220,3715,2039,533,121,58,458,12062
LGA51330,154,41,44,76,1334,65,60,247,282,152,49,42,77,978,68,49,214,220,157,68,73,107,959,13168,5123,11063,5359,1784,524,408,1997,39434
LGA51400,29,8,0,17,234,3,6,20,32,29,9,4,8,117,5,0,15,16,15,9,11,7,82,1864,761,2236,1335,496,142,88,381,7313
LGA51470,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,45,20,61,36,18,5,4,35,218
LGA51540,8,0,6,14,69,0,0,4,10,7,0,4,11,39,0,0,12,3,0,0,3,4,40,515,176,456,290,146,57,45,378,2060
LGA51610,4,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,113,56,182,108,35,11,6,75,595
LGA51680,19,3,3,9,93,0,3,7,16,8,4,0,5,51,0,0,15,7,7,4,5,3,40,557,235,687,409,208,58,25,204,2376
LGA51710,0,4,0,3,8,5,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,134,54,127,81,40,11,12,91,546
LGA51750,20,7,0,20,330,14,15,68,81,36,10,0,13,239,33,20,72,93,62,16,15,30,344,1666,526,1367,893,245,54,28,294,5074
LGA51820,196,50,34,95,1426,39,75,286,295,163,49,43,122,1068,49,60,249,262,180,72,65,175,1115,15554,6495,14032,6891,2335,614,397,2410,48736
LGA51860,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,46,20,53,50,8,5,3,50,236
LGA51890,23,13,9,27,178,7,0,16,30,17,14,6,21,106,5,5,10,13,20,3,10,35,101,720,312,1000,759,326,119,48,329,3611
LGA51960,5,0,0,5,25,0,0,0,0,4,0,0,5,11,0,0,0,0,6,0,0,0,7,241,136,235,179,112,35,32,298,1262
LGA52030,4,0,0,4,39,0,0,5,0,0,0,0,0,7,0,0,3,0,0,4,0,5,13,60,40,125,88,35,17,4,49,419
LGA52100,9,3,0,0,25,0,0,3,8,3,0,0,0,15,0,0,3,0,8,4,3,3,25,68,36,112,111,38,21,3,32,409
LGA52170,15,0,3,12,177,9,4,35,27,10,0,6,11,107,10,3,28,30,22,8,4,29,125,1177,300,922,615,188,36,20,185,3437
LGA52240,3,0,0,4,30,0,0,0,3,4,3,0,0,11,0,0,0,0,0,0,0,4,5,73,39,112,97,35,8,8,51,421
LGA52310,0,0,0,3,15,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,8,72,29,109,63,35,9,5,41,358
LGA52380,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,16,12,6,8,0,8,70
LGA52450,3,0,5,0,12,0,0,3,7,0,0,0,0,9,4,0,4,0,0,0,0,3,13,112,36,125,93,43,14,17,48,489
LGA52520,0,0,0,3,24,0,0,0,5,4,0,0,0,14,0,0,0,4,9,8,0,0,27,88,52,98,103,48,18,14,82,500
LGA52590,10,0,0,12,79,0,4,10,12,14,3,0,5,40,0,0,7,6,8,5,8,3,41,264,120,393,280,127,27,15,152,1373
LGA52660,38,8,4,29,278,7,7,51,56,46,13,14,33,229,5,3,28,48,26,18,16,48,195,1346,629,1781,1155,443,140,90,372,5961
LGA52730,20,5,3,20,181,7,3,17,29,5,3,0,8,81,9,5,18,17,21,5,3,10,86,624,275,820,450,199,44,21,260,2695
LGA52800,0,5,4,8,39,0,0,3,0,0,5,5,3,23,0,0,0,0,0,5,4,5,20,746,308,349,274,213,114,109,610,2723
LGA52870,18,3,7,17,146,7,9,16,17,21,8,0,9,95,4,6,18,13,11,6,4,7,72,576,247,732,535,242,65,32,185,2609
LGA52940,6,0,0,0,11,0,0,4,0,3,3,0,0,8,0,0,0,0,5,0,0,0,10,40,21,63,70,30,13,4,27,265
LGA53010,0,0,0,0,3,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,49,17,49,57,21,8,0,45,252
LGA53080,0,0,0,5,15,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,68,21,50,35,20,6,9,56,278
LGA53150,7,0,0,11,144,8,11,35,25,11,8,0,14,111,13,9,31,32,13,0,8,47,149,1082,368,1032,543,135,19,16,203,3394
LGA53220,0,0,0,6,20,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,4,5,893,292,476,295,158,58,29,549,2746
LGA53290,47,15,8,41,284,4,4,32,48,40,10,14,28,182,4,0,19,39,40,24,19,22,171,1177,500,1524,1019,478,155,100,596,5553
LGA53360,5,0,0,3,39,0,0,3,0,0,0,0,3,10,0,0,0,0,0,0,0,0,9,460,119,297,146,47,13,10,131,1217
LGA53430,51,14,7,43,591,30,35,114,130,54,26,9,37,439,21,37,119,136,73,29,23,77,518,5295,1773,3562,1728,551,163,91,1008,14176
LGA53570,25,0,3,17,136,0,7,13,15,6,9,0,8,59,4,3,8,10,11,3,6,4,45,520,213,604,433,191,68,34,202,2264
