LGA_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA50080,228,63,232,297,36,22,59,798,885,1690,394,267,663,7,3,11,43,60,104,84,316,401,16,11,19,539,662,1207,308,156,468,3,11,16,29,47,84,141,442,584,11,8,20,498,661,1164,7711,7641,15353,510,606,1121,1386,1916,3303,456,1551,2003,5497,4687,10186,15562,16411,31970
LGA50210,266,90,303,391,35,26,57,967,1011,1975,412,282,694,19,7,25,66,85,152,89,301,393,37,9,45,617,686,1310,243,114,358,3,9,8,37,39,76,126,410,532,12,11,20,426,581,1006,17443,17652,35088,1132,1436,2571,2538,3620,6151,611,2131,2740,13562,11983,25544,35273,36821,72096
LGA50250,7,3,4,5,4,0,3,26,9,37,3,0,6,0,0,0,0,0,0,0,5,5,0,0,0,8,6,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,10,1455,1073,2526,155,75,229,288,167,456,27,36,62,1471,926,2397,3400,2270,5670
LGA50280,72,17,52,64,8,3,9,234,221,454,107,74,177,3,0,3,5,9,19,22,55,77,3,8,14,145,143,291,69,36,105,0,0,3,6,10,15,35,118,153,4,4,11,120,163,286,3244,3250,6498,215,239,453,555,753,1303,137,391,522,2470,2120,4589,6621,6747,13368
LGA50350,96,10,76,89,11,12,22,203,277,481,94,68,162,4,4,8,20,36,54,29,94,118,11,5,15,154,204,360,55,28,86,0,0,0,8,23,29,38,187,230,10,7,16,120,241,360,2738,2750,5486,202,289,494,563,835,1399,142,558,697,2674,2382,5055,6322,6810,13129
LGA50420,347,96,328,425,87,50,134,1067,1127,2190,509,332,840,18,14,27,85,122,207,99,395,491,46,26,78,752,889,1641,344,179,524,9,5,11,37,87,125,176,736,907,30,29,59,594,1032,1634,12724,12694,25419,839,1026,1866,2333,3250,5581,599,2259,2857,12164,10374,22539,28653,29606,58257
LGA50490,197,48,160,211,38,36,70,491,522,1011,210,150,360,9,9,19,40,63,107,59,236,299,20,18,44,340,481,815,163,88,252,9,6,16,36,41,74,102,422,521,21,20,43,328,574,902,7119,6960,14077,628,635,1264,1641,1942,3581,346,1324,1663,8269,6680,14952,17997,17537,35533
LGA50560,18,8,14,20,0,0,3,67,44,107,18,15,36,0,0,0,0,0,4,8,7,15,0,0,3,27,29,58,19,7,28,0,0,0,4,0,4,4,19,23,0,0,0,31,27,58,375,384,768,28,31,59,91,93,184,42,60,101,225,158,380,762,727,1491
LGA50630,9,0,4,9,0,0,3,23,25,50,14,10,19,0,0,0,4,6,0,3,3,6,0,0,0,22,17,29,9,5,8,0,0,0,0,0,0,0,8,8,0,0,0,11,7,20,335,319,657,27,26,56,81,70,149,24,33,61,219,194,409,677,652,1333
LGA50770,16,3,11,19,4,0,4,47,47,96,20,10,33,5,0,5,3,4,8,4,12,14,0,0,0,38,28,60,11,3,10,0,0,0,0,0,0,6,13,21,0,0,0,17,20,35,407,397,801,22,24,54,67,74,140,21,57,77,209,189,393,730,744,1469
