LGA_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA50080,1267,785,2051,1222,789,2016,1341,867,2215,973,1373,2343,1025,1529,2558,1152,1876,3027,2048,371,2421,2145,405,2552,2286,442,2726,478,1259,1742,579,1524,2101,670,1803,2475,272,1544,1815,279,1509,1785,262,1588,1845,512,1035,1548,572,1049,1623,572,1066,1636,964,72,1037,1023,77,1100,1099,102,1203,1228,651,1880,1233,777,2013,1389,835,2223,114,78,191,159,90,254,151,104,251,7857,7176,15029,8230,7759,15987,8925,8676,17599
LGA50210,1796,948,2742,2133,1191,3332,2659,1595,4253,1794,2243,4036,2488,3231,5728,3362,4552,7912,4857,769,5628,5475,914,6393,6216,1232,7445,764,2222,2990,1035,3058,4092,1416,4174,5586,1043,3623,4665,1260,3939,5194,1410,4328,5741,914,1884,2798,1190,2321,3511,1254,2321,3575,2834,323,3159,3362,410,3768,4000,607,4604,2075,1198,3277,2378,1351,3728,2793,1730,4526,330,138,470,345,204,546,485,322,809,16401,13350,29746,19664,16627,36286,23594,20859,44453
LGA50250,290,133,424,363,179,543,167,123,288,428,279,705,595,256,848,159,220,379,1569,131,1702,2694,135,2831,838,120,961,70,182,250,96,196,297,66,204,269,139,416,557,128,323,454,61,224,284,26,113,140,17,90,106,23,91,112,1310,242,1543,1459,287,1742,773,244,1022,402,230,633,1041,301,1349,232,186,415,63,32,89,101,26,128,64,34,100,4285,1750,6045,6505,1801,8302,2387,1444,3828
LGA50280,642,389,1030,699,462,1165,753,553,1310,351,449,806,442,652,1091,602,892,1489,850,170,1016,1002,185,1186,1169,265,1431,131,428,554,165,588,746,233,731,961,72,507,573,85,540,623,94,602,692,155,396,546,198,436,641,206,478,689,268,32,292,328,31,356,428,53,478,555,288,838,598,391,994,699,429,1133,38,28,74,64,32,97,68,48,111,3066,2674,5742,3577,3316,6891,4245,4049,8297
LGA50350,452,280,730,503,288,793,537,445,978,738,813,1557,759,945,1706,926,1188,2114,1038,179,1220,920,198,1118,958,231,1188,220,522,738,242,588,832,273,640,914,270,893,1159,279,842,1124,274,807,1080,230,377,609,205,324,528,250,362,613,442,47,493,380,56,437,404,58,467,406,230,637,383,216,597,402,221,629,72,43,119,60,53,115,64,55,115,3873,3382,7255,3728,3510,7246,4083,4014,8098
LGA50420,2177,1286,3468,2249,1498,3750,2586,1812,4391,3517,3826,7344,3674,4254,7926,4518,5279,9796,4351,862,5209,4169,805,4973,3938,973,4914,1093,2072,3169,1185,2410,3600,1349,2913,4261,1357,3784,5145,1249,3384,4631,1338,3467,4805,1133,1745,2881,1190,1726,2914,1115,1573,2685,1822,250,2070,1627,248,1868,1861,284,2152,1786,982,2772,1817,1039,2857,1884,1094,2982,312,161,472,328,216,541,331,242,572,17556,14963,32516,17484,15581,33067,18919,17633,36553
LGA50490,1064,624,1692,1088,722,1816,1357,943,2302,1590,1615,3206,1645,1886,3534,2246,2444,4690,2538,419,2961,2720,442,3158,2831,604,3432,557,1127,1684,685,1378,2064,789,1835,2625,720,2035,2753,699,1903,2604,760,2057,2818,575,848,1424,637,944,1579,671,968,1639,1370,233,1604,1364,183,1547,1683,305,1988,1072,633,1704,1212,750,1959,1272,786,2064,178,117,297,209,118,326,246,165,413,9665,7653,17315,10259,8333,18599,11855,10113,21968
LGA50560,142,63,196,113,63,174,114,59,170,21,42,62,23,42,64,17,57,74,69,16,78,90,21,107,53,16,74,10,47,57,11,53,61,15,47,57,7,50,53,12,57,70,0,57,60,6,18,24,14,29,39,8,24,31,56,3,61,66,10,78,65,11,76,40,25,68,45,28,71,59,32,92,3,4,8,3,0,4,9,6,17,347,264,612,365,303,673,344,311,651
LGA50630,85,32,120,74,34,103,60,39,97,79,61,144,47,48,99,32,44,79,247,28,278,142,24,168,125,24,149,21,58,79,14,47,60,13,39,55,29,89,112,12,76,81,8,69,76,0,19,22,9,23,34,10,18,25,187,49,237,156,54,214,137,54,190,76,51,125,41,30,72,33,39,76,20,9,30,9,5,18,8,4,15,761,385,1147,506,350,856,428,333,759
LGA50770,194,98,286,186,97,277,188,89,278,20,44,66,21,47,74,19,58,79,60,9,70,63,14,76,72,18,89,10,35,40,4,34,37,10,40,48,8,50,52,7,52,58,9,68,79,4,31,38,7,35,36,10,32,43,46,9,59,55,3,60,57,16,72,68,37,105,61,43,109,56,43,104,8,4,13,4,3,12,9,0,13,409,322,731,416,330,750,439,372,807
LGA50840,196,121,312,173,116,291,227,152,380,103,157,266,90,184,275,127,207,332,273,45,323,280,58,342,298,88,380,37,158,189,33,167,201,35,218,253,27,174,206,30,154,181,27,169,197,43,104,147,43,113,155,44,110,151,180,21,200,199,18,218,240,31,268,146,117,268,134,116,249,142,121,264,26,10,37,21,11,33,24,14,41,1036,913,1951,1007,934,1940,1157,1105,2261
LGA50910,115,46,165,96,45,144,92,32,126,6,23,27,11,26,36,8,21,33,26,7,36,25,7,30,27,9,33,8,33,44,10,26,36,4,33,37,4,28,32,0,24,29,5,32,38,7,16,23,7,11,17,13,9,21,28,4,36,26,3,27,28,9,29,20,17,39,34,24,55,33,30,61,3,3,9,7,4,19,3,5,6,218,185,403,216,178,395,212,179,395
LGA50980,559,400,957,602,399,1002,583,500,1088,552,793,1348,579,938,1517,631,1174,1808,995,154,1154,945,148,1092,862,138,1004,340,557,892,383,661,1044,383,760,1139,180,815,992,177,829,1008,184,817,997,151,387,540,181,377,561,194,356,552,366,35,403,322,21,346,352,48,401,442,209,652,426,224,650,445,281,725,80,49,132,94,65,155,105,69,174,3658,3393,7056,3713,3671,7382,3739,4149,7893
LGA51080,161,69,227,141,48,191,142,64,210,10,43,49,0,29,38,7,40,46,28,16,45,47,9,53,32,13,37,6,26,29,9,31,40,6,32,33,0,36,36,0,56,54,5,30,36,3,10,11,5,13,18,0,5,8,24,0,19,21,0,26,32,0,30,33,23,59,29,3,39,49,17,61,9,0,10,8,5,12,5,0,10,271,214,490,265,203,466,269,202,466
LGA51120,125,54,171,98,47,145,102,49,151,3,33,41,13,27,40,11,21,34,40,15,44,42,3,50,34,9,44,5,36,43,4,38,35,10,27,37,5,27,39,3,25,33,6,25,34,5,17,19,8,8,20,9,9,14,37,8,37,28,7,31,36,8,49,25,10,34,28,24,56,25,18,44,7,3,7,0,0,0,5,0,0,248,194,438,231,178,407,233,179,411
LGA51190,871,488,1356,790,472,1259,761,559,1322,1032,1211,2244,955,1344,2298,1002,1525,2525,2521,384,2907,2068,372,2441,2067,413,2482,256,1087,1339,276,1172,1450,383,1403,1779,306,1484,1789,263,1312,1573,299,1285,1582,435,1007,1440,437,909,1347,422,865,1281,1278,131,1408,1077,100,1175,1204,164,1373,1262,759,2023,1158,812,1971,1200,864,2063,121,68,194,130,78,211,141,87,236,8076,6624,14701,7151,6577,13729,7482,7166,14644
LGA51260,1206,703,1907,1272,843,2114,1469,1028,2498,851,1117,1973,960,1449,2403,1160,2003,3157,2211,364,2573,2546,414,2964,2830,569,3399,251,1051,1302,370,1411,1778,532,1797,2326,250,1376,1626,255,1507,1759,282,1589,1874,501,1003,1499,575,1131,1700,642,1161,1805,826,74,897,1001,107,1110,1107,163,1277,1125,708,1833,1228,797,2024,1333,992,2326,109,57,165,135,83,217,192,118,309,7335,6442,13785,8336,7735,16077,9546,9417,18958
LGA51310,1506,646,2151,1602,694,2293,1891,991,2887,2666,2495,5161,2670,2735,5402,3170,3271,6444,739,195,932,685,184,867,703,199,904,329,567,902,365,654,1020,427,801,1225,378,1211,1593,393,1094,1487,391,1200,1581,459,506,962,415,531,950,403,545,948,210,15,223,192,23,212,223,34,253,338,144,480,323,157,482,382,167,547,96,57,157,98,81,179,97,100,200,6726,5837,12561,6747,6155,12898,7677,7311,14988
LGA51330,2927,1366,4293,2784,1397,4180,2948,1686,4632,5180,5015,10189,4838,5319,10152,6058,6373,12439,5144,992,6143,4899,980,5882,5132,1252,6382,1358,2878,4235,1520,3218,4736,1861,4239,6100,1846,5006,6848,1588,4008,5595,1718,3934,5659,1590,2341,3926,1621,2277,3899,1524,2230,3757,2466,303,2769,2360,263,2626,3021,417,3434,2564,1407,3975,2782,1572,4355,2901,1891,4788,419,228,647,422,275,700,528,325,854,23493,19532,43030,22821,19312,42132,25681,22361,48045
LGA51400,553,264,820,525,315,837,583,375,955,533,715,1246,560,882,1439,593,1046,1641,1150,171,1323,1281,201,1480,1362,261,1627,122,469,594,168,677,847,227,874,1095,120,773,899,142,803,947,166,839,1006,197,394,592,227,492,725,217,503,717,571,52,625,630,56,684,750,98,846,450,257,711,585,349,933,627,413,1041,40,31,70,83,47,129,84,47,127,3746,3133,6877,4211,3814,8021,4605,4454,9068
LGA51470,64,16,84,53,20,69,53,17,69,6,20,31,11,19,27,5,13,20,23,9,31,36,3,38,24,3,31,0,11,12,0,6,11,4,14,19,0,22,21,0,24,24,0,25,25,10,11,19,7,8,12,7,8,16,33,9,41,23,4,33,26,3,29,15,12,24,24,16,36,21,19,41,0,0,0,0,0,0,0,0,0,156,109,264,152,103,256,144,106,252
LGA51540,332,198,534,276,188,465,268,181,448,119,183,296,107,191,295,86,195,282,282,53,325,260,49,309,240,37,275,72,167,236,80,165,243,100,178,278,58,245,305,53,246,295,49,214,269,44,121,159,61,108,166,55,129,186,206,17,225,151,11,161,154,13,170,252,152,401,198,165,361,171,159,328,33,21,48,36,19,53,31,22,52,1384,1149,2534,1211,1136,2348,1148,1129,2279
LGA51610,122,51,171,97,51,151,107,56,161,24,39,65,41,56,91,34,69,103,67,19,85,90,13,103,97,27,125,0,31,37,7,31,38,16,48,62,11,48,58,6,88,96,17,81,97,9,29,34,11,33,45,11,32,46,35,8,48,60,10,64,64,12,82,51,22,70,38,18,58,43,23,63,0,3,5,6,5,12,3,4,7,322,247,573,352,301,654,394,352,747
LGA51680,228,113,339,255,152,412,270,167,441,97,126,220,98,154,255,116,210,328,317,88,404,387,104,491,500,96,596,54,120,175,66,149,219,72,216,288,56,248,300,48,294,345,60,312,375,42,111,157,58,112,166,51,123,171,196,26,215,233,33,267,282,57,335,134,116,259,203,124,328,162,141,306,29,10,43,35,18,56,31,15,51,1153,953,2105,1391,1144,2531,1546,1347,2893
LGA51710,63,20,87,64,40,106,55,45,100,49,66,121,30,54,83,27,67,97,134,14,146,130,17,148,134,10,143,30,56,92,57,59,120,49,75,123,25,83,112,28,72,101,21,73,92,3,5,12,0,13,13,3,11,14,74,9,86,92,10,105,75,4,80,73,57,130,77,58,136,54,53,105,17,9,26,19,4,19,14,6,16,483,329,809,501,319,816,427,345,771
LGA51750,509,245,751,547,294,837,648,382,1027,903,880,1779,954,922,1881,1136,1186,2324,175,55,231,173,61,240,194,70,259,156,268,417,143,232,378,203,328,533,113,374,492,124,327,450,128,410,535,164,191,357,165,198,358,160,210,371,60,3,62,55,3,55,68,11,78,114,35,151,115,39,150,130,59,183,35,15,50,38,29,65,41,30,74,2219,2076,4292,2314,2105,4421,2706,2674,5382
LGA51820,3326,1677,5000,3632,2025,5656,4363,2827,7197,3757,4612,8375,4549,5974,10521,6037,8140,14180,7477,1116,8593,7787,1359,9147,8720,1785,10505,1098,3196,4293,1420,3923,5345,1903,5342,7236,1587,5754,7341,1609,5876,7484,1842,6465,8308,1438,2724,4162,1564,3078,4642,1780,3071,4847,3058,332,3388,3008,342,3348,3642,540,4178,2824,1598,4426,2970,1759,4728,3400,2017,5419,451,260,715,566,323,887,621,421,1039,25032,21262,46294,27109,24656,51765,32304,30605,62912
LGA51860,15,8,24,20,6,27,24,16,37,14,19,33,12,15,34,18,20,34,35,4,39,30,3,35,30,8,40,10,20,28,3,22,27,12,23,39,13,20,33,6,20,28,5,18,21,0,6,6,0,6,5,0,7,12,13,0,13,16,0,16,9,3,11,24,6,31,30,4,41,31,10,46,3,0,4,10,4,12,0,0,0,131,89,220,133,94,222,129,112,239
LGA51890,139,111,244,109,120,223,120,107,230,144,202,349,83,202,281,90,207,296,1020,114,1136,655,113,770,666,126,790,60,270,332,48,290,339,50,346,397,52,292,348,45,276,323,37,260,291,49,237,289,42,210,257,53,202,252,600,49,655,500,59,558,453,100,560,429,296,728,245,231,477,291,239,529,62,25,86,43,16,59,51,26,79,2560,1608,4161,1767,1518,3282,1811,1608,3420
LGA51960,56,38,90,35,43,76,50,35,82,79,77,156,57,72,128,44,69,114,345,48,398,288,44,338,250,44,291,28,95,123,20,96,120,20,86,109,19,131,153,15,109,128,18,105,127,7,57,68,7,77,90,14,58,69,516,61,576,358,57,412,328,73,405,109,96,203,69,81,155,50,76,129,31,16,44,11,14,24,20,17,33,1185,622,1804,866,602,1473,797,566,1359
LGA52030,118,50,168,100,44,149,92,43,132,15,28,38,10,18,27,14,18,31,47,10,54,46,3,48,40,10,50,5,22,23,6,15,21,6,17,22,0,34,31,5,46,44,0,46,45,0,11,15,0,10,15,7,15,17,52,9,64,42,9,44,52,6,60,56,25,87,46,24,66,28,23,54,0,0,0,3,0,3,6,4,7,296,189,487,260,169,427,242,189,426
LGA52100,146,60,212,125,60,183,129,63,188,12,37,52,13,44,57,6,31,40,59,16,71,47,12,61,50,6,51,3,41,42,4,23,25,3,34,43,0,50,50,5,47,55,6,50,57,15,18,30,9,16,24,17,20,33,45,8,51,44,9,46,38,4,44,33,21,50,41,23,64,37,19,62,4,0,6,4,4,9,7,0,11,318,244,562,300,229,527,293,233,527
