LGA_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
LGA50080,6,14,0,408,604,105,0,115,8,835,13967,1175,74,401,53,15664
LGA50210,24,8,7,391,1277,259,35,81,10,1663,30340,3014,252,312,43,33956
LGA50250,14,42,30,280,230,10,3,120,54,414,1702,100,54,808,192,2862
LGA50280,9,13,5,200,419,23,5,79,13,535,5972,307,44,231,56,6612
LGA50350,9,0,0,100,214,85,15,4,0,323,5174,1137,305,8,10,6632
LGA50420,32,0,0,384,629,316,199,24,14,1182,20382,5655,2961,34,38,29068
LGA50490,19,0,0,204,591,255,181,15,12,1049,11613,3697,2604,42,41,17996
LGA50560,0,0,0,38,83,7,0,0,0,91,724,15,0,18,4,767
LGA50630,0,0,0,19,52,11,0,5,0,66,629,28,0,15,6,670
LGA50770,0,0,0,42,79,0,0,4,0,81,753,7,0,7,0,763
LGA50840,0,5,4,79,128,8,0,7,4,145,2106,60,7,37,11,2217
LGA50910,0,0,0,29,34,0,0,0,0,36,358,9,0,0,0,370
LGA50980,0,80,28,288,597,153,21,161,70,1006,4694,886,147,2461,310,8495
LGA51080,0,0,0,37,46,0,0,0,0,46,406,3,0,3,5,421
LGA51120,0,0,4,27,48,0,0,0,5,60,340,20,0,11,21,393
LGA51190,20,5,0,280,497,261,66,74,8,912,10653,2785,561,190,38,14228
LGA51260,19,24,4,468,639,130,4,105,14,897,14056,1507,85,438,50,16136
LGA51310,107,0,0,312,132,43,80,4,0,256,7750,1234,1626,3,16,10634
LGA51330,62,0,3,670,788,372,120,22,15,1311,27272,5751,1425,65,72,34578
LGA51400,6,4,5,77,240,25,12,10,0,286,6186,203,75,25,12,6496
LGA51470,0,0,3,30,34,0,0,13,0,48,253,24,5,13,7,300
LGA51540,0,39,10,116,229,77,15,69,36,422,1593,310,71,1207,133,3306
LGA51610,0,0,0,30,71,0,0,0,0,70,548,0,0,44,3,594
LGA51680,0,0,0,52,145,0,0,3,4,154,2052,6,17,11,7,2092
LGA51710,11,0,3,53,18,9,24,0,0,59,223,111,152,3,6,499
LGA51750,106,0,0,155,48,50,90,0,0,187,2115,1042,1434,0,3,4603
LGA51820,38,8,5,492,1066,339,185,126,16,1733,36329,5387,3030,361,64,45173
LGA51860,0,0,0,24,35,0,0,0,5,36,159,0,4,0,10,168
LGA51890,0,0,0,47,242,17,8,8,3,280,3374,123,112,32,12,3653
LGA51960,0,0,4,29,239,41,6,10,16,307,1238,128,32,29,30,1456
LGA52030,0,0,0,38,61,0,0,3,3,70,475,17,0,19,9,519
LGA52100,0,0,0,29,23,10,0,0,0,29,398,24,0,8,0,427
LGA52170,4,0,0,57,50,20,39,0,0,110,2111,391,642,0,3,3138
LGA52240,0,0,5,55,43,0,0,6,0,53,442,0,0,11,8,468
LGA52310,0,0,0,20,36,0,0,0,0,39,388,3,0,5,0,397
LGA52380,0,0,0,11,18,0,0,50,3,72,88,0,0,66,13,161
LGA52450,0,0,0,26,32,0,0,0,0,35,469,13,0,11,0,492
LGA52520,0,3,6,36,68,3,0,8,0,81,471,14,0,22,8,519
LGA52590,0,9,0,76,92,8,3,23,0,127,1295,44,5,125,21,1496
LGA52660,0,9,0,197,209,22,3,50,4,283,5084,322,16,151,9,5578
LGA52730,0,3,0,104,202,14,0,81,4,302,2417,184,3,124,13,2745
LGA52800,0,47,17,214,340,60,0,172,38,609,1976,201,4,729,134,3043
LGA52870,0,0,5,73,136,0,5,6,0,152,2361,43,6,35,18,2470
LGA52940,0,0,0,26,30,0,0,0,0,30,298,4,0,14,0,322
LGA53010,0,0,0,32,46,0,0,0,0,43,266,6,0,3,3,279
LGA53080,0,5,8,33,51,0,0,9,3,68,292,0,4,38,34,372
LGA53150,9,0,0,31,51,22,23,3,0,95,1982,570,449,18,3,3022
LGA53220,14,16,21,263,195,19,20,14,25,269,1817,73,82,371,119,2456
