LGA_CODE_2021,C21_450_549_1PF_CU15_DS,C21_450_549_1PF_CU15_NDS,C21_450_549_1PFnoCU15_DS,C21_450_549_1PF_NDCO,C21_450_549_Tot,C21_550_649_1PF_CU15_DS,C21_550_649_1PF_CU15_NDS,C21_550_649_1PFnoCU15_DS,C21_550_649_1PF_NDCO,C21_550_649_Tot,C21_650_749_1PF_CU15_DS,C21_650_749_1PF_CU15_NDS,C21_650_749_1PFnoCU15_DS,C21_650_749_1PF_NDCO,C21_650_749_Tot,C21_750_849_1PF_CU15_DS,C21_750_849_1PF_CU15_NDS,C21_750_849_1PFnoCU15_DS,C21_750_849_1PF_NDCO,C21_750_849_Tot,C21_850_949_1PF_CU15_DS,C21_850_949_1PF_CU15_NDS,C21_850_949_1PFnoCU15_DS,C21_850_949_1PF_NDCO,C21_850_949_Tot,C21_950over_1PF_CU15_DS,C21_950over_1PF_CU15_NDS,C21_950over_1PFnoCU15_DS,C21_950over_1PF_NDCO,C21_950over_Tot,C21_Rns_1PF_CU15_DS,C21_Rns_1PF_CU15_NDS,C21_Rns_1PFnoCU15_DS,C21_Rns_1PF_NDCO,C21_Rns_Tot,C21_Tot_1PF_CU15_DS,C21_Tot_1PF_CU15_NDS,C21_Tot_1PFnoCU15_DS,C21_Tot_1_pa_f_NDCO,C21_Tot_Tot
LGA50080,5,21,5,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,23,81,421,77,179,761
LGA50210,23,82,23,20,145,6,7,0,7,18,0,4,0,3,5,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,4,30,6,12,51,174,1079,170,404,1826
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,49,12,19,90
LGA50280,0,18,3,4,29,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,20,130,16,57,230
LGA50350,3,9,0,12,24,0,6,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,9,30,187,27,91,338
LGA50420,18,86,34,39,176,4,18,3,3,37,3,0,5,4,10,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,0,12,10,9,39,107,610,163,320,1200
LGA50490,11,32,13,33,92,0,10,0,7,22,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,11,32,69,442,112,298,922
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,18
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,5,31
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,3,4,27
LGA50840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,29,10,6,54
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,12
LGA50980,0,21,0,4,35,6,11,0,5,25,4,15,6,0,19,0,3,3,0,6,0,0,0,3,3,0,0,0,0,3,4,25,7,10,47,53,340,41,142,576
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,16
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,4
LGA51190,3,10,5,4,28,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,21,77,535,88,264,964
LGA51260,26,52,14,24,116,3,14,5,4,23,4,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,94,377,63,164,694
LGA51310,3,19,9,4,38,8,17,4,4,33,6,7,10,3,26,4,3,0,0,10,0,9,5,0,10,0,3,6,0,8,0,3,0,0,3,27,111,42,28,203
LGA51330,37,89,47,37,212,10,22,8,10,55,3,11,5,3,16,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,16,10,10,39,197,640,225,325,1390
LGA51400,0,9,4,0,18,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,6,13,36,182,35,49,299
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4
LGA51540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,11,6,72,13,32,127
LGA51610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5
LGA51680,0,3,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,11,37
LGA51710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,3,18
LGA51750,5,17,6,12,41,4,14,11,4,27,3,6,3,3,15,3,3,0,0,10,0,4,0,6,9,0,10,5,3,17,0,0,0,0,0,17,74,38,26,159
LGA51820,42,184,42,65,336,11,31,19,10,67,0,5,3,8,13,0,3,0,0,3,0,9,0,0,9,0,0,0,0,3,5,36,0,13,59,194,1143,263,472,2074
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
LGA51890,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,15,102,10,24,158
LGA51960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,51,8,6,66
LGA52030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8
LGA52100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,7
LGA52170,0,7,3,6,10,0,7,0,6,11,0,5,0,0,5,8,5,0,0,11,0,4,0,0,3,5,11,0,3,20,0,0,0,0,0,10,35,14,17,73
LGA52240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11
LGA52310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA52450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,4,19
LGA52520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7
LGA52590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,4,3,36
LGA52660,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,23,144,25,44,231
LGA52730,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,24,15,90
LGA52800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,13,19,219,12,89,333
LGA52870,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,4,19,61
LGA52940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
LGA53010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
LGA53080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7
LGA53150,3,10,0,0,18,0,9,0,3,13,5,4,4,4,10,0,3,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,43,12,25,101
LGA53220,3,4,0,0,6,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,18,105,7,39,170
LGA53290,0,0,4,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,10,33,128,16,56,239
LGA53360,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,12,36
LGA53430,5,46,14,15,80,3,16,11,12,42,0,11,3,8,15,0,7,5,0,13,0,0,0,0,3,0,8,0,0,8,0,12,5,6,20,41,258,84,140,526
LGA53570,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,27,0,12,45
LGA53640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,4,10
LGA53710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12
LGA53780,22,89,20,49,191,0,11,11,9,27,0,5,0,5,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,11,43,10,19,83,232,1215,247,569,2258
LGA53800,0,8,0,0,15,0,3,0,0,3,0,3,0,0,3,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,4,8,22,102,560,91,195,950
LGA53920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,13,24,162,12,63,257
LGA53990,0,10,0,8,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,14,46,300,45,99,493
LGA54060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,50,13,8,69
LGA54130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7
LGA54170,64,212,82,84,445,26,63,24,24,144,7,20,9,9,48,5,5,5,0,16,0,8,0,0,10,6,0,3,0,9,4,24,5,14,46,256,998,313,430,2005
