LGA_CODE_2021,C21_CFNC_BPT_2000_2499,C21_CFNC_BPT_2500_2999,C21_CFNC_BPT_3000_3999,C21_CFNC_BPT_4000more,C21_CFNC_BPT_Ns,C21_CFNC_BPT_Tot,C21_CFNC_1F1P_Neg_ni_inc,C21_CFNC_1F1P_1_149,C21_CFNC_1F1P_150_399,C21_CFNC_1F1P_400_649,C21_CFNC_1F1P_650_799,C21_CFNC_1F1P_800_1249,C21_CFNC_1F1P_1250_1999,C21_CFNC_1F1P_2000_2499,C21_CFNC_1F1P_2500_2999,C21_CFNC_1F1P_3000_3999,C21_CFNC_1F1P_4000more,C21_CFNC_1F1P_Ns,C21_CFNC_1F1P_Tot,C21_CFNC_1E1A_Neg_ni_inc,C21_CFNC_1E1A_1_149,C21_CFNC_1E1A_150_399,C21_CFNC_1E1A_400_649,C21_CFNC_1E1A_650_799,C21_CFNC_1E1A_800_1249,C21_CFNC_1E1A_1250_1999,C21_CFNC_1E1A_2000_2499,C21_CFNC_1E1A_2500_2999,C21_CFNC_1E1A_3000_3999,C21_CFNC_1E1A_4000more,C21_CFNC_1E1A_Ns,C21_CFNC_1E1A_Tot,C21_CFNC_1F1NW_Neg_ni_inc,C21_CFNC_1F1NW_1_149,C21_CFNC_1F1NW_150_399,C21_CFNC_1F1NW_400_649,C21_CFNC_1F1NW_650_799,C21_CFNC_1F1NW_800_1249,C21_CFNC_1F1NW_1250_1999,C21_CFNC_1F1NW_2000_2499,C21_CFNC_1F1NW_2500_2999,C21_CFNC_1F1NW_3000_3999,C21_CFNC_1F1NW_4000more,C21_CFNC_1F1NW_Ns,C21_CFNC_1F1NW_Tot,C21_CFNC_1P1NW_Neg_ni_inc,C21_CFNC_1P1NW_1_149,C21_CFNC_1P1NW_150_399,C21_CFNC_1P1NW_400_649,C21_CFNC_1P1NW_650_799,C21_CFNC_1P1NW_800_1249,C21_CFNC_1P1NW_1250_1999,C21_CFNC_1P1NW_2000_2499,C21_CFNC_1P1NW_2500_2999,C21_CFNC_1P1NW_3000_3999,C21_CFNC_1P1NW_4000more,C21_CFNC_1P1NW_Ns,C21_CFNC_1P1NW_Tot,C21_CFNC_1A1NW_Neg_ni_inc,C21_CFNC_1A1NW_1_149,C21_CFNC_1A1NW_150_399,C21_CFNC_1A1NW_400_649,C21_CFNC_1A1NW_650_799,C21_CFNC_1A1NW_800_1249,C21_CFNC_1A1NW_1250_1999,C21_CFNC_1A1NW_2000_2499,C21_CFNC_1A1NW_2500_2999,C21_CFNC_1A1NW_3000_3999,C21_CFNC_1A1NW_4000more,C21_CFNC_1A1NW_Ns,C21_CFNC_1A1NW_Tot,C21_CFNC_BA_Neg_ni_inc,C21_CFNC_BA_1_149,C21_CFNC_BA_150_399,C21_CFNC_BA_400_649,C21_CFNC_BA_650_799,C21_CFNC_BA_800_1249,C21_CFNC_BA_1250_1999,C21_CFNC_BA_2000_2499,C21_CFNC_BA_2500_2999,C21_CFNC_BA_3000_3999,C21_CFNC_BA_4000more,C21_CFNC_BA_Ns,C21_CFNC_BA_Tot,C21_CFNC_BNW_Neg_ni_inc,C21_CFNC_BNW_1_149,C21_CFNC_BNW_150_399,C21_CFNC_BNW_400_649,C21_CFNC_BNW_650_799,C21_CFNC_BNW_800_1249,C21_CFNC_BNW_1250_1999,C21_CFNC_BNW_2000_2499,C21_CFNC_BNW_2500_2999,C21_CFNC_BNW_3000_3999,C21_CFNC_BNW_4000more,C21_CFNC_BNW_Ns,C21_CFNC_BNW_Tot,C21_CFNC_LFns_Neg_ni_inc,C21_CFNC_LFns_1_149,C21_CFNC_LFns_150_399,C21_CFNC_LFns_400_649,C21_CFNC_LFns_650_799,C21_CFNC_LFns_800_1249,C21_CFNC_LFns_1250_1999,C21_CFNC_LFns_2000_2499,C21_CFNC_LFns_2500_2999,C21_CFNC_LFns_3000_3999,C21_CFNC_LFns_4000more,C21_CFNC_LFns_Ns,C21_CFNC_LFns_Tot,C21_CFNC_Tot_Neg_ni_inc,C21_CFNC_Tot_1_149,C21_CFNC_Tot_150_399,C21_CFNC_Tot_400_649,C21_CFNC_Tot_650_799,C21_CFNC_Tot_800_1249,C21_CFNC_Tot_1250_1999,C21_CFNC_Tot_2000_2499,C21_CFNC_Tot_2500_2999,C21_CFNC_Tot_3000_3999,C21_CFNC_Tot_4000more,C21_CFNC_Tot_Ns,C21_CFNC_Tot_Tot,C21_CF_BFT_Neg_ni_inc,C21_CF_BFT_1_149,C21_CF_BFT_150_399,C21_CF_BFT_400_649,C21_CF_BFT_650_799,C21_CF_BFT_800_1249,C21_CF_BFT_1250_1999,C21_CF_BFT_2000_2499,C21_CF_BFT_2500_2999,C21_CF_BFT_3000_3999,C21_CF_BFT_4000more,C21_CF_BFT_Ns,C21_CF_BFT_Tot,C21_CF_BPT_Neg_ni_inc,C21_CF_BPT_1_149,C21_CF_BPT_150_399,C21_CF_BPT_400_649,C21_CF_BPT_650_799,C21_CF_BPT_800_1249,C21_CF_BPT_1250_1999,C21_CF_BPT_2000_2499,C21_CF_BPT_2500_2999,C21_CF_BPT_3000_3999,C21_CF_BPT_4000more,C21_CF_BPT_Ns,C21_CF_BPT_Tot,C21_CF_1F1P_Neg_ni_inc,C21_CF_1F1P_1_149,C21_CF_1F1P_150_399,C21_CF_1F1P_400_649,C21_CF_1F1P_650_799,C21_CF_1F1P_800_1249,C21_CF_1F1P_1250_1999,C21_CF_1F1P_2000_2499,C21_CF_1F1P_2500_2999,C21_CF_1F1P_3000_3999,C21_CF_1F1P_4000more,C21_CF_1F1P_Ns,C21_CF_1F1P_Tot,C21_CF_1E1A_Neg_ni_inc,C21_CF_1E1A_1_149,C21_CF_1E1A_150_399,C21_CF_1E1A_400_649,C21_CF_1E1A_650_799,C21_CF_1E1A_800_1249,C21_CF_1E1A_1250_1999,C21_CF_1E1A_2000_2499,C21_CF_1E1A_2500_2999,C21_CF_1E1A_3000_3999,C21_CF_1E1A_4000more,C21_CF_1E1A_Ns,C21_CF_1E1A_Tot,C21_CF_1F1NW_Neg_ni_inc,C21_CF_1F1NW_1_149,C21_CF_1F1NW_150_399,C21_CF_1F1NW_400_649,C21_CF_1F1NW_650_799,C21_CF_1F1NW_800_1249,C21_CF_1F1NW_1250_1999,C21_CF_1F1NW_2000_2499,C21_CF_1F1NW_2500_2999,C21_CF_1F1NW_3000_3999,C21_CF_1F1NW_4000more,C21_CF_1F1NW_Ns,C21_CF_1F1NW_Tot,C21_CF_1P1NW_Neg_ni_inc,C21_CF_1P1NW_1_149,C21_CF_1P1NW_150_399,C21_CF_1P1NW_400_649,C21_CF_1P1NW_650_799,C21_CF_1P1NW_800_1249,C21_CF_1P1NW_1250_1999,C21_CF_1P1NW_2000_2499,C21_CF_1P1NW_2500_2999,C21_CF_1P1NW_3000_3999,C21_CF_1P1NW_4000more,C21_CF_1P1NW_Ns
LGA50080,44,17,24,19,4,314,0,3,0,0,6,26,209,156,112,95,57,6,677,0,0,0,3,3,3,26,26,24,20,21,8,138,0,0,3,5,10,73,116,65,20,33,26,4,365,0,3,16,20,48,148,107,32,10,8,7,3,397,0,0,5,3,5,10,23,8,3,10,3,0,68,0,0,0,0,3,8,11,10,9,4,3,0,50,55,40,26,165,492,461,307,57,27,30,18,57,1735,3,0,0,3,10,9,6,0,0,0,0,276,312,67,46,47,216,598,845,1036,559,386,368,253,363,4786,0,0,0,0,3,4,48,110,139,213,171,36,725,0,0,0,0,0,19,59,43,23,28,13,13,199,0,3,0,3,6,32,266,264,237,269,148,59,1279,0,0,0,0,0,4,35,42,28,41,23,5,188,0,0,0,0,8,47,220,103,41,46,53,27,551,0,0,4,7,9,35,49,24,7,14,7,14
LGA50210,41,24,22,10,4,325,0,0,0,0,5,47,366,287,231,191,91,4,1231,0,0,0,0,5,11,48,44,41,51,35,9,243,4,0,0,3,25,182,315,184,46,64,63,12,900,3,6,18,60,71,161,141,34,21,14,18,6,556,0,0,5,5,5,14,20,11,3,4,9,4,87,0,0,0,0,0,4,12,11,13,19,8,5,76,179,55,67,246,671,619,347,57,33,18,20,81,2394,7,0,0,0,8,5,4,0,0,0,0,564,589,192,63,87,337,804,1126,1576,1097,803,957,566,703,8311,4,0,0,3,0,12,115,355,418,746,745,119,2525,0,0,0,5,6,46,142,75,71,62,48,19,471,5,0,0,0,3,50,688,745,722,814,504,104,3643,0,0,0,0,0,15,100,115,114,155,113,28,646,5,0,3,13,32,292,915,506,174,285,287,75,2567,3,0,4,30,33,104,165,95,24,38,25,29
LGA50250,0,0,0,0,0,8,0,0,0,0,0,0,5,9,7,11,14,0,48,0,0,0,0,0,0,0,5,0,6,18,0,24,0,0,0,0,0,3,4,12,0,8,9,0,37,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,4,0,17,0,0,0,4,0,5,5,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,40,50,0,0,0,11,3,13,29,42,38,105,125,48,419,0,0,0,0,0,0,0,4,5,36,81,7,141,0,0,0,0,0,0,0,5,0,9,5,3,18,0,0,0,0,0,0,6,20,39,51,45,5,162,0,0,0,0,0,0,3,3,12,24,19,4,55,0,0,0,0,0,3,11,31,8,35,27,5,123,0,0,0,0,0,0,0,5,0,0,0,0
LGA50280,25,11,13,12,3,185,0,0,0,5,0,14,116,70,51,39,21,0,321,0,0,0,3,0,4,13,14,13,4,7,3,58,0,0,0,0,0,22,38,19,11,9,10,4,115,0,0,3,20,10,44,37,7,0,0,6,0,138,0,0,0,0,5,6,4,3,0,7,3,0,37,0,0,0,0,0,0,5,0,0,0,5,0,28,17,11,15,52,115,152,115,26,13,14,7,11,547,0,0,0,0,0,0,5,0,0,0,0,160,168,24,11,21,91,149,289,443,242,157,147,111,187,1856,0,0,0,0,0,4,33,44,47,64,52,28,271,0,0,0,0,4,10,52,22,13,20,14,18,154,0,0,0,3,4,17,149,122,103,126,52,29,607,0,0,0,0,0,11,19,10,17,28,23,5,112,0,0,0,6,0,25,59,39,22,29,25,13,223,0,0,0,0,5,25,27,11,0,9,3,5
LGA50350,3,4,5,5,0,55,0,0,0,4,0,4,50,56,50,47,40,5,244,0,0,0,0,0,3,4,3,8,13,11,0,48,0,0,0,6,0,27,61,39,12,6,22,0,180,0,0,0,10,16,35,23,12,3,3,0,0,106,0,0,0,0,0,6,4,0,4,0,0,0,24,0,0,0,0,0,0,0,0,0,5,0,3,11,12,10,6,42,144,118,63,21,3,9,5,8,446,0,0,0,4,0,0,0,0,0,0,0,114,121,14,17,5,59,159,207,264,210,171,230,191,139,1672,0,0,0,0,0,4,13,26,52,107,152,20,374,0,0,0,0,0,11,25,19,17,15,17,0,112,0,0,0,0,0,6,57,97,105,175,147,17,609,0,0,0,0,0,0,10,7,16,35,26,5,105,0,0,0,0,0,14,84,63,14,46,28,5,259,0,0,0,0,0,17,33,14,3,6,5,5
LGA50420,50,32,20,16,0,372,0,0,0,0,4,39,330,236,195,240,149,5,1194,0,0,0,0,0,4,20,33,24,40,54,10,187,0,0,4,11,23,107,220,120,56,51,64,7,665,3,4,13,47,66,132,129,35,16,7,13,4,472,0,0,3,4,3,4,20,10,3,5,6,7,71,0,0,0,0,0,4,4,5,11,9,10,3,46,156,49,26,247,617,546,331,64,38,23,18,45,2162,3,0,0,3,8,11,5,3,0,3,0,501,541,159,57,51,332,735,931,1319,899,722,1038,926,588,7754,0,0,0,0,0,9,80,162,174,456,663,72,1622,0,0,0,3,4,35,93,54,47,57,43,17,355,0,0,0,5,4,43,318,326,396,647,648,62,2448,0,0,0,0,0,4,37,53,66,122,135,17,433,0,0,0,10,18,124,341,243,102,156,223,43,1252,0,0,10,20,31,79,94,48,26,39,27,25
LGA50490,35,11,18,10,0,241,0,0,0,3,0,15,248,173,122,87,55,0,710,0,0,0,0,0,3,25,30,14,21,24,4,118,0,0,0,3,12,79,165,83,34,40,48,5,464,4,5,12,24,27,83,56,20,16,7,14,0,256,0,0,0,0,3,9,16,5,0,3,0,4,58,0,0,0,0,0,0,11,4,8,8,3,3,36,77,18,25,88,267,227,145,28,13,11,9,15,925,3,0,0,0,10,3,3,0,0,0,0,384,400,89,23,30,131,328,470,851,661,464,554,418,431,4455,0,0,0,0,0,8,31,90,121,243,263,33,792,0,0,0,0,6,21,47,26,22,27,13,9,171,0,0,3,0,0,23,185,191,189,262,223,22,1101,0,0,0,0,0,8,22,31,36,69,42,20,230,3,0,0,6,14,111,246,173,59,72,99,21,806,0,0,6,19,17,62,63,25,13,3,12,11
LGA50560,3,0,0,0,0,16,0,0,0,0,0,0,8,9,5,0,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,8,4,0,3,3,0,24,0,0,0,0,3,11,5,0,0,0,0,0,29,0,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,4,0,3,14,34,15,22,0,5,0,0,3,98,0,0,0,0,0,0,0,0,0,0,0,22,28,6,0,4,20,46,41,48,25,18,15,12,28,257,0,0,0,0,0,0,0,3,0,5,3,10,31,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,7,4,0,6,10,38,0,0,0,0,0,0,3,0,0,0,4,0,10,0,0,0,0,0,0,8,0,0,4,0,0,19,0,0,0,0,0,0,3,0,0,0,0,0
LGA50630,0,0,3,4,0,6,0,0,0,0,0,0,5,0,8,5,0,0,26,0,0,0,0,0,0,0,0,7,8,0,0,14,0,0,0,0,0,4,4,11,0,0,0,0,17,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,3,8,15,12,8,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,20,20,10,4,3,9,18,22,33,23,13,23,19,24,197,0,0,0,0,0,0,6,0,0,11,14,7,38,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,3,8,8,5,8,39,0,0,0,0,0,0,0,5,3,4,6,3,20,0,0,0,0,0,0,6,9,4,7,6,0,41,3,0,0,0,0,0,0,0,0,0,0,0
LGA50770,3,0,0,0,0,16,0,0,0,0,0,3,17,6,3,7,3,0,46,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,10,4,0,0,6,0,0,18,0,0,5,3,3,5,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,12,15,14,14,0,6,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,16,23,3,5,6,18,24,46,59,36,10,26,10,25,254,4,0,0,0,0,0,6,4,0,6,8,8,44,0,0,0,0,0,0,0,3,3,4,0,0,8,0,0,0,0,0,4,13,11,9,11,5,6,53,0,0,0,0,0,0,0,4,0,5,0,0,10,0,0,0,0,0,3,8,7,0,0,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0
