LGA_CODE_2021,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85over,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85over,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85over,C11_P_FldStu_ID_Tot,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85over,C11_P_FldStu_NS_Tot,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85over,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85over,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85over,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85over,C16_P_ArchBuild_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85over,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85over,C16_P_Health_Tot,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85over,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85over,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85over,C16_P_Soc_cult_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85over,C16_P_Creative_art_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85over,C16_P_FoodHos_PS_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85over,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85over,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85over,C16_P_FldStu_NS_Tot,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85over,C16_P_Tot_Tot
LGA50080,38,78,164,177,136,78,50,21,8,731,0,0,9,6,0,3,4,4,0,28,8,5,19,32,29,18,13,11,0,137,214,182,303,365,305,278,278,334,156,2415,526,938,2130,2739,2807,2333,1360,817,303,13958,0,16,57,87,63,60,54,15,4,354,16,31,61,42,36,19,6,3,0,222,38,187,413,388,480,482,356,167,59,2580,28,82,227,170,162,168,137,70,22,1065,28,59,111,184,187,150,95,49,16,880,33,65,300,295,393,427,290,120,42,1956,9,34,168,292,325,407,228,96,25,1591,58,129,342,427,453,382,227,76,31,2124,54,126,268,358,352,383,191,42,16,1784,13,32,67,76,76,73,52,16,4,408,30,80,219,167,164,102,77,28,13,880,5,3,7,3,8,10,11,15,5,54,0,8,16,36,39,33,16,10,5,160,233,191,455,388,408,455,418,348,224,3120,546,1051,2708,2923,3130,3136,2167,1064,460,17176
LGA50210,64,212,404,292,207,160,84,18,3,1437,5,4,4,0,6,3,4,4,0,39,4,18,48,54,51,37,13,16,0,239,437,368,743,727,703,620,469,456,164,4681,916,2263,5743,4849,4591,3813,1981,1040,280,25469,0,68,309,237,153,116,61,14,3,966,34,70,390,296,103,68,18,0,0,974,60,486,1806,1589,1353,1052,720,289,60,7410,39,170,533,339,289,247,184,91,36,1921,9,46,176,157,98,76,46,19,6,623,37,196,980,683,541,491,256,100,20,3298,19,116,537,555,479,426,225,78,22,2458,106,440,1909,1556,951,624,338,129,21,6078,72,338,1080,775,633,501,241,64,12,3721,47,120,295,205,103,89,61,23,8,945,77,242,620,419,293,186,126,30,8,1998,6,13,14,15,13,5,15,12,0,94,7,24,99,93,77,53,26,16,5,412,352,365,937,860,734,642,583,430,255,5160,872,2697,9678,7785,5815,4587,2900,1291,452,36073
LGA50250,5,23,96,69,45,16,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,7,21,9,6,3,0,0,54,41,153,443,396,316,153,29,3,0,1537,67,493,1719,1541,1038,466,66,7,0,5390,0,5,48,44,12,6,0,0,0,115,0,0,20,27,11,0,0,0,0,66,8,137,1062,886,682,317,35,0,0,3121,0,14,200,150,109,63,10,5,0,548,0,3,39,29,18,12,0,0,0,107,0,7,93,90,66,53,3,0,0,311,0,10,93,68,55,33,16,0,0,281,4,32,204,200,116,73,8,0,0,643,0,13,111,72,38,19,5,0,0,261,0,4,20,17,10,8,6,0,0,68,0,23,112,110,65,27,5,0,0,335,0,0,3,0,0,4,0,0,0,7,0,0,17,22,39,14,0,0,0,88,39,112,679,602,496,261,40,8,0,2234,61,365,2691,2325,1714,898,114,16,0,8182
LGA50280,4,23,106,114,66,25,15,3,0,364,0,0,0,0,4,0,0,0,0,6,0,0,8,15,3,12,9,0,0,45,77,45,159,186,161,128,81,75,36,956,130,197,1024,1347,1126,903,451,225,76,5477,0,5,73,113,53,41,25,8,0,320,4,4,9,9,6,7,7,0,0,54,7,29,153,222,189,190,121,50,18,984,3,18,114,158,135,106,50,16,9,608,3,10,77,132,71,49,21,18,0,386,0,11,111,166,121,134,94,31,15,685,4,12,106,166,143,180,98,54,10,769,12,29,170,202,161,135,96,26,4,836,11,32,109,162,119,104,65,17,9,632,3,15,74,72,46,44,20,6,7,293,5,27,147,126,114,59,26,9,0,516,7,0,5,0,0,0,0,3,0,19,0,3,12,20,10,16,7,0,0,69,122,37,159,221,198,194,126,80,39,1174,189,234,1312,1775,1375,1264,758,312,112,7335
LGA50350,14,45,97,59,63,35,13,17,0,342,0,0,0,0,0,3,4,0,0,10,0,3,11,17,14,9,7,0,0,60,82,66,123,152,158,119,128,118,42,979,152,491,1415,1428,1251,946,488,284,92,6550,0,17,79,78,49,22,12,0,0,254,9,7,56,53,38,19,6,0,0,178,3,57,279,258,245,214,157,64,22,1300,10,26,114,96,68,47,42,28,5,438,3,11,33,53,20,16,4,0,0,134,10,32,177,135,127,94,50,13,9,652,4,12,98,138,133,117,67,21,11,602,10,62,318,293,242,158,80,33,14,1204,18,57,208,222,168,172,76,14,6,934,3,33,102,99,67,32,14,9,0,354,14,27,97,81,56,53,30,9,0,366,0,0,5,0,0,5,0,4,0,18,0,0,16,21,20,9,7,8,4,84,54,58,148,157,154,148,120,117,84,1037,133,402,1724,1671,1392,1089,668,327,151,7547
LGA50420,36,234,475,351,219,184,81,24,8,1613,3,5,6,13,4,8,4,0,0,54,0,26,118,85,66,41,17,14,0,369,338,383,897,648,651,634,540,551,336,4981,585,2531,8143,6366,4968,4006,2292,1259,570,30711,3,103,396,333,222,148,78,22,12,1311,10,67,364,330,172,62,26,0,0,1037,34,342,1421,1103,919,870,613,327,78,5701,17,129,548,341,265,229,172,107,26,1837,3,17,119,110,76,42,20,17,0,404,14,218,924,646,468,415,231,115,35,3066,11,76,434,530,491,464,257,114,33,2411,67,428,2048,1615,1108,733,407,138,54,6600,47,252,1063,921,594,557,258,60,12,3773,26,185,570,365,244,119,58,24,4,1597,37,183,585,400,264,188,136,41,10,1848,10,10,24,7,10,16,13,17,7,118,10,20,122,93,65,63,30,8,5,423,227,311,937,678,607,586,546,511,477,4888,518,2354,9547,7473,5520,4493,2838,1502,760,34998
LGA50490,22,153,335,170,118,79,32,19,10,937,5,3,3,3,8,0,3,5,0,34,7,13,44,34,29,18,3,3,10,159,231,340,686,581,478,393,368,365,166,3614,404,1577,4808,3375,2457,1784,1092,761,294,16564,3,61,225,172,88,58,29,5,0,636,10,49,268,190,75,37,14,0,0,631,22,263,1048,747,609,451,303,160,48,3656,12,73,329,143,123,109,66,65,13,933,0,18,79,70,40,33,17,5,0,260,17,153,571,311,215,183,112,40,15,1624,7,50,213,208,172,175,82,36,11,955,39,333,1324,880,522,335,178,69,25,3704,25,164,573,419,260,245,91,39,3,1821,10,91,234,118,67,34,26,10,3,588,31,123,448,246,125,100,42,13,7,1145,7,3,11,12,6,9,3,14,8,64,3,20,80,64,38,29,10,5,9,249,207,414,1087,649,489,471,391,349,197,4255,385,1816,6486,4241,2828,2264,1363,813,338,20527
LGA50560,0,0,3,11,8,7,3,0,0,35,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,11,4,11,18,12,13,28,20,6,117,12,18,58,87,98,146,104,37,10,581,0,0,3,0,3,7,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,17,16,30,25,18,0,132,0,0,3,3,9,0,8,11,0,34,0,3,11,8,13,13,6,4,0,58,0,0,6,12,9,22,15,7,0,66,0,0,3,9,16,17,4,5,0,55,0,4,13,18,17,14,8,3,0,89,0,0,11,12,12,16,10,3,0,55,0,0,0,0,4,4,3,0,0,13,0,0,5,11,0,8,4,0,0,28,0,0,0,0,0,0,0,0,3,4,0,0,0,6,3,0,0,0,0,6,7,5,20,26,40,43,39,40,13,229,9,23,94,112,138,174,135,84,19,785
LGA50630,0,5,7,11,6,6,4,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,19,30,111,97,76,45,14,12,3,413,36,71,297,294,218,142,45,21,3,1138,0,0,5,12,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,6,0,12,48,53,41,29,20,6,0,214,0,0,10,11,0,7,0,0,0,32,0,0,8,8,11,4,3,0,0,32,0,0,10,12,14,16,9,3,0,68,0,0,6,12,18,12,8,4,0,58,0,4,24,24,16,8,11,0,0,86,0,0,10,10,8,6,0,0,0,39,0,0,0,6,3,0,0,4,0,13,0,0,10,4,8,4,0,0,0,24,0,0,0,0,0,0,3,0,0,5,0,3,3,0,5,0,0,0,0,11,9,5,28,27,40,24,17,17,6,187,16,39,162,181,160,121,80,33,6,793
LGA50770,0,5,0,4,8,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,13,0,7,10,23,7,16,10,12,101,22,27,85,126,127,115,70,23,10,603,0,0,0,13,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,5,12,21,27,27,14,8,0,115,0,0,4,5,8,3,3,0,0,29,0,7,14,13,24,5,12,4,0,76,0,0,7,8,17,17,22,5,0,73,0,4,13,15,11,19,16,3,0,83,5,4,5,18,11,18,15,3,0,74,0,0,4,13,9,6,7,3,0,41,0,0,0,0,4,0,0,0,0,10,0,0,3,8,4,5,0,3,0,30,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,7,16,0,7,4,28,36,34,20,9,144,23,17,75,126,128,145,119,50,13,700
