LGA_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
LGA50080,70,56,24,9,164,102,42,11,6,166,215,105,27,20,361,98,80,25,5,209,58,29,11,3,104,23,16,4,0,39,18,11,4,0,36,13,7,0,0,20,53,42,11,11,120,18,5,4,0,23,850,497,152,75,1578
LGA50210,169,123,50,27,367,249,112,51,38,459,561,258,96,41,959,339,160,40,26,571,211,131,29,15,389,99,48,10,9,167,60,54,24,10,143,26,46,10,9,89,127,91,57,10,283,41,23,5,0,68,2349,1283,456,229,4319
LGA50250,5,3,0,0,4,4,0,0,4,8,6,0,0,0,9,11,3,0,0,18,14,10,3,0,20,7,0,0,0,8,7,5,4,0,14,3,3,0,0,6,8,5,0,0,8,0,0,0,0,0,68,32,9,7,111
LGA50280,31,17,4,0,60,35,23,3,0,65,78,54,9,3,148,40,28,4,0,69,23,18,8,0,39,18,4,0,0,21,4,4,0,0,8,7,0,3,0,8,23,26,6,0,63,0,7,0,0,4,325,199,55,12,590
LGA50350,32,19,6,4,64,53,21,13,3,84,94,43,4,3,146,47,30,9,0,83,49,21,8,0,83,25,6,0,0,40,16,18,8,4,35,10,3,6,0,15,26,13,10,0,46,3,3,0,0,6,434,209,50,20,718
LGA50420,140,49,23,7,223,174,58,21,5,259,342,159,38,11,547,260,117,31,9,410,172,88,18,5,287,99,27,10,5,142,80,45,9,4,142,47,30,7,0,94,106,69,23,7,213,17,4,0,0,31,1734,795,221,71,2814
LGA50490,69,52,17,8,138,120,32,12,5,175,227,84,27,3,337,146,62,14,4,220,105,52,13,4,170,47,17,4,5,75,44,23,5,0,76,25,17,7,0,47,41,44,18,5,111,21,4,0,0,24,1065,459,142,54,1720
LGA50560,11,0,0,0,9,4,3,0,0,8,10,0,0,0,8,5,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,33,10,4,0,47
LGA50630,0,0,0,3,3,9,3,0,0,11,0,0,3,0,11,0,0,0,0,0,12,0,0,0,13,3,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,32,13,8,4,57
LGA50770,6,0,0,0,12,6,3,0,0,12,6,4,4,0,14,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,41,10,4,0,60
LGA50840,14,3,0,0,12,16,3,0,0,21,22,10,5,0,34,11,10,0,0,14,4,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,14,7,0,0,23,0,0,0,0,3,89,41,14,0,152
LGA50910,0,5,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,6,5,5,19
LGA50980,30,17,4,4,60,26,22,5,11,67,65,34,14,9,124,46,27,9,0,89,35,32,16,3,81,9,4,0,0,21,19,6,0,0,24,11,8,0,0,22,24,27,26,12,86,22,14,5,0,44,394,234,112,59,798
