LGA_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
LGA50840,0,6,11,11,11,10,20,4,0,74,0,0,5,5,4,5,9,0,0,31,0,11,67,62,84,107,115,38,3,489,0,7,26,18,22,34,23,13,5,148,4,8,24,26,22,23,17,8,0,131,0,7,22,41,41,50,58,16,0,248,5,6,23,36,52,64,69,15,0,269,6,17,25,51,60,65,71,29,3,326,9,6,22,47,51,68,54,24,0,290,0,7,11,20,12,29,23,11,0,107,4,9,28,27,21,17,18,3,0,128,4,0,0,0,0,3,0,0,0,3,0,0,3,4,9,6,7,3,0,30,21,16,30,56,78,81,84,56,13,453,59,111,287,408,479,565,566,218,31,2730
LGA50910,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,6,8,9,14,8,3,0,49,0,0,0,0,4,4,4,0,0,13,3,4,9,3,9,3,5,3,0,29,0,0,9,7,3,0,3,3,0,25,0,4,4,6,5,3,3,4,0,36,0,4,11,10,16,10,6,6,0,59,0,0,10,9,7,3,6,0,0,30,0,0,3,5,6,0,0,3,0,13,0,0,0,0,8,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,12,16,10,13,14,0,3,89,11,19,54,69,71,68,55,23,9,365
LGA50980,0,14,53,48,34,13,4,0,0,168,4,11,20,29,9,4,0,0,0,79,13,70,257,234,212,144,81,20,4,1036,3,7,111,126,107,68,34,12,5,469,3,16,53,70,60,31,16,3,0,244,9,43,276,226,160,136,52,18,0,918,6,27,171,219,150,128,68,18,0,775,15,58,286,308,221,139,67,16,0,1113,12,35,207,206,146,130,60,11,0,820,5,7,73,72,40,22,16,3,0,245,11,33,126,103,101,43,10,0,0,419,0,4,0,0,0,0,0,0,0,8,0,0,24,37,25,20,16,4,0,122,180,180,547,412,437,320,151,55,19,2306,257,515,2194,2089,1703,1205,568,149,33,8716
LGA51080,0,0,3,3,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,4,0,0,5,10,6,13,10,0,0,49,0,0,3,5,3,4,0,3,0,18,0,7,15,18,10,7,6,0,0,62,0,3,9,7,4,15,5,0,0,36,0,5,4,10,9,13,0,0,0,43,0,0,14,7,8,8,4,0,0,47,0,0,4,0,7,4,5,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,0,3,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,12,9,14,15,18,24,12,9,0,119,16,25,70,74,73,91,59,22,0,431
LGA51120,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,14,14,11,15,5,0,0,68,0,0,3,3,3,4,4,0,0,16,0,0,3,6,0,0,3,0,0,26,0,0,5,0,0,4,4,0,5,30,0,0,7,16,8,10,8,4,0,49,0,3,8,7,12,7,6,3,0,49,0,0,8,3,5,3,3,0,0,30,0,0,0,4,5,0,0,0,0,9,0,0,6,4,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,9,8,7,16,22,28,31,23,6,147,9,28,53,74,75,80,64,30,9,432
LGA51190,0,17,72,57,64,55,47,15,0,331,12,18,63,44,40,31,14,6,5,223,33,158,464,497,452,501,406,209,57,2770,16,53,189,181,155,152,126,70,21,972,7,26,71,71,66,53,25,15,6,349,34,107,361,292,272,308,249,109,38,1770,25,51,192,238,315,300,234,102,27,1495,56,163,453,469,427,417,258,94,18,2365,59,129,254,333,344,306,187,57,15,1691,16,50,86,71,54,42,27,15,5,356,30,79,229,182,175,118,74,27,3,911,3,11,7,0,3,3,4,0,0,37,0,16,23,46,45,50,22,9,6,217,112,149,418,355,370,311,329,228,180,2447,403,1032,2886,2839,2784,2640,1994,955,383,15922
LGA51260,0,11,63,134,129,91,83,38,7,551,9,14,40,50,39,30,23,3,0,214,29,96,357,546,565,564,556,274,57,3042,11,74,279,271,266,247,226,99,28,1508,12,29,95,175,162,121,86,47,12,749,29,73,292,457,421,458,338,192,54,2318,18,37,214,426,431,388,401,157,26,2094,75,123,428,616,671,556,435,190,48,3149,40,64,278,384,428,336,276,91,10,1914,23,44,116,154,125,95,71,35,5,676,25,98,284,320,294,183,135,31,7,1377,5,6,9,0,0,0,6,4,0,37,3,11,21,52,59,40,28,13,9,236,170,91,369,431,406,373,375,325,160,2705,454,770,2858,4012,3988,3491,3045,1508,443,20567
LGA51310,0,96,135,200,238,229,137,74,18,1124,4,19,56,90,98,63,20,5,4,371,6,79,278,479,463,388,262,145,70,2173,3,28,104,144,131,124,80,46,20,676,0,10,29,51,52,34,13,26,9,215,0,101,442,548,696,564,313,182,96,2950,13,25,123,148,272,299,314,166,65,1430,34,177,561,908,1057,686,357,171,77,4027,22,116,341,505,525,376,244,115,51,2285,25,82,160,142,127,69,53,24,8,688,14,29,71,57,88,53,52,30,14,417,0,0,5,0,4,0,0,0,0,15,0,6,35,35,54,36,21,16,13,221,39,36,163,142,152,125,128,109,135,1031,160,799,2509,3460,3959,3050,1999,1108,567,17620
LGA51330,5,294,530,590,479,340,213,74,13,2533,30,206,775,803,396,183,57,16,4,2466,57,548,2029,1898,1663,1317,1031,454,145,9144,20,154,424,383,285,269,217,113,43,1901,7,60,138,137,123,93,62,24,6,649,44,521,1531,1277,974,664,523,215,61,5822,58,143,528,610,669,711,554,270,49,3597,148,819,2733,2891,2063,1384,853,310,70,11269,119,425,1051,1174,975,721,505,207,24,5208,67,267,444,366,220,121,59,33,12,1584,66,328,746,617,354,248,139,63,15,2582,13,21,21,11,6,8,3,3,7,86,10,44,166,181,134,100,74,29,10,735,203,512,1162,845,636,510,343,346,185,4743,842,4340,12282,11775,8974,6677,4623,2172,635,52320
LGA51400,0,11,20,42,57,40,20,5,0,202,4,11,38,48,24,12,5,4,0,150,24,101,269,344,401,323,195,72,9,1733,3,30,98,94,109,109,65,17,0,518,4,16,41,61,61,47,25,7,0,258,25,67,174,275,230,227,122,40,6,1173,23,28,106,180,259,176,120,30,9,923,40,68,216,280,273,199,124,28,3,1242,38,71,156,198,223,157,87,15,0,947,18,27,34,21,31,18,11,6,0,176,16,43,90,82,82,48,43,11,0,413,4,4,4,0,3,5,0,0,0,17,6,0,21,23,35,22,10,3,0,109,79,67,113,169,203,157,136,75,23,1022,289,537,1373,1829,1984,1545,969,316,53,8887
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,13,10,12,10,0,0,57,0,0,0,4,0,0,0,0,0,7,0,0,4,4,5,3,5,0,0,19,0,3,3,0,5,4,4,0,0,18,0,0,0,7,0,0,4,0,0,20,0,0,9,12,5,4,0,0,0,37,0,0,8,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,4,3,5,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,4,18,11,9,13,8,0,81,8,18,39,69,46,40,48,9,6,274
LGA51540,0,7,16,13,8,0,3,0,0,56,0,4,8,7,0,5,3,0,0,22,12,14,67,58,64,66,55,12,6,337,0,8,19,21,28,18,20,5,0,124,0,4,12,18,18,9,10,0,0,67,0,7,34,22,31,42,20,4,0,171,0,11,25,34,50,37,14,4,0,187,3,25,61,55,42,38,24,8,0,260,3,9,41,31,28,19,18,6,0,151,0,3,8,6,4,6,0,0,0,22,4,15,26,29,28,18,9,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,10,3,10,7,4,0,0,44,67,79,181,125,154,121,87,52,12,883,88,191,512,429,457,396,261,94,23,2448
LGA51610,0,0,0,0,4,3,0,0,0,12,0,0,3,0,0,0,4,0,0,6,5,4,29,27,34,29,18,8,0,148,0,0,5,9,7,8,6,0,0,41,0,3,3,5,9,7,3,7,0,41,0,3,12,9,26,19,9,5,0,77,0,0,10,16,22,11,14,5,0,75,0,3,10,20,21,9,12,0,0,86,0,0,11,8,14,5,8,5,0,51,0,0,0,3,3,0,0,0,0,6,4,5,7,12,3,12,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,15,6,9,38,44,34,22,3,0,173,20,30,104,156,192,141,91,28,5,766
LGA51680,0,3,10,15,6,13,0,0,0,46,4,5,5,5,11,8,0,0,0,44,4,18,97,113,147,146,81,36,4,648,3,4,21,25,31,33,13,12,0,147,0,5,14,18,27,23,10,3,0,111,0,16,39,43,61,58,41,22,0,274,3,6,22,38,48,56,26,14,0,214,16,9,51,74,79,93,42,18,0,371,11,19,17,59,63,44,18,7,0,230,4,4,11,8,15,3,9,6,5,58,7,8,25,35,40,15,13,8,0,158,0,0,0,0,0,0,0,0,0,0,0,4,5,5,9,5,7,3,0,42,46,20,59,53,111,123,69,42,9,539,108,124,370,498,650,619,333,172,31,2892
LGA51710,0,0,8,6,5,0,0,0,0,25,0,0,0,8,0,3,0,0,0,10,0,8,25,21,36,29,16,0,0,139,0,0,10,8,8,4,5,0,0,38,0,0,3,0,3,4,0,0,0,13,0,0,11,9,9,5,5,0,0,40,0,0,7,11,16,7,10,0,0,46,0,5,24,37,19,17,6,0,0,99,0,3,13,19,12,9,0,0,0,62,0,0,3,4,0,5,0,0,0,7,4,7,8,10,10,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,11,28,163,95,71,36,29,4,0,433,14,61,278,224,194,121,72,4,0,968
LGA51750,0,40,92,51,66,64,49,46,16,429,0,4,18,25,29,20,0,6,0,107,0,23,116,115,140,88,95,56,30,658,0,12,67,37,46,43,28,18,7,264,0,3,10,13,18,20,13,7,9,84,6,53,176,172,172,203,196,136,77,1187,4,7,38,74,97,110,132,112,37,610,16,104,220,294,399,255,180,124,42,1633,7,48,170,141,197,170,160,105,44,1053,6,33,83,59,44,25,20,26,10,313,5,15,23,15,20,16,11,5,5,122,0,0,0,0,0,0,6,0,0,7,0,11,10,18,21,7,14,15,3,100,51,47,102,66,81,64,61,81,66,621,96,396,1137,1091,1334,1091,970,730,344,7186
LGA51820,7,170,532,589,398,274,134,47,6,2155,26,127,395,641,296,118,43,10,0,1655,121,551,2483,2721,2243,1834,1178,473,111,11712,36,182,778,685,511,409,281,135,29,3049,10,63,218,256,206,133,90,36,0,1019,52,499,1981,1629,1153,784,445,144,47,6731,70,248,1009,1078,1031,762,440,163,32,4830,158,648,2386,3066,2237,1457,776,207,52,10988,152,506,1579,1560,1189,933,462,114,25,6512,82,256,595,525,311,177,109,33,11,2095,84,307,863,793,648,376,235,63,19,3386,21,17,17,13,10,10,11,3,0,101,14,54,167,198,174,97,65,21,0,790,256,431,1180,1159,904,694,620,539,398,6177,1086,4061,14168,14918,11310,8053,4876,1983,735,61177
LGA51860,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,6,10,11,5,0,0,27,0,0,0,3,0,3,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,10,6,9,0,0,0,28,0,4,8,9,4,4,0,0,0,32,0,0,5,9,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,13,19,14,18,14,8,0,113,5,21,38,59,33,54,15,13,0,249
LGA51890,0,0,3,7,8,4,7,0,0,36,3,10,4,10,5,5,0,0,0,32,12,64,165,181,186,190,152,59,9,1023,5,10,37,28,17,37,17,13,3,159,7,6,20,16,13,15,7,0,0,90,7,11,36,30,44,68,68,32,6,306,4,13,48,67,64,59,38,9,4,308,15,33,87,89,88,48,38,13,5,404,15,17,56,68,68,74,27,7,0,326,0,3,10,10,9,4,5,3,0,47,6,15,37,41,53,39,16,8,0,216,0,0,0,0,0,0,0,0,0,6,0,4,5,5,12,11,6,7,0,47,64,41,103,102,94,110,118,91,60,782,140,222,624,653,657,664,511,243,79,3788
