LGA_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
LGA50080,0,26,57,96,91,85,63,30,5,454,13,25,68,60,48,37,17,6,0,270,53,126,459,380,459,481,403,208,64,2626,19,67,231,192,177,158,152,82,27,1105,34,63,128,178,202,208,135,66,17,1029,24,112,379,385,431,491,350,180,65,2412,10,51,204,288,378,405,394,160,33,1917,109,131,334,471,503,485,343,136,33,2542,60,122,321,377,431,454,331,90,18,2210,20,40,85,88,93,68,61,32,8,493,34,86,234,185,203,134,85,43,16,1014,10,7,9,5,0,0,0,0,0,31,8,7,24,39,50,41,37,15,5,219,149,128,345,299,343,379,377,309,211,2544,535,986,2882,3049,3406,3428,2744,1346,498,18875
LGA50210,3,87,299,354,239,156,90,32,5,1268,25,86,374,642,172,90,35,0,0,1431,92,374,1723,2269,1488,1204,850,358,72,8433,40,132,520,423,306,263,224,92,31,2024,13,61,168,189,120,103,59,24,7,739,40,279,1179,1271,720,552,369,148,33,4598,37,158,686,751,581,523,327,123,22,3212,193,447,1844,2491,1357,882,461,193,20,7878,124,360,1095,1329,899,669,369,101,19,4955,62,172,380,333,155,80,77,30,4,1289,80,274,735,705,386,232,143,55,7,2613,14,20,17,9,6,5,4,3,0,83,15,38,147,185,112,77,56,21,4,655,352,389,1071,1081,806,631,472,374,192,5381,1087,2871,10249,12028,7348,5457,3545,1547,423,44561
LGA50250,0,0,18,23,6,5,3,0,0,54,0,3,7,10,0,0,0,0,0,22,4,43,303,308,168,102,23,4,0,962,0,14,71,74,44,16,3,0,0,216,0,8,22,16,7,9,0,0,0,66,0,9,64,56,39,21,9,0,0,198,0,17,72,65,41,31,12,6,0,249,0,32,109,143,82,55,9,0,0,430,3,19,79,73,24,31,5,3,0,244,0,3,15,15,11,0,0,0,0,41,5,15,65,57,29,13,3,4,0,200,0,0,0,0,0,0,0,0,0,3,0,3,17,18,22,14,0,0,0,81,57,96,332,320,241,165,43,9,0,1266,86,256,1189,1170,715,479,114,21,0,4031
LGA50280,0,4,48,120,81,50,56,18,4,387,3,7,17,28,13,12,11,4,0,86,5,32,164,232,238,216,181,60,17,1139,6,28,102,160,123,130,78,14,4,640,4,18,60,136,118,64,43,16,3,469,8,15,133,197,187,183,142,59,20,945,0,12,88,219,177,210,168,65,19,967,11,26,182,251,249,182,146,51,4,1111,10,22,145,203,171,154,107,37,7,858,6,10,76,102,81,57,51,13,3,396,14,24,135,169,131,83,41,12,0,599,0,0,4,0,0,0,0,0,5,13,0,6,12,44,30,27,22,6,0,154,79,54,201,287,304,174,177,74,59,1391,154,251,1369,2143,1902,1538,1225,433,142,9161
LGA50350,0,19,73,70,72,35,27,13,0,312,0,11,36,67,49,21,10,3,0,205,7,48,278,277,220,221,194,86,25,1360,6,14,110,104,86,54,45,26,3,454,0,9,30,50,35,20,12,0,0,168,4,48,216,178,133,131,82,29,13,827,0,26,107,147,142,154,93,33,7,705,20,80,291,357,306,231,118,43,7,1449,11,66,206,242,204,158,104,28,3,1029,11,41,139,124,58,48,23,13,5,457,10,35,98,97,53,56,25,10,5,393,0,0,6,0,0,0,0,0,0,4,3,8,26,30,36,15,12,7,7,143,35,59,177,166,143,130,120,88,39,956,117,475,1772,1910,1553,1259,854,389,113,8444
LGA50420,0,127,419,387,269,183,118,49,8,1565,14,88,328,428,223,108,36,7,0,1232,32,246,1352,1204,860,834,747,358,96,5723,18,72,486,409,283,219,172,99,39,1800,0,21,150,95,77,72,43,13,7,482,17,252,1100,826,506,464,337,152,46,3700,8,99,554,536,571,488,396,179,47,2888,86,416,1817,1962,1366,930,579,243,51,7456,68,302,1129,1059,787,596,459,124,26,4557,42,228,637,492,296,167,106,34,12,2011,27,183,610,466,318,219,155,54,10,2050,5,13,9,5,3,11,6,6,0,59,9,36,110,155,110,78,60,27,7,586,149,248,781,685,524,470,365,393,243,3848,473,2329,9490,8721,6204,4833,3570,1736,594,37944
LGA50490,4,74,282,220,132,61,48,18,0,837,7,60,262,271,116,52,14,3,0,800,16,213,1087,842,633,516,361,193,55,3924,14,51,280,185,128,119,66,47,22,906,3,21,63,74,52,40,27,15,6,302,9,204,737,434,282,202,150,69,19,2109,12,46,269,233,221,209,146,60,25,1220,75,349,1374,1240,708,523,253,93,29,4643,48,184,685,555,365,295,181,41,10,2359,13,106,291,151,92,54,29,12,3,770,40,183,500,337,164,118,83,23,10,1455,10,3,17,4,0,4,6,0,0,48,6,20,93,72,51,42,29,10,7,328,128,284,818,626,460,379,271,224,176,3364,394,1805,6749,5234,3414,2618,1668,803,366,23059
LGA50560,0,0,0,7,6,3,8,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,12,14,20,31,36,9,5,126,0,0,4,9,0,9,9,3,0,32,4,0,11,12,20,9,13,3,0,61,0,3,4,7,9,15,19,5,3,70,0,0,8,14,14,18,19,3,0,68,3,5,18,6,17,12,19,4,4,87,4,3,5,8,7,13,14,4,0,52,0,0,0,4,0,0,3,0,0,15,0,0,3,7,13,3,3,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,12,9,23,25,32,30,48,30,12,226,21,26,96,111,132,153,177,71,25,811
LGA50630,0,0,0,6,4,0,6,0,0,15,0,0,5,0,0,0,0,0,0,3,0,8,43,36,33,39,21,7,0,192,0,0,0,5,6,5,4,0,0,23,0,7,7,8,6,5,4,5,0,35,0,6,12,10,9,13,18,5,0,63,0,0,10,13,14,13,13,0,0,70,0,3,19,20,12,19,15,6,0,84,0,0,10,7,4,11,6,0,0,43,0,0,0,0,0,0,7,3,0,13,0,6,9,4,3,6,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,10,6,24,23,42,35,20,13,3,180,17,33,137,134,136,148,106,42,7,754
LGA50770,0,0,0,6,5,0,4,0,0,14,0,0,0,5,0,0,0,0,0,5,0,6,14,29,27,30,21,0,0,122,0,3,4,8,8,8,4,5,0,41,0,5,22,21,19,21,15,9,0,97,0,0,5,14,11,14,16,6,0,69,0,0,11,15,19,15,14,3,0,78,0,0,21,14,19,16,15,3,0,95,4,4,3,17,19,6,9,3,0,66,0,0,7,6,6,0,0,0,0,15,0,5,0,7,6,5,0,3,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,9,8,9,15,28,35,35,28,33,6,190,23,39,98,161,155,159,122,71,11,835
