LGA_CODE_2021,C11_70_74_Married_P,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Sep_P,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Div_P,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Wid_P,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_Nvr_marrd_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Married_P,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Sep_P,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Div_P,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Wid_P,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_Nvr_marrd_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Married_P,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Sep_P,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Div_P,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Wid_P,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_Nvr_marrd_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Married_M,C11_85_over_Married_F,C11_85_over_Married_P,C11_85_over_Seprtd_M,C11_85_over_Seprtd_F,C11_85_over_Seprtd_P,C11_85_over_Divorce_M,C11_85_over_Divorce_F,C11_85_over_Divorce_P,C11_85_over_Wid_M,C11_85_over_Wid_F,C11_85_over_Wid_P,C11_85_over_Nvr_mard_M,C11_85_over_Nvr_mard_F,C11_85_over_Nvr_mard_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Married_M,C11_Tot_Married_F,C11_Tot_Married_P,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Sep_P,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Div_P,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_Wid_P,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_nver_marrie_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Married_P,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Sep_P,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Div_P,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Wid_P,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_Nvr_marrd_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Married_P,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Sep_P,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Div_P,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Wid_P,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_Nvr_marrd_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Married_P,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Sep_P,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Div_P,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Wid_P,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_Nvr_marrd_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Married_P,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Sep_P,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Div_P,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Wid_P,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_Nvr_marrd_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Married_P,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Sep_P,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Div_P,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Wid_P,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_Nvr_marrd_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Married_P,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Sep_P,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Div_P,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Wid_P,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_Nvr_marrd_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Married_P,C16_45_49_Sep_M
LGA50080,967,23,9,31,69,83,154,32,180,215,30,14,47,671,734,1404,419,276,695,17,9,25,46,57,107,64,231,288,17,13,27,563,585,1147,277,175,450,14,3,13,21,28,50,70,279,351,21,8,30,401,494,899,146,80,227,4,0,3,13,16,31,91,384,474,11,6,18,265,486,753,6850,6831,13679,407,442,847,1066,1480,2545,370,1415,1780,4409,3670,8074,13092,13828,26921,4,3,11,0,0,0,0,0,0,0,0,0,1242,1146,2395,1248,1155,2406,57,77,127,0,0,4,0,0,0,0,0,0,899,734,1630,956,809,1766,266,324,586,9,17,29,6,13,21,5,0,3,718,562,1277,1003,914,1913,409,515,931,36,34,72,12,36,49,3,3,11,481,407,889,945,1006,1947,539,587,1126,43,82,119,32,50,80,0,5,4,332,286,621,945,1005,1957,658,689,1344,67,68,132,72,126,202,0,7,12,280,266,544,1082,1154,2231,688,758,1448,79
LGA50210,1127,19,14,39,100,116,213,63,228,290,41,21,64,871,856,1730,408,307,721,16,16,29,55,70,122,65,276,339,22,15,33,566,684,1242,248,164,415,10,4,13,37,32,69,74,284,356,14,5,19,383,492,872,132,52,187,3,6,10,11,23,30,90,327,414,5,12,14,244,419,660,11524,11640,23166,780,953,1730,1854,2554,4408,462,1630,2094,9563,7960,17527,24187,24742,48926,9,15,17,0,0,0,0,0,0,0,0,0,2355,2319,4671,2366,2329,4697,113,270,384,10,22,31,3,3,6,0,0,0,2501,2314,4820,2634,2606,5237,923,1401,2322,36,58,97,27,32,58,0,5,5,2183,1833,4015,3171,3328,6502,2011,2336,4345,89,125,217,74,108,177,4,12,16,1361,1119,2480,3534,3698,7232,2006,1883,3888,124,159,279,147,207,353,7,16,20,842,742,1582,3119,3005,6128,1590,1546,3133,118,135,252,207,281,489,8,25,38,723,564,1292,2649,2549,5200,1464,1484,2948,141
LGA50250,19,0,0,5,5,5,3,0,6,10,0,0,0,22,11,33,7,0,6,0,0,0,0,0,0,0,4,6,0,0,0,5,6,11,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2444,1148,3592,250,90,342,465,213,672,37,40,80,2403,1118,3524,5601,2614,8221,0,0,0,0,0,0,0,0,0,0,0,0,144,102,242,139,101,241,23,19,37,0,0,0,5,0,5,0,0,0,322,189,513,343,210,558,257,139,398,9,8,16,19,3,22,0,0,0,882,285,1166,1173,432,1606,621,234,852,22,15,42,40,9,51,0,4,3,690,207,901,1377,475,1850,668,212,880,56,14,68,65,19,87,4,0,4,457,132,590,1245,379,1625,717,155,867,56,8,64,86,27,109,5,0,6,297,92,387,1156,278,1436,599,127,724,62
LGA50280,263,4,3,6,10,29,38,0,35,37,11,3,11,168,189,358,86,72,159,0,3,9,16,8,24,3,47,53,6,6,13,111,137,249,75,40,115,0,0,4,7,7,12,11,58,76,0,0,0,102,112,205,32,17,53,4,0,4,0,7,9,31,97,126,4,0,4,72,121,191,2295,2342,4637,119,153,274,387,485,872,74,304,384,1747,1388,3129,4622,4673,9296,0,0,0,0,0,0,0,0,0,0,0,0,373,331,709,377,331,711,5,18,23,0,0,0,0,0,0,0,0,0,209,207,414,212,224,436,51,84,138,4,3,10,0,4,4,0,0,0,297,259,562,356,356,713,171,287,457,5,11,22,9,13,16,0,0,0,263,277,540,451,590,1039,290,330,622,10,20,36,11,33,41,5,5,9,259,215,474,581,594,1181,336,344,677,21,42,59,40,56,92,0,0,5,189,143,335,582,577,1158,302,288,592,29
LGA50350,275,8,7,12,35,52,87,19,57,71,13,8,24,213,253,470,140,93,230,6,3,13,17,30,53,38,98,138,16,5,21,212,239,450,69,43,115,0,3,3,10,16,20,30,127,157,4,9,10,110,198,307,50,26,76,0,0,3,4,0,9,37,142,185,5,3,7,100,180,281,2497,2527,5023,205,222,422,554,723,1273,154,563,722,2431,1977,4402,5841,6008,11845,0,0,4,0,0,0,0,0,0,0,0,0,415,403,818,421,406,824,15,32,46,0,0,0,0,0,4,0,0,0,415,345,759,427,383,811,99,142,241,3,13,18,3,5,8,0,0,0,406,360,766,514,516,1027,264,348,612,11,16,21,17,19,41,0,0,0,284,263,552,575,651,1227,288,327,612,17,19,43,30,58,86,0,10,10,208,173,384,540,582,1124,318,304,616,26,29,50,47,73,130,0,3,3,170,147,320,563,556,1118,309,271,582,35
LGA50420,1357,27,30,56,119,157,278,55,269,325,74,42,116,1007,1124,2130,539,406,945,27,12,36,78,97,176,79,394,468,51,22,71,772,928,1697,377,235,607,14,7,20,45,61,106,89,394,486,25,17,43,552,716,1265,251,129,379,3,6,15,19,35,59,162,716,879,22,26,49,462,916,1376,12087,11983,24067,734,815,1548,2079,2691,4765,527,2339,2870,10864,8576,19438,26287,26410,52694,0,9,10,0,0,0,0,0,3,0,0,0,1641,1558,3198,1643,1565,3210,73,172,243,6,12,14,3,3,8,5,4,4,2163,1901,4065,2249,2091,4339,581,944,1524,35,50,84,16,38,58,0,0,5,2270,1975,4244,2901,3015,5911,1438,1628,3057,59,74,137,87,118,202,5,3,3,1561,1273,2837,3148,3096,6243,1521,1538,3056,85,74,160,109,164,269,3,14,18,893,728,1618,2609,2520,5119,1401,1385,2785,98,112,209,166,237,403,7,17,24,682,551,1236,2351,2304,4656,1263,1223,2481,100
LGA50490,669,21,25,44,73,105,183,28,181,207,29,24,61,524,640,1164,278,215,493,15,13,27,47,64,113,54,257,306,28,25,48,415,574,986,200,122,325,10,6,14,39,29,66,70,265,334,17,10,23,332,435,766,123,63,182,7,0,6,24,16,41,69,350,420,15,7,22,235,442,671,6151,5954,12105,434,508,942,1367,1604,2972,315,1438,1750,6592,5029,11618,14862,14530,29389,4,3,10,0,0,0,0,0,0,6,0,7,918,837,1758,927,845,1773,66,175,243,3,7,7,3,6,9,0,0,0,1667,1369,3044,1746,1563,3303,505,689,1198,20,51,72,28,20,53,0,0,0,1698,1370,3067,2255,2130,4386,1047,1055,2099,29,63,89,45,70,114,0,4,8,1086,776,1866,2212,1964,4176,918,897,1820,61,69,130,69,90,155,3,9,12,608,431,1043,1655,1501,3151,797,710,1513,69,77,147,107,124,227,0,13,14,420,325,741,1393,1250,2646,681,548,1230,54
LGA50560,80,4,0,4,7,3,12,0,14,19,0,3,5,58,57,116,19,15,37,0,0,0,0,7,5,0,10,14,5,0,5,30,30,57,13,4,24,0,0,0,6,0,6,4,10,13,0,0,0,22,22,41,7,4,10,0,0,0,0,0,0,9,18,24,0,0,3,16,20,39,374,365,736,20,14,38,72,70,144,27,73,100,170,104,277,665,626,1296,0,0,0,0,0,0,0,0,0,0,0,0,28,24,49,28,23,47,0,0,4,0,0,0,0,0,0,0,0,0,29,20,48,31,19,49,4,6,12,0,0,0,0,0,0,0,0,0,23,19,44,30,32,55,28,28,55,0,0,0,0,0,0,0,0,0,16,6,29,44,35,78,21,24,43,0,0,3,0,0,0,0,0,0,18,13,28,43,40,82,25,35,65,0,0,3,3,4,8,0,0,0,8,17,21,40,58,94,29,27,62,4
LGA50630,25,0,0,0,0,4,6,3,0,5,0,0,0,24,18,39,11,10,18,0,0,0,0,0,5,0,8,8,0,0,0,17,20,33,0,0,4,0,0,0,0,0,0,0,3,9,0,0,0,5,8,15,0,0,6,0,0,0,5,0,5,3,8,17,0,0,0,8,9,21,579,338,924,55,24,79,87,64,144,17,35,51,446,203,656,1185,666,1846,0,0,0,0,0,0,0,0,0,0,0,0,42,34,72,42,34,72,0,0,0,0,0,0,0,0,0,0,0,0,39,30,74,39,35,73,7,19,28,0,0,0,0,0,0,0,0,0,36,19,57,50,39,82,43,38,85,0,0,0,0,3,0,0,0,0,37,19,56,84,69,148,34,48,84,7,5,10,4,3,6,0,0,0,28,20,47,76,76,151,50,34,83,3,0,5,5,8,10,0,0,0,19,12,31,75,59,137,38,44,74,4
LGA50770,48,3,0,0,4,4,8,3,7,11,0,0,6,39,33,71,12,13,24,3,0,4,3,0,8,4,6,13,0,3,3,24,30,47,10,5,16,0,0,0,0,0,0,0,10,10,0,0,0,10,15,28,6,5,6,0,0,0,0,0,0,7,20,23,0,0,0,16,19,36,359,371,733,24,21,41,73,53,129,17,63,80,155,112,267,628,624,1253,0,0,0,0,0,0,0,0,0,0,0,0,34,32,60,34,32,60,3,9,4,0,0,0,0,0,0,0,0,0,20,17,34,22,16,40,7,13,20,0,0,3,0,0,0,0,0,0,13,10,26,19,25,45,20,31,50,0,0,0,0,0,0,0,0,0,7,10,22,29,42,74,28,38,69,6,3,9,0,0,3,0,0,0,19,8,29,54,54,108,34,38,75,0,0,0,7,3,10,0,0,0,15,10,24,61,52,110,28,45,72,0
