LGA_CODE_2021,C11_1_74_REA,C11_1_74_ST_HA,C11_1_74_Co_ho_pr,C11_1_74_Per_no_sa_ho,C11_1_74_Oth_land_typ,C11_1_74_LLT_NS,C11_1_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Co_ho_pr,C11_75_99_Pe_no_sa_ho,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Co_ho_pr,C11_100_149_Pe_no_sa_ho,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Co_ho_pr,C11_150_199_Pe_no_sa_ho,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Co_ho_pr,C11_200_224_Pe_no_sa_ho,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Co_ho_pr,C11_225_274_Pe_no_sa_ho,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Co_ho_pr,C11_275_349_Pe_no_sa_ho,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Co_ho_pr,C11_350_449_Pe_no_sa_ho,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Co_ho_pr,C11_450_549_Pe_no_sa_ho,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Co_ho_pr,C11_550_649_Pe_no_sa_ho,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Co_ho_pr,C11_650_749_Pe_no_sa_ho,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Co_ho_pr,C11_750_849_Pe_no_sa_ho,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Co_ho_pr,C11_850_949_Pe_no_sa_ho,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950over_REA,C11_950over_ST_HA,C11_950over_Co_ho_pr,C11_950over_Pe_no_sa_ho,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Co_ho_pr,C11_R_NS_Pe_no_sa_ho,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_Tot_Co_ho_pr,C11_Tot_Pe_no_sa_ho,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_Tot_Tot,C16_1_74_REA,C16_1_74_ST_HA,C16_1_74_Co_ho_pr,C16_1_74_Per_no_sa_ho,C16_1_74_Oth_land_typ,C16_1_74_LLT_NS,C16_1_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Co_ho_pr,C16_75_99_Pe_no_sa_ho,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Co_ho_pr,C16_100_149_Pe_no_sa_ho,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Co_ho_pr,C16_150_199_Pe_no_sa_ho,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Co_ho_pr,C16_200_224_Pe_no_sa_ho,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Co_ho_pr,C16_225_274_Pe_no_sa_ho,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Co_ho_pr,C16_275_349_Pe_no_sa_ho,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Co_ho_pr,C16_350_449_Pe_no_sa_ho,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Co_ho_pr,C16_450_549_Pe_no_sa_ho,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Co_ho_pr,C16_550_649_Pe_no_sa_ho,C16_550_649_Oth_lan_typ,C16_550_649_LLT_NS,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Co_ho_pr,C16_650_749_Pe_no_sa_ho,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Co_ho_pr,C16_750_849_Pe_no_sa_ho,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Co_ho_pr,C16_850_949_Pe_no_sa_ho
LGA50080,0,84,10,18,13,4,122,4,156,24,17,6,4,216,37,225,61,107,35,11,475,101,113,31,152,51,5,450,120,25,11,159,18,0,332,458,20,9,225,27,4,740,600,4,6,217,19,4,852,262,0,6,56,3,0,325,19,0,0,9,4,0,25,3,0,0,7,3,0,9,0,0,0,4,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,6,0,18,22,44,13,58,25,8,166,1618,673,169,1030,217,39,3745,0,28,5,11,6,0,52,4,33,23,10,7,0,79,15,184,48,65,19,0,334,35,153,38,88,49,5,364,68,70,8,95,27,0,262,189,72,21,193,28,0,507,623,32,13,335,40,5,1049,539,3,11,177,19,3,756,80,0,0,20,5,4,109,7,0,0,3,0,0,10,0,0,0,0,3,0,7,0,0,0,0,5,0,6,0,0,0,0
LGA50210,8,97,12,12,8,3,138,0,172,25,4,4,0,211,13,179,29,77,28,9,329,35,110,5,132,29,0,319,57,45,3,145,8,0,261,372,36,6,277,17,3,716,1229,15,14,555,58,9,1886,428,11,3,210,23,4,667,163,0,0,53,6,0,228,19,0,0,13,0,0,35,6,0,0,4,0,0,12,0,5,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,3,3,0,15,42,47,9,61,14,14,190,2368,711,107,1560,209,45,5002,11,29,4,6,3,0,53,3,35,7,10,5,0,59,11,246,22,38,8,4,328,15,162,24,68,39,0,305,23,58,7,93,22,0,204,264,63,4,183,16,3,539,1224,40,4,562,46,3,1884,1257,8,5,531,47,8,1856,360,0,0,135,12,0,504,73,0,0,20,0,0,99,17,0,0,9,0,0,26,5,0,0,3,0,0,9,5,0,0,0
LGA50250,12,20,49,0,988,5,1083,0,25,4,0,59,0,93,6,8,0,5,62,0,81,6,9,0,6,25,0,39,5,4,0,0,12,0,26,0,4,0,4,16,0,19,3,0,0,4,9,0,20,3,0,0,0,5,0,14,4,0,0,4,0,0,8,0,0,0,8,0,0,11,0,0,0,4,0,0,8,4,0,0,0,6,0,9,0,0,0,0,3,0,3,0,0,0,0,9,0,16,6,14,3,13,113,8,154,57,85,59,40,1307,15,1561,11,10,45,0,953,12,1031,0,9,3,0,34,0,48,0,22,0,0,70,0,97,4,16,0,6,33,0,57,0,3,0,5,13,0,24,0,4,0,0,8,0,23,23,3,0,9,17,0,47,13,0,0,6,17,0,39,18,4,0,5,6,0,27,13,0,0,7,3,0,20,12,0,0,4,0,0,17,5,0,0,3,0,0,17,0,0,0,0
LGA50280,0,12,0,9,3,0,22,0,21,5,10,4,0,34,12,26,14,32,20,3,99,36,6,4,62,20,0,134,49,3,3,49,13,0,117,118,3,0,77,3,0,211,244,3,0,149,13,3,414,96,0,0,70,6,0,179,15,0,0,8,8,0,26,0,0,0,0,6,0,3,4,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,4,0,0,4,0,0,0,5,3,0,12,16,8,6,21,27,4,75,595,83,33,500,119,12,1337,0,3,0,3,9,0,15,0,0,0,4,0,0,13,0,46,11,25,12,4,100,12,18,11,51,20,0,105,21,9,0,39,18,0,93,65,8,0,64,9,0,147,152,5,0,121,16,0,294,232,0,0,180,12,0,427,73,0,0,46,4,0,123,9,0,0,9,0,0,16,0,0,4,5,0,0,7,0,0,0,0,0,0,3,4,0,0,0
LGA50350,0,52,0,9,0,0,58,4,88,0,9,0,3,107,15,79,7,32,0,4,144,6,50,6,50,6,0,112,18,15,0,38,9,0,85,51,8,0,60,6,0,123,253,12,6,155,15,0,438,234,3,0,118,8,0,357,40,0,0,14,0,0,53,6,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,6,16,33,4,14,0,3,74,642,340,22,508,36,18,1571,0,21,4,3,0,0,26,0,27,0,3,0,0,29,3,117,13,15,3,0,151,14,68,5,30,0,0,111,6,20,4,25,0,3,57,14,23,0,40,0,0,77,159,27,8,117,10,0,318,381,12,4,157,13,3,570,136,0,0,44,0,0,183,22,0,0,12,0,0,30,4,0,0,3,0,0,9,0,0,0,0,0,0,3,0,0,0,0
LGA50420,4,146,46,20,3,3,232,3,276,16,10,5,4,312,29,193,29,103,12,0,367,141,108,31,253,30,3,572,133,35,0,242,20,3,432,490,60,8,388,40,8,988,1273,21,8,732,83,13,2131,1268,8,0,649,55,10,1985,304,4,0,132,12,0,443,71,0,0,25,5,3,103,21,0,0,10,0,0,32,15,0,0,6,0,0,18,0,0,0,3,0,0,4,19,0,0,5,11,0,33,51,48,13,95,10,21,239,3823,897,157,2668,280,75,7896,3,34,6,13,3,0,63,4,61,36,12,5,5,124,11,366,6,62,12,0,460,31,112,26,117,10,3,315,108,76,5,127,10,0,331,330,54,8,226,24,5,636,982,59,7,492,58,4,1604,1633,17,3,810,75,3,2553,880,6,0,348,29,4,1266,206,0,0,81,6,0,291,44,0,0,8,0,0,56,16,0,0,8,0,0,20,6,0,0,3
LGA50490,5,194,6,9,3,4,215,3,344,10,7,6,7,381,22,281,20,62,7,3,389,47,159,8,99,11,4,330,56,53,0,106,11,0,227,248,43,0,178,15,7,486,752,17,4,406,52,8,1239,899,8,0,360,34,8,1312,299,0,0,92,7,0,399,72,0,0,21,3,0,105,18,5,0,4,3,0,26,5,3,0,7,0,0,14,0,0,0,3,0,0,10,12,0,0,7,3,0,19,31,69,3,46,22,11,183,2455,1191,55,1410,188,48,5347,3,61,0,5,0,0,73,3,87,0,5,0,0,105,6,453,17,50,14,6,545,30,175,15,68,9,7,299,29,85,5,53,4,0,170,122,79,3,82,14,0,296,641,52,3,313,32,0,1048,1483,23,0,491,52,5,2052,743,4,0,215,15,4,971,119,8,0,43,0,0,169,26,0,0,10,0,0,42,6,0,0,0,0,0,8,6,4,0,3
LGA50560,0,4,0,4,0,0,6,0,3,0,5,0,0,8,0,11,0,8,6,0,24,3,3,0,10,0,0,22,0,0,0,9,0,0,6,3,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,9,7,21,0,39,6,0,83,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,7,4,0,17,0,6,0,0,4,0,11,3,0,0,3,0,0,12,3,4,0,7,0,0,17,0,0,0,3,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,7,0,8,5,0,20,0,3,0,9,3,0,15,3,3,0,6,0,0,13,0,0,0,5,0,0,5,6,0,0,12,6,0,23,15,0,0,23,0,0,34,14,0,0,6,0,0,17,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,10,0,17,40,16,0,69,31,4,165,0,0,0,0,10,0,6,0,4,0,0,13,0,21,0,8,0,4,3,0,12,5,0,0,5,0,0,10,6,0,0,5,4,0,9,15,0,0,7,0,0,22,17,5,0,7,0,0,33,27,0,0,15,0,0,45,6,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,5,0,0,0,0,8,0,5,0,0,0,0,4,6,9,0,14,0,0,33,4,4,0,12,0,0,21,3,0,0,6,0,0,14,6,0,0,3,0,0,5,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,21,16,0,44,10,0,99,0,0,0,3,0,0,9,0,0,0,5,0,0,6,0,10,0,12,5,0,27,3,0,0,4,0,0,19,4,0,0,6,0,0,14,5,0,0,6,0,0,15,0,0,0,7,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
