LGA_CODE_2021,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85over,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85over,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85over,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85over,C16_P_CL_CL_nfd_Tot,C16_P_CL_Tot_15_19,C16_P_CL_Tot_20_24,C16_P_CL_Tot_25_34,C16_P_CL_Tot_35_44,C16_P_CL_Tot_45_54,C16_P_CL_Tot_55_64,C16_P_CL_Tot_65_74,C16_P_CL_Tot_75_84,C16_P_CL_Tot_85over,C16_P_CL_Tot_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85over,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85over,C16_P_LE_NS_Tot,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85over,C16_P_Tot_Tot,C21_P_Post_Deg_15_19_yrs,C21_P_Post_Deg_20_24_yrs,C21_P_Post_Deg_25_34_yrs,C21_P_Post_Deg_35_44_yrs,C21_P_Post_Deg_45_54_yrs,C21_P_Post_Deg_55_64_yrs,C21_P_Post_Deg_65_74_yrs,C21_P_Post_Deg_75_84_yrs,C21_P_Post_Deg_85over,C21_P_Post_Deg_Tot,C21_P_GrDip_GrCe_15_19,C21_P_GrDip_GrCe_20_24,C21_P_GrDip_GrCe_25_34,C21_P_GrDip_GrCe_35_44,C21_P_GrDip_GrCe_45_54,C21_P_GrDip_GrCe_55_64,C21_P_GrDip_GrCe_65_74,C21_P_GrDip_GrCe_75_84,C21_P_GrDip_GrCe_85over,C21_P_GrDip_GrCe_Tot,C21_P_BD_15_19,C21_P_BD_20_24,C21_P_BD_25_34,C21_P_BD_35_44,C21_P_BD_45_54,C21_P_BD_55_64,C21_P_BD_65_74,C21_P_BD_75_84,C21_P_BD_85over,C21_P_BD_Tot,C21_P_AdD_DL_15_19,C21_P_AdD_DL_20_24,C21_P_AdD_DL_25_34,C21_P_AdD_DL_35_44,C21_P_AdD_DL_45_54,C21_P_AdD_DL_55_64,C21_P_AdD_DL_65_74,C21_P_AdD_DL_75_84,C21_P_AdD_DL_85over,C21_P_AdD_DL_Tot,C21_P_CL_C_III_IV_15_19,C21_P_CL_C_III_IV_20_24,C21_P_CL_C_III_IV_25_34,C21_P_CL_C_III_IV_35_44,C21_P_CL_C_III_IV_45_54,C21_P_CL_C_III_IV_55_64,C21_P_CL_C_III_IV_65_74,C21_P_CL_C_III_IV_75_84,C21_P_CL_C_III_IV_85over,C21_P_CL_C_III_IV_Tot,C21_P_CL_C_I_II_15_19,C21_P_CL_C_I_II_20_24,C21_P_CL_C_I_II_25_34,C21_P_CL_C_I_II_35_44,C21_P_CL_C_I_II_45_54,C21_P_CL_C_I_II_55_64,C21_P_CL_C_I_II_65_74,C21_P_CL_C_I_II_75_84,C21_P_CL_C_I_II_85over,C21_P_CL_C_I_II_Tot,C21_P_CL_CL_nfd_15_19,C21_P_CL_CL_nfd_20_24,C21_P_CL_CL_nfd_25_34,C21_P_CL_CL_nfd_35_44,C21_P_CL_CL_nfd_45_54,C21_P_CL_CL_nfd_55_64,C21_P_CL_CL_nfd_65_74,C21_P_CL_CL_nfd_75_84,C21_P_CL_CL_nfd_85over,C21_P_CL_CL_nfd_Tot,C21_P_CL_Tot_15_19,C21_P_CL_Tot_20_24,C21_P_CL_Tot_25_34,C21_P_CL_Tot_35_44,C21_P_CL_Tot_45_54,C21_P_CL_Tot_55_64,C21_P_CL_Tot_65_74,C21_P_CL_Tot_75_84,C21_P_CL_Tot_85over,C21_P_CL_Tot_Tot,C21_P_LE_ID_15_19,C21_P_LE_ID_20_24,C21_P_LE_ID_25_34,C21_P_LE_ID_35_44,C21_P_LE_ID_45_54,C21_P_LE_ID_55_64,C21_P_LE_ID_65_74,C21_P_LE_ID_75_84,C21_P_LE_ID_85over,C21_P_LE_ID_Tot,C21_P_LE_NS_15_19,C21_P_LE_NS_20_24,C21_P_LE_NS_25_34,C21_P_LE_NS_35_44,C21_P_LE_NS_45_54,C21_P_LE_NS_55_64,C21_P_LE_NS_65_74,C21_P_LE_NS_75_84,C21_P_LE_NS_85over,C21_P_LE_NS_Tot,C21_P_Tot_15_19_yrs,C21_P_Tot_20_24_yrs,C21_P_Tot_25_34_yrs,C21_P_Tot_35_44_yrs,C21_P_Tot_45_54_yrs,C21_P_Tot_55_64_yrs,C21_P_Tot_65_74_yrs,C21_P_Tot_75_84_yrs,C21_P_Tot_85over,C21_P_Tot_Tot
LGA50080,25,94,316,448,574,639,355,147,46,2640,161,525,1153,1039,1095,958,598,234,75,5843,110,92,102,72,61,52,46,15,0,539,22,44,68,105,118,139,108,53,14,666,291,659,1321,1216,1276,1144,752,299,83,7049,5,9,22,28,37,34,42,34,17,234,221,193,449,399,423,512,505,416,264,3388,546,1051,2708,2923,3130,3136,2167,1064,460,17176,0,9,114,148,150,150,135,47,13,765,0,11,72,104,154,155,115,23,9,646,0,105,555,709,740,647,545,215,41,3556,15,76,324,474,577,671,525,260,56,2979,197,489,1323,1165,1227,1139,752,320,104,6717,171,152,119,86,79,75,44,14,3,735,15,20,46,56,123,154,134,47,14,625,384,659,1485,1314,1425,1370,927,379,130,8074,0,3,17,29,33,27,57,36,11,221,143,115,306,272,331,412,437,384,236,2633,535,986,2882,3049,3406,3428,2744,1346,498,18875
LGA50210,51,345,1486,1336,1035,777,422,157,41,5639,259,1246,3245,2305,2070,1721,1009,377,84,12315,172,164,212,150,93,84,48,15,0,935,27,86,219,299,266,230,146,54,6,1342,464,1495,3675,2749,2429,2033,1209,439,91,14593,8,23,110,84,84,78,71,31,8,498,342,359,932,859,788,720,694,488,271,5452,872,2697,9678,7785,5815,4587,2900,1291,452,36073,0,35,657,1356,530,255,137,43,8,3024,3,20,292,404,254,178,98,32,3,1274,0,467,2703,3492,1625,881,550,196,44,9949,33,339,1479,1964,1280,1032,589,227,41,6994,395,1222,3549,3224,2417,2050,1323,467,92,14742,269,317,326,190,138,107,51,32,3,1416,35,75,162,247,240,204,181,70,10,1227,694,1611,4034,3651,2796,2360,1551,566,108,17385,4,40,77,128,73,85,67,51,14,538,351,356,1004,1032,790,668,558,433,204,5399,1087,2871,10249,12028,7348,5457,3545,1547,423,44561
LGA50250,0,15,197,248,176,102,17,0,0,754,14,172,1249,1007,766,375,40,4,0,3615,8,14,48,27,18,12,0,0,0,120,0,7,38,55,45,22,0,0,0,171,23,190,1332,1087,824,405,40,4,0,3908,0,4,15,17,16,7,0,0,0,54,37,110,670,590,494,271,41,5,0,2211,61,365,2691,2325,1714,898,114,16,0,8182,0,0,33,28,8,16,4,0,0,95,0,0,17,18,17,10,0,0,0,70,0,29,180,155,71,47,15,3,0,495,0,14,106,118,84,61,10,0,0,391,13,91,473,492,267,171,42,6,0,1554,10,16,27,20,9,7,0,0,0,91,0,5,11,19,11,8,4,0,0,66,23,112,511,531,294,187,45,9,0,1709,0,5,4,8,7,7,0,0,0,26,62,97,324,313,231,164,39,12,0,1242,86,256,1189,1170,715,479,114,21,0,4031
LGA50280,0,29,163,244,200,216,133,65,16,1071,40,103,426,577,479,378,181,53,21,2254,22,10,31,39,30,26,5,0,0,163,6,8,40,50,44,54,36,13,4,256,64,124,494,663,548,457,229,67,25,2674,0,9,13,7,19,18,13,3,0,81,124,41,170,226,207,217,157,97,47,1277,189,234,1312,1775,1375,1264,758,312,112,7335,0,0,70,116,79,74,87,30,7,470,0,0,29,93,78,73,60,20,0,348,0,28,439,631,477,350,271,90,21,2315,6,15,166,278,301,271,240,92,27,1402,40,116,426,645,543,496,281,73,15,2634,30,29,22,34,42,28,16,3,4,214,5,11,25,56,62,61,37,20,0,272,75,154,474,737,649,582,336,99,24,3118,0,3,5,23,22,18,28,13,7,110,77,48,184,269,300,174,197,85,58,1396,154,251,1369,2143,1902,1538,1225,433,142,9161
LGA50350,16,64,240,253,239,205,89,27,5,1139,37,142,437,413,416,340,213,97,23,2121,27,27,29,22,15,21,14,5,0,148,4,7,34,46,46,41,29,9,3,220,66,173,501,485,476,403,263,105,31,2497,0,5,23,14,16,18,11,3,0,94,49,53,138,144,159,151,150,142,100,1087,133,402,1724,1671,1392,1089,668,327,151,7547,0,18,146,239,146,98,48,15,3,709,0,0,72,105,111,83,33,11,0,421,0,121,654,615,419,264,159,54,12,2303,0,55,214,257,253,226,144,66,11,1225,48,155,447,460,402,370,277,116,32,2304,26,44,42,35,18,13,15,0,0,212,3,12,13,37,50,56,32,17,5,230,85,213,499,536,472,439,331,132,38,2744,3,7,9,9,6,13,19,13,3,81,34,58,180,148,144,127,124,96,49,968,117,475,1772,1910,1553,1259,854,389,113,8444
LGA50420,41,343,1292,1136,974,771,483,180,65,5292,146,678,1982,1470,1356,1251,803,409,109,8201,80,92,111,95,76,51,23,12,4,553,18,45,149,191,207,214,138,59,17,1033,238,813,2244,1755,1646,1519,964,482,129,9791,5,14,116,79,89,74,68,32,17,494,218,315,942,693,646,659,629,583,499,5186,518,2354,9547,7473,5520,4493,2838,1502,760,34998,0,75,1133,1243,630,378,220,75,14,3772,0,29,383,430,349,262,154,48,13,1665,0,741,3795,3241,1917,1160,809,269,63,11991,32,376,1191,1190,1069,894,691,295,75,5802,165,633,1923,1603,1394,1327,968,464,130,8613,115,167,143,93,100,82,59,11,4,773,20,35,117,156,182,191,182,83,32,994,303,836,2187,1853,1672,1600,1212,560,163,10383,0,25,71,106,63,70,71,54,17,481,138,244,738,653,500,469,419,435,259,3857,473,2329,9490,8721,6204,4833,3570,1736,594,37944
LGA50490,21,247,878,599,479,387,178,75,22,2882,110,503,1331,936,806,663,400,220,65,5038,35,68,73,47,32,24,19,6,0,310,9,35,113,126,107,95,57,33,11,585,153,611,1518,1108,949,791,477,256,79,5937,9,25,78,42,37,44,29,13,7,289,203,415,1069,657,521,498,424,388,210,4384,385,1816,6486,4241,2828,2264,1363,813,338,20527,0,41,775,729,295,135,86,31,3,2086,0,30,196,186,140,103,44,9,0,707,3,459,2428,1670,856,495,296,99,35,6345,22,276,960,796,591,501,280,105,32,3560,136,541,1358,1025,882,783,516,232,85,5555,101,135,123,70,48,45,27,14,0,564,4,30,85,100,108,118,77,25,12,564,246,709,1563,1188,1035,950,622,275,97,6688,0,19,69,65,52,43,38,30,19,344,121,280,761,600,451,391,289,254,179,3334,394,1805,6749,5234,3414,2618,1668,803,366,23059
LGA50560,0,0,10,11,18,33,20,13,0,99,0,10,37,41,43,59,40,23,3,247,0,0,0,3,0,4,0,0,0,9,0,0,3,5,3,10,8,3,0,37,0,9,36,48,51,70,51,27,3,293,0,0,0,0,0,0,3,0,0,11,7,12,20,24,45,51,38,39,12,250,9,23,94,112,138,174,135,84,19,785,0,0,0,3,0,8,0,0,0,17,0,0,0,3,6,0,3,0,0,19,0,4,18,24,30,28,27,4,0,129,0,0,8,11,20,24,36,12,0,115,9,7,36,34,41,52,49,19,8,247,0,0,7,4,9,0,0,0,0,17,0,0,0,5,0,5,14,0,0,25,12,5,41,43,42,53,55,23,8,285,0,0,0,3,0,3,7,0,0,12,12,9,20,29,32,39,49,27,11,230,21,26,96,111,132,153,177,71,25,811
LGA50630,0,4,15,28,16,24,26,0,0,113,0,18,65,62,71,50,19,8,0,295,0,0,4,5,0,0,0,0,0,10,0,0,3,10,7,4,5,0,0,29,3,18,73,74,77,53,26,10,0,334,0,0,0,5,0,0,3,0,0,7,7,9,29,24,42,29,25,25,6,184,16,39,162,181,160,121,80,33,6,793,0,0,0,7,4,4,3,0,0,20,0,0,0,3,4,0,3,0,0,14,0,8,25,37,17,15,14,0,0,113,0,3,7,16,13,21,24,9,0,82,3,8,67,47,56,67,28,7,0,290,4,7,9,5,3,0,3,0,0,33,0,0,3,5,5,0,3,5,0,26,8,20,79,54,65,76,38,14,3,348,0,0,0,0,3,4,0,0,0,11,9,3,24,20,38,34,23,19,5,174,17,33,137,134,136,148,106,42,7,754
LGA50770,0,0,10,17,23,13,31,4,0,106,3,18,25,48,51,50,19,8,3,219,3,0,6,7,0,4,0,0,0,20,0,0,0,4,3,11,7,4,0,28,11,18,34,57,55,63,24,8,0,271,0,0,0,0,3,3,0,0,0,12,16,0,5,8,33,39,40,22,12,178,23,17,75,126,128,145,119,50,13,700,0,0,0,3,0,5,3,0,0,14,0,0,0,0,0,0,4,3,0,15,0,3,27,47,37,26,11,4,0,152,0,0,4,19,23,26,26,11,0,113,10,22,41,55,55,58,34,9,3,285,3,9,4,0,4,0,0,0,0,19,3,0,4,5,11,7,9,4,0,38,13,28,47,54,67,66,47,16,3,341,0,0,0,0,0,0,0,4,0,0,9,9,13,27,32,40,28,32,10,199,23,39,98,161,155,159,122,71,11,835
