LGA_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
LGA50080,0,0,0,0,7,53,4,5,0,60,155,0,181,401,8,3,0,0,13,15,0,22,53,4656,3734,1542,121,10060,4318,352,938,15664
LGA50210,13,3,0,3,20,49,0,11,0,64,164,7,76,312,10,8,3,0,18,11,0,9,43,7808,12367,4163,406,24740,6955,853,1409,33956
LGA50250,0,0,0,0,0,31,0,0,3,34,27,5,740,808,3,3,0,0,9,25,0,157,192,413,626,111,17,1166,382,32,1284,2862
LGA50280,0,0,0,7,7,19,0,3,0,25,49,14,144,231,15,5,6,0,22,10,3,21,56,1800,1822,588,28,4234,1422,227,722,6612
LGA50350,0,0,0,0,5,0,0,0,0,0,0,0,4,8,0,5,0,0,6,3,0,0,10,1618,1786,716,92,4214,1903,233,285,6632
LGA50420,4,4,0,0,9,0,0,0,0,4,4,0,25,34,5,4,0,0,12,12,3,10,38,7521,7677,2748,397,18345,8394,1317,1012,29068
LGA50490,0,0,0,0,9,0,0,0,0,7,16,0,28,42,3,8,0,0,13,16,0,6,41,4302,4024,1678,354,10358,5598,1066,982,17996
LGA50560,0,5,0,0,6,6,0,0,0,6,11,0,4,18,0,0,0,0,3,0,0,0,4,248,147,47,6,456,213,11,86,767
LGA50630,0,0,0,0,0,0,0,0,0,0,4,0,9,15,0,0,0,0,0,0,0,6,6,198,182,59,3,441,151,8,71,670
LGA50770,0,0,0,0,0,3,0,0,0,3,0,0,4,7,0,0,0,0,0,3,0,0,0,249,175,59,3,481,188,8,92,763
LGA50840,0,0,0,0,0,4,0,0,0,10,10,0,18,37,0,3,0,0,6,3,0,4,11,788,479,151,11,1430,571,42,179,2217
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,83,22,3,229,98,3,40,370
LGA50980,14,5,0,15,35,87,27,14,3,133,115,11,2201,2461,28,10,9,0,46,51,8,210,310,1242,1613,732,76,3659,1259,246,3324,8495
LGA51080,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,5,122,103,39,3,271,97,6,48,421
LGA51120,0,6,0,0,9,0,0,0,0,0,4,0,4,11,4,9,0,0,18,0,0,0,21,108,95,23,4,229,98,8,60,393
LGA51190,3,3,0,0,9,35,5,7,0,51,63,0,82,190,8,4,0,0,10,19,3,9,38,3656,2810,1722,140,8327,4538,492,872,14228
LGA51260,12,3,0,0,15,77,22,7,0,106,158,4,172,438,10,9,0,0,14,14,4,8,50,5025,4291,1458,81,10859,3737,397,1149,16136
LGA51310,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,10,11,0,0,16,2776,4080,732,99,7691,2416,278,251,10634
LGA51330,14,5,3,8,19,7,7,0,0,19,14,3,27,65,4,10,8,0,23,30,4,9,72,8125,12507,3205,559,24392,7209,1841,1130,34578
LGA51400,0,0,0,0,0,0,5,0,0,6,3,0,15,25,0,3,0,0,7,0,0,0,12,1841,2376,740,34,4995,1097,131,281,6496
LGA51470,0,0,0,0,0,0,0,0,0,0,4,0,12,13,0,0,0,0,0,0,0,4,7,77,42,13,0,132,84,0,78,300
LGA51540,0,0,0,0,0,47,12,7,0,65,78,4,1054,1207,8,8,4,0,14,14,0,98,133,494,399,204,18,1117,589,63,1539,3306
LGA51610,3,0,0,0,3,13,0,0,0,20,15,0,17,44,0,0,0,0,0,5,0,0,3,207,178,34,0,422,80,6,91,594
LGA51680,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,7,705,730,155,8,1605,306,19,166,2092
LGA51710,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,7,6,108,146,30,3,292,131,4,75,499
LGA51750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1174,1202,398,46,2821,1403,175,204,4603
LGA51820,0,0,0,0,5,63,3,6,4,78,133,3,151,361,4,9,0,0,16,29,5,20,64,11323,15351,4911,486,32070,10049,1398,1662,45173
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,7,10,42,64,9,0,114,9,0,42,168
LGA51890,0,0,0,0,5,5,0,4,0,12,3,3,12,32,0,3,0,0,5,10,0,0,12,1016,821,380,31,2253,1067,86,249,3653
LGA51960,0,0,0,3,3,3,0,0,0,3,5,0,21,29,6,0,0,0,0,4,0,19,30,312,280,133,12,739,350,30,336,1456
LGA52030,0,0,0,0,0,0,0,0,0,0,0,0,15,19,6,0,0,0,7,0,0,0,9,185,69,21,0,280,135,3,102,519
LGA52100,4,0,0,0,4,0,0,0,0,3,3,0,3,8,0,0,0,0,0,0,0,0,0,146,99,20,0,262,126,3,32,427
LGA52170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,900,939,216,25,2085,782,129,139,3138
LGA52240,0,0,0,0,0,3,0,0,0,3,3,0,10,11,0,0,0,0,6,6,0,0,8,136,110,23,3,274,127,5,59,468
LGA52310,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,0,0,0,0,0,0,0,0,141,82,26,4,246,98,7,41,397
LGA52380,0,0,0,0,0,0,0,0,0,0,10,0,58,66,0,0,0,0,0,0,0,9,13,15,3,0,0,20,41,5,98,161
LGA52450,0,0,0,0,0,4,0,0,0,4,3,0,7,11,0,0,0,0,0,0,0,0,0,126,141,26,0,301,141,7,47,492
LGA52520,5,5,0,3,9,4,5,0,0,6,10,0,8,22,0,0,0,0,0,3,0,3,8,130,149,23,0,309,111,9,89,519
LGA52590,0,4,0,0,3,16,4,0,0,21,25,0,80,125,8,0,0,0,12,10,0,5,21,522,260,81,5,866,359,29,241,1496
LGA52660,0,0,0,0,0,21,5,0,0,29,62,5,55,151,0,3,0,0,0,0,0,0,9,1685,1740,548,39,4014,1182,110,272,5578
LGA52730,0,0,0,0,0,4,0,0,0,4,9,0,109,124,3,3,0,0,10,3,0,4,13,821,560,214,3,1594,703,56,381,2745
LGA52800,8,5,0,7,22,26,3,4,0,38,37,0,653,729,14,4,0,0,21,23,0,91,134,392,476,304,70,1241,552,42,1199,3043
LGA52870,6,3,0,0,4,9,4,0,0,10,10,0,14,35,4,4,0,0,7,5,0,0,18,891,598,182,23,1691,565,49,161,2470
LGA52940,0,0,0,0,0,3,0,0,0,3,5,0,5,14,0,0,0,0,0,0,0,0,0,86,67,23,0,176,104,6,39,322
LGA53010,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,83,65,7,0,162,71,9,47,279
LGA53080,0,0,0,0,0,0,0,0,0,0,7,0,29,38,3,0,0,0,3,3,0,28,34,62,28,30,3,127,128,4,109,372
LGA53150,5,6,0,0,9,5,0,0,0,5,6,0,3,18,0,0,0,0,0,5,0,0,3,795,988,254,20,2058,777,85,106,3022
LGA53220,0,0,0,0,0,15,0,4,0,18,15,0,337,371,0,4,0,0,3,22,0,92,119,375,619,154,21,1166,430,45,816,2456
LGA53290,3,0,0,3,3,23,0,0,6,28,44,4,132,207,19,25,3,0,45,22,0,8,78,1503,1361,481,51,3389,1461,139,733,5720
LGA53360,13,4,5,0,16,46,25,6,0,81,61,11,1028,1177,5,0,0,0,8,7,0,20,37,354,308,72,3,744,282,80,1302,2404
LGA53430,16,4,3,0,26,50,9,6,3,67,90,6,140,297,7,0,0,0,11,24,3,15,46,3599,3068,1262,112,8042,4380,727,858,14005
LGA53570,0,0,0,0,4,12,0,3,0,15,24,3,33,72,0,0,0,0,0,4,0,5,9,778,471,141,21,1412,539,77,249,2268
LGA53640,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,4,0,0,3,135,143,26,8,312,115,8,53,488
LGA53710,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,127,92,28,4,253,122,4,46,429
LGA53780,34,24,3,5,68,45,11,7,3,61,108,8,66,247,3,6,3,0,16,23,0,15,56,9640,16545,5213,601,31996,9334,1346,1696,44372
LGA53800,8,6,3,0,18,45,3,8,3,60,94,3,298,447,10,4,3,0,21,44,0,25,90,4111,3866,1786,156,9920,4020,399,1575,15910
LGA53920,0,0,0,6,5,14,0,3,0,27,26,3,307,355,0,0,6,5,9,19,0,78,105,117,252,233,45,642,246,19,523,1430
LGA53990,5,3,0,12,20,32,7,9,4,53,99,0,186,341,0,3,0,0,6,11,0,9,22,3208,3428,1089,83,7815,2058,211,550,10626
LGA54060,0,0,0,3,3,10,0,0,0,12,20,0,114,137,4,0,0,0,0,5,0,17,24,521,318,125,8,973,437,26,302,1746
LGA54130,0,4,0,0,6,7,0,0,0,8,12,0,17,35,0,0,0,0,0,6,0,3,11,136,117,23,3,283,140,3,72,503
LGA54170,11,3,5,0,22,31,4,0,3,44,71,5,132,247,8,0,0,0,12,19,0,22,48,17196,22233,5726,457,45607,10704,1205,1335,58848
LGA54200,31,3,0,0,36,47,19,12,0,75,88,5,94,262,11,3,0,0,17,0,0,4,29,6251,7341,2355,215,16165,4623,466,690,21938
LGA54280,8,7,0,9,24,45,9,6,0,54,90,0,534,688,3,3,6,0,12,15,4,26,54,2478,3288,1014,117,6899,2725,369,1502,11495
LGA54310,3,0,0,3,10,38,9,4,0,49,42,9,589,684,15,4,0,0,17,20,0,161,199,1541,2682,473,46,4741,1360,212,1980,8287
LGA54340,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,3,0,0,6,445,370,149,18,983,422,58,152,1602
LGA54410,0,3,0,0,6,0,0,0,0,0,3,0,12,13,4,0,0,0,6,0,0,0,10,144,86,38,4,281,143,12,57,487
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,70,5,0,111,52,4,25,200
LGA54550,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,3,4,0,6,10,217,204,42,0,467,251,17,71,810
LGA54620,0,0,0,0,0,4,0,0,0,4,3,0,15,25,0,0,0,0,0,0,0,0,3,103,66,26,3,202,99,9,76,381
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,54,36,10,0,94,56,4,8,170
LGA54760,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,5,99,80,14,3,197,73,6,33,303
