LGA_CODE_2021,C16_F_NatPhy_sci_15_19,C16_F_NatPhy_sci_20_24,C16_F_NatPhy_sci_25_34,C16_F_NatPhy_sci_35_44,C16_F_NatPhy_sci_45_54,C16_F_NatPhy_sci_55_64,C16_F_NatPhy_sci_65_74,C16_F_NatPhy_sci_75_84,C16_F_NatPhy_sci_85over,C16_F_NatPhy_sci_Tot,C16_F_InfTec_15_19,C16_F_InfTec_20_24,C16_F_InfTec_25_34,C16_F_InfTec_35_44,C16_F_InfTec_45_54,C16_F_InfTec_55_64,C16_F_InfTec_65_74,C16_F_InfTec_75_84,C16_F_InfTec_85over,C16_F_InfTec_Tot,C16_F_EngRT_15_19,C16_F_EngRT_20_24,C16_F_EngRT_25_34,C16_F_EngRT_35_44,C16_F_EngRT_45_54,C16_F_EngRT_55_64,C16_F_EngRT_65_74,C16_F_EngRT_75_84,C16_F_EngRT_85over,C16_F_EngRT_Tot,C16_F_ArchBuild_15_19,C16_F_ArchBuild_20_24,C16_F_ArchBuild_25_34,C16_F_ArchBuild_35_44,C16_F_ArchBuild_45_54,C16_F_ArchBuild_55_64,C16_F_ArchBuild_65_74,C16_F_ArchBuild_75_84,C16_F_ArchBuild_85over,C16_F_ArchBuild_Tot,C16_F_AgEnv_RS_15_19,C16_F_AgEnv_RS_20_24,C16_F_AgEnv_RS_25_34,C16_F_AgEnv_RS_35_44,C16_F_AgEnv_RS_45_54,C16_F_AgEnv_RS_55_64,C16_F_AgEnv_RS_65_74,C16_F_AgEnv_RS_75_84,C16_F_AgEnv_RS_85over,C16_F_AgEnv_RS_Tot,C16_F_Health_15_19,C16_F_Health_20_24,C16_F_Health_25_34,C16_F_Health_35_44,C16_F_Health_45_54,C16_F_Health_55_64,C16_F_Health_65_74,C16_F_Health_75_84,C16_F_Health_85over,C16_F_Health_Tot,C16_F_Educ_15_19,C16_F_Educ_20_24,C16_F_Educ_25_34,C16_F_Educ_35_44,C16_F_Educ_45_54,C16_F_Educ_55_64,C16_F_Educ_65_74,C16_F_Educ_75_84,C16_F_Educ_85over,C16_F_Educ_Tot,C16_F_MngtCom_15_19,C16_F_MngtCom_20_24,C16_F_MngtCom_25_34,C16_F_MngtCom_35_44,C16_F_MngtCom_45_54,C16_F_MngtCom_55_64,C16_F_MngtCom_65_74,C16_F_MngtCom_75_84,C16_F_MngtCom_85over,C16_F_MngtCom_Tot,C16_F_Soc_cult_15_19,C16_F_Soc_cult_20_24,C16_F_Soc_cult_25_34,C16_F_Soc_cult_35_44,C16_F_Soc_cult_45_54,C16_F_Soc_cult_55_64,C16_F_Soc_cult_65_74,C16_F_Soc_cult_75_84,C16_F_Soc_cult_85over,C16_F_Soc_cult_Tot,C16_F_Creative_art_15_19,C16_F_Creative_art_20_24,C16_F_Creative_art_25_34,C16_F_Creative_art_35_44,C16_F_Creative_art_45_54,C16_F_Creative_art_55_64,C16_F_Creative_art_65_74,C16_F_Creative_art_75_84,C16_F_Creative_art_85over,C16_F_Creative_art_Tot,C16_F_FoodHos_PS_15_19,C16_F_FoodHos_PS_20_24,C16_F_FoodHos_PS_25_34,C16_F_FoodHos_PS_35_44,C16_F_FoodHos_PS_45_54,C16_F_FoodHos_PS_55_64,C16_F_FoodHos_PS_65_74,C16_F_FoodHos_PS_75_84,C16_F_FoodHos_PS_85over,C16_F_FoodHos_PS_Tot,C16_F_MixFld_pr_15_19,C16_F_MixFld_pr_20_24,C16_F_MixFld_pr_25_34,C16_F_MixFld_pr_35_44,C16_F_MixFld_pr_45_54,C16_F_MixFld_pr_55_64,C16_F_MixFld_pr_65_74,C16_F_MixFld_pr_75_84,C16_F_MixFld_pr_85over,C16_F_MixFld_pr_Tot,C16_F_FldStu_ID_15_19,C16_F_FldStu_ID_20_24,C16_F_FldStu_ID_25_34,C16_F_FldStu_ID_35_44,C16_F_FldStu_ID_45_54,C16_F_FldStu_ID_55_64,C16_F_FldStu_ID_65_74,C16_F_FldStu_ID_75_84,C16_F_FldStu_ID_85over,C16_F_FldStu_ID_Tot,C16_F_FldStu_NS_15_19,C16_F_FldStu_NS_20_24,C16_F_FldStu_NS_25_34,C16_F_FldStu_NS_35_44,C16_F_FldStu_NS_45_54,C16_F_FldStu_NS_55_64,C16_F_FldStu_NS_65_74,C16_F_FldStu_NS_75_84,C16_F_FldStu_NS_85over,C16_F_FldStu_NS_Tot,C16_F_Tot_15_19,C16_F_Tot_20_24,C16_F_Tot_25_34,C16_F_Tot_35_44,C16_F_Tot_45_54,C16_F_Tot_55_64,C16_F_Tot_65_74,C16_F_Tot_75_84,C16_F_Tot_85over,C16_F_Tot_Tot,C21_F_NatPhy_sci_15_19,C21_F_NatPhy_sci_20_24,C21_F_NatPhy_sci_25_34,C21_F_NatPhy_sci_35_44,C21_F_NatPhy_sci_45_54,C21_F_NatPhy_sci_55_64,C21_F_NatPhy_sci_65_74,C21_F_NatPhy_sci_75_84,C21_F_NatPhy_sci_85over,C21_F_NatPhy_sci_Tot,C21_F_InfTec_15_19,C21_F_InfTec_20_24,C21_F_InfTec_25_34,C21_F_InfTec_35_44,C21_F_InfTec_45_54,C21_F_InfTec_55_64,C21_F_InfTec_65_74,C21_F_InfTec_75_84,C21_F_InfTec_85over,C21_F_InfTec_Tot,C21_F_EngRT_15_19,C21_F_EngRT_20_24,C21_F_EngRT_25_34,C21_F_EngRT_35_44,C21_F_EngRT_45_54,C21_F_EngRT_55_64,C21_F_EngRT_65_74,C21_F_EngRT_75_84,C21_F_EngRT_85over,C21_F_EngRT_Tot,C21_F_ArchBuild_15_19,C21_F_ArchBuild_20_24,C21_F_ArchBuild_25_34,C21_F_ArchBuild_35_44,C21_F_ArchBuild_45_54,C21_F_ArchBuild_55_64,C21_F_ArchBuild_65_74,C21_F_ArchBuild_75_84,C21_F_ArchBuild_85over,C21_F_ArchBuild_Tot,C21_F_AgEnv_RS_15_19,C21_F_AgEnv_RS_20_24,C21_F_AgEnv_RS_25_34,C21_F_AgEnv_RS_35_44,C21_F_AgEnv_RS_45_54,C21_F_AgEnv_RS_55_64,C21_F_AgEnv_RS_65_74,C21_F_AgEnv_RS_75_84,C21_F_AgEnv_RS_85over,C21_F_AgEnv_RS_Tot
LGA50080,0,8,37,51,29,25,11,0,0,169,0,9,20,14,14,10,5,3,0,61,4,10,22,18,19,23,7,14,6,128,0,0,19,10,5,7,0,0,0,50,9,22,41,64,56,27,16,3,0,244,26,53,244,232,297,351,251,109,35,1593,6,31,141,235,265,276,154,77,25,1201,38,108,271,312,323,248,146,43,18,1502,31,105,208,274,250,263,121,26,11,1285,9,19,43,53,52,45,28,14,0,256,28,61,151,102,93,58,42,12,8,556,4,3,7,0,7,8,5,8,0,40,3,5,8,10,14,10,5,0,0,49,104,61,130,124,176,207,214,191,136,1338,257,486,1325,1500,1604,1557,1014,504,233,8478,0,16,39,53,53,40,24,5,0,224,0,0,10,14,15,8,7,0,0,58,6,5,34,26,19,26,10,10,9,136,0,3,19,18,18,7,8,0,0,72,16,15,47,70,68,64,22,10,0,313
LGA50210,0,38,202,139,62,54,23,5,0,522,5,7,108,66,26,17,0,0,0,245,4,31,143,112,83,40,23,15,7,461,3,21,55,25,21,8,6,0,0,133,10,19,79,62,30,22,6,9,0,227,34,174,811,516,408,392,213,82,16,2645,19,99,454,447,387,327,162,47,16,1958,78,305,1283,985,630,424,185,81,15,3984,44,247,804,598,472,379,148,38,6,2737,22,74,177,135,66,46,41,12,4,578,64,191,398,264,184,113,71,16,5,1306,4,10,6,3,4,0,13,10,0,52,0,17,55,48,26,22,9,4,0,180,186,172,423,378,330,310,309,233,173,2503,478,1412,4992,3768,2728,2142,1212,544,244,17519,3,47,193,220,107,65,38,5,0,691,5,15,144,194,43,26,12,0,0,438,12,32,170,234,95,49,37,12,5,651,6,17,54,46,25,10,3,5,0,169,10,29,75,80,40,41,13,4,3,295
LGA50250,0,0,19,18,5,3,0,0,0,46,0,0,3,4,0,0,0,0,0,14,0,10,35,25,9,3,0,0,0,85,0,0,5,7,0,0,0,0,0,14,0,0,15,11,5,4,0,0,0,32,0,3,58,48,24,32,0,0,0,167,0,10,64,44,35,17,8,0,0,182,6,27,147,100,50,31,0,0,0,369,0,9,83,42,25,14,3,0,0,168,0,0,15,7,0,4,6,0,0,32,0,15,63,47,18,3,0,0,0,155,0,0,3,0,0,0,0,0,0,4,0,0,4,4,12,0,0,0,0,23,17,37,133,74,91,47,14,0,0,418,28,126,650,429,270,162,28,3,0,1695,0,0,4,11,4,0,0,0,0,21,0,3,0,4,0,0,0,0,0,8,0,4,17,11,6,3,0,0,0,44,0,0,0,3,0,0,0,0,0,10,0,3,14,3,8,0,0,0,0,31
LGA50280,0,0,25,53,23,16,0,3,0,125,0,0,3,5,0,0,0,0,0,15,0,0,19,18,5,6,4,0,0,55,0,0,9,11,11,0,3,0,0,37,4,5,33,39,22,15,0,0,0,128,0,10,92,123,91,116,71,26,12,542,0,9,97,127,116,142,64,33,9,605,13,20,128,153,116,84,49,11,3,580,10,30,85,128,83,83,36,7,5,471,3,11,59,50,32,28,11,6,5,202,8,21,85,65,59,27,22,4,0,286,0,0,0,0,0,0,0,3,0,8,0,0,10,7,12,4,0,0,0,35,60,19,72,102,83,91,58,53,16,562,101,131,706,890,656,627,338,144,63,3657,0,0,29,59,30,17,13,3,0,160,0,0,7,10,0,3,4,0,0,21,0,5,14,26,7,6,5,3,0,64,0,0,17,17,13,5,0,0,0,61,0,6,18,55,33,19,7,0,0,146
LGA50350,0,9,49,40,22,11,5,0,0,134,0,0,13,16,6,4,6,0,0,46,0,0,19,24,18,9,9,12,0,94,0,7,26,11,7,5,0,0,0,50,0,0,15,19,3,3,0,0,0,50,6,26,142,98,98,71,40,15,9,503,3,17,72,120,103,81,44,18,10,455,5,42,195,188,146,91,57,16,16,757,12,35,149,156,107,136,53,8,0,642,8,22,65,59,39,18,6,5,0,213,13,25,66,44,39,29,16,0,0,235,0,0,0,0,0,0,0,0,0,12,0,0,10,13,10,5,0,3,0,45,39,25,63,72,74,68,68,66,73,533,79,204,890,852,672,526,306,140,108,3770,0,10,35,35,29,12,9,3,0,130,0,0,6,20,17,3,6,0,0,48,0,4,24,39,13,14,5,11,5,113,0,3,33,17,9,4,0,0,0,71,0,4,15,21,17,9,0,0,0,67
LGA50420,0,65,219,182,95,68,25,3,3,655,3,16,98,69,35,20,13,0,0,251,3,32,160,100,59,57,35,26,10,472,0,26,75,47,23,5,5,0,0,185,4,9,51,43,20,9,3,0,0,141,16,170,706,481,343,350,179,97,28,2365,10,59,358,408,376,344,181,82,26,1838,42,272,1237,952,649,393,201,77,34,3864,29,161,750,625,393,367,155,28,5,2522,16,92,364,213,135,54,31,16,7,936,37,130,332,222,164,107,74,23,7,1093,6,7,11,3,8,12,11,13,3,68,5,9,77,50,30,26,12,6,3,207,101,150,435,285,292,275,274,307,324,2447,260,1193,4873,3687,2603,2088,1201,688,449,17034,0,77,229,204,127,75,40,14,4,772,3,12,87,85,42,27,12,3,0,269,3,31,163,138,60,56,38,16,6,507,0,12,93,71,43,22,7,7,0,254,0,13,86,50,27,19,8,0,0,210
LGA50490,0,37,125,95,46,23,10,3,0,346,3,11,72,41,15,10,3,0,0,160,4,24,126,76,29,17,16,14,11,315,0,11,46,24,13,10,0,0,0,102,0,12,34,32,18,11,3,0,0,105,9,127,443,231,155,155,94,39,15,1273,7,37,181,176,131,127,58,30,4,758,24,190,756,502,316,202,104,47,16,2149,18,105,390,300,179,171,56,18,0,1237,0,51,145,66,33,12,13,5,6,325,22,82,264,145,67,55,26,3,5,673,3,5,6,0,0,6,5,8,3,37,0,10,46,35,16,17,0,0,0,128,95,201,478,283,218,219,201,198,135,2032,192,905,3107,2007,1240,1031,605,372,192,9648,0,50,163,111,66,22,21,6,0,431,4,10,53,59,31,9,11,0,0,181,3,16,171,106,47,30,12,11,6,400,0,11,58,33,13,7,5,0,0,119,0,15,34,40,18,16,6,5,0,127
LGA50560,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,4,4,3,3,0,0,0,19,0,0,6,4,3,18,15,7,0,56,0,0,0,9,10,12,6,5,0,47,0,4,13,13,14,10,8,0,0,60,0,0,8,8,11,7,10,0,0,41,0,0,0,0,4,4,0,0,0,6,0,0,4,8,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,4,7,15,23,17,19,20,5,105,3,13,45,63,67,82,61,29,12,382,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,9,0,3,0,0,16
LGA50630,0,0,4,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,14,0,0,10,14,15,6,9,3,0,55,0,0,3,8,13,13,3,4,0,43,0,4,21,16,4,7,3,0,0,65,0,0,10,11,3,4,0,0,0,28,0,0,0,5,3,0,0,0,0,10,0,0,3,4,4,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,11,13,19,12,9,6,0,68,5,11,65,80,69,40,33,12,0,324,0,0,0,5,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,7,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,0,0,0,0,16
LGA50770,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,10,0,9,0,0,0,0,26,0,0,7,7,12,16,19,3,0,70,0,0,13,14,9,17,6,3,0,62,5,4,3,20,9,12,7,3,0,60,0,0,5,13,7,6,10,0,0,34,0,0,0,0,4,0,0,0,0,10,0,0,3,5,4,3,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,9,0,3,0,13,11,17,11,5,69,16,10,46,71,68,70,67,18,12,372,0,0,0,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,4,12,8,0,8,0,0,0,34
