LGA_CODE_2021,C21_F_Tot_Em_Tot,C21_F_Tot_Unem_Look_FT,C21_F_Tot_Unem_Look_PT,C21_F_Tot_Unem_Tot,C21_F_Tot_Tot_labo_for,C21_F_Tot_Not_LF,C21_F_Tot_LF_NS,C21_F_Tot_Tot,C11_P_15_19_Em_FT,C11_P_15_19_Em_PT,C11_P_15_19_Em_AFW,C11_P_15_19_Em_Hrs_NS,C11_P_15_19_Em_Tot,C11_P_15_19_Unem_Look_FT,C11_P_15_19_Unem_Look_PT,C11_P_15_19_Unem_Tot,C11_P_15_19_Tot_LF,C11_P_15_19_Not_LF,C11_P_15_19_LF_NS,C11_P_15_19_Tot,C11_P_20_24_Em_FT,C11_P_20_24_Em_PT,C11_P_20_24_Em_AFW,C11_P_20_24_Em_Hrs_NS,C11_P_20_24_Em_Tot,C11_P_20_24_Unem_Look_FT,C11_P_20_24_Unem_Look_PT,C11_P_20_24_Unem_Tot,C11_P_20_24_Tot_LF,C11_P_20_24_Not_LF,C11_P_20_24_LF_NS,C11_P_20_24_Tot,C11_P_25_29_Em_FT,C11_P_25_29_Em_PT,C11_P_25_29_Em_AFW,C11_P_25_29_Em_Hrs_NS,C11_P_25_29_Em_Tot,C11_P_25_29_Unem_Look_FT,C11_P_25_29_Unem_Look_PT,C11_P_25_29_Unem_Tot,C11_P_25_29_Tot_LF,C11_P_25_29_Not_LF,C11_P_25_29_LF_NS,C11_P_25_29_Tot,C11_P_30_34_Em_FT,C11_P_30_34_Em_PT,C11_P_30_34_Em_AFW,C11_P_30_34_Em_Hrs_NS,C11_P_30_34_Em_Tot,C11_P_30_34_Unem_Look_FT,C11_P_30_34_Unem_Look_PT,C11_P_30_34_Unem_Tot,C11_P_30_34_Tot_LF,C11_P_30_34_Not_LF,C11_P_30_34_LF_NS,C11_P_30_34_Tot,C11_P_35_39_Em_FT,C11_P_35_39_Em_PT,C11_P_35_39_Em_AFW,C11_P_35_39_Em_Hrs_NS,C11_P_35_39_Em_Tot,C11_P_35_39_Unem_Look_FT,C11_P_35_39_Unem_Look_PT,C11_P_35_39_Unem_Tot,C11_P_35_39_Tot_LF,C11_P_35_39_Not_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Not_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Not_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Not_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Not_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Not_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Not_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Not_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Em_FT,C11_P_75over_Em_PT,C11_P_75over_Em_Aw_fr_w,C11_P_75over_Emp_H_wor_ns,C11_P_75over_Em_Tot,C11_P_75over_Unem_Lo_ft_wor,C11_P_75over_Unem_Lo_pt_wor,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_Tot_Tot_labo_for,C11_P_Tot_Not_LF,C11_P_Tot_LF_NS,C11_P_Tot_Tot,C16_P_15_19_Em_FT,C16_P_15_19_Em_PT,C16_P_15_19_Em_AFW,C16_P_15_19_Em_Hrs_NS,C16_P_15_19_Em_Tot,C16_P_15_19_Unem_Look_FT,C16_P_15_19_Unem_Look_PT,C16_P_15_19_Unem_Tot,C16_P_15_19_Tot_LF,C16_P_15_19_Not_LF,C16_P_15_19_LF_NS,C16_P_15_19_Tot,C16_P_20_24_Em_FT,C16_P_20_24_Em_PT,C16_P_20_24_Em_AFW,C16_P_20_24_Em_Hrs_NS,C16_P_20_24_Em_Tot,C16_P_20_24_Unem_Look_FT,C16_P_20_24_Unem_Look_PT,C16_P_20_24_Unem_Tot,C16_P_20_24_Tot_LF,C16_P_20_24_Not_LF,C16_P_20_24_LF_NS,C16_P_20_24_Tot
LGA50080,8676,109,192,296,8977,6585,844,16411,413,650,55,33,1155,82,72,149,1308,941,85,2338,764,297,76,30,1166,96,30,125,1297,374,78,1747,736,308,61,31,1136,41,23,57,1199,380,57,1633,713,405,78,30,1220,46,23,64,1291,420,64,1772,881,515,75,28,1496,44,22,68,1562,420,70,2056,1090,609,105,33,1841,49,25,77,1919,345,101,2369,1119,571,102,26,1830,31,25,57,1879,363,75,2317,1164,621,98,38,1919,48,21,70,1987,376,74,2436,925,523,103,22,1582,30,19,47,1626,552,65,2247,530,424,71,14,1036,16,21,37,1077,981,90,2146,132,204,35,10,380,3,8,6,387,1204,70,1655,49,84,16,5,164,0,0,0,165,1179,57,1404,26,58,3,7,91,4,0,4,100,2454,248,2799,8546,5276,893,307,15029,491,284,776,15804,9992,1131,26921,306,728,35,28,1088,83,86,172,1264,1020,122,2406,795,381,36,22,1231,89,31,118,1345,328,89,1766
LGA50210,20859,677,853,1535,22395,12647,1779,36821,842,1134,67,91,2133,185,158,342,2472,1712,268,4452,2175,889,133,120,3315,236,83,319,3637,738,252,4625,2649,700,146,78,3576,154,53,208,3779,821,270,4873,2215,729,169,79,3192,113,60,173,3361,827,255,4444,1947,774,142,73,2940,90,61,150,3089,771,267,4132,2153,837,120,59,3171,105,38,145,3318,651,229,4193,2233,815,149,57,3250,78,32,113,3358,604,257,4223,2053,795,138,58,3042,76,34,105,3147,699,224,4064,1580,705,154,57,2497,51,24,75,2574,858,187,3623,1046,654,106,43,1846,34,22,59,1903,1408,183,3490,252,266,44,17,577,7,8,9,593,1595,125,2312,58,93,5,5,155,4,0,6,164,1438,125,1730,18,36,6,0,62,0,0,0,62,2357,362,2776,19226,8425,1366,728,29746,1125,579,1706,31452,14468,3005,48926,422,1312,46,54,1833,186,379,560,2396,2077,223,4697,2028,1256,108,90,3477,371,188,564,4039,921,274,5237
LGA50250,1444,18,24,44,1489,392,391,2270,89,39,3,10,147,7,9,14,158,95,30,283,454,44,28,4,532,6,0,12,545,69,137,750,746,97,66,20,925,8,4,17,939,108,239,1287,659,119,74,20,868,13,0,10,880,89,176,1139,680,95,75,17,864,6,3,6,874,78,169,1118,641,112,62,16,839,8,3,12,848,57,179,1089,560,58,34,14,661,12,3,15,677,33,155,868,470,55,47,5,578,5,3,7,588,42,121,752,334,36,23,6,397,4,0,4,400,33,81,512,148,14,10,0,179,0,0,3,180,36,38,261,33,7,0,0,43,0,0,0,43,51,7,96,4,0,3,3,10,0,0,0,10,14,4,33,0,0,0,0,3,0,0,0,3,19,0,24,4816,677,436,112,6045,71,31,106,6143,723,1350,8221,42,28,3,0,74,12,11,24,99,116,26,241,315,45,21,12,394,18,0,18,414,45,99,558
LGA50280,4049,40,70,109,4157,2116,472,6747,110,173,25,12,322,10,16,34,361,246,40,647,165,120,20,7,311,13,8,18,332,59,33,423,320,166,21,8,509,12,9,22,534,85,70,688,335,196,57,7,590,26,9,33,621,135,63,826,391,267,43,13,713,14,10,22,738,159,79,969,446,256,50,15,764,18,9,30,795,106,77,984,366,245,42,17,675,9,6,22,693,107,73,864,415,248,47,8,717,14,15,24,745,97,57,898,274,215,44,7,542,9,8,19,563,196,50,811,164,175,44,6,382,5,3,14,389,278,54,722,54,53,7,0,117,0,4,0,117,321,21,464,15,27,6,3,53,0,0,0,53,286,18,358,7,32,0,6,50,0,3,3,48,536,63,648,3070,2173,394,102,5742,149,99,248,5990,2605,702,9296,65,249,18,13,342,7,15,23,371,269,64,711,180,115,23,8,333,18,9,20,350,55,27,436
LGA50350,4014,80,116,191,4207,2270,334,6810,126,215,15,13,373,24,45,65,438,357,47,846,450,234,15,20,712,45,21,64,781,147,51,974,559,148,22,17,747,27,10,39,782,142,47,968,565,181,46,8,803,12,9,20,826,161,49,1037,602,213,44,20,877,22,12,29,909,162,51,1132,551,221,39,21,830,11,5,22,853,160,38,1043,545,225,36,14,822,19,12,30,856,146,46,1048,536,187,41,7,773,16,13,22,793,151,55,996,437,170,35,13,661,10,15,24,684,196,37,918,254,183,19,7,470,12,8,22,486,317,35,834,61,73,9,0,139,0,0,0,139,379,22,546,10,24,0,0,32,0,0,0,32,398,34,470,4,13,4,4,19,0,0,0,20,923,92,1036,4703,2079,331,144,7255,199,148,347,7598,3654,594,11845,67,230,5,7,308,41,69,110,418,378,31,824,270,241,20,16,547,55,29,80,636,133,46,811
LGA50420,17633,379,550,930,18563,9790,1250,29606,411,923,44,56,1435,80,129,209,1642,1520,156,3315,1979,1196,115,89,3380,158,115,274,3652,679,264,4592,3202,938,151,82,4368,152,80,233,4608,699,391,5693,2839,898,225,63,4019,107,74,178,4200,703,331,5240,2595,941,151,71,3763,93,34,127,3896,711,235,4837,2400,958,119,70,3551,90,52,139,3686,584,237,4511,2313,899,108,72,3389,82,36,116,3507,514,200,4218,2113,757,132,51,3051,62,37,96,3151,562,218,3926,1784,741,118,41,2680,79,27,104,2785,840,172,3796,1071,695,113,30,1909,46,25,66,1978,1348,175,3501,328,329,33,12,702,11,9,15,717,1720,149,2584,71,113,3,3,187,0,8,8,191,1804,134,2130,15,57,3,7,75,0,4,4,81,3839,427,4340,21111,9446,1320,643,32516,952,612,1569,34083,15522,3086,52694,180,960,33,31,1209,77,292,367,1574,1487,140,3210,1442,1482,59,82,3065,196,196,396,3460,621,264,4339
LGA50490,10113,281,316,602,10710,5664,1163,17537,246,480,38,38,803,57,74,128,934,814,141,1890,1241,605,80,54,1982,108,90,195,2173,465,260,2900,1926,507,93,53,2580,89,46,133,2709,501,264,3474,1723,473,99,35,2328,71,33,101,2425,518,262,3206,1422,486,89,45,2051,54,31,85,2131,445,229,2805,1310,405,76,38,1829,51,15,66,1901,327,184,2409,1212,363,68,27,1677,41,14,56,1728,319,157,2209,1093,348,73,26,1541,48,18,62,1608,377,152,2140,801,312,74,25,1205,41,14,52,1257,453,125,1840,542,280,51,26,899,27,12,37,933,632,107,1676,151,138,12,4,307,3,5,11,321,854,94,1264,33,52,5,3,92,5,0,0,96,969,100,1164,6,19,7,3,36,0,0,6,36,2108,275,2421,11712,4466,756,371,17315,591,352,949,18266,8773,2352,29389,142,474,17,14,647,54,104,159,805,804,161,1773,1059,892,60,45,2054,143,122,268,2324,600,378,3303
LGA50560,311,6,14,24,333,309,84,727,6,10,0,0,18,0,0,0,19,32,7,56,14,3,0,0,20,5,0,5,30,15,0,44,23,7,5,3,33,0,0,0,35,8,3,49,19,16,0,0,35,0,0,0,36,8,0,47,27,18,0,0,48,0,0,0,48,15,10,71,51,17,0,0,68,4,0,8,74,25,6,99,40,22,12,0,76,0,0,0,75,32,3,108,53,29,5,0,87,0,0,0,83,27,0,111,61,30,3,0,96,4,0,4,106,37,3,146,34,26,9,0,71,3,0,5,71,86,3,162,11,17,6,0,36,0,0,0,36,95,4,140,7,7,3,0,19,0,0,0,19,93,6,116,3,3,0,0,11,0,0,0,11,106,15,133,350,208,37,10,612,23,9,34,641,577,72,1296,7,5,0,0,15,4,0,4,14,29,4,47,17,6,0,0,26,5,0,9,33,10,6,49
LGA50630,333,6,4,16,347,246,62,652,28,15,0,0,51,0,0,0,51,30,18,96,60,5,0,0,70,0,0,0,69,3,27,103,104,12,5,0,127,4,0,6,133,15,66,211,84,16,8,0,112,0,0,3,117,20,45,179,91,39,6,4,138,0,0,0,142,24,45,208,122,21,9,0,150,4,3,3,158,25,45,228,112,25,13,6,148,3,0,3,158,6,34,197,98,21,9,0,127,3,0,3,128,18,33,175,78,24,10,0,109,0,0,0,111,21,23,155,45,16,3,0,67,0,0,0,67,30,16,105,15,5,4,0,28,0,0,0,29,43,5,76,0,5,0,0,9,0,0,0,9,31,4,39,9,3,0,0,6,0,0,0,6,47,8,67,841,204,78,24,1147,22,7,30,1174,306,367,1846,12,12,0,0,24,3,0,3,23,39,4,72,36,15,0,4,57,0,0,0,56,8,4,73
LGA50770,372,14,9,17,390,271,79,744,6,15,0,0,25,4,0,4,30,23,0,58,22,6,3,0,32,4,0,4,30,5,0,44,20,10,9,5,45,0,0,0,41,14,4,61,37,20,3,0,64,3,0,6,72,17,4,85,43,33,3,3,86,0,0,4,89,18,10,114,52,20,4,0,77,3,0,3,79,25,0,107,52,28,8,4,90,0,0,0,92,21,7,119,61,20,13,3,90,4,0,0,100,24,5,124,49,21,9,0,74,0,0,0,79,35,0,110,37,27,3,3,71,0,5,4,80,45,0,123,18,19,3,4,42,0,0,0,50,65,0,111,10,7,0,3,22,0,0,0,22,49,0,71,0,5,0,0,10,0,0,0,10,104,3,118,412,231,56,25,731,21,11,34,761,450,35,1253,4,9,3,0,17,3,0,4,20,40,0,60,19,3,0,0,27,0,0,5,29,10,0,40
