LGA_CODE_2021,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Not_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Not_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot,C11_M_25_29_Tot_LF,C11_M_25_29_Not_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Not_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Not_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Not_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Not_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Not_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Not_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Not_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Not_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Not_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75over_Em_FT,C11_M_75over_Em_PT,C11_M_75over_Em_AFW,C11_M_75over_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75over_Unem_Look_FT,C11_M_75over_Unem_Look_PT,C11_M_75over_Unem_Tot,C11_M_75over_Tot_LF,C11_M_75ove_Not_LF,C11_M_75over_LF_NS,C11_M_75over_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_Tot_Tot_labo_for,C11_M_Tot_Not_LF,C11_M_Tot_LF_NS,C11_M_Tot_Tot,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Not_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Not_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot
LGA50080,253,242,22,14,533,52,30,79,615,540,55,1212,462,114,45,22,645,68,12,83,725,163,52,936,482,95,29,24,622,30,3,35,652,125,31,806,509,116,37,11,679,33,3,35,716,113,43,868,620,130,45,11,805,31,8,37,844,118,35,995,702,132,55,23,911,34,5,41,950,128,64,1141,705,122,55,13,896,20,8,26,926,139,45,1113,710,155,48,23,934,29,10,40,973,136,48,1151,597,161,54,13,826,20,7,32,860,199,34,1094,375,174,41,7,601,19,13,31,626,394,46,1067,101,100,20,7,221,3,7,8,231,530,37,802,36,56,15,3,109,0,0,0,114,527,33,671,23,43,4,8,71,4,0,4,78,1045,108,1230,5569,1629,476,185,7857,341,108,449,8303,4163,628,13092,198,298,16,16,527,48,64,107,633,548,67,1248,492,142,20,12,663,59,18,73,741,169,41,956,567,113,24,17,718,41,8,49
LGA50210,541,456,29,52,1071,108,70,179,1245,901,143,2289,1286,364,58,81,1786,159,40,194,1980,219,149,2338,1656,208,59,54,1981,99,12,114,2095,147,145,2385,1600,176,83,54,1907,79,14,93,2000,132,138,2272,1397,141,74,51,1665,54,16,66,1737,168,153,2056,1467,157,62,39,1728,58,5,63,1795,159,132,2090,1463,146,76,37,1726,56,10,66,1794,178,150,2119,1319,179,64,40,1597,33,8,41,1639,206,114,1967,1019,169,83,34,1304,45,3,52,1353,252,90,1699,752,239,60,29,1075,26,6,34,1108,539,89,1735,202,151,31,12,395,4,9,6,405,706,65,1179,49,59,5,5,117,4,0,4,114,694,61,871,14,28,3,4,45,0,0,0,45,978,168,1187,12762,2469,688,481,16401,721,192,910,17312,5288,1592,24187,279,528,22,28,857,110,179,291,1151,1107,106,2366,1189,520,48,50,1812,241,80,317,2128,353,152,2634,1982,362,76,40,2469,218,27,243
LGA50250,57,21,6,8,84,3,4,8,89,45,18,153,304,23,18,4,346,4,0,4,347,12,110,474,543,37,47,8,637,7,0,7,645,19,194,856,508,30,41,15,596,7,0,7,599,14,133,745,536,25,47,8,619,4,0,4,622,5,137,766,509,40,49,11,612,5,3,4,616,13,153,782,433,33,25,15,498,6,0,6,510,12,132,646,360,18,36,5,420,3,0,3,424,7,95,525,256,13,14,8,285,0,0,0,284,13,54,356,128,6,11,0,148,0,0,0,144,16,35,196,27,3,0,0,33,0,0,0,33,19,6,61,4,0,0,0,9,0,0,0,9,11,7,22,0,0,0,0,3,0,0,0,3,3,0,11,3658,250,295,78,4285,44,5,49,4335,195,1070,5601,26,13,0,0,45,8,4,10,51,72,14,139,215,23,19,11,259,6,0,6,269,13,69,343,787,37,53,15,896,18,0,18
LGA50280,80,66,12,6,160,10,12,23,180,142,29,351,93,48,13,6,165,13,4,14,178,11,19,211,201,54,8,6,274,4,0,7,285,19,38,341,238,50,26,7,325,17,0,13,340,22,34,398,285,66,28,7,391,9,0,10,402,32,36,471,304,73,33,9,414,19,0,18,441,27,54,518,233,69,21,12,333,9,0,11,345,42,39,426,256,72,27,5,361,8,4,16,380,36,36,452,178,75,20,3,286,8,3,11,299,68,30,392,120,76,25,6,217,5,0,4,223,127,27,382,42,28,3,0,77,0,4,0,82,139,16,233,17,17,0,0,29,0,0,0,29,127,10,168,7,23,3,8,37,0,3,3,35,216,31,282,2052,724,230,60,3066,103,39,144,3209,1013,399,4622,42,121,8,7,182,3,10,13,193,152,30,377,104,38,11,8,162,6,3,10,172,30,9,212,186,81,13,4,286,11,4,13
LGA50350,87,77,6,7,177,12,15,33,205,219,26,453,250,127,10,15,403,26,13,36,444,64,32,540,328,61,8,10,414,17,6,23,442,28,33,500,364,42,13,6,422,3,5,10,437,35,23,496,414,45,18,17,486,14,0,17,502,26,30,565,360,48,16,13,441,13,0,16,455,55,15,530,323,46,21,12,403,16,0,16,412,52,22,489,328,46,12,4,391,8,5,10,403,55,27,492,290,38,18,4,355,4,0,14,364,70,26,464,186,70,14,3,269,7,3,10,278,136,19,436,43,31,6,3,84,0,0,0,83,154,11,246,10,13,0,0,23,0,0,0,23,175,12,213,4,9,0,0,15,0,0,0,15,380,36,421,2968,661,152,93,3873,126,57,181,4057,1460,321,5841,39,86,0,3,133,24,39,67,199,205,11,421,156,102,7,12,279,33,16,50,331,71,28,427,310,77,14,7,411,26,9,27
LGA50420,224,369,22,32,653,51,69,114,766,835,87,1694,1094,530,55,60,1739,105,48,154,1890,301,161,2352,1886,404,66,54,2412,88,32,117,2531,184,234,2943,1778,323,78,40,2223,68,24,94,2318,164,217,2695,1798,217,66,46,2118,63,10,71,2194,153,141,2487,1615,209,58,50,1926,60,12,77,2008,170,136,2314,1506,207,53,41,1805,49,6,63,1867,182,121,2168,1304,194,75,27,1604,45,12,60,1661,192,126,1984,1087,217,53,23,1380,60,11,68,1451,294,91,1833,728,275,64,18,1080,33,16,45,1132,513,83,1731,237,180,17,8,437,7,4,8,452,756,93,1298,48,74,3,3,126,0,8,8,133,812,65,1007,9,31,3,0,42,0,4,4,45,1567,171,1784,13317,3219,609,405,17556,632,249,881,18439,6121,1722,26287,110,407,14,14,546,54,147,206,751,816,73,1643,766,717,29,44,1549,125,104,228,1784,325,140,2249,1707,504,42,58,2308,128,47,169
LGA50490,157,203,18,16,398,31,35,61,461,409,73,944,703,269,37,34,1049,74,34,117,1161,169,153,1491,1155,221,36,36,1448,55,14,74,1518,140,170,1828,1126,152,37,27,1337,45,7,55,1389,126,154,1669,982,123,40,32,1175,40,9,51,1223,102,123,1446,886,118,46,20,1068,33,6,40,1109,119,120,1343,780,104,35,22,936,22,3,28,966,116,100,1183,667,101,43,18,826,28,7,39,865,144,89,1092,491,82,32,11,618,28,0,28,646,189,70,900,374,110,24,18,524,17,9,27,547,240,63,849,109,83,5,4,205,3,5,3,209,355,44,606,22,31,5,3,62,4,0,6,66,419,45,524,6,12,0,0,27,0,0,6,26,837,111,973,7456,1610,365,238,9665,384,134,521,10186,3366,1309,14862,87,218,12,3,319,39,52,95,404,438,88,927,595,434,34,24,1085,91,73,163,1243,307,198,1746,1197,363,59,40,1661,96,35,129
LGA50560,8,0,0,0,10,4,0,4,8,19,5,33,10,0,0,0,18,5,0,5,20,3,0,28,16,5,0,0,19,0,0,0,22,4,3,30,14,5,0,0,22,0,0,0,22,0,0,21,26,0,0,0,26,0,0,0,26,0,5,31,34,7,0,0,41,4,0,4,41,7,0,47,30,8,8,0,45,0,0,0,48,15,3,59,33,6,0,0,39,0,0,0,41,9,0,50,43,14,0,0,55,4,0,4,60,18,3,82,22,14,7,0,43,0,0,0,42,34,0,74,10,5,0,0,17,0,0,0,19,57,5,79,7,3,0,0,12,0,0,0,12,45,4,58,3,3,0,0,4,0,0,0,4,50,6,64,253,70,20,6,347,18,0,18,366,263,35,665,7,7,0,0,11,4,0,4,15,14,0,28,13,0,0,0,14,4,0,4,18,8,8,31,13,0,0,0,12,3,0,3
LGA50630,24,3,0,0,31,0,0,0,31,20,12,61,38,3,0,0,44,0,0,0,44,0,19,65,83,3,5,0,94,3,0,3,100,0,58,159,58,6,6,4,69,0,0,0,72,6,40,114,80,3,12,4,92,0,0,0,92,0,37,135,90,3,4,0,99,4,0,4,102,0,43,143,80,4,5,3,94,0,0,0,92,0,32,125,72,7,3,0,86,0,0,0,88,3,32,121,60,3,5,5,66,0,0,0,67,0,20,94,42,9,5,0,51,0,0,0,51,5,8,71,15,7,0,0,24,0,0,0,20,20,5,46,4,4,0,0,3,0,0,0,3,15,4,24,3,3,0,0,6,0,0,0,6,21,4,33,635,57,53,18,761,14,0,16,775,111,300,1185,14,5,0,0,16,0,0,0,14,20,4,42,23,0,4,4,32,0,0,0,28,5,0,39,27,0,5,0,36,0,0,3
LGA50770,7,3,0,0,11,3,0,3,16,19,0,34,11,0,0,0,15,4,0,4,18,3,0,18,17,0,4,3,27,0,0,0,28,4,0,30,26,3,3,0,30,6,0,4,37,0,4,39,29,10,0,3,50,0,0,0,48,5,6,59,35,5,3,0,46,0,0,0,46,3,0,54,45,13,3,0,54,0,0,0,58,10,7,70,37,4,3,0,45,0,0,0,50,10,6,64,30,9,4,0,42,0,0,0,41,13,0,58,28,10,4,3,41,0,0,3,42,22,0,62,12,7,3,0,22,0,0,0,24,32,0,57,7,5,0,3,18,0,0,0,18,21,0,39,0,6,0,0,4,0,0,0,4,42,0,51,283,76,32,17,409,13,3,16,428,175,19,628,3,4,0,0,7,0,0,0,10,22,0,34,14,0,0,0,17,0,0,0,16,3,0,22,13,0,0,0,16,0,0,0
