LGA_CODE_2021,C11_M_NatPhy_sci_15_19,C11_M_NatPhy_sci_20_24,C11_M_NatPhy_sci_25_34,C11_M_NatPhy_sci_35_44,C11_M_NatPhy_sci_45_54,C11_M_NatPhy_sci_55_64,C11_M_NatPhy_sci_65_74,C11_M_NatPhy_sci_75_84,C11_M_NatPhy_sci_85over,C11_M_NatPhy_sci_Tot,C11_M_InfTec_15_19,C11_M_InfTec_20_24,C11_M_InfTec_25_34,C11_M_InfTec_35_44,C11_M_InfTec_45_54,C11_M_InfTec_55_64,C11_M_InfTec_65_74,C11_M_InfTec_75_84,C11_M_InfTec_85over,C11_M_InfTec_Tot,C11_M_EngRT_15_19,C11_M_EngRT_20_24,C11_M_EngRT_25_34,C11_M_EngRT_35_44,C11_M_EngRT_45_54,C11_M_EngRT_55_64,C11_M_EngRT_65_74,C11_M_EngRT_75_84,C11_M_EngRT_85over,C11_M_EngRT_Tot,C11_M_ArchBuild_15_19,C11_M_ArchBuild_20_24,C11_M_ArchBuild_25_34,C11_M_ArchBuild_35_44,C11_M_ArchBuild_45_54,C11_M_ArchBuild_55_64,C11_M_ArchBuild_65_74,C11_M_ArchBuild_75_84,C11_M_ArchBuild_85over,C11_M_ArchBuild_Tot,C11_M_AgEnv_RS_15_19,C11_M_AgEnv_RS_20_24,C11_M_AgEnv_RS_25_34,C11_M_AgEnv_RS_35_44,C11_M_AgEnv_RS_45_54,C11_M_AgEnv_RS_55_64,C11_M_AgEnv_RS_65_74,C11_M_AgEnv_RS_75_84,C11_M_AgEnv_RS_85over,C11_M_AgEnv_RS_Tot,C11_M_Health_15_19,C11_M_Health_20_24,C11_M_Health_25_34,C11_M_Health_35_44,C11_M_Health_45_54,C11_M_Health_55_64,C11_M_Health_65_74,C11_M_Health_75_84,C11_M_Health_85over,C11_M_Health_Tot,C11_M_Educ_15_19,C11_M_Educ_20_24,C11_M_Educ_25_34,C11_M_Educ_35_44,C11_M_Educ_45_54,C11_M_Educ_55_64,C11_M_Educ_65_74,C11_M_Educ_75_84,C11_M_Educ_85over,C11_M_Educ_Tot,C11_M_MngtCom_15_19,C11_M_MngtCom_20_24,C11_M_MngtCom_25_34,C11_M_MngtCom_35_44,C11_M_MngtCom_45_54,C11_M_MngtCom_55_64,C11_M_MngtCom_65_74,C11_M_MngtCom_75_84,C11_M_MngtCom_85over,C11_M_MngtCom_Tot,C11_M_Soc_cult_15_19,C11_M_Soc_cult_20_24,C11_M_Soc_cult_25_34,C11_M_Soc_cult_35_44,C11_M_Soc_cult_45_54,C11_M_Soc_cult_55_64,C11_M_Soc_cult_65_74,C11_M_Soc_cult_75_84,C11_M_Soc_cult_85over,C11_M_Soc_cult_Tot,C11_M_Creative_art_15_19,C11_M_Creative_art_20_24,C11_M_Creative_art_25_34,C11_M_Creative_art_35_44,C11_M_Creative_art_45_54,C11_M_Creative_art_55_64,C11_M_Creative_art_65_74,C11_M_Creative_art_75_84,C11_M_Creative_art_85over,C11_M_Creative_art_Tot,C11_M_FoodHos_PS_15_19,C11_M_FoodHos_PS_20_24,C11_M_FoodHos_PS_25_34,C11_M_FoodHos_PS_35_44,C11_M_FoodHos_PS_45_54,C11_M_FoodHos_PS_55_64,C11_M_FoodHos_PS_65_74,C11_M_FoodHos_PS_75_84,C11_M_FoodHos_PS_85over,C11_M_FoodHos_PS_Tot,C11_M_MixFld_pr_15_19,C11_M_MixFld_pr_20_24,C11_M_MixFld_pr_25_34,C11_M_MixFld_pr_35_44,C11_M_MixFld_pr_45_54,C11_M_MixFld_pr_55_64,C11_M_MixFld_pr_65_74,C11_M_MixFld_pr_75_84,C11_M_MixFld_pr_85over,C11_M_MixFld_pr_Tot,C11_M_FldStu_ID_15_19,C11_M_FldStu_ID_20_24,C11_M_FldStu_ID_25_34,C11_M_FldStu_ID_35_44,C11_M_FldStu_ID_45_54,C11_M_FldStu_ID_55_64,C11_M_FldStu_ID_65_74,C11_M_FldStu_ID_75_84,C11_M_FldStu_ID_85over,C11_M_FldStu_ID_Tot,C11_M_FldStu_NS_15_19,C11_M_FldStu_NS_20_24,C11_M_FldStu_NS_25_34,C11_M_FldStu_NS_35_44,C11_M_FldStu_NS_45_54,C11_M_FldStu_NS_55_64,C11_M_FldStu_NS_65_74,C11_M_FldStu_NS_75_84,C11_M_FldStu_NS_85over,C11_M_FldStu_NS_Tot,C11_M_Tot_15_19,C11_M_Tot_20_24,C11_M_Tot_25_34,C11_M_Tot_35_44,C11_M_Tot_45_54,C11_M_Tot_55_64,C11_M_Tot_65_74,C11_M_Tot_75_84,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_NatPhy_sci_15_19,C16_M_NatPhy_sci_20_24,C16_M_NatPhy_sci_25_34,C16_M_NatPhy_sci_35_44,C16_M_NatPhy_sci_45_54,C16_M_NatPhy_sci_55_64,C16_M_NatPhy_sci_65_74,C16_M_NatPhy_sci_75_84,C16_M_NatPhy_sci_85over,C16_M_NatPhy_sci_Tot,C16_M_InfTec_15_19,C16_M_InfTec_20_24,C16_M_InfTec_25_34,C16_M_InfTec_35_44,C16_M_InfTec_45_54,C16_M_InfTec_55_64,C16_M_InfTec_65_74,C16_M_InfTec_75_84,C16_M_InfTec_85over,C16_M_InfTec_Tot,C16_M_EngRT_15_19,C16_M_EngRT_20_24,C16_M_EngRT_25_34,C16_M_EngRT_35_44,C16_M_EngRT_45_54,C16_M_EngRT_55_64,C16_M_EngRT_65_74,C16_M_EngRT_75_84,C16_M_EngRT_85over,C16_M_EngRT_Tot,C16_M_ArchBuild_15_19,C16_M_ArchBuild_20_24,C16_M_ArchBuild_25_34,C16_M_ArchBuild_35_44,C16_M_ArchBuild_45_54,C16_M_ArchBuild_55_64,C16_M_ArchBuild_65_74,C16_M_ArchBuild_75_84,C16_M_ArchBuild_85over,C16_M_ArchBuild_Tot,C16_M_AgEnv_RS_15_19,C16_M_AgEnv_RS_20_24,C16_M_AgEnv_RS_25_34,C16_M_AgEnv_RS_35_44,C16_M_AgEnv_RS_45_54,C16_M_AgEnv_RS_55_64,C16_M_AgEnv_RS_65_74,C16_M_AgEnv_RS_75_84,C16_M_AgEnv_RS_85over,C16_M_AgEnv_RS_Tot
LGA50080,0,7,22,40,30,32,19,8,0,156,13,23,48,16,15,13,6,0,0,125,42,160,302,408,426,370,219,116,29,2065,24,90,145,153,165,160,104,53,6,895,18,32,68,112,122,87,56,26,9,535,3,4,22,56,68,49,29,17,4,253,0,3,20,36,73,118,44,17,8,321,6,23,74,103,117,103,55,30,4,508,7,16,44,77,78,94,35,15,0,361,4,19,22,27,24,24,7,3,0,128,15,18,58,75,63,29,32,7,0,298,0,0,0,0,0,0,0,0,0,12,8,7,6,19,15,8,7,8,0,86,130,141,219,244,189,140,133,147,60,1408,262,540,1060,1364,1382,1227,744,437,124,7147,0,4,18,33,29,36,44,13,4,180,12,24,46,28,26,12,7,0,0,159,36,177,393,371,459,460,347,148,52,2453,28,82,208,161,151,160,135,69,22,1015,22,40,65,109,134,118,80,40,13,633
LGA50210,0,20,56,86,65,45,25,7,0,308,18,39,165,90,48,26,3,0,0,396,64,385,1047,957,1044,920,486,162,38,5102,40,163,255,235,237,250,141,88,15,1416,13,30,69,67,55,37,30,12,4,316,0,13,76,75,110,62,28,16,0,384,0,10,53,56,84,84,63,20,0,377,11,94,345,230,214,195,93,28,7,1216,17,50,124,124,109,112,49,18,8,603,13,41,69,47,25,29,9,6,0,244,12,55,146,98,95,58,38,11,0,508,3,0,0,0,7,0,0,0,0,14,4,12,23,36,37,32,8,11,0,163,231,212,408,405,386,310,230,202,70,2454,432,1123,2836,2503,2521,2166,1203,579,143,13497,0,29,107,101,94,65,41,5,3,444,25,54,276,235,77,48,14,0,0,733,55,452,1662,1480,1266,1012,697,275,49,6954,38,155,473,312,265,242,176,91,34,1787,6,24,100,99,66,56,39,16,3,402
LGA50250,0,4,34,24,4,0,0,0,0,62,0,0,10,7,4,0,0,0,0,20,10,137,522,474,329,148,12,0,0,1622,0,30,118,99,69,31,6,0,0,360,0,8,34,21,6,0,5,0,0,75,0,4,18,25,23,11,0,0,0,76,0,0,11,17,13,8,0,0,0,46,0,4,49,75,47,20,0,0,0,200,0,11,16,19,11,4,0,0,0,65,0,3,8,5,4,5,0,0,0,25,0,6,35,47,36,4,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,5,16,9,7,3,0,0,38,19,121,341,321,254,114,20,4,0,1188,35,329,1192,1142,806,363,47,0,0,3920,0,0,26,32,6,5,0,0,0,73,0,3,17,27,11,0,0,0,0,53,8,120,1023,864,672,313,35,0,0,3035,0,14,194,145,109,63,10,5,0,535,0,6,23,20,14,10,0,0,0,73
LGA50280,0,4,32,35,20,24,12,0,0,124,0,0,3,8,7,4,0,0,0,20,9,21,105,167,177,156,67,32,8,745,7,17,89,103,124,68,14,15,0,437,0,6,63,64,35,20,17,3,0,214,0,4,7,26,16,16,13,7,0,88,0,0,8,20,38,43,27,9,0,149,3,0,32,44,32,38,24,5,3,177,0,4,14,25,20,21,11,4,0,108,0,3,12,20,13,6,5,6,0,63,0,5,45,64,33,4,4,5,0,158,0,0,0,0,0,0,0,0,0,4,0,0,3,9,0,5,7,0,0,19,44,29,88,103,91,75,36,32,14,517,67,94,511,684,601,489,228,117,35,2818,0,4,42,60,29,31,25,4,0,192,6,3,3,10,7,6,0,0,0,38,7,30,135,211,180,180,119,47,15,928,3,19,103,141,127,108,50,15,9,566,0,8,45,97,45,31,20,11,0,263
LGA50350,0,6,25,31,24,13,5,0,0,113,6,9,49,31,23,13,0,0,0,135,14,80,197,234,221,236,90,61,19,1145,0,28,69,82,58,53,38,17,4,356,0,3,23,11,20,9,8,0,0,73,0,11,27,18,28,20,8,3,0,118,0,3,18,20,32,18,14,0,6,113,0,37,94,95,64,50,17,9,0,367,0,18,50,70,40,40,13,9,0,243,5,7,38,37,13,9,3,0,0,109,3,16,39,30,29,20,7,3,0,144,0,0,0,0,0,0,0,0,0,0,0,5,7,6,5,4,0,0,0,24,40,38,70,77,84,74,55,53,13,510,72,256,705,745,642,564,270,159,47,3454,0,4,33,34,28,12,8,5,0,120,9,5,41,37,29,13,0,0,0,134,3,53,257,236,228,202,147,59,20,1212,10,25,84,84,62,46,42,28,5,386,0,9,19,28,15,8,6,0,0,81
LGA50420,6,32,156,152,110,72,30,9,4,566,9,55,342,204,95,33,7,0,0,746,29,321,1084,933,894,800,489,213,77,4832,17,137,329,238,217,222,175,79,24,1437,4,19,61,58,44,25,15,5,0,241,0,32,169,139,88,72,31,19,0,559,5,16,82,106,120,87,62,31,10,519,12,178,695,539,385,265,131,42,14,2275,17,71,263,279,192,160,59,19,5,1068,8,81,184,141,74,63,16,7,8,587,12,92,204,158,94,72,43,17,6,692,0,0,3,9,0,0,4,0,0,19,0,8,54,36,41,26,7,13,0,187,188,232,539,377,365,330,269,230,105,2643,302,1278,4172,3367,2729,2237,1348,685,259,16375,0,41,180,150,131,77,51,19,3,659,14,52,266,257,138,49,11,0,0,788,33,308,1263,1000,864,810,575,300,68,5234,15,108,477,296,238,216,172,107,21,1649,5,7,62,71,53,36,17,10,0,262
LGA50490,0,19,66,62,42,29,17,4,0,236,9,32,188,89,42,14,3,0,0,371,27,217,762,610,490,403,237,139,34,2921,11,69,152,159,120,97,66,51,10,741,0,20,39,44,30,13,10,11,0,170,0,13,92,73,44,21,6,0,0,246,0,7,30,40,43,33,13,9,0,178,12,117,429,229,158,104,41,9,7,1110,8,35,121,93,68,60,22,10,0,416,8,18,60,35,18,16,9,4,0,165,4,76,154,76,55,47,7,15,3,436,0,6,3,3,0,3,0,0,0,21,0,4,13,18,17,10,3,0,10,86,107,206,424,332,295,208,158,156,66,1947,186,837,2532,1872,1417,1046,597,404,136,9043,0,22,95,76,42,30,21,4,0,290,10,35,196,151,55,29,9,0,0,477,21,235,923,676,576,436,289,148,36,3339,9,56,283,124,114,104,66,65,13,836,0,11,43,36,25,24,10,3,0,155
LGA50560,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16,27,21,15,0,93,0,0,0,4,4,4,12,0,0,29,0,0,8,4,8,16,6,0,0,40,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,13,0,0,3,3,0,10,5,0,0,22,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,7,11,5,5,8,7,0,57,6,8,29,39,55,76,50,22,3,294,0,0,0,0,4,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,16,17,16,32,19,15,0,125,0,0,0,3,9,0,7,11,0,29,0,0,11,7,8,9,6,3,0,42
LGA50630,0,0,0,8,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,5,21,77,85,62,31,13,4,0,295,0,0,3,6,8,3,0,0,0,30,0,0,12,5,0,3,0,0,0,17,0,0,5,0,6,4,0,0,0,18,0,0,5,5,5,4,0,0,0,17,0,0,6,8,15,9,0,0,0,39,0,0,0,0,0,7,0,0,0,12,0,0,0,0,3,0,0,0,0,5,0,0,4,4,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,24,104,77,68,31,12,3,3,330,23,48,212,207,168,95,29,9,6,800,0,0,5,6,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,43,51,42,29,20,9,0,199,0,0,10,11,0,7,0,0,0,33,0,0,5,4,0,4,5,0,0,22
LGA50770,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,8,16,23,22,9,0,0,91,0,0,5,10,8,10,0,0,0,29,0,3,4,12,7,7,10,0,0,42,0,0,0,3,0,4,0,0,0,7,0,0,3,5,5,3,0,0,0,17,0,0,0,0,3,9,3,0,0,20,0,0,4,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,16,7,6,5,7,56,9,11,32,60,66,62,31,14,7,290,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,12,21,22,30,12,6,0,109,0,0,4,5,6,3,3,0,0,28,0,5,7,9,16,5,13,4,0,50
