LGA_CODE_2021,C16_45_49_Sep_F,C16_45_49_Sep_P,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Div_P,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Wid_P,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_Nvr_marrd_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Married_P,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Sep_P,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Div_P,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Wid_P,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_Nvr_marrd_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Married_P,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Sep_P,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Div_P,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Wid_P,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_Nvr_marrd_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Married_P,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Sep_P,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Div_P,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Wid_P,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_Nvr_marrd_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Married_P,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Sep_P,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Div_P,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Wid_P,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_Nvr_marrd_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Married_P,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Sep_P,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Div_P,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Wid_P,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_Nvr_marrd_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Married_P,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Sep_P,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Div_P,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Wid_P,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_Nvr_marrd_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Married_P,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Sep_P,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Div_P,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Wid_P,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_Nvr_marrd_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Married_M,C16_85_over_Married_F,C16_85_over_Married_P,C16_85_over_Seprtd_M,C16_85_over_Seprtd_F,C16_85_over_Seprtd_P,C16_85_over_Divorce_M,C16_85_over_Divorce_F,C16_85_over_Divorce_P,C16_85_over_Wid_M,C16_85_over_Wid_F,C16_85_over_Wid_P,C16_85_over_Nvr_mard_M,C16_85_over_Nvr_mard_F,C16_85_over_Nvr_mard_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Married_M,C16_Tot_Married_F,C16_Tot_Married_P,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Sep_P,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Div_P,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_Wid_P,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_nver_marrie_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Married_M,C21_15_19_Married_F,C21_15_19_Married_P,C21_15_19_Sep_M,C21_15_19_Sep_F,C21_15_19_Sep_P,C21_15_19_Div_M,C21_15_19_Div_F,C21_15_19_Div_P,C21_15_19_Wid_M,C21_15_19_Wid_F,C21_15_19_Wid_P,C21_15_19_Nvr_marrd_M,C21_15_19_Nvr_marrd_F,C21_15_19_Nvr_marrd_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Married_M,C21_20_24_Married_F,C21_20_24_Married_P,C21_20_24_Sep_M,C21_20_24_Sep_F,C21_20_24_Sep_P
LGA50080,79,153,117,193,309,10,26,33,312,224,537,1203,1282,2484,693,755,1451,63,91,150,169,224,396,10,34,44,211,186,402,1157,1288,2443,797,817,1614,76,75,147,211,293,508,16,59,74,163,150,311,1257,1389,2652,816,839,1654,40,69,108,181,218,404,22,70,95,127,87,212,1186,1277,2468,836,755,1593,56,29,85,176,207,386,49,138,187,64,55,129,1188,1193,2376,621,571,1197,27,20,49,98,159,252,39,177,216,40,27,61,827,947,1772,474,365,835,9,12,24,60,79,141,65,268,332,20,14,39,632,736,1359,326,190,524,12,6,18,33,52,82,76,268,348,7,7,22,460,526,984,253,137,390,8,0,16,25,29,52,137,437,569,16,12,23,440,610,1046,7445,7374,14825,524,586,1111,1198,1678,2877,430,1484,1917,4921,4159,9077,14520,15284,29801,0,0,6,0,0,0,0,0,0,0,0,0,1263,1142,2406,1260,1144,2404,46,73,121,0,6,3
LGA50210,170,312,272,357,629,14,36,52,585,400,985,2471,2455,4925,1471,1431,2901,138,163,305,339,473,807,17,86,100,384,267,654,2352,2418,4768,1327,1325,2658,107,129,238,360,489,853,29,95,122,245,163,408,2076,2205,4283,1229,1280,2508,78,94,169,301,410,710,51,177,228,133,104,239,1793,2058,3857,1183,1011,2198,62,60,121,278,346,627,62,238,302,78,41,122,1668,1701,3372,801,622,1421,51,51,104,129,185,317,54,236,290,42,29,73,1084,1122,2203,558,404,959,22,22,40,88,93,186,85,265,349,34,14,51,790,793,1588,296,190,480,3,9,18,40,65,104,73,280,352,21,7,29,431,553,980,200,114,310,4,0,5,26,18,43,121,395,520,16,11,32,367,548,913,15192,15292,30484,992,1196,2186,2292,3074,5364,519,1868,2390,11508,9942,21447,30503,31370,61870,0,3,7,0,0,0,0,0,0,0,0,0,2713,2682,5395,2721,2684,5404,79,190,270,3,16,24
LGA50250,16,79,135,38,172,3,0,5,209,83,293,1012,264,1279,587,109,697,54,25,78,102,50,156,13,5,12,159,42,197,910,228,1135,409,107,517,35,15,58,110,58,169,8,10,21,78,27,106,641,227,870,234,51,284,34,8,37,53,35,87,3,8,11,45,19,62,371,114,485,66,21,81,5,5,8,33,7,40,0,4,4,8,5,11,113,41,154,15,8,25,0,0,0,9,0,15,0,3,3,3,0,0,28,19,48,9,5,15,0,0,0,3,0,3,6,0,6,0,0,0,14,11,23,3,0,3,0,0,0,0,0,0,0,3,3,0,0,4,4,8,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,5,4199,1187,5392,336,113,453,659,258,910,40,45,85,3292,1181,4472,8523,2781,11307,0,0,0,0,0,0,0,0,0,0,0,0,138,115,258,138,115,258,8,10,19,0,0,0
LGA50280,31,66,49,70,116,3,0,4,163,119,283,548,512,1056,254,243,503,20,31,57,61,74,136,4,12,13,111,82,197,457,449,908,295,300,590,20,26,45,72,107,179,9,18,27,70,70,134,465,509,980,295,312,607,15,12,17,90,95,187,8,23,30,55,30,87,463,471,931,295,245,540,13,7,18,55,70,121,16,26,41,25,9,33,396,357,752,185,161,347,0,5,12,46,36,86,9,24,40,4,11,17,253,241,496,153,88,243,0,3,0,9,20,26,7,52,60,4,3,13,181,164,345,66,47,115,0,0,0,10,9,16,15,79,92,3,4,4,96,133,228,47,25,73,0,6,6,6,9,13,36,94,125,0,5,3,90,136,226,2752,2778,5530,149,192,343,459,588,1045,104,341,442,2036,1762,3797,5504,5658,11157,0,0,0,0,0,0,0,0,0,0,0,0,434,372,811,434,371,806,8,8,16,0,0,0
LGA50350,29,69,56,85,148,0,9,6,164,124,289,571,516,1085,263,289,554,19,37,54,73,89,166,11,14,23,118,94,209,488,519,1001,251,253,507,20,35,53,81,101,185,6,24,23,93,82,175,451,494,941,254,228,485,11,16,32,72,112,184,7,33,39,61,52,113,408,440,852,232,209,435,20,14,30,70,87,154,18,44,70,34,24,59,366,389,755,166,143,308,9,11,16,24,71,96,9,69,80,10,14,26,223,303,531,122,100,227,6,11,15,31,46,72,20,71,91,13,7,24,196,236,430,91,58,149,4,0,4,14,28,39,34,87,120,10,9,14,151,186,332,59,27,87,0,0,3,6,13,15,30,188,212,4,9,13,99,236,329,2724,2730,5456,196,226,422,519,789,1310,136,548,680,2414,2102,4521,5988,6401,12389,0,0,0,0,0,0,0,0,0,0,0,0,386,350,729,386,346,736,8,10,18,0,0,0
LGA50420,103,201,215,314,529,10,30,37,600,461,1064,2187,2124,4315,1187,1141,2327,92,93,184,280,363,644,18,44,60,490,355,840,2067,2004,4064,1168,1112,2277,93,102,196,294,399,692,27,92,115,321,250,567,1899,1953,3853,1061,1120,2185,78,85,161,315,373,690,26,143,172,265,167,433,1753,1890,3635,1051,941,1996,60,67,127,234,326,553,43,207,252,172,99,274,1556,1643,3199,763,646,1405,39,37,76,171,212,378,78,250,332,100,67,172,1152,1214,2362,615,472,1085,15,20,37,93,154,245,77,348,425,68,34,104,864,1030,1894,418,257,669,9,8,13,55,74,129,97,410,506,21,19,41,597,764,1363,297,145,444,5,3,10,39,54,92,191,726,912,24,26,45,550,959,1508,12832,12727,25561,780,846,1626,2069,2828,4893,573,2292,2864,11267,9460,20732,27521,28151,55672,0,0,0,0,0,0,0,0,0,0,0,0,1630,1527,3154,1633,1526,3159,35,97,134,0,10,11
LGA50490,84,135,144,193,337,4,18,20,386,249,640,1273,1086,2360,535,505,1047,74,66,146,189,233,417,13,36,52,317,207,515,1129,1044,2169,540,526,1066,65,56,125,217,282,498,20,64,76,239,139,377,1076,1065,2143,480,475,959,44,47,89,196,254,452,16,74,99,144,99,247,889,951,1837,439,387,821,42,36,82,174,189,366,28,137,163,70,52,119,751,800,1551,328,305,628,31,25,50,117,102,225,35,156,192,39,32,74,547,610,1160,296,209,504,17,24,44,63,80,144,44,235,278,35,21,55,456,580,1027,193,133,323,17,0,19,34,56,90,62,260,319,24,9,31,325,466,787,151,82,231,4,8,11,13,31,41,104,398,504,16,12,22,291,521,813,6978,6714,13698,542,601,1142,1400,1726,3125,333,1400,1740,7652,5935,13593,16909,16384,33295,0,0,0,0,0,0,0,0,0,0,0,0,967,866,1824,962,868,1827,37,78,118,5,4,9
LGA50560,4,3,0,5,9,0,0,0,28,13,43,65,49,118,30,32,63,3,4,11,8,17,24,0,3,3,19,14,29,58,72,130,50,55,98,0,4,4,10,11,24,3,4,6,13,3,17,76,82,154,57,53,114,0,5,5,23,12,36,5,3,7,13,0,9,95,79,170,56,59,110,3,3,9,9,15,20,7,4,14,12,5,13,74,80,158,51,32,79,0,5,3,10,8,20,7,17,21,4,0,3,73,59,137,34,25,66,5,4,3,7,4,9,10,11,16,0,3,5,52,46,96,17,13,31,0,0,0,0,0,8,8,9,13,4,0,4,26,25,49,13,6,14,0,0,0,0,0,0,8,19,27,0,0,0,13,22,40,411,402,813,22,31,48,78,85,155,39,72,111,211,138,344,755,723,1472,0,0,0,0,0,0,0,0,0,0,0,0,39,34,75,39,34,75,0,0,0,0,0,0
LGA50630,5,11,12,7,20,0,3,0,13,16,33,71,74,143,51,46,98,6,7,4,13,13,24,4,0,3,16,11,29,84,76,165,40,31,73,5,3,6,5,5,13,0,3,7,16,10,21,67,54,120,42,34,81,5,4,6,11,12,17,6,3,7,7,3,10,69,60,119,37,28,62,0,0,3,6,5,6,3,4,11,0,0,0,44,41,86,21,19,42,0,0,0,4,4,5,4,7,7,6,0,6,37,27,63,21,8,27,0,0,9,0,0,5,3,6,12,0,0,0,26,24,44,8,6,16,0,0,0,4,4,3,0,7,7,0,0,0,14,16,29,6,0,6,0,0,0,0,0,0,0,10,10,0,0,0,4,10,13,395,363,757,35,24,64,54,63,124,16,48,62,263,174,441,763,678,1441,0,0,0,0,0,0,0,0,0,0,0,0,28,41,70,28,41,70,0,0,0,0,0,0
LGA50770,5,5,3,3,6,0,0,0,21,11,29,54,60,119,41,38,77,0,4,9,13,10,23,0,5,0,14,8,23,81,61,139,51,50,101,6,3,10,10,7,24,0,0,0,7,9,14,81,66,144,43,39,80,5,0,3,17,15,28,0,3,3,11,7,22,73,63,135,46,57,103,3,0,5,12,10,23,0,4,7,0,0,5,65,73,137,34,25,59,3,3,9,15,9,23,0,11,18,4,3,9,53,56,112,23,17,47,3,6,5,3,0,9,3,8,17,0,0,0,36,32,71,20,13,25,0,0,0,0,0,0,6,8,17,0,0,6,27,17,44,6,0,10,0,0,0,0,5,5,3,19,25,0,0,0,14,26,38,392,394,785,28,29,53,90,72,158,21,65,91,166,131,298,694,689,1380,0,0,0,0,0,0,0,0,0,0,0,0,32,39,72,32,39,72,0,0,3,0,0,0
