LGA_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
LGA50080,0,3,48,12,4,4,7,8,63,53,27,9,11,5,5,202,3,0,0,8,5,10,20,3,4,3,0,4,59,11,5,4,4,11,37,20,11,5,3,3,19,124,27,16,10,22,26,115,94,46,20,17,6,34,434,165,99,57,119,201,750,894,877,294,208,113,201,3988
LGA50210,9,12,143,12,11,17,21,47,136,190,184,56,32,14,43,750,3,7,9,18,18,58,64,49,14,8,4,20,264,36,5,12,45,45,136,130,82,26,14,21,31,584,59,20,36,77,118,361,406,345,110,61,43,98,1744,423,161,153,334,554,1992,3159,4236,1754,1038,593,744,15153
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,7,0,5,3,4,0,37
LGA50280,0,0,20,7,3,4,7,7,25,33,22,8,3,4,9,116,0,0,0,0,8,6,4,3,0,0,0,0,31,4,3,0,3,5,9,6,10,4,0,3,4,43,12,7,0,8,19,47,52,33,11,6,4,11,210,68,32,30,57,69,279,378,420,194,148,80,97,1852
LGA50350,0,0,15,8,0,0,8,8,13,17,20,10,0,6,3,77,0,0,0,3,6,12,5,9,4,0,0,0,41,7,4,6,5,5,10,14,19,6,0,0,0,86,13,3,4,11,12,44,37,52,16,5,8,8,213,83,33,23,40,70,240,343,551,238,176,101,88,1979
LGA50420,0,0,74,13,3,9,9,14,50,67,70,30,26,12,14,323,9,10,0,7,11,23,26,37,9,13,8,5,155,15,8,6,15,18,57,36,50,19,32,11,21,290,41,20,18,30,53,144,150,173,62,70,32,48,838,357,100,95,182,242,853,1284,2043,1037,897,455,421,7961
LGA50490,0,0,36,4,0,5,5,3,29,27,43,19,6,6,4,160,0,5,0,3,0,8,15,15,5,3,3,4,66,20,6,4,12,10,26,19,36,8,7,0,12,148,28,12,5,21,13,70,72,99,38,18,12,25,411,152,57,34,81,130,481,763,1009,431,344,185,196,3864
LGA50560,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,0,0,0,0,0,7,10,4,3,13,13,29,15,23,3,0,3,11,145
LGA50630,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,5,11,0,0,0,0,0,8,4,0,0,0,0,4,15,6,6,4,3,11,37,24,42,13,12,7,12,171
LGA50770,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,4,3,6,0,0,3,0,0,0,18,15,0,3,11,15,29,20,17,8,5,8,9,138
LGA50840,0,0,3,0,0,0,0,3,4,7,0,0,0,0,0,20,0,3,0,0,0,3,3,0,0,0,0,0,7,8,0,0,0,0,5,0,3,0,0,0,0,25,9,3,0,7,5,8,7,8,0,0,0,0,54,35,18,7,27,24,124,96,119,35,36,23,30,578
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,3,8,14,9,0,0,0,4,4,57
LGA50980,0,0,16,0,0,0,0,0,11,7,23,8,5,4,3,71,0,0,0,0,0,0,0,9,0,0,0,4,12,0,0,0,0,0,0,4,4,0,4,0,3,22,4,0,0,0,5,15,15,34,17,11,11,12,122,30,4,3,18,34,94,144,275,179,202,102,64,1140
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,5,7,4,6,7,9,0,4,3,5,63
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,9,7,5,5,3,16,3,4,0,0,0,0,0,47
