LGA_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
LGA50080,1657,339,103,2109,982,603,54,19,1670,27,14,40,1709,300,112,2125,1216,598,77,20,1913,30,12,53,1960,312,122,2395,1236,624,112,41,2009,25,21,46,2053,382,141,2576,1074,651,131,29,1881,31,28,56,1936,552,159,2643,799,736,125,20,1677,24,38,61,1738,929,122,2789,304,418,60,11,787,6,23,27,822,1647,139,2602,114,209,23,14,366,0,7,7,372,1881,136,2386,40,118,27,16,195,3,0,4,198,3540,315,4054,9576,6790,934,300,17599,343,368,715,18311,11854,1799,31970
LGA50210,6948,1226,457,8629,3693,1482,164,63,5403,162,93,259,5660,886,343,6894,2975,1188,142,63,4368,156,72,229,4599,782,321,5701,2737,1019,164,55,3968,154,64,219,4186,865,287,5340,2227,963,156,41,3387,103,54,158,3548,1057,255,4862,1543,887,144,28,2597,82,54,139,2740,1526,210,4472,513,506,58,6,1093,28,27,56,1149,2492,157,3791,112,218,15,7,355,9,8,13,362,2727,135,3224,40,107,8,8,163,0,0,0,163,3755,373,4290,27526,14275,1909,746,44453,1701,1316,3013,47471,20715,3915,72096
LGA50250,630,53,181,861,353,76,34,6,475,3,0,6,482,35,114,629,293,50,29,12,383,5,0,6,389,31,111,531,269,27,35,13,348,4,3,7,353,38,101,490,245,36,27,4,310,0,0,4,318,27,82,427,155,33,18,4,217,3,0,4,213,41,63,320,51,10,10,0,72,4,0,5,75,40,24,143,14,5,0,0,19,0,0,0,19,26,16,58,6,4,0,0,11,0,0,0,11,43,9,55,2797,604,324,101,3828,44,34,75,3909,601,1159,5670
LGA50280,1038,144,121,1307,566,436,73,14,1096,19,8,24,1121,138,107,1366,580,380,61,14,1038,16,11,29,1067,113,139,1313,512,333,54,19,914,11,7,18,930,137,130,1200,391,297,58,9,756,13,13,22,780,191,71,1045,295,358,70,8,724,14,13,31,752,356,68,1174,128,188,26,0,343,0,6,4,347,629,69,1043,64,103,19,8,189,0,0,0,193,623,63,881,24,50,8,6,83,0,5,5,88,881,60,1030,4074,3481,597,148,8297,125,115,241,8539,3736,1090,13368
LGA50350,1087,165,70,1320,553,285,35,11,877,17,14,31,911,109,52,1068,640,228,25,7,895,17,13,30,931,131,64,1121,582,208,31,9,822,23,6,31,857,132,55,1046,482,226,24,4,737,21,13,40,773,192,39,1008,350,207,21,0,580,10,9,21,605,307,52,965,118,111,13,5,249,8,7,12,256,535,39,837,32,57,5,0,95,0,4,4,103,600,39,736,9,26,0,0,36,0,0,0,36,1059,102,1204,4955,2740,327,75,8098,223,188,407,8504,3882,746,13129
LGA50420,4901,684,293,5881,2598,1130,113,59,3896,99,62,158,4049,520,227,4797,2470,998,92,44,3597,121,75,197,3793,527,206,4519,2299,872,91,35,3294,91,46,143,3438,610,173,4222,1941,872,125,40,2986,108,41,152,3135,749,173,4054,1299,800,107,20,2221,81,66,145,2365,1240,146,3748,535,538,48,3,1122,21,32,56,1175,2191,107,3476,147,236,17,3,411,0,8,8,421,2595,108,3128,40,106,6,9,167,0,0,0,171,4860,432,5462,22413,12212,1369,556,36553,1053,913,1966,38516,16969,2774,58257
LGA50490,2958,478,296,3729,1491,577,59,32,2152,82,34,110,2268,421,197,2883,1349,472,59,38,1928,68,37,101,2030,354,172,2553,1277,407,65,27,1778,83,40,117,1897,393,178,2470,1068,427,81,21,1592,66,23,94,1685,483,162,2330,751,423,52,15,1235,55,25,81,1321,726,123,2164,293,240,28,7,572,10,10,21,593,1126,95,1810,64,125,15,6,203,0,3,3,206,1158,100,1461,24,56,7,4,86,0,4,4,85,2324,320,2731,13924,6776,847,418,21968,753,553,1313,23274,9692,2573,35533
LGA50560,56,19,13,85,39,17,0,0,57,5,0,5,57,15,9,74,41,21,3,4,69,3,0,3,71,9,18,106,42,23,7,4,75,5,0,5,75,26,15,118,45,28,0,0,73,0,0,4,75,34,13,124,41,40,9,0,85,0,6,6,91,64,18,169,31,25,8,3,66,0,0,7,72,97,18,183,6,19,5,0,27,0,0,0,27,115,14,164,4,9,0,0,18,0,0,0,18,169,35,221,353,227,51,17,651,21,21,46,696,602,191,1491
LGA50630,85,16,4,110,50,16,5,4,73,3,0,5,83,9,7,101,52,16,13,0,80,0,0,0,81,16,12,114,71,16,7,0,99,0,0,0,99,20,18,131,70,26,13,4,112,7,4,7,120,17,15,157,39,24,7,3,72,0,0,3,71,31,8,112,16,10,3,0,39,0,0,0,39,65,6,111,5,10,0,0,14,0,0,0,14,73,0,87,0,4,3,0,14,0,0,0,14,72,11,100,473,201,66,25,759,23,4,32,787,415,130,1333
LGA50770,83,15,18,116,52,25,0,3,81,4,0,4,85,8,12,104,69,24,11,0,97,0,0,0,101,11,11,120,55,20,3,3,84,0,0,0,80,26,19,126,64,25,0,0,97,6,0,6,102,38,11,150,44,31,9,0,78,3,0,3,88,43,16,145,19,20,0,0,40,0,0,0,40,76,12,127,25,11,0,0,40,0,0,0,40,71,5,115,21,12,0,0,39,0,0,0,39,130,23,194,485,250,49,25,807,25,14,34,846,467,156,1469
