LGA_CODE_2021,C11_CF_1F1NW_800_1249,C11_CF_1F1NW_1250_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000_3999,C11_CF_1F1NW_4000more,C11_CF_1F1NW_Ns,C11_CF_1F1NW_Tot,C11_CF_1P1NW_Neg_ni_inc,C11_CF_1P1NW_1_149,C11_CF_1P1NW_150_399,C11_CF_1P1NW_400_649,C11_CF_1P1NW_650_799,C11_CF_1P1NW_800_1249,C11_CF_1P1NW_1250_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_3999,C11_CF_1P1NW_4000more,C11_CF_1P1NW_Ns,C11_CF_1P1NW_Tot,C11_CF_1A1NW_Neg_ni_inc,C11_CF_1A1NW_1_149,C11_CF_1A1NW_150_399,C11_CF_1A1NW_400_649,C11_CF_1A1NW_650_799,C11_CF_1A1NW_800_1249,C11_CF_1A1NW_1250_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000_3999,C11_CF_1A1NW_4000more,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_Neg_ni_inc,C11_CF_BA_1_149,C11_CF_BA_150_399,C11_CF_BA_400_649,C11_CF_BA_650_799,C11_CF_BA_800_1249,C11_CF_BA_1250_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_3999,C11_CF_BA_4000more,C11_CF_BA_Ns,C11_fc_BA_Tot,C11_CF_BNW_Neg_ni_inc,C11_CF_BNW_1_149,C11_CF_BNW_150_399,C11_CF_BNW_400_649,C11_CF_BNW_650_799,C11_CF_BNW_800_1249,C11_CF_BNW_1250_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_3999,C11_CF_BNW_4000more,C11_CF_BNW_Ns,C11_CF_BNW_Tot,C11_CF_LFns_Neg_ni_inc,C11_CF_LFns_1_149,C11_CF_LFns_150_399,C11_CF_LFns_400_649,C11_CF_LFns_650_799,C11_CF_LFns_800_1249,C11_CF_LFns_1250_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_3999,C11_CF_LFns_4000more,C11_CF_LFns_Ns,C11_CF_LFns_Tot,C11_CF_Tot_Neg_ni_inc,C11_CF_Tot_1_149,C11_CF_Tot_150_399,C11_CF_Tot_400_649,C11_CF_Tot_650_799,C11_CF_Tot_800_1249,C11_CF_Tot_1250_1999,C11_CF_Tot_2000_2499,C11_CF_Tot_2500_2999,C11_CF_Tot_3000_3999,C11_CF_Tot_4000more,C11_CF_TotFI_Ns,C11_CF_Tot_Tot,C11_1PF_F_Neg_ni_inc,C11_1PF_F_1_149,C11_1PF_F_150_399,C11_1PF_F_400_649,C11_1PF_F_650_799,C11_1PF_F_800_1249,C11_1PF_F_1250_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_3999,C11_1PF_F_4000more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_Neg_ni_inc,C11_1PF_P_1_149,C11_1PF_P_150_399,C11_1PF_P_400_649,C11_1PF_P_650_799,C11_1PF_P_800_1249,C11_1PF_P_1250_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_3999,C11_1PF_P_4000more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_Neg_ni_inc,C11_1PF_A_1_149,C11_1PF_A_150_399,C11_1PF_A_400_649,C11_1PF_A_650_799,C11_1PF_A_800_1249,C11_1PF_A_1250_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_3999,C11_1PF_A_4000more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_Neg_ni_inc,C11_1PF_U_1_149,C11_1PF_U_150_399,C11_1PF_U_400_649,C11_1PF_U_650_799,C11_1PF_U_800_1249,C11_1PF_U_1250_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_3999,C11_1PF_U_4000more,C11_1PF_U_Ns,C11_1PF_U_Tot,C11_1PF_N_lf_Fi_Neg_ni_inc,C11_1PF_N_lf_Fi_1_149,C11_1PF_N_lf_Fi_150_399,C11_1PF_N_lf_Fi_400_649,C11_1PF_N_lf_Fi_650_799,C11_1PF_N_lf_Fi_800_1249,C11_1PF_N_lf_Fi_1250_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_3999,C11_1PF_N_lf_Fi_4000more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_lf_Tot,C11_1PF_LFns_Neg_ni_inc,C11_1PF_LFns_1_149,C11_1PF_LFns_150_399,C11_1PF_LFns_400_649,C11_1PF_LFns_650_799,C11_1PF_LFns_800_1249,C11_1PF_LFns_1250_1999,C11_1PF_LFns_2000_2499,C11_1PF_LFns_2500_2999,C11_1PF_LFns_3000_3999,C11_1PF_LFns_4000more,C11_1PF_LFns_Ns,C11_1PF_LF_NS_Tot,C11_1PF_TotFI_Neg_ni_inc,C11_1PF_TotFI_1_149,C11_1PF_TotFI_150_399,C11_1PF_TotFI_400_649,C11_1PF_TotFI_650_799,C11_1PF_TotFI_800_1249,C11_1PF_TotFI_1250_1999,C11_1PF_TotFI_2000_2499,C11_1PF_TotFI_2500_2999,C11_1PF_TotFI_3000_3999,C11_1PF_TotFI_4000more,C11_1PF_TotFI_Ns,C11_1PF_TotFI_Tot,C11_TotFI_Neg_ni_inc,C11_TotFI_1_149,C11_TotFI_150_399,C11_TotFI_400_649,C11_TotFI_650_799,C11_TotFI_800_1249,C11_TotFI_1250_1999,C11_TotFI_2000_2499,C11_TotFI_2500_2999,C11_TotFI_3000_3999,C11_TotFI_4000more,C11_TotFI_Ns,C11_Tot_Tot,C16_CFNC_BF_Neg_ni_inc,C16_CFNC_BF_1_149,C16_CFNC_BF_150_399,C16_CFNC_BF_400_649,C16_CFNC_BF_650_799,C16_CFNC_BF_800_1249,C16_CFNC_BF_1250_1999,C16_CFNC_BF_2000_2499,C16_CFNC_BF_2500_2999,C16_CFNC_BF_3000_3999
LGA50080,181,282,39,73,15,12,48,706,0,0,10,25,25,72,46,13,4,0,6,24,217,3,0,0,4,13,19,18,5,7,3,0,9,71,0,0,0,5,0,10,10,10,7,10,5,11,64,5,0,14,35,29,65,32,7,3,3,0,32,228,0,0,0,0,0,0,0,0,0,3,0,301,313,19,3,37,103,127,579,1027,460,283,278,101,592,3616,0,0,10,15,34,106,87,19,17,4,0,39,325,0,4,34,92,73,91,30,6,0,0,0,45,378,0,0,8,5,9,12,3,4,0,0,0,10,50,0,0,23,22,9,9,0,0,0,0,0,6,66,10,4,98,158,79,66,36,0,5,0,0,44,495,0,0,0,0,0,0,0,0,0,0,0,19,22,16,11,164,296,192,281,160,23,21,0,0,162,1332,98,23,333,1010,675,1635,1979,844,471,465,171,1159,8864,3,0,0,4,9,35,179,184,116,124
LGA50210,405,626,132,341,97,36,116,1852,0,0,5,34,35,88,94,20,25,11,4,39,342,0,0,3,6,19,34,55,8,27,9,6,14,182,0,0,0,0,3,3,23,17,14,18,3,16,96,9,4,33,62,64,112,84,19,14,7,4,59,459,0,0,3,0,0,11,8,0,4,0,0,652,693,27,15,58,124,213,918,1851,934,909,836,334,1250,7472,9,5,3,32,71,228,259,68,57,15,6,91,845,0,3,60,161,150,136,81,15,18,0,4,60,694,3,0,6,14,11,21,28,3,5,0,0,16,103,8,7,36,61,18,15,14,0,0,0,0,21,185,29,21,217,291,141,195,96,29,12,7,0,128,1179,0,0,4,0,5,0,4,0,0,0,0,45,57,53,43,330,563,392,605,483,114,91,25,10,357,3070,120,69,515,1534,1085,2491,3614,1878,1485,1313,472,2220,16800,0,0,0,0,0,24,287,479,383,370
LGA50250,3,38,12,140,11,0,15,222,0,0,0,0,0,3,0,0,13,0,0,5,18,0,0,0,0,0,4,4,0,8,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,12,3,0,4,5,0,3,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,77,77,8,0,8,3,8,20,77,45,241,187,80,128,810,0,0,0,0,0,12,25,4,12,5,0,11,79,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,8,16,0,0,0,0,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,13,18,5,17,26,3,18,6,0,21,145,10,6,21,33,21,59,156,99,332,337,181,209,1458,0,0,0,0,0,3,11,16,26,57
LGA50280,55,72,12,31,0,3,10,216,0,0,3,8,14,16,13,4,4,4,0,4,70,0,0,0,5,4,11,12,0,9,4,0,3,41,0,0,0,0,0,0,3,4,0,0,0,5,21,4,0,0,3,5,18,11,0,0,0,0,4,48,0,0,0,0,0,0,4,0,0,0,0,178,180,3,3,14,41,53,210,349,135,125,87,29,279,1324,0,0,7,9,14,33,24,6,7,4,0,18,116,0,3,17,33,40,29,12,0,0,0,0,16,156,0,0,0,3,0,7,5,0,0,0,0,0,12,0,0,6,8,0,0,0,0,0,0,0,0,17,8,0,15,36,19,19,8,0,0,5,0,11,110,0,0,0,0,0,0,0,0,0,0,0,9,9,3,3,44,87,75,81,47,8,4,7,0,50,413,30,12,102,273,218,544,702,277,181,154,42,498,3047,8,0,0,3,5,14,56,88,36,37
LGA50350,46,127,25,77,20,10,21,346,0,0,0,0,4,17,10,6,3,5,3,6,52,0,0,0,0,0,0,6,0,7,0,0,10,24,0,0,0,0,0,0,8,8,6,3,3,3,28,0,0,6,16,17,28,17,7,0,4,0,14,107,0,0,0,0,0,3,0,0,0,0,0,118,120,0,0,11,26,40,142,347,212,229,222,94,227,1547,0,0,5,4,16,64,67,20,17,10,0,14,218,0,5,10,42,28,43,24,10,0,0,0,19,178,0,0,0,0,0,9,4,0,0,0,0,0,18,0,0,10,11,0,3,5,0,0,0,0,0,30,3,5,42,55,28,50,29,6,9,0,0,43,267,0,0,0,0,0,0,0,0,0,0,0,3,10,5,8,66,108,73,171,127,33,25,7,0,87,720,19,9,103,363,225,543,760,411,367,386,151,468,3797,0,0,0,0,0,11,51,68,92,103
LGA50420,274,403,94,313,76,35,95,1406,0,3,12,33,39,75,91,33,27,15,5,35,368,5,0,3,3,10,17,36,3,17,10,3,19,132,6,0,0,0,0,4,12,9,8,13,5,16,78,9,0,35,80,39,108,111,19,21,21,3,66,517,0,0,0,5,0,5,13,0,4,0,0,463,488,35,12,72,166,194,747,1514,846,875,901,423,1007,6795,7,0,8,17,56,195,236,79,101,39,5,121,860,0,4,52,109,97,140,82,21,17,8,0,56,583,4,0,6,4,3,18,15,5,4,3,4,14,80,7,5,29,30,8,14,5,0,0,0,0,5,108,22,17,125,170,114,166,112,24,17,4,7,84,867,0,0,5,0,0,3,5,0,0,0,0,42,58,44,28,221,333,285,535,452,133,136,54,14,318,2555,151,41,457,1444,986,2347,3129,1726,1547,1673,767,1996,16269,0,0,0,5,8,28,196,381,366,498
LGA50490,145,281,60,175,38,18,43,821,0,0,3,28,11,34,35,9,20,0,0,20,160,0,0,5,4,0,20,21,0,5,0,0,6,61,0,0,0,3,0,5,9,5,8,9,3,0,40,19,0,24,43,26,76,68,20,10,8,0,25,319,0,0,0,0,0,5,0,0,3,0,0,277,295,28,11,35,109,95,398,794,430,448,349,151,503,3356,3,0,7,14,29,108,134,34,40,10,7,56,444,0,7,22,87,62,52,42,3,3,4,0,39,321,0,0,0,9,7,9,5,10,4,3,0,7,51,7,0,19,24,5,7,8,4,0,0,0,10,72,12,12,114,147,71,96,67,8,10,3,0,80,638,5,0,0,0,3,0,0,0,0,0,0,32,48,24,22,165,276,179,285,252,64,60,24,6,226,1576,97,34,307,889,511,1132,1670,932,796,721,334,1112,8519,0,0,0,4,4,24,179,252,219,254
LGA50560,4,7,3,4,0,0,5,25,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,4,8,25,28,11,13,9,0,38,145,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,3,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,5,9,3,0,0,0,0,8,48,12,3,25,73,44,70,67,26,22,17,0,78,442,0,0,0,0,0,5,9,5,6,7
LGA50630,0,15,4,21,6,3,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,3,4,4,28,18,47,30,17,52,207,0,0,0,0,0,9,6,3,0,0,0,6,23,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,4,0,4,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,10,6,4,0,0,0,8,47,7,0,8,30,19,30,66,39,70,61,28,91,443,0,0,0,0,0,0,9,4,5,9
LGA50770,6,13,0,4,5,0,4,37,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,13,13,5,0,0,9,9,25,42,21,12,7,0,48,172,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,6,0,0,0,6,0,9,0,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,11,3,0,0,0,0,4,40,5,0,24,62,30,62,87,41,20,16,3,89,438,0,0,0,4,0,6,14,6,6,7
