LGA_CODE_2021,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_SDRTHT1S_NPUR_1,C11_SDRTHT1S_NPUR_2,C11_SDRTHT1S_NPUR_3,C11_SDRTHT1S_NPUR_4,C11_SDRTHT1S_NPUR_5,C11_SDRTHT1S_NPUR_6mor,C11_SDRTHT1S_Tot,C11_SDRTHT2S_NPUR_1,C11_SDRTHT2S_NPUR_2,C11_SDRTHT2S_NPUR_3,C11_SDRTHT2S_NPUR_4,C11_SDRTHT2S_NPUR_5,C11_SDRTHT2S_NPUR_6mor,C11_SDRTHT2S_Tot,C11_SDRTHT_NPUR_1,C11_SDRTHT_NPUR_2,C11_SDRTHT_NPUR_3,C11_SDRTHT_NPUR_4,C11_SDRTHT_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_SDRTHT_Tot,C11_F_a_1_2SB_NPUR_1,C11_F_a_1_2SB_NPUR_2,C11_F_a_1_2SB_NPUR_3,C11_F_a_1_2SB_NPUR_4,C11_F_a_1_2SB_NPUR_5,C11_F_a_1_2SB_NPUR_6mor,C11_F_a_1_2SB_Tot,C11_F_a_I_a_3SB_NPUR_1,C11_F_a_I_a_3SB_NPUR_2,C11_F_a_I_a_3SB_NPUR_3,C11_F_a_I_a_3SB_NPUR_4,C11_F_a_I_a_3SB_NPUR_5,C11_F_a_I_a_3SB_NPUR_6mor,C11_F_a_In_a_3SB_Tot,C11_F_a_4_8SB_NPUR_1,C11_F_a_4_8SB_NPUR_2,C11_F_a_4_8SB_NPUR_3,C11_F_a_4_8SB_NPUR_4,C11_F_a_4_8SB_NPUR_5,C11_F_a_4_8SB_NPUR_6mor,C11_F_a_4_8SB_Tot,C11_F_a_9mor_s_b_NPUR_1,C11_F_a_9mor_s_b_NPUR_2,C11_F_a_9mor_s_b_NPUR_3,C11_F_a_9mor_s_b_NPUR_4,C11_F_a_9mor_s_b_NPUR_5,C11_F_a_9m_s_b_NPUR_6mor,C11_F_a_9mor_st_bl_Tot,C11_F_a_AH_NPUR_1,C11_F_a_AH_NPUR_2,C11_F_a_AH_NPUR_3,C11_F_a_AH_NPUR_4,C11_F_a_AH_NPUR_5,C11_F_a_AH_NPUR_6mor,C11_F_a_AH_Tot,C11_F_a_Tot_NPUR_1,C11_F_a_Tot_NPUR_2,C11_F_a_Tot_NPUR_3,C11_F_a_Tot_NPUR_4,C11_F_a_Tot_NPUR_5,C11_F_a_Tot_NPUR_6mor,C11_F_a_Tot_Tot,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mor,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mor,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_Tot,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_Tot_Tot,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_Tot,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_Tot_Tot,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_SDRTHT1S_NPUR_1,C16_SDRTHT1S_NPUR_2,C16_SDRTHT1S_NPUR_3,C16_SDRTHT1S_NPUR_4,C16_SDRTHT1S_NPUR_5,C16_SDRTHT1S_NPUR_6mor,C16_SDRTHT1S_Tot,C16_SDRTHT2S_NPUR_1,C16_SDRTHT2S_NPUR_2,C16_SDRTHT2S_NPUR_3,C16_SDRTHT2S_NPUR_4,C16_SDRTHT2S_NPUR_5,C16_SDRTHT2S_NPUR_6mor,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_NPUR_1,C16_SDRTHT_Tot_NPUR_2,C16_SDRTHT_Tot_NPUR_3,C16_SDRTHT_Tot_NPUR_4,C16_SDRTHT_Tot_NPUR_5,C16_SDRTHT_Tot_NPUR_6mor,C16_SDRTHT_Tot_Tot,C16_F_a_1_2SB_NPUR_1,C16_F_a_1_2SB_NPUR_2,C16_F_a_1_2SB_NPUR_3,C16_F_a_1_2SB_NPUR_4,C16_F_a_1_2SB_NPUR_5,C16_F_a_1_2SB_NPUR_6mor,C16_F_a_1_2SB_Tot,C16_F_a_I_a_3SB_NPUR_1,C16_F_a_I_a_3SB_NPUR_2,C16_F_a_I_a_3SB_NPUR_3,C16_F_a_I_a_3SB_NPUR_4,C16_F_a_I_a_3SB_NPUR_5,C16_F_a_I_a_3SB_NPUR_6mor,C16_F_a_In_a_3_st_b_Tot,C16_F_a_4_8SB_NPUR_1,C16_F_a_4_8SB_NPUR_2,C16_F_a_4_8SB_NPUR_3,C16_F_a_4_8SB_NPUR_4,C16_F_a_4_8SB_NPUR_5,C16_F_a_4_8SB_NPUR_6mor,C16_F_a_4_8SB_Tot,C16_F_a_9mor_s_b_NPUR_1,C16_F_a_9mor_s_b_NPUR_2,C16_F_a_9mor_s_b_NPUR_3,C16_F_a_9mor_s_b_NPUR_4,C16_F_a_9mor_s_b_NPUR_5,C16_F_a_9m_s_b_NPUR_6mor,C16_F_a_9mor_st_bl_Tot,C16_F_a_AH_NPUR_1,C16_F_a_AH_NPUR_2,C16_F_a_AH_NPUR_3,C16_F_a_AH_NPUR_4,C16_F_a_AH_NPUR_5,C16_F_a_AH_NPUR_6mor,C16_F_a_AH_Tot,C16_F_a_Tot_NPUR_1,C16_F_a_Tot_NPUR_2,C16_F_a_Tot_NPUR_3,C16_F_a_Tot_NPUR_4,C16_F_a_Tot_NPUR_5,C16_F_a_Tot_NPUR_6mor,C16_F_a_Tot_Tot,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mor,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mor,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4
LGA50080,2455,4315,1679,1621,691,359,11126,399,171,41,21,4,0,642,31,38,16,6,4,0,96,431,209,57,27,9,4,734,311,108,19,16,6,4,460,8,3,0,0,0,0,13,0,0,0,0,0,0,0,..,..,..,..,..,..,..,9,0,0,0,0,0,14,327,112,22,15,6,4,485,93,39,6,6,0,0,143,3,8,0,0,0,0,13,0,9,0,0,0,0,17,100,55,3,4,3,0,175,0,3,0,0,0,0,6,3317,4699,1769,1662,712,368,12528,2807,4729,1693,1718,773,372,12088,661,205,37,23,8,0,934,46,25,6,0,0,0,88,708,225,45,24,11,0,1017,28,7,3,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,4,0,0,0,0,5,29,11,3,3,0,0,47,109,53,0,3,0,0,171,5,6,0,0,0,0,18,3,5,0,7
LGA50210,3500,6856,3517,3297,1478,868,19514,557,406,142,96,32,19,1251,36,9,0,3,0,0,49,597,423,144,94,32,19,1307,460,332,128,56,19,9,1001,13,13,0,0,0,0,32,4,0,0,0,0,0,4,..,..,..,..,..,..,..,4,0,3,0,0,0,9,474,349,140,57,17,9,1039,65,19,0,0,0,0,89,5,4,0,0,0,0,7,0,0,0,0,0,0,6,68,24,5,3,4,0,101,4,0,0,0,0,0,4,4642,7649,3800,3452,1527,898,21969,4148,7835,4652,4297,1872,1102,23901,1250,1031,433,273,82,54,3125,22,25,7,12,3,0,72,1267,1054,444,286,91,54,3196,83,42,18,11,0,0,158,26,22,14,0,0,0,57,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,114,59,31,9,4,0,218,50,18,0,0,0,0,69,0,0,0,0,0,0,0,0,10,0,0
LGA50250,285,445,261,371,176,86,1622,74,53,6,0,0,0,146,12,3,0,0,0,0,19,83,61,11,0,0,6,171,25,7,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,25,7,0,0,0,0,39,45,30,4,3,4,0,96,3,0,0,0,0,0,5,0,3,0,0,0,0,3,53,35,4,3,4,0,102,3,3,0,0,5,0,10,455,554,277,380,184,90,1938,334,417,255,377,162,80,1623,54,64,8,6,0,0,135,3,4,0,0,0,0,4,61,66,8,7,0,0,145,29,8,4,0,0,0,40,9,8,0,0,0,0,15,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,33,8,4,0,0,0,49,40,20,0,0,0,0,58,3,3,0,0,0,0,6,3,4,0,0
LGA50280,799,1464,682,618,243,58,3867,90,47,15,6,6,0,164,17,24,0,0,0,0,46,106,69,18,6,7,0,201,33,15,3,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,4,0,0,0,0,0,4,35,15,3,0,0,0,57,41,17,0,3,0,0,66,0,0,0,0,0,0,6,3,4,0,5,0,0,9,49,24,0,8,0,0,81,0,0,0,0,0,0,0,993,1573,705,630,247,58,4209,984,1721,792,774,315,80,4662,73,38,20,7,5,0,142,22,0,4,0,0,0,28,92,43,20,9,5,0,167,39,19,3,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,39,19,3,0,0,0,58,46,22,9,7,0,0,82,0,6,5,0,0,0,12,0,3,3,0
LGA50350,1112,1647,760,705,284,116,4617,246,149,48,14,6,0,465,23,41,20,8,6,0,100,268,188,67,25,11,0,562,256,156,61,34,6,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,4,0,0,0,0,5,256,164,63,34,6,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,4,0,0,0,0,0,5,0,0,0,0,0,0,0,1641,2004,890,761,302,121,5716,1107,1597,798,743,285,131,4650,382,282,115,58,14,5,854,33,46,23,19,4,0,126,417,327,132,75,17,5,982,117,38,17,5,0,0,177,24,12,0,0,0,0,33,20,9,0,0,0,0,32,..,..,..,..,..,..,..,0,0,0,0,0,0,0,156,60,15,5,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
LGA50420,3585,6230,2983,2812,1086,466,17160,1432,1077,414,240,80,30,3270,414,432,157,87,19,4,1117,1839,1509,576,320,95,37,4385,844,544,149,74,33,8,1652,401,264,97,35,8,3,807,435,262,86,27,5,0,813,..,..,..,..,..,..,..,3,0,4,0,0,0,10,1684,1075,328,134,46,12,3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,11,7,0,3,0,0,0,11,9,8,0,0,0,0,15,7123,8815,3895,3268,1233,517,24843,3555,6416,3261,3054,1056,517,17864,1471,1182,414,300,98,46,3513,630,619,260,129,36,14,1681,2094,1803,674,425,128,61,5188,627,373,102,50,10,3,1167,273,186,59,14,3,0,532,322,226,66,26,4,0,637,..,..,..,..,..,..,..,0,0,0,0,0,0,0,1222,782,226,97,15,3,2343,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,4,0,0
LGA50490,2479,3526,1735,1351,597,306,9990,738,480,211,110,38,30,1611,134,170,89,40,20,4,457,872,647,302,156,61,33,2074,434,281,99,67,12,12,908,245,178,56,24,7,0,509,40,87,29,12,0,0,176,..,..,..,..,..,..,..,0,0,0,0,0,0,0,719,552,188,102,23,9,1590,5,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,0,0,0,0,21,8,7,0,0,0,0,22,4090,4738,2224,1607,680,354,13696,2423,3310,1693,1447,605,364,9853,901,591,305,192,93,51,2134,286,400,184,128,36,23,1054,1187,991,489,319,131,71,3186,227,146,38,11,3,0,427,219,163,53,18,5,0,453,275,331,60,14,0,0,679,..,..,..,..,..,..,..,0,3,0,0,0,0,3,724,631,150,44,4,5,1565,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0
LGA50560,176,275,70,53,25,17,626,9,4,0,0,0,0,15,0,0,0,0,0,0,0,9,4,0,0,0,0,15,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,3,7,3,0,0,0,0,11,3,0,0,0,0,0,3,198,284,70,56,25,17,652,191,274,83,64,24,14,647,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,9,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,9,3,0,0,0,0,17,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
LGA50630,103,187,83,88,44,25,519,3,15,0,0,0,0,25,0,0,0,0,0,0,0,3,15,0,0,0,0,25,7,8,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,7,8,3,0,0,0,22,10,6,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,10,0,0,0,0,16,0,0,0,0,0,0,0,121,219,84,89,42,25,577,128,216,84,105,40,17,593,3,5,3,0,0,0,13,0,0,0,0,0,0,0,3,5,3,0,0,0,13,9,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,9,4,0,0,0,0,9,6,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
LGA50770,168,247,61,84,38,12,610,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,169,247,55,84,38,12,617,175,270,66,74,44,15,636,6,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0
