LGA_CODE_2021,Age_74_C21_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_70_74_C21_M,Age_70_74_C21_F,Age_70_74_C21_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_75_C21_M,Age_75_C21_F,Age_75_C21_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_76_C21_M,Age_76_C21_F,Age_76_C21_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_77_C21_M,Age_77_C21_F,Age_77_C21_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_78_C21_M,Age_78_C21_F,Age_78_C21_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_79_C21_M,Age_79_C21_F,Age_79_C21_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_75_79_C21_M,Age_75_79_C21_F,Age_75_79_C21_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_80_84_C21_M,Age_80_84_C21_F,Age_80_84_C21_P,Age_85over_C11_M,Age_85over_C11_F,Age_85over_C11_P,Age_85over_C16_M,Age_85over_C16_F,Age_85over_C16_P,Age_85over_C21_M,Age_85over_C21_F,Age_85over_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA50080,467,671,734,1404,827,947,1772,1178,1212,2386,132,111,238,125,133,263,171,178,347,123,136,260,118,169,290,173,186,353,100,106,205,132,153,290,158,177,331,100,132,231,131,147,281,139,176,321,108,96,204,113,128,248,160,174,331,563,585,1147,632,736,1359,798,885,1690,401,494,899,460,526,984,539,662,1207,265,486,753,440,610,1046,498,661,1164,16577,17075,33649,18052,18532,36585,19033,19732,38763
LGA50210,637,871,856,1730,1084,1122,2203,1559,1663,3224,126,156,284,194,175,369,237,250,483,141,143,281,150,180,330,207,230,439,104,146,248,158,167,319,195,189,386,99,105,207,151,152,301,175,190,365,91,133,226,141,123,262,150,159,310,566,684,1242,790,793,1588,967,1011,1975,383,492,872,431,553,980,617,686,1310,244,419,660,367,548,913,426,581,1006,31041,31254,62293,39596,40002,79596,46604,47583,94184
LGA50250,0,22,11,33,28,19,48,31,29,58,0,4,4,4,7,10,6,7,14,0,0,0,0,0,0,13,3,15,0,0,0,0,0,0,7,0,9,0,0,0,7,5,8,4,0,5,6,0,5,0,0,0,3,3,6,5,6,11,14,11,23,26,9,37,0,5,3,4,8,9,8,6,11,0,0,4,0,3,5,3,4,10,6517,3483,10001,9423,3603,13026,4297,3096,7391
LGA50280,179,168,189,358,253,241,496,460,421,881,22,39,57,42,34,71,56,56,108,32,20,53,40,41,79,56,52,109,25,23,44,38,35,77,49,42,93,17,31,51,38,24,61,36,36,67,21,26,44,26,40,61,41,39,77,111,137,249,181,164,345,234,221,454,102,112,205,96,133,228,145,143,291,72,121,191,90,136,226,120,163,286,5900,5864,11762,7130,7133,14257,8388,8400,16791
LGA50350,143,213,253,470,223,303,531,347,387,736,46,54,98,55,48,97,52,76,131,42,31,74,40,58,97,48,44,94,49,60,108,34,48,82,41,55,96,37,46,85,46,46,94,38,40,73,42,40,85,24,34,55,32,60,99,212,239,450,196,236,430,203,277,481,110,198,307,151,186,332,154,204,360,100,180,281,99,236,329,120,241,360,7178,7229,14401,7428,7662,15093,7797,8135,15932
LGA50420,653,1007,1124,2130,1152,1214,2362,1488,1638,3128,159,213,373,191,225,413,252,275,529,169,192,363,200,202,402,229,239,470,152,184,337,163,225,388,237,222,461,151,174,327,170,203,366,177,201,376,135,165,301,147,174,320,169,192,359,772,928,1697,864,1030,1894,1067,1127,2190,552,716,1265,597,764,1363,752,889,1641,462,916,1376,550,959,1508,594,1032,1634,31413,31254,62666,32881,33195,66081,34387,34900,69283
LGA50490,279,524,640,1164,547,610,1160,696,772,1461,93,143,230,94,158,248,120,106,232,87,122,208,90,114,210,101,101,202,92,108,195,92,91,183,89,120,207,82,116,196,98,115,214,88,93,183,69,82,153,71,103,180,88,94,183,415,574,986,456,580,1027,491,522,1011,332,435,766,325,466,787,340,481,815,235,442,671,291,521,813,328,574,902,17890,17321,35205,20250,19433,39685,21413,20846,42257
LGA50560,29,58,57,116,73,59,137,84,80,164,0,5,8,15,12,22,17,14,28,7,7,16,8,4,12,12,8,21,0,9,6,4,7,15,19,5,28,16,4,17,14,11,24,12,5,15,0,8,9,15,4,21,11,11,21,30,30,57,52,46,96,67,44,107,22,22,41,26,25,49,27,29,58,16,20,39,13,22,40,31,27,58,803,757,1565,885,854,1749,858,834,1694
LGA50630,23,24,18,39,37,27,63,50,39,87,9,7,15,10,6,17,9,9,13,7,4,7,5,3,14,5,3,10,7,4,5,4,0,5,5,0,4,3,0,4,0,7,3,5,9,15,0,3,3,0,4,4,5,7,14,17,20,33,26,24,44,23,25,50,5,8,15,14,16,29,22,17,29,8,9,21,4,10,13,11,7,20,1387,841,2228,980,865,1846,885,822,1705
LGA50770,19,39,33,71,53,56,112,58,61,115,5,7,12,7,6,13,11,11,22,3,4,9,3,10,14,15,16,28,0,0,6,8,6,10,5,7,12,3,8,17,6,11,15,12,8,16,6,5,8,8,3,12,9,8,14,24,30,47,36,32,71,47,47,96,10,15,28,27,17,44,38,28,60,16,19,36,14,26,38,17,20,35,786,801,1592,856,846,1702,917,914,1834
