LGA_CODE_2021,C16_CF_NCu15DS_MR_1000_1399,C16_CF_NCu15DS_MR_1400_1799,C16_CF_NCu15DS_MR_1800_2399,C16_CF_NCu15DS_MR_2400_2999,C16_CF_NCu15DS_MR_3000_3999,C16_CF_NCu15DS_MR_4000over,C16_CF_NCu15DS_MR_NS,C16_CF_NCu15DS_Tot,C16_CF_NDCO_MR_0_299,C16_CF_NDCO_MR_300_449,C16_CF_NDCO_MR_450_599,C16_CF_NDCO_MR_600_799,C16_CF_NDCO_MR_800_999,C16_CF_NDCO_MR_1000_1399,C16_CF_NDCO_MR_1400_1799,C16_CF_NDCO_MR_1800_2399,C16_CF_NDCO_MR_2400_2999,C16_CF_NDCO_MR_3000_3999,C16_CF_NDCO_MR_4000over,C16_CF_NDCO_MR_NS,C16_CF_NDCO_Tot,C16_CF_Tot_MR_0_299,C16_CF_Tot_MR_300_449,C16_CF_Tot_MR_450_599,C16_CF_Tot_MR_600_799,C16_CF_Tot_MR_800_999,C16_CF_Tot_MR_1000_1399,C16_CF_Tot_MR_1400_1799,C16_CF_Tot_MR_1800_2399,C16_CF_Tot_MR_2400_2999,C16_CF_Tot_MR_3000_3999,C16_CF_Tot_MR_4000over,C16_CF_Tot_MR_NS,C16_CF_Tot_Tot,C16_1PF_Cu15DS_MR_0_299,C16_1PF_Cu15DS_MR_300_449,C16_1PF_Cu15DS_MR_450_599,C16_1PF_Cu15DS_MR_600_799,C16_1PF_Cu15DS_MR_800_999,C16_1PF_Cu15DS_MR_1000_1399,C16_1PF_Cu15DS_MR_1400_1799,C16_1PF_Cu15DS_MR_1800_2399,C16_1PF_Cu15DS_MR_2400_2999,C16_1PF_Cu15DS_MR_3000_3999,C16_1PF_Cu15DS_MR_4000over,C16_1PF_Cu15DS_MR_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_MR_0_299,C16_1PF_CU15_NDS_MR_300_449,C16_1PF_CU15_NDS_MR_450_599,C16_1PF_CU15_NDS_MR_600_799,C16_1PF_CU15_NDS_MR_800_999,C16_1PF_CU15_NDS_MR_1000_1399,C16_1PF_CU15_NDS_MR_1400_1799,C16_1PF_CU15_NDS_MR_1800_2399,C16_1PF_CU15_NDS_MR_2400_2999,C16_1PF_CU15_NDS_MR_3000_3999,C16_1PF_CU15_NDS_MR_4000over,C16_1PF_CU15_NDS_MR_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_MR_0_299,C16_1PF_NCu15DS_MR_300_449,C16_1PF_NCu15DS_MR_450_599,C16_1PF_NCu15DS_MR_600_799,C16_1PF_NCu15DS_MR_800_999,C16_1PF_NCu15DS_MR_1000_1399,C16_1PF_NCu15DS_MR_1400_1799,C16_1PF_NCu15DS_MR_1800_2399,C16_1PF_NCu15DS_MR_2400_2999,C16_1PF_NCu15DS_MR_3000_3999,C16_1PF_NCu15DS_MR_4000over,C16_1PF_NCu15DS_MR_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_MR_0_299,C16_1PF_NDCO_MR_300_449,C16_1PF_NDCO_MR_450_599,C16_1PF_NDCO_MR_600_799,C16_1PF_NDCO_MR_800_999,C16_1PF_NDCO_MR_1000_1399,C16_1PF_NDCO_MR_1400_1799,C16_1PF_NDCO_MR_1800_2399,C16_1PF_NDCO_MR_2400_2999,C16_1PF_NDCO_MR_3000_3999,C16_1PF_NDCO_MR_4000over,C16_1PF_NDCO_MR_NS,C16_1PF_NDCO_Tot,C16_1PF_Tot_MR_0_299,C16_1PF_Tot_MR_300_449,C16_1PF_Tot_MR_450_599,C16_1PF_Tot_MR_600_799,C16_1PF_Tot_MR_800_999,C16_1PF_Tot_MR_1000_1399,C16_1PF_Tot_MR_1400_1799,C16_1PF_Tot_MR_1800_2399,C16_1PF_Tot_MR_2400_2999,C16_1PF_Tot_MR_3000_3999,C16_1PF_Tot_MR_4000over,C16_1PF_Tot_MR_NS,C16_1PF_Tot_Tot,C16_Tot_MR_0_299,C16_Tot_MR_300_449,C16_Tot_MR_450_599,C16_Tot_MR_600_799,C16_Tot_MR_800_999,C16_Tot_MR_1000_1399,C16_Tot_MR_1400_1799,C16_Tot_MR_1800_2399,C16_Tot_MR_2400_2999,C16_Tot_MR_3000_3999,C16_Tot_MR_4000over,C16_Tot_MR_NS,C16_Tot_Tot,C21_CFNC_MR_0_299,C21_CFNC_MR_300_449,C21_CFNC_MR_450_599,C21_CFNC_MR_600_799,C21_CFNC_MR_800_999,C21_CFNC_MR_1000_1399,C21_CFNC_MR_1400_1799,C21_CFNC_MR_1800_2399,C21_CFNC_MR_2400_2999,C21_CFNC_MR_3000_3999,C21_CFNC_MR_4000over,C21_CFNC_MR_NS,C21_CFNC_Tot,C21_CF_Cu15DS_MR_0_299,C21_CF_Cu15DS_MR_300_449,C21_CF_Cu15DS_MR_450_599,C21_CF_Cu15DS_MR_600_799,C21_CF_Cu15DS_MR_800_999,C21_CF_Cu15DS_MR_1000_1399,C21_CF_Cu15DS_MR_1400_1799,C21_CF_Cu15DS_MR_1800_2399,C21_CF_Cu15DS_MR_2400_2999,C21_CF_Cu15DS_MR_3000_3999,C21_CF_Cu15DS_MR_4000over,C21_CF_Cu15DS_MR_NS,C21_CF_Cu15DS_Tot,C21_CF_Cu15NDS_MR_0_299,C21_CF_Cu15NDS_MR_300_449,C21_CF_Cu15NDS_MR_450_599,C21_CF_Cu15NDS_MR_600_799,C21_CF_Cu15NDS_MR_800_999,C21_CF_Cu15NDS_MR_1000_1399,C21_CF_Cu15NDS_MR_1400_1799,C21_CF_Cu15NDS_MR_1800_2399,C21_CF_Cu15NDS_MR_2400_2999,C21_CF_Cu15NDS_MR_3000_3999,C21_CF_Cu15NDS_MR_4000over,C21_CF_Cu15NDS_MR_NS,C21_CF_Cu15NDS_Tot,C21_CF_NCu15DS_MR_0_299,C21_CF_NCu15DS_MR_300_449,C21_CF_NCu15DS_MR_450_599,C21_CF_NCu15DS_MR_600_799,C21_CF_NCu15DS_MR_800_999,C21_CF_NCu15DS_MR_1000_1399,C21_CF_NCu15DS_MR_1400_1799,C21_CF_NCu15DS_MR_1800_2399,C21_CF_NCu15DS_MR_2400_2999,C21_CF_NCu15DS_MR_3000_3999,C21_CF_NCu15DS_MR_4000over,C21_CF_NCu15DS_MR_NS,C21_CF_NCu15DS_Tot,C21_CF_NDCO_MR_0_299,C21_CF_NDCO_MR_300_449,C21_CF_NDCO_MR_450_599,C21_CF_NDCO_MR_600_799,C21_CF_NDCO_MR_800_999,C21_CF_NDCO_MR_1000_1399,C21_CF_NDCO_MR_1400_1799,C21_CF_NDCO_MR_1800_2399,C21_CF_NDCO_MR_2400_2999,C21_CF_NDCO_MR_3000_3999,C21_CF_NDCO_MR_4000over,C21_CF_NDCO_MR_NS,C21_CF_NDCO_Tot,C21_CF_Tot_MR_0_299,C21_CF_Tot_MR_300_449,C21_CF_Tot_MR_450_599,C21_CF_Tot_MR_600_799,C21_CF_Tot_MR_800_999,C21_CF_Tot_MR_1000_1399,C21_CF_Tot_MR_1400_1799,C21_CF_Tot_MR_1800_2399,C21_CF_Tot_MR_2400_2999,C21_CF_Tot_MR_3000_3999,C21_CF_Tot_MR_4000over,C21_CF_Tot_MR_NS,C21_CF_Tot_Tot,C21_1PF_Cu15DS_MR_0_299,C21_1PF_Cu15DS_MR_300_449,C21_1PF_Cu15DS_MR_450_599,C21_1PF_Cu15DS_MR_600_799,C21_1PF_Cu15DS_MR_800_999,C21_1PF_Cu15DS_MR_1000_1399,C21_1PF_Cu15DS_MR_1400_1799,C21_1PF_Cu15DS_MR_1800_2399,C21_1PF_Cu15DS_MR_2400_2999,C21_1PF_Cu15DS_MR_3000_3999
LGA50080,44,32,35,20,14,7,9,206,12,10,7,14,23,59,51,67,21,21,8,13,306,64,48,23,57,91,352,433,532,203,132,67,78,2078,3,0,0,4,3,9,9,12,4,0,0,0,46,9,5,0,12,15,42,29,22,11,12,0,10,161,7,0,3,3,0,17,11,6,0,0,0,0,48,6,10,4,8,12,26,12,25,5,4,0,3,112,26,16,6,26,27,81,63,66,20,11,0,16,366,169,102,68,140,170,635,680,865,315,205,104,152,3600,84,62,24,51,87,245,269,241,85,67,30,79,1324,7,7,0,6,15,49,73,89,24,21,6,18,317,26,8,11,28,46,243,358,366,116,73,41,49,1362,3,4,0,4,11,51,51,61,16,14,15,17,247,21,9,3,9,11,53,47,72,32,17,12,18,304,59,28,21,50,88,385,535,587,194,124,71,91,2232,7,0,0,4,6,12,7,10,0,3
LGA50210,116,106,200,119,83,52,23,802,30,22,21,50,56,133,151,192,96,90,39,42,922,147,77,70,145,210,733,1239,2172,1227,753,321,214,7318,3,4,0,0,5,24,20,17,11,4,6,5,96,25,12,7,21,25,108,183,131,64,38,16,24,661,9,3,6,13,32,52,48,58,13,15,4,10,252,28,16,26,22,35,105,102,98,20,21,11,20,496,61,35,39,55,97,283,350,307,108,77,31,54,1512,350,183,168,309,455,1400,2107,3453,1897,1165,499,371,12357,163,65,53,124,182,555,775,1052,394,262,160,219,4009,27,9,13,14,32,125,208,345,153,87,47,45,1091,87,26,27,70,139,726,1446,2012,840,436,233,258,6306,39,12,9,18,29,87,158,264,126,110,54,53,955,57,22,19,25,52,144,170,222,128,85,56,71,1050,199,71,65,128,256,1079,1979,2843,1250,715,389,429,9404,0,0,4,5,10,33,21,35,10,5
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,5,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,5,0,5,5,0,34,5,0,0,0,0,6,3,0,5,6,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0
LGA50280,14,18,12,4,4,8,5,80,4,0,0,4,5,10,5,15,7,7,0,9,74,30,5,16,21,33,86,159,246,116,119,50,40,915,3,0,0,0,5,8,5,3,0,0,3,0,23,0,0,7,7,11,17,19,18,15,0,5,4,98,0,0,0,0,3,8,0,3,0,0,0,0,22,5,6,0,3,0,9,6,6,0,0,0,6,43,6,3,10,6,20,39,34,29,10,6,5,11,179,65,33,33,49,78,196,252,366,173,170,77,66,1555,33,16,11,17,26,80,108,108,42,40,30,39,543,10,3,4,6,5,10,30,32,6,13,8,0,125,9,6,3,18,13,123,159,214,108,76,30,30,792,3,4,5,0,0,14,11,20,13,12,8,9,91,3,0,0,8,0,8,15,13,6,9,10,6,89,30,10,12,27,24,154,216,286,136,103,48,49,1100,0,0,0,0,0,0,12,3,0,0
LGA50350,24,13,31,23,12,15,5,128,13,5,3,9,19,22,17,26,4,13,3,3,130,34,13,9,30,42,125,152,277,156,128,63,35,1068,0,0,0,0,3,0,3,4,6,0,0,0,18,4,0,4,6,5,17,22,21,6,6,6,5,102,0,0,0,0,0,3,12,4,6,0,0,0,38,7,3,7,3,6,11,13,11,0,6,0,4,80,19,8,9,9,20,35,46,43,14,15,7,5,232,84,44,34,57,76,217,266,468,255,198,99,57,1856,31,13,7,11,20,87,126,170,58,45,28,25,621,3,0,0,4,7,22,16,29,14,11,12,3,118,17,3,9,11,12,57,124,245,117,85,49,36,759,6,4,4,8,4,15,21,32,18,19,3,4,129,14,5,0,3,9,20,16,26,16,12,5,8,140,37,13,11,20,29,111,180,327,165,133,63,56,1147,0,0,0,0,0,9,5,7,0,0
LGA50420,57,69,88,71,56,40,22,496,31,12,16,23,19,61,47,86,59,48,36,27,460,159,53,63,94,114,405,501,907,669,553,285,141,3942,3,5,0,0,4,12,12,12,3,5,5,8,65,15,12,0,8,12,44,49,60,31,24,13,8,281,9,7,11,9,7,26,35,34,26,12,4,4,170,22,10,12,22,18,29,36,52,26,13,11,10,272,46,32,26,44,47,112,126,150,84,55,36,34,789,345,132,127,200,235,756,898,1602,1136,953,477,238,7089,144,43,35,67,75,296,454,645,331,224,141,135,2597,23,4,4,11,10,45,59,110,78,59,38,30,461,78,14,13,38,58,246,462,890,451,419,184,137,2986,43,6,16,19,21,55,94,124,64,71,39,29,577,30,6,9,18,25,70,67,100,51,52,31,46,504,170,32,43,82,114,412,686,1221,644,597,287,235,4537,4,0,3,0,8,11,15,18,8,6
LGA50490,24,23,41,25,21,16,6,194,12,5,5,10,11,30,18,33,22,25,17,7,200,64,21,23,34,70,151,239,473,306,228,112,43,1757,6,0,0,0,0,3,7,8,3,0,0,0,28,6,4,0,5,11,14,21,33,18,8,8,3,136,0,3,0,3,6,10,14,20,0,3,0,4,63,8,4,0,3,12,25,19,25,12,8,0,9,123,22,11,4,16,22,53,64,83,33,16,17,10,354,159,47,44,78,131,344,468,860,541,399,183,88,3357,47,25,14,38,58,192,318,357,137,97,64,71,1415,9,0,0,5,6,15,26,44,32,19,16,3,180,36,11,4,9,27,148,288,397,179,149,72,62,1381,10,6,3,0,7,26,28,64,30,38,15,21,251,19,7,0,7,9,31,26,51,21,24,8,11,228,78,22,13,17,57,224,379,550,260,236,107,99,2038,0,0,0,0,4,6,4,10,0,0
LGA50560,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,12,5,4,3,3,9,20,14,10,3,4,3,4,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,4,0,0,0,0,9,12,5,8,9,19,35,26,22,3,9,8,5,157,0,0,4,14,10,13,10,6,5,4,0,3,66,0,0,0,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,9,3,10,0,0,0,4,33,0,0,0,0,0,0,6,0,0,0,0,5,14,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,3,0,5,19,8,18,0,0,0,5,67,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,5,0,0,0,0,8,3,0,0,0,0,0,6,0,0,0,0,0,17,4,3,4,6,8,12,22,35,13,8,5,4,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,4,4,0,0,0,0,0,19,3,3,3,10,13,21,41,51,14,7,10,6,193,0,0,6,0,0,15,6,13,4,4,4,6,61,0,0,0,0,5,0,0,3,0,0,0,0,14,3,0,0,0,0,18,9,17,8,0,0,0,62,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,3,4,6,0,3,0,0,10,3,4,0,0,7,20,19,28,6,3,4,3,94,0,0,0,0,0,0,0,0,0,0
LGA50770,4,0,4,0,0,0,0,12,3,4,0,0,0,0,0,0,0,0,0,0,8,9,0,0,6,5,17,15,10,6,5,10,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,17,17,5,0,6,12,27,25,21,8,7,14,5,157,13,3,3,4,9,12,9,5,0,0,3,0,55,0,0,0,0,0,4,0,0,0,0,4,0,5,3,0,0,0,0,6,13,12,3,8,0,3,51,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,3,6,3,0,0,3,8,17,13,10,0,3,4,8,75,0,0,0,0,0,0,0,0,0,0
