LGA_CODE_2021,C11_Neg_Ni_inc_1PF_1C,C11_Neg_Ni_inc_1PF_2C,C11_Neg_Ni_inc_1PF_3C,C11_Neg_Ni_inc_1PF_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_1PF_1C,C11_1_149_1PF_2C,C11_1_149_1PF_3C,C11_1_149_1PF_4mC,C11_1_149_Tot,C11_150_299_1PF_1C,C11_150_299_1PF_2C,C11_150_299_1PF_3C,C11_150_299_1PF_4mC,C11_150_299_Tot,C11_300_399_1PF_1C,C11_300_399_1PF_2C,C11_300_399_1PF_3C,C11_300_399_1PF_4mC,C11_300_399_Tot,C11_400_499_1PF_1C,C11_400_499_1PF_2C,C11_400_499_1PF_3C,C11_400_499_1PF_4mC,C11_400_499_Tot,C11_500_649_1PF_1C,C11_500_649_1PF_2C,C11_500_649_1PF_3C,C11_500_649_1PF_4mC,C11_500_649_Tot,C11_650_799_1PF_1C,C11_650_799_1PF_2C,C11_650_799_1PF_3C,C11_650_799_1PF_4mC,C11_650_799_Tot,C11_800_999_1PF_1C,C11_800_999_1PF_2C,C11_800_999_1PF_3C,C11_800_999_1PF_4mC,C11_800_999_Tot,C11_1000_1499_1PF_1C,C11_1000_1499_1PF_2C,C11_1000_1499_1PF_3C,C11_1000_1499_1PF_4mC,C11_1000_1499_Tot,C11_1500_1999_1PF_1C,C11_1500_1999_1PF_2C,C11_1500_1999_1PF_3C,C11_1500_1999_1PF_4mC,C11_1500_1999_Tot,C11_2000_2499_1PF_1C,C11_2000_2499_1PF_2C,C11_2000_2499_1PF_3C,C11_2000_2499_1PF_4mC,C11_2000_2499_Tot,C11_2500_2999_1PF_1C,C11_2500_2999_1PF_2C,C11_2500_2999_1PF_3C,C11_2500_2999_1PF_4mC,C11_2500_2999_Tot,C11_3000_3999_1PF_1C,C11_3000_3999_1PF_2C,C11_3000_3999_1PF_3C,C11_3000_3999_1PF_4mC,C11_3000_3999_Tot,C11_4000more_1PF_1C,C11_4000more_1PF_2C,C11_4000more_1PF_3C,C11_4000more_1PF_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_1PF_1C,C11_Par_inc_st_1PF_2C,C11_Par_inc_st_1PF_3C,C11_Par_inc_st_1PF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_1PF_1Ch,C11_All_inc_ns_1PF_2C,C11_All_inc_ns_1PF_3C,C11_All_inc_ns_1PF_4mC,C11_All_inc_ns_Tot,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1PF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_1PF_1C,C16_Neg_Ni_inc_1PF_2C,C16_Neg_Ni_inc_1PF_3C,C16_Neg_Ni_inc_1PF_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_1PF_1C,C16_1_149_1PF_2C,C16_1_149_1PF_3C,C16_1_149_1PF_4mC,C16_1_149_Tot,C16_150_299_1PF_1C,C16_150_299_1PF_2C,C16_150_299_1PF_3C,C16_150_299_1PF_4mC,C16_150_299_Tot,C16_300_399_1PF_1C,C16_300_399_1PF_2C,C16_300_399_1PF_3C,C16_300_399_1PF_4mC,C16_300_399_Tot,C16_400_499_1PF_1C,C16_400_499_1PF_2C,C16_400_499_1PF_3C,C16_400_499_1PF_4mC,C16_400_499_Tot,C16_500_649_1PF_1C,C16_500_649_1PF_2C,C16_500_649_1PF_3C,C16_500_649_1PF_4mC,C16_500_649_Tot,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_Tot,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_Tot,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_Tot,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_Tot,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_Tot,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_Tot,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_Tot,C16_4000more_1PF_1C,C16_4000more_1PF_2C,C16_4000more_1PF_3C,C16_4000more_1PF_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_Tot,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_1PF_1C,C21_Neg_Ni_inc_1PF_2C,C21_Neg_Ni_inc_1PF_3C,C21_Neg_Ni_inc_1PF_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_1PF_1C,C21_1_149_1PF_2C,C21_1_149_1PF_3C,C21_1_149_1PF_4mC,C21_1_149_Tot,C21_150_299_1PF_1C,C21_150_299_1PF_2C,C21_150_299_1PF_3C,C21_150_299_1PF_4mC,C21_150_299_Tot,C21_300_399_1PF_1C,C21_300_399_1PF_2C,C21_300_399_1PF_3C,C21_300_399_1PF_4mC,C21_300_399_Tot,C21_400_499_1PF_1C,C21_400_499_1PF_2C,C21_400_499_1PF_3C,C21_400_499_1PF_4mC,C21_400_499_Tot,C21_500_649_1PF_1C,C21_500_649_1PF_2C,C21_500_649_1PF_3C,C21_500_649_1PF_4mC,C21_500_649_Tot
LGA50080,14,7,0,0,16,8,3,0,0,11,33,10,3,0,49,66,36,8,6,113,94,100,24,9,222,48,15,6,0,71,105,52,18,13,192,82,48,15,6,148,134,50,18,7,208,53,27,8,4,84,17,9,0,0,23,10,11,4,0,21,0,0,0,0,0,0,0,0,0,0,53,49,13,11,125,21,10,0,5,38,729,418,123,58,1332,6,8,3,0,11,3,4,0,0,8,24,16,4,0,45,36,20,3,4,61,57,25,9,3,88,75,75,23,3,178,106,45,21,7,186,79,36,18,8,151,184,65,28,19,290,77,38,11,8,141,44,24,6,0,72,12,6,3,0,21,5,7,0,0,16,5,7,0,3,14,54,44,20,3,116,16,9,0,0,26,769,430,164,63,1426,16,4,0,0,18,3,0,0,0,7,11,6,0,3,18,18,12,8,0,39,49,25,18,6,100,70,49,14,6,144
LGA50210,26,18,5,0,53,29,5,0,5,43,62,32,10,7,105,133,71,19,0,226,210,157,51,20,439,71,33,12,6,122,215,106,43,25,392,156,106,20,14,299,325,142,48,20,533,144,73,20,9,249,84,22,11,3,114,46,34,17,0,91,13,12,0,0,25,3,10,4,0,10,120,80,42,25,269,47,23,10,7,96,1677,921,320,149,3070,44,29,11,0,80,32,11,0,0,48,93,45,6,0,144,99,45,10,3,162,142,73,26,6,246,203,120,55,23,402,187,99,48,29,363,197,113,36,16,360,430,195,50,27,697,231,108,28,13,387,129,70,11,5,214,58,21,10,3,96,34,24,9,0,65,16,10,3,6,27,157,110,47,19,334,43,20,9,7,78,2078,1109,357,153,3695,44,16,6,4,75,18,5,5,0,20,35,9,4,0,57,66,27,3,5,102,112,54,16,13,197,189,113,34,16,356
LGA50250,0,0,0,0,0,0,0,0,0,3,4,0,3,3,9,0,0,0,0,6,3,4,3,3,12,4,0,0,0,6,0,0,0,0,5,5,5,0,0,8,12,10,3,0,22,10,4,0,0,20,3,0,0,0,3,9,6,0,0,18,10,4,0,0,6,0,0,0,0,0,9,3,0,0,14,3,3,0,0,8,81,45,19,10,145,6,0,0,0,5,0,0,0,0,3,0,0,0,0,4,8,0,0,0,8,0,0,6,4,11,5,0,0,0,5,4,0,4,0,10,6,0,0,0,4,8,7,3,0,15,6,0,0,0,12,14,7,3,0,27,10,4,0,0,6,10,0,0,3,10,0,6,0,0,3,3,3,4,0,9,0,5,0,0,0,77,36,11,6,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,4,0,0,0,8,0,3,0,0,4
LGA50280,7,0,0,0,3,0,0,0,0,3,5,4,5,0,12,18,9,3,0,33,35,32,3,0,72,10,5,0,0,16,35,27,12,0,75,33,13,10,0,52,28,17,5,0,50,17,12,3,0,28,4,0,0,0,8,0,7,0,0,4,3,4,0,0,7,0,0,0,0,0,22,16,5,0,43,6,0,0,0,11,226,141,42,4,413,0,0,0,0,0,0,0,0,0,5,3,5,0,0,10,14,7,3,0,18,25,12,0,0,35,42,35,7,0,86,34,19,8,0,62,25,21,9,4,58,55,41,7,0,100,29,5,5,0,43,17,12,0,0,30,0,3,0,0,8,0,6,0,0,6,6,5,0,0,6,19,15,7,0,40,0,3,0,5,5,274,180,50,14,520,0,0,0,0,5,0,0,0,0,0,10,5,0,0,9,9,3,0,0,17,15,9,0,0,24,25,13,10,0,47
LGA50350,0,4,5,0,5,4,4,0,0,8,17,9,0,3,26,22,9,0,3,38,44,27,9,0,85,11,10,0,0,22,54,14,8,4,73,51,24,9,0,85,101,32,9,3,144,35,23,9,0,67,24,12,6,0,33,14,11,3,0,25,4,0,0,0,7,0,0,0,0,0,28,23,9,3,65,13,9,0,0,16,428,217,51,27,720,6,3,6,0,11,6,0,0,0,3,15,3,0,0,16,16,13,0,0,34,29,11,0,0,44,33,21,11,0,65,43,18,9,0,69,43,18,0,0,65,82,25,6,6,120,51,23,12,3,87,30,13,0,3,50,18,9,5,0,30,7,12,0,0,25,8,3,0,0,13,30,26,8,7,68,10,3,0,0,12,410,217,62,27,710,5,0,0,0,7,0,0,0,0,0,8,0,0,0,11,9,7,0,3,22,22,7,4,0,28,31,11,3,0,45
LGA50420,26,10,0,3,44,16,9,0,0,28,63,30,5,4,103,86,24,14,3,116,135,88,21,6,247,64,16,9,0,86,171,68,25,16,285,159,61,11,8,240,348,116,29,7,499,157,80,16,5,256,92,35,3,3,133,71,41,17,3,136,32,14,0,0,54,3,3,10,0,14,127,71,40,8,245,55,10,3,7,70,1605,683,194,68,2555,42,11,6,0,68,15,8,0,0,24,39,26,3,0,70,41,26,10,0,78,86,44,7,0,140,129,54,14,5,207,135,54,27,5,229,152,65,20,12,242,355,133,28,10,527,177,78,23,0,281,124,51,16,0,195,61,26,6,4,91,46,20,9,0,82,21,18,9,0,49,132,74,30,7,239,22,11,0,0,39,1601,698,204,51,2551,46,13,4,0,64,10,9,0,0,17,21,7,6,3,36,36,27,5,0,65,71,30,8,4,113,105,45,13,4,169
LGA50490,17,4,3,0,24,6,11,0,3,22,41,18,7,8,70,54,28,15,6,95,107,58,27,9,196,57,8,8,9,81,111,44,19,10,179,91,22,9,3,124,179,75,10,8,269,90,40,11,3,145,45,13,3,0,64,41,20,5,0,60,19,0,0,0,24,4,3,0,0,6,85,46,20,11,159,28,12,13,10,62,951,401,145,78,1576,16,11,5,0,37,12,10,0,0,20,35,23,5,0,73,42,19,4,7,65,55,26,6,0,93,57,42,17,8,116,87,32,21,3,141,119,33,10,8,168,211,61,19,5,295,120,46,7,3,175,77,22,0,6,109,28,15,0,0,48,22,15,8,0,42,7,5,0,0,23,57,43,13,8,121,20,8,10,0,37,961,415,128,57,1555,25,6,3,6,42,3,3,5,0,13,18,6,0,0,25,37,19,3,3,61,46,21,7,4,80,77,22,9,4,120
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,13,3,3,0,0,6,0,0,0,0,0,6,0,0,0,5,0,0,0,5,8,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,30,9,4,4,48,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,6,5,0,0,0,9,0,5,0,0,5,0,0,4,0,4,3,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,9,0,0,0,0,0,20,10,11,3,47,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,9,4,0,0,7,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,4,30,13,3,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,4,0,0,6,10,0,0,0,7,9,0,5,0,13,8,7,0,0,12,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,41,13,7,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,8
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,6,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,25,11,3,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,6,4,0,0,0,7,0,3,0,0,7,0,0,0,0,0,4,0,0,0,8,6,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,23,13,9,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,5
