LGA_CODE_2021,C16_Rel_NS_0_14,C16_Rel_NS_15_24,C16_Rel_NS_25_34,C16_Rel_NS_35_44,C16_Rel_NS_45_54,C16_Rel_NS_55_64,C16_Rel_NS_65_74,C16_Rel_NS_75_84,C16_Rel_NS_85ov,C16_Rel_NS_Tot,C16_Tot_0_14,C16_Tot_15_24,C16_Tot_25_34,C16_Tot_35_44,C16_Tot_45_54,C16_Tot_55_64,C16_Tot_65_74,C16_Tot_75_84,C16_Tot_85ov,C16_Tot_Tot,C21_Buddhism_0_14,C21_Buddhism_15_24,C21_Buddhism_25_34,C21_Buddhism_35_44,C21_Buddhism_45_54,C21_Buddhism_55_64,C21_Buddhism_65_74,C21_Buddhism_75_84,C21_Buddhism_85ov,C21_Buddhism_Tot,C21_Christ_Angli_0_14,C21_Christ_Angl_15_24,C21_Christ_Angl_25_34,C21_Christ_Angl_35_44,C21_Christ_Angl_45_54,C21_Christ_Angl_55_64,C21_Christ_Angl_65_74,C21_Christ_Angl_75_84,C21_Christ_Anglic_85ov,C21_Christ_Anglic_Tot,C21_Chr_Ass_Apo_0_14,C21_Chr_Ass_Apo_15_24,C21_Chr_Ass_Apo_25_34,C21_Chr_Ass_Apo_35_44,C21_Chr_Ass_Apo_45_54,C21_Chr_Ass_Apo_55_64,C21_Chr_Ass_Apo_65_74,C21_Chr_Ass_Apo_75_84,C21_Chr_Ass_Apo_85ov,C21_Chr_Ass_Apo_Tot,C21_Chr_Bapt_0_14,C21_Chr_Bapt_15_24,C21_Chr_Bapt_25_34,C21_Chr_Bapt_35_44,C21_Chr_Bapt_45_54,C21_Chr_Bapt_55_64,C21_Chr_Bapt_65_74,C21_Chr_Bapt_75_84,C21_Chr_Bapt_85ov,C21_Chr_Bapt_Tot,C21_Chr_Breth_0_14,C21_Chr_Bret_15_24,C21_Chr_Bret_25_34,C21_Chr_Bret_35_44,C21_Chr_Bret_45_54,C21_Chr_Bret_55_64,C21_Chr_Bret_65_74,C21_Chr_Bret_75_84,C21_Chr_Breth_85ov,C21_Chr_Bret_Tot,C21_Chr_Cath_0_14,C21_Chr_Cath_15_24,C21_Chr_Cath_25_34,C21_Chr_Cath_35_44,C21_Chr_Cath_45_54,C21_Chr_Cath_55_64,C21_Chr_Cath_65_74,C21_Chr_Cath_75_84,C21_Chr_Catho_85ov,C21_Chr_Catho_Tot,C21_C_Chur_Christ_0_14,C21_C_Chur_Christ_15_24,C21_C_Chur_Christ_25_34,C21_C_Chur_Christ_35_44,C21_C_Chur_Christ_45_54,C21_C_Chur_Christ_55_64,C21_C_Chur_Christ_65_74,C21_C_Chur_Christ_75_84,C21_C_Chur_Christ_85ov,C21_C_Chur_Christ_Tot,C21_C_East_Ortho_0_14,C21_C_East_Ortho_15_24,C21_C_East_Ortho_25_34,C21_C_East_Ortho_35_44,C21_C_East_Ortho_45_54,C21_C_East_Ortho_55_64,C21_C_East_Ortho_65_74,C21_C_East_Ortho_75_84,C21_C_East_Ortho_85ov,C21_C_East_Ortho_Tot,C21_C_Jeh_Wit_0_14,C21_C_Jeh_Wit_15_24,C21_C_Jeh_Wit_25_34,C21_C_Jeh_Wit_35_44,C21_C_Jeh_Wit_45_54,C21_C_Jeh_Wit_55_64,C21_C_Jeh_Wit_65_74,C21_C_Jeh_Wit_75_84,C21_C_Jeh_Wit_85ov,C21_C_Jeh_Wit_Tot,C21_C_La_Da_Sai_0_14,C21_C_La_Da_Sa_15_24,C21_C_La_Da_Sa_25_34,C21_C_La_Da_Sa_35_44,C21_C_La_Da_Sa_45_54,C21_C_La_Da_Sa_55_64,C21_C_La_Da_Sa_65_74,C21_C_La_Da_Sa_75_84,C21_C_Lat_Da_Sa_85ov,C21_C_Lat_Da_Sa_Tot,C21_C_Luthe_0_14,C21_C_Luthe_15_24,C21_C_Luthe_25_34,C21_C_Luthe_35_44,C21_C_Luthe_45_54,C21_C_Luthe_55_64,C21_C_Luthe_65_74,C21_C_Luthe_75_84,C21_C_Luthe_85ov,C21_C_Luthe_Tot,C21_C_Ori_Orth_0_14,C21_C_Ori_Orth_15_24,C21_C_Ori_Orth_25_34,C21_C_Ori_Orth_35_44,C21_C_Ori_Orth_45_54,C21_C_Ori_Orth_55_64,C21_C_Ori_Orth_65_74,C21_C_Ori_Orth_75_84,C21_C_Ori_Orth_85ov,C21_C_Ori_Ort_Tot,C21_C_Oth_Pro_0_14,C21_C_Oth_Pro_15_24,C21_C_Oth_Pro_25_34,C21_C_Oth_Pro_35_44,C21_C_Oth_Pro_45_54,C21_C_Oth_Pro_55_64,C21_C_Oth_Pro_65_74,C21_C_Oth_Pro_75_84,C21_C_Oth_Pro_85ov,C21_C_Oth_Pro_Tot,C21_C_Pent_0_14,C21_C_Pent_15_24,C21_C_Pent_25_34,C21_C_Pent_35_44,C21_C_Pent_45_54,C21_C_Pent_55_64,C21_C_Pent_65_74,C21_C_Pent_75_84,C21_C_Pent_85ov,C21_C_Pent_Tot,C21_C_Pres_Ref_0_14,C21_C_Pres_Ref_15_24,C21_C_Pres_Ref_25_34,C21_C_Pres_Ref_35_44,C21_C_Pres_Ref_45_54,C21_C_Pres_Ref_55_64,C21_C_Pres_Ref_65_74,C21_C_Pres_Ref_75_84,C21_C_Pres_Ref_85ov,C21_C_Pres_Ref_Tot,C21_C_Sal_Army_0_14,C21_C_Sal_Army_15_24,C21_C_Sal_Army_25_34,C21_C_Sal_Army_35_44,C21_C_Sal_Army_45_54,C21_C_Sal_Army_55_64,C21_C_Sal_Army_65_74,C21_C_Sal_Army_75_84,C21_C_Sal_Army_85ov,C21_C_Sal_Army_Tot,C21_C_Sev_day_Adv_0_14,C21_C_Sev_day_Adv_15_24,C21_C_Sev_day_Adv_25_34,C21_C_Sev_day_Adv_35_44,C21_C_Sev_day_Adv_45_54,C21_C_Sev_day_Adv_55_64,C21_C_Sev_day_Adv_65_74,C21_C_Sev_day_Adv_75_84,C21_C_Sev_day_Adv_85ov,C21_C_Sev_day_Adv_Tot,C21_Chr_Unit_Ch_0_14,C21_Chr_Unit_Ch_15_24,C21_Chr_Unit_Ch_25_34,C21_Chr_Unit_Ch_35_44,C21_Chr_Unit_Ch_45_54,C21_Chr_Unit_Ch_55_64,C21_Chr_Unit_Ch_65_74,C21_Chr_Unit_Ch_75_84,C21_Chr_Unit_Ch_85ov,C21_Chr_Unit_Ch_Tot
LGA50080,579,411,522,484,478,549,425,257,119,3833,6780,4166,3866,4181,4920,5116,4149,2347,1046,36585,39,27,39,49,52,56,31,9,3,300,286,205,141,267,521,863,1083,868,361,4594,0,0,0,0,0,0,0,0,0,0,236,128,121,115,147,131,161,100,56,1195,24,20,20,8,12,5,5,5,4,100,554,344,314,432,617,667,626,349,148,4048,29,39,16,13,30,24,18,19,0,190,8,3,11,5,15,5,7,12,0,73,15,12,17,13,31,25,34,17,15,194,9,6,5,4,10,8,12,8,0,62,8,11,5,4,18,30,28,15,8,121,0,0,0,0,0,0,0,0,0,4,18,12,21,15,29,38,40,28,20,229,74,17,45,35,34,42,26,18,4,284,186,115,75,71,102,113,127,112,43,943,0,0,4,0,9,17,24,22,5,79,32,24,19,18,12,17,22,15,6,158,55,40,28,41,100,198,243,221,113,1032
LGA50210,1496,792,1191,1012,918,741,584,340,218,7297,17729,9929,13728,11325,9698,8138,5574,2565,913,79596,396,177,293,576,330,194,124,39,10,2132,776,517,439,809,1217,1550,1668,913,282,8173,0,0,0,0,0,0,0,0,0,0,549,305,292,349,263,243,150,75,26,2240,37,53,32,46,18,13,17,3,0,221,3145,1445,1620,2348,1867,1614,1323,613,174,14153,33,23,10,32,23,22,26,9,6,187,56,22,23,59,24,29,22,7,3,243,42,36,42,56,59,61,53,29,6,399,54,27,24,33,16,31,20,10,0,224,16,15,13,22,22,25,35,20,3,170,77,25,27,52,24,10,0,0,0,215,106,63,61,78,116,70,64,37,11,611,500,224,203,329,245,168,97,43,6,1813,503,284,211,254,239,261,269,181,56,2262,5,10,5,14,9,17,23,13,4,98,166,65,72,94,55,44,38,12,0,544,125,62,63,99,134,156,164,92,18,914
LGA50250,151,153,725,643,507,262,35,4,0,2487,1717,800,3454,3053,2414,1349,199,29,5,13026,6,9,20,29,19,9,5,0,0,99,52,27,36,85,96,103,40,19,0,463,0,0,0,0,0,0,0,0,0,0,25,7,17,15,22,6,3,0,0,87,0,0,0,0,0,0,0,0,0,0,272,75,192,245,145,130,29,3,0,1094,0,0,0,0,0,0,0,0,0,5,4,3,7,5,8,0,0,0,0,21,3,0,4,5,3,0,0,0,0,17,3,4,7,6,3,5,0,0,0,25,3,0,5,3,4,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,11,9,0,0,7,0,3,0,0,0,24,8,0,11,6,10,26,3,0,0,60,0,0,0,0,3,0,4,0,0,3,7,0,7,6,0,3,0,0,0,22,9,5,19,9,17,15,3,0,0,79
LGA50280,364,125,194,280,227,228,130,64,22,1638,3103,1143,1750,2338,1967,1912,1248,573,226,14257,34,13,23,45,41,33,32,3,0,221,94,46,36,95,219,347,408,215,100,1562,0,0,0,0,0,0,0,0,0,0,11,15,7,20,21,38,31,8,0,150,0,0,0,0,0,0,0,0,0,0,262,128,153,240,282,293,213,120,39,1741,3,3,0,0,3,3,0,0,0,17,6,3,8,10,10,10,4,8,0,41,21,16,13,13,15,15,4,0,0,97,0,0,0,0,0,0,0,0,0,5,0,5,0,3,5,12,0,5,0,41,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,11,9,3,0,34,5,6,0,7,9,6,3,4,0,37,0,5,0,7,19,27,33,23,8,125,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,4,4,8,11,8,39,40,78,48,36,265
LGA50350,216,127,227,217,218,170,114,78,33,1397,2699,1637,2254,2243,2090,1792,1277,766,329,15093,27,24,38,63,59,35,34,7,0,303,118,97,81,121,225,272,299,195,93,1499,0,0,0,0,0,0,0,0,0,0,27,12,17,25,22,27,16,5,4,148,0,0,0,0,0,0,0,0,0,0,594,339,321,437,465,461,379,251,115,3352,7,7,0,7,5,6,22,9,0,69,21,19,20,25,27,16,28,16,0,172,7,6,0,7,8,11,6,3,0,53,0,0,3,0,0,3,4,0,0,21,6,5,4,7,3,7,9,10,0,56,6,0,3,0,3,0,0,0,0,14,7,9,13,7,9,6,9,11,3,84,17,10,17,11,13,21,13,7,0,95,7,0,5,10,13,32,30,23,11,135,0,4,4,0,0,6,12,3,3,35,5,0,0,0,0,5,4,0,0,13,18,10,16,17,31,31,51,17,10,201
LGA50420,825,655,1202,924,768,679,499,342,250,6142,10405,7548,12154,9782,8378,7488,5555,3256,1508,66081,213,238,469,453,433,431,297,115,46,2700,360,272,280,432,671,855,956,765,302,4891,0,0,0,0,0,0,0,0,0,0,107,65,106,89,76,77,96,44,15,677,0,0,0,0,0,0,0,0,0,4,2953,1912,2034,2265,2303,2226,1959,1276,540,17472,21,12,19,17,18,29,47,24,10,191,250,144,142,232,220,184,184,119,69,1546,17,11,15,28,28,28,23,19,12,183,8,16,3,15,18,13,12,4,4,95,5,6,5,13,26,26,24,20,6,135,32,3,14,22,9,7,6,3,0,98,40,19,58,43,42,61,48,36,25,375,81,43,70,62,47,55,62,20,11,458,40,30,45,56,70,99,139,77,33,588,7,5,4,9,6,9,17,14,9,76,13,6,27,6,8,9,17,8,11,106,50,30,33,80,93,135,188,145,64,818
LGA50490,755,723,1217,753,583,492,354,264,154,5280,6388,5083,8559,5797,4530,3984,2712,1816,813,39685,156,122,437,385,227,173,130,26,10,1674,159,149,196,217,434,606,589,409,204,2963,0,0,0,0,0,0,0,0,0,0,69,34,77,68,48,45,46,28,18,431,0,0,0,0,0,0,0,0,0,0,1468,981,1179,1185,1141,1033,860,544,268,8663,3,3,15,5,7,7,18,4,0,69,30,33,41,48,41,31,39,11,10,283,11,14,26,25,25,18,18,6,4,152,20,25,10,9,11,19,17,6,0,112,3,3,4,3,6,6,12,12,7,67,12,5,12,9,6,0,5,0,0,49,22,21,44,37,36,41,35,23,10,272,82,42,89,62,54,46,35,10,0,426,31,15,34,42,61,82,84,41,23,411,3,0,6,3,3,14,14,8,8,63,14,19,26,16,13,11,6,3,0,126,44,35,45,58,75,76,89,72,19,505
LGA50560,43,18,23,27,35,35,31,19,5,249,272,98,140,174,247,331,292,146,40,1749,0,0,0,0,0,0,4,0,0,3,22,9,11,15,50,83,99,63,24,374,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,15,10,3,20,23,32,50,27,4,185,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,15,0,0,0,0,0,4,3,0,0,10,0,0,0,0,0,10,10,3,4,27,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,9,8,6,5,47
LGA50630,34,17,26,24,43,30,23,16,0,201,404,148,233,279,307,242,155,72,13,1846,5,5,0,4,0,0,0,0,0,11,23,11,0,15,36,66,70,34,6,247,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,6,0,0,20,0,0,0,0,0,0,0,0,0,0,40,6,25,25,33,48,19,6,8,211,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,5,0,6,6,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,10,8,0,0,4,3,6,3,3,0,33
LGA50770,21,14,5,13,42,40,36,18,8,184,322,99,120,218,257,278,250,114,38,1702,0,0,0,0,0,0,0,0,0,3,20,11,3,30,41,60,73,57,9,305,0,0,0,0,0,0,0,0,0,0,10,0,3,3,4,10,3,0,0,42,4,0,0,0,0,0,0,0,0,9,59,15,13,24,39,47,30,10,5,242,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,5,0,4,0,14,0,0,0,0,0,5,0,0,0,8,4,0,0,3,0,5,0,0,0,26,8,0,0,11,3,9,13,6,3,38
