LGA_CODE_2021,C11_AP_15_19_NCB_0,C11_AP_15_19_NCB_1,C11_AP_15_19_NCB_2,C11_AP_15_19_NCB_3,C11_AP_15_19_NCB_4,C11_AP_15_19_NCB_5,C11_AP_15_19_NCB_6mor,C11_AP_15_19_NCB_NS,C11_AP_15_19_Tot,C11_AP_20_24_NCB_0,C11_AP_20_24_NCB_1,C11_AP_20_24_NCB_2,C11_AP_20_24_NCB_3,C11_AP_20_24_NCB_4,C11_AP_20_24_NCB_5,C11_AP_20_24_NCB_6mor,C11_AP_20_24_NCB_NS,C11_AP_20_24_Tot,C11_AP_25_29_NCB_0,C11_AP_25_29_NCB_1,C11_AP_25_29_NCB_2,C11_AP_25_29_NCB_3,C11_AP_25_29_NCB_4,C11_AP_25_29_NCB_5,C11_AP_25_29_NCB_6mor,C11_AP_25_29_NCB_NS,C11_AP_25_29_Tot,C11_AP_30_34_NCB_0,C11_AP_30_34_NCB_1,C11_AP_30_34_NCB_2,C11_AP_30_34_NCB_3,C11_AP_30_34_NCB_4,C11_AP_30_34_NCB_5,C11_AP_30_34_NCB_6mor,C11_AP_30_34_NCB_NS,C11_AP_30_34_Tot,C11_AP_35_39_NCB_0,C11_AP_35_39_NCB_1,C11_AP_35_39_NCB_2,C11_AP_35_39_NCB_3,C11_AP_35_39_NCB_4,C11_AP_35_39_NCB_5,C11_AP_35_39_NCB_6mor,C11_AP_35_39_NCB_NS,C11_AP_35_39_Tot,C11_AP_40_44_NCB_0,C11_AP_40_44_NCB_1,C11_AP_40_44_NCB_2,C11_AP_40_44_NCB_3,C11_AP_40_44_NCB_4,C11_AP_40_44_NCB_5,C11_AP_40_44_NCB_6mor,C11_AP_40_44_NCB_NS,C11_AP_40_44_Tot,C11_AP_45_49_NCB_0,C11_AP_45_49_NCB_1,C11_AP_45_49_NCB_2,C11_AP_45_49_NCB_3,C11_AP_45_49_NCB_4,C11_AP_45_49_NCB_5,C11_AP_45_49_NCB_6mor,C11_AP_45_49_NCB_NS,C11_AP_45_49_Tot,C11_AP_50_54_NCB_0,C11_AP_50_54_NCB_1,C11_AP_50_54_NCB_2,C11_AP_50_54_NCB_3,C11_AP_50_54_NCB_4,C11_AP_50_54_NCB_5,C11_AP_50_54_NCB_6mor,C11_AP_50_54_NCB_NS,C11_AP_50_54_Tot,C11_AP_55_59_NCB_0,C11_AP_55_59_NCB_1,C11_AP_55_59_NCB_2,C11_AP_55_59_NCB_3,C11_AP_55_59_NCB_4,C11_AP_55_59_NCB_5,C11_AP_55_59_NCB_6mor,C11_AP_55_59_NCB_NS,C11_AP_55_59_Tot,C11_AP_60_64_NCB_0,C11_AP_60_64_NCB_1,C11_AP_60_64_NCB_2,C11_AP_60_64_NCB_3,C11_AP_60_64_NCB_4,C11_AP_60_64_NCB_5,C11_AP_60_64_NCB_6mor,C11_AP_60_64_NCB_NS,C11_AP_60_64_Tot,C11_AP_65_69_NCB_0,C11_AP_65_69_NCB_1,C11_AP_65_69_NCB_2,C11_AP_65_69_NCB_3,C11_AP_65_69_NCB_4,C11_AP_65_69_NCB_5,C11_AP_65_69_NCB_6mor,C11_AP_65_69_NCB_NS,C11_AP_65_69_Tot,C11_AP_70_74_NCB_0,C11_AP_70_74_NCB_1,C11_AP_70_74_NCB_2,C11_AP_70_74_NCB_3,C11_AP_70_74_NCB_4,C11_AP_70_74_NCB_5,C11_AP_70_74_NCB_6mor,C11_AP_70_74_NCB_NS,C11_AP_70_74_Tot,C11_AP_75_79_NCB_0,C11_AP_75_79_NCB_1,C11_AP_75_79_NCB_2,C11_AP_75_79_NCB_3,C11_AP_75_79_NCB_4,C11_AP_75_79_NCB_5,C11_AP_75_79_NCB_6mor,C11_AP_75_79_NCB_NS,C11_AP_75_79_Tot,C11_AP_80_84_NCB_0,C11_AP_80_84_NCB_1,C11_AP_80_84_NCB_2,C11_AP_80_84_NCB_3,C11_AP_80_84_NCB_4,C11_AP_80_84_NCB_5,C11_AP_80_84_NCB_6mor,C11_AP_80_84_NCB_NS,C11_AP_80_84_Tot,C11_AP_85over_N_c_b_0,C11_AP_85over_N_c_b_1,C11_AP_85over_N_c_b_2,C11_AP_85over_N_c_b_3,C11_AP_85over_N_c_b_4,C11_AP_85over_N_c_b_5,C11_AP_85over_N_c_b_6mor,C11_AP_85over_N_c_b_NS,C11_AP_85over_Tot,C11_AP_Tot_NCB_0,C11_AP_Tot_NCB_1,C11_AP_Tot_NCB_2,C11_AP_Tot_NCB_3,C11_AP_Tot_NCB_4,C11_AP_Tot_NCB_5,C11_AP_Tot_N_c_b_6mor,C11_AP_Tot_NCB_NS,C11_AP_Tot_Tot,C16_AP_15_19_NCB_0,C16_AP_15_19_NCB_1,C16_AP_15_19_NCB_2,C16_AP_15_19_NCB_3,C16_AP_15_19_NCB_4,C16_AP_15_19_NCB_5,C16_AP_15_19_NCB_6mor,C16_AP_15_19_NCB_NS,C16_AP_15_19_Tot,C16_AP_20_24_NCB_0,C16_AP_20_24_NCB_1,C16_AP_20_24_NCB_2,C16_AP_20_24_NCB_3,C16_AP_20_24_NCB_4,C16_AP_20_24_NCB_5,C16_AP_20_24_NCB_6mor,C16_AP_20_24_NCB_NS,C16_AP_20_24_Tot,C16_AP_25_29_NCB_0,C16_AP_25_29_NCB_1,C16_AP_25_29_NCB_2,C16_AP_25_29_NCB_3,C16_AP_25_29_NCB_4,C16_AP_25_29_NCB_5,C16_AP_25_29_NCB_6mor,C16_AP_25_29_NCB_NS,C16_AP_25_29_Tot,C16_AP_30_34_NCB_0,C16_AP_30_34_NCB_1,C16_AP_30_34_NCB_2,C16_AP_30_34_NCB_3,C16_AP_30_34_NCB_4,C16_AP_30_34_NCB_5,C16_AP_30_34_NCB_6mor,C16_AP_30_34_NCB_NS,C16_AP_30_34_Tot,C16_AP_35_39_NCB_0,C16_AP_35_39_NCB_1,C16_AP_35_39_NCB_2,C16_AP_35_39_NCB_3,C16_AP_35_39_NCB_4,C16_AP_35_39_NCB_5,C16_AP_35_39_NCB_6mor,C16_AP_35_39_NCB_NS,C16_AP_35_39_Tot,C16_AP_40_44_NCB_0,C16_AP_40_44_NCB_1,C16_AP_40_44_NCB_2,C16_AP_40_44_NCB_3,C16_AP_40_44_NCB_4,C16_AP_40_44_NCB_5,C16_AP_40_44_NCB_6mor,C16_AP_40_44_NCB_NS,C16_AP_40_44_Tot,C16_AP_45_49_NCB_0,C16_AP_45_49_NCB_1
LGA50080,1026,27,5,0,3,0,0,68,1129,589,103,61,22,4,0,0,32,814,360,182,174,57,15,3,0,33,825,218,178,269,128,54,23,7,33,904,154,137,405,200,76,28,16,40,1058,156,125,449,280,112,38,23,48,1228,175,132,431,277,95,29,25,40,1203,174,121,475,286,122,42,31,39,1288,146,112,414,279,95,33,23,41,1157,110,83,388,300,108,32,19,40,1078,73,56,289,225,104,33,30,40,854,51,33,185,210,139,53,36,29,734,38,21,119,147,124,54,32,43,585,31,33,84,127,103,45,42,34,494,30,37,101,98,86,43,48,45,486,3326,1386,3849,2642,1249,451,330,598,13828,1012,12,0,0,0,0,0,125,1155,616,80,45,4,3,0,0,61,809,456,154,160,54,12,0,0,63,914,273,190,287,133,47,7,6,59,1006,144,144,354,209,70,28,16,39,1005,139,142,412,240,94,33,20,67,1154,167,131
LGA50210,1889,73,8,0,0,0,0,188,2159,1587,338,164,39,8,5,0,145,2283,1203,522,425,160,45,12,6,125,2490,564,429,596,281,107,38,24,125,2171,353,285,707,380,156,52,38,111,2075,258,262,788,397,196,62,41,101,2100,228,216,746,484,225,47,39,112,2099,204,220,735,486,216,78,52,109,2103,166,167,724,460,219,54,39,93,1919,126,147,654,444,196,61,46,89,1757,77,87,364,299,153,45,45,56,1136,59,57,244,178,151,49,63,60,856,32,51,141,138,117,58,69,71,684,25,41,107,111,81,36,55,37,492,20,53,80,74,49,27,46,58,419,6784,2957,6471,3932,1925,622,554,1491,24742,2001,49,8,0,0,0,0,272,2329,1879,319,166,22,4,0,0,214,2606,1589,777,525,167,52,13,8,206,3328,981,960,1020,348,106,48,21,219,3698,473,588,1026,463,180,74,43,157,3005,362,367,884,464,179,77,51,155,2549,310,316
LGA50250,110,3,0,0,0,0,0,15,134,183,42,15,10,0,0,0,26,280,238,57,58,26,4,0,0,47,430,133,57,92,51,15,3,3,38,397,65,46,108,72,16,0,3,31,349,53,38,98,56,21,5,9,26,306,26,17,58,39,24,10,0,33,221,27,18,68,50,20,5,0,29,221,7,9,48,40,19,0,5,25,154,9,5,19,13,9,0,8,10,64,5,3,10,11,3,4,3,0,36,0,0,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,863,291,584,369,135,41,32,290,2614,84,4,0,0,0,0,0,16,101,138,16,15,6,0,0,0,40,210,221,56,52,28,0,0,0,66,432,164,66,116,46,19,0,0,67,475,103,36,105,67,25,3,4,38,379,52,39,78,44,18,7,3,35,278,47,24
LGA50280,267,3,0,0,0,0,5,26,300,160,16,14,0,0,0,0,13,208,200,65,33,11,0,0,0,36,345,139,101,94,49,12,0,6,31,427,95,88,174,90,19,8,4,37,498,59,76,186,92,14,10,0,30,467,60,51,176,83,32,5,6,34,440,52,54,166,112,31,3,8,20,447,59,32,149,110,33,9,4,25,411,28,32,126,89,30,5,0,27,348,13,17,91,60,26,6,3,14,229,20,10,46,63,32,12,4,8,189,11,3,18,38,30,20,4,8,137,3,3,14,25,30,13,11,11,112,5,10,27,27,19,10,3,15,121,1175,547,1295,854,311,100,47,339,4673,262,0,0,0,0,0,0,73,331,175,16,5,4,0,0,0,23,224,218,53,29,11,0,0,4,36,356,217,126,131,58,10,0,0,42,590,109,106,213,90,22,8,6,42,594,77,89,233,102,32,3,0,45,577,74,81
LGA50350,361,10,0,0,0,0,0,27,399,350,34,24,4,3,0,0,22,436,309,74,53,14,4,3,0,12,469,219,136,111,34,8,0,3,26,532,149,110,175,72,29,4,3,29,565,124,85,172,72,24,6,7,25,519,107,78,184,115,32,8,6,20,555,91,58,177,104,32,10,9,24,506,82,59,153,97,31,9,5,16,457,48,39,159,86,45,8,4,16,404,21,26,113,74,37,9,5,12,300,15,24,62,69,35,9,12,23,253,18,23,41,64,42,24,16,17,239,13,6,41,53,40,15,22,8,198,12,21,44,39,24,12,26,9,180,1926,780,1506,897,381,124,113,282,6008,362,6,0,0,0,0,0,39,406,305,26,9,0,0,0,0,43,383,346,70,42,7,4,0,0,33,516,264,166,122,44,5,5,0,41,651,151,108,196,62,17,3,3,37,582,110,99,206,74,29,7,0,22,556,111,68
LGA50420,1467,13,5,0,0,0,0,129,1620,1908,123,46,11,3,0,4,142,2242,1914,389,175,58,20,5,0,184,2746,1254,540,437,121,46,10,0,127,2542,711,467,741,256,58,14,13,95,2352,538,358,737,312,90,31,13,117,2194,408,338,724,347,88,26,21,96,2050,341,259,727,362,107,40,19,88,1948,278,246,771,392,124,37,29,88,1967,192,202,661,419,143,37,23,104,1777,131,113,444,326,142,45,31,64,1288,85,87,302,302,162,59,48,73,1124,65,69,214,217,152,68,69,81,928,63,59,155,163,113,50,55,60,716,71,90,197,170,126,54,56,143,916,9428,3372,6338,3450,1368,476,388,1591,26410,1373,13,0,0,0,0,0,178,1565,1732,102,20,6,3,0,0,228,2091,2183,349,163,28,10,3,0,275,3015,1537,680,487,105,29,9,5,244,3096,738,548,749,257,59,16,11,140,2520,530,420,812,288,91,17,19,127,2304,497,339
LGA50490,798,22,0,0,0,0,0,124,942,1109,118,41,17,3,0,0,118,1411,1065,266,137,53,18,11,0,107,1639,641,353,274,108,34,7,7,107,1540,366,251,387,153,50,17,17,117,1356,270,192,310,154,45,16,16,72,1066,216,145,314,175,65,23,11,64,1025,177,156,319,205,75,28,11,75,1042,138,129,321,178,74,26,10,58,940,102,75,273,186,99,23,18,58,826,67,69,193,150,80,26,24,51,654,50,42,162,158,102,38,21,63,640,48,37,125,129,93,49,48,46,574,28,35,90,90,74,33,41,52,435,39,30,87,100,55,37,37,56,442,5111,1906,3021,1851,865,329,269,1171,14530,694,10,0,0,0,0,0,138,845,1187,95,33,5,0,0,0,239,1563,1373,276,122,53,14,4,4,286,2130,898,392,289,115,30,20,6,212,1964,424,254,405,160,71,8,18,149,1501,284,200,393,161,59,19,14,116,1250,265,186
LGA50560,19,0,0,0,0,0,0,7,25,7,9,5,0,0,0,0,0,17,13,0,3,4,0,0,0,0,23,11,3,11,5,0,0,0,0,23,9,3,12,12,0,0,0,0,35,7,3,18,11,3,0,0,9,53,0,11,12,14,0,3,0,0,46,10,7,16,17,7,0,3,5,62,3,0,26,20,3,0,0,0,63,7,4,28,24,14,7,0,9,87,7,5,12,18,13,0,5,4,60,7,5,7,9,19,0,0,3,57,4,0,3,8,7,5,3,3,30,0,0,4,3,3,0,0,0,22,0,0,0,3,3,0,0,0,20,104,49,164,147,83,26,15,33,626,18,0,0,0,0,0,0,3,23,14,0,0,0,0,0,0,3,19,13,9,3,0,0,0,0,6,32,7,5,16,4,0,0,0,9,35,6,3,13,7,6,0,0,4,40,4,4,19,14,4,3,3,7,58,3,0
LGA50630,31,0,0,0,0,0,0,9,36,27,4,5,0,0,0,0,3,38,34,9,5,3,6,0,0,6,56,21,14,12,7,4,0,0,6,65,7,10,27,15,4,0,0,13,76,8,13,27,22,4,0,0,3,81,8,9,17,19,7,3,0,6,72,0,4,20,15,3,4,0,4,53,4,9,23,10,6,4,3,9,63,0,3,18,10,11,0,0,4,42,0,6,14,10,4,0,0,0,29,0,0,10,4,0,6,0,0,18,5,0,0,3,7,7,0,3,20,0,0,0,3,0,0,0,0,8,0,0,4,4,5,0,0,0,9,145,76,178,119,57,21,13,64,666,30,0,0,0,0,0,0,3,34,27,5,0,0,0,0,0,3,35,12,5,13,6,0,0,0,0,39,17,9,20,11,5,0,0,10,69,10,11,29,10,8,0,0,3,76,7,9,21,12,6,0,5,0,59,6,9
LGA50770,26,0,0,0,0,0,0,0,32,16,4,0,0,0,0,0,0,23,6,5,11,3,5,0,0,3,33,4,8,20,12,3,0,0,0,45,4,3,18,8,4,6,0,3,51,3,0,24,10,3,0,0,0,52,5,6,13,6,8,0,3,6,48,10,8,22,17,12,0,0,0,61,3,4,24,17,5,0,0,0,56,4,0,23,19,17,0,0,0,59,0,5,12,18,9,6,0,0,55,0,0,5,10,7,0,0,5,33,3,0,8,9,0,4,7,0,30,0,0,0,4,5,3,5,0,15,4,5,7,0,3,0,0,5,19,100,56,185,137,75,28,15,29,624,24,0,0,0,0,0,0,0,32,7,5,0,0,0,0,0,5,16,5,6,3,0,0,0,0,0,25,7,5,16,11,4,0,0,0,42,8,4,20,12,5,0,0,0,54,8,5,25,9,5,0,0,0,52,9,7
