LGA_CODE_2021,C16_F_a_4_8_FH_One_PFam,C16_F_a_4_8_FH_oth_fa,C16_F_a_4_8_FH_Tot,C16_F_a_4_8_LP_H,C16_F_a_4_8_GH,C16_F_a_4_8_OH,C16_F_a_4_8_Tot,C16_F_a_9m_FH_CF_no_ch,C16_F_a_9m_FH_CF_w_ch,C16_F_a_9m_FH_One_PFam,C16_F_a_9m_FH_oth_fa,C16_F_a_9m_FH_Tot,C16_F_a_9m_LP_H,C16_F_a_9m_GH,C16_F_a_9m_OH,C16_F_a_9m_Tot,C16_F_a_a_h_FH_CF_no_ch,C16_F_a_a_h_FH_CF_w_ch,C16_F_a_a_h_FH_One_PFam,C16_F_a_a_h_FH_oth_fa,C16_F_a_a_h_FH_Tot,C16_F_a_a_h_LP_H,C16_F_a_a_h_GH,C16_F_a_a_h_OH,C16_F_a_a_h_Tot,C16_F_a_Tot_FH_CF_no_ch,C16_F_a_Tot_FH_CF_w_ch,C16_F_a_Tot_FH_One_PFam,C16_F_a_Tot_FH_oth_fa,C16_F_a_Tot_FH_Tot,C16_F_a_Tot_LP_H,C16_F_a_Tot_GH,C16_F_a_Tot_OH,C16_F_a_Tot_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_Tot_FH_CF_no_ch,C16_OD_Tot_FH_CF_w_ch,C16_OD_Tot_FH_One_PFam,C16_OD_Tot_FH_oth_fa,C16_OD_Tot_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_Tot_Tot,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_Tot,C16_Tot_FH_CF_no_ch,C16_Tot_FH_CF_w_ch,C16_Tot_FH_One_PFam,C16_Tot_FH_oth_fa,C16_Tot_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_Tot_Tot,C21_S_h_FH_CF_no_ch,C21_S_h_FH_CF_w_ch,C21_S_h_FH_One_PFam,C21_S_h_FH_oth_fa,C21_S_h_FH_Tot,C21_S_h_LP_H,C21_S_h_GH,C21_S_h_OH,C21_S_h_Tot,C21_SDRTHT1S_FH_CF_no_ch,C21_SDRTHT1S_FH_CF_w_ch,C21_SDRTHT1S_FH_One_PFam,C21_SDRTHT1S_FH_oth_fa,C21_SDRTHT1S_FH_Tot,C21_SDRTHT1S_LP_H,C21_SDRTHT1S_GH,C21_SDRTHT1S_OH,C21_SDRTHT1S_Tot,C21_SDRTHT2S_FH_CF_no_ch,C21_SDRTHT2S_FH_CF_w_ch,C21_SDRTHT2S_FH_One_PFam,C21_SDRTHT2S_FH_oth_fa,C21_SDRTHT2S_FH_Tot,C21_SDRTHT2S_LP_H,C21_SDRTHT2S_GH,C21_SDRTHT2S_OH,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_FH_CF_no_ch,C21_SDRTHT_Tot_FH_CF_w_ch,C21_SDRTHT_Tot_FH_One_PFam,C21_SDRTHT_Tot_FH_oth_fa,C21_SDRTHT_Tot_FH_Tot,C21_SDRTHT_Tot_LP_H,C21_SDRTHT_Tot_GH,C21_SDRTHT_Tot_OH,C21_SDRTHT_Tot_Tot,C21_F_a_1_2_FH_CF_no_ch,C21_F_a_1_2_FH_CF_w_ch,C21_F_a_1_2_FH_One_PFam,C21_F_a_1_2_FH_oth_fa,C21_F_a_1_2_FH_Tot,C21_F_a_1_2_LP_H,C21_F_a_1_2_GH,C21_F_a_1_2_OH,C21_F_a_1_2_Tot,C21_F_a_3_FH_CF_no_ch,C21_F_a_3_FH_CF_w_ch,C21_F_a_3_FH_One_PFam,C21_F_a_3_FH_oth_fa,C21_F_a_3_FH_Tot,C21_F_a_3_LP_H,C21_F_a_3_GH,C21_F_a_3_OH,C21_F_a_3_Tot,C21_F_a_4_8_FH_CF_no_ch,C21_F_a_4_8_FH_CF_w_ch,C21_F_a_4_8_FH_One_PFam,C21_F_a_4_8_FH_oth_fa,C21_F_a_4_8_FH_Tot,C21_F_a_4_8_LP_H,C21_F_a_4_8_GH,C21_F_a_4_8_OH,C21_F_a_4_8_Tot,C21_F_a_9m_FH_CF_no_ch,C21_F_a_9m_FH_CF_w_ch,C21_F_a_9m_FH_One_PFam,C21_F_a_9m_FH_oth_fa,C21_F_a_9m_FH_Tot,C21_F_a_9m_LP_H,C21_F_a_9m_GH,C21_F_a_9m_OH,C21_F_a_9m_Tot,C21_F_a_a_h_FH_CF_no_ch,C21_F_a_a_h_FH_CF_w_ch,C21_F_a_a_h_FH_One_PFam,C21_F_a_a_h_FH_oth_fa,C21_F_a_a_h_FH_Tot,C21_F_a_a_h_LP_H,C21_F_a_a_h_GH,C21_F_a_a_h_OH,C21_F_a_a_h_Tot,C21_F_a_Tot_FH_CF_no_ch,C21_F_a_Tot_FH_CF_w_ch,C21_F_a_Tot_FH_One_PFam,C21_F_a_Tot_FH_oth_fa,C21_F_a_Tot_FH_Tot,C21_F_a_Tot_LP_H,C21_F_a_Tot_GH,C21_F_a_Tot_OH,C21_F_a_Tot_Tot,C21_OD_C_c_hb_FH_CF_no_ch,C21_OD_C_c_hb_FH_CF_w_ch,C21_OD_C_c_hb_FH_One_PFam,C21_OD_C_c_hb_FH_oth_fa,C21_OD_C_c_hb_FH_Tot,C21_OD_C_c_hb_LP_H,C21_OD_C_c_hb_GH,C21_OD_C_c_hb_OH,C21_OD_C_c_hb_Tot,C21_OD_Ih_t_s_FH_CF_no_ch,C21_OD_Ih_t_s_FH_CF_w_ch,C21_OD_Ih_t_s_FH_One_PFam,C21_OD_Ih_t_s_FH_oth_fa,C21_OD_Ih_t_s_FH_Tot,C21_OD_Ih_t_s_LP_H,C21_OD_Ih_t_s_GH,C21_OD_Ih_t_s_OH,C21_OD_Ih_t_s_Tot,C21_OD_H_f_so_FH_CF_no_ch,C21_OD_H_f_so_FH_CF_w_ch,C21_OD_H_f_so_FH_One_PFam,C21_OD_H_f_so_FH_oth_fa
LGA50080,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4,0,0,0,4,0,0,0,5,9,6,0,0,15,29,0,10,54,55,9,0,0,61,109,0,108,276,3,5,0,0,10,5,3,14,28,5,10,5,0,8,3,0,5,23,54,15,5,0,76,121,6,128,332,22,11,4,0,45,20,0,6,74,4231,3641,1386,121,9381,3685,358,906,14332,4403,3662,1438,115,9619,3376,327,645,13967,160,52,83,9,299,669,21,62,1052,25,4,6,0,35,65,3,18,125,182,59,84,9,336,733,22,85,1175,3,3,9,0,11,34,0,5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,13,4,4,25,8,3,11,0,22,39,3,10,74,45,6,5,0,56,151,0,90,301,0,0,0,0,0,3,0,83,92,0,0,0,0
LGA50210,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,41,27,30,0,99,114,8,28,250,8,0,4,0,12,50,7,33,97,0,0,0,0,0,0,0,5,5,6,4,0,0,13,0,0,0,18,16,4,6,0,28,54,5,37,119,14,12,8,0,28,19,6,3,52,7027,10125,3535,366,21050,5595,807,1592,29048,7233,11990,3694,347,23265,5252,744,1077,30340,479,338,420,46,1287,1375,99,198,2960,8,3,5,0,21,23,0,5,54,487,346,428,49,1309,1400,104,211,3014,17,4,14,4,41,86,7,23,156,8,3,9,4,21,24,6,5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,16,14,0,3,36,36,21,23,6,83,132,3,25,252,44,0,10,0,56,155,0,37,260,0,0,0,0,0,0,0,32,32,7,0,3,0
LGA50250,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,10,6,4,0,15,33,0,37,84,23,0,0,0,22,40,0,536,594,3,0,0,0,3,3,0,39,51,0,0,0,0,0,3,3,0,7,27,0,0,0,27,43,3,571,653,0,0,0,0,3,13,0,37,49,458,786,130,20,1387,487,39,851,2762,351,613,109,14,1081,263,23,339,1702,16,5,4,0,30,49,0,15,99,0,0,0,0,0,0,0,4,9,21,5,4,0,28,49,0,25,100,4,0,0,0,4,15,4,16,46,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,21,4,21,54,32,0,0,3,32,27,5,724,784,0,0,0,0,0,0,0,18,17,0,0,0,0
LGA50280,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,11,3,4,0,23,39,0,5,62,20,3,4,0,33,46,4,105,191,5,0,5,0,6,0,0,7,18,3,3,0,0,6,0,0,8,22,32,6,6,0,48,52,4,127,229,12,19,0,0,33,15,6,18,72,1537,1604,514,24,3683,1184,183,609,5659,1719,1773,550,28,4069,1170,194,531,5972,21,21,16,0,53,124,7,17,199,24,7,10,0,43,50,6,9,109,43,28,26,0,93,175,14,24,307,4,3,6,0,16,20,5,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,6,12,3,6,0,22,24,5,5,44,19,3,0,0,20,45,18,107,185,0,0,0,0,0,5,0,32,43,0,0,0,0
LGA50350,0,0,8,20,0,0,31,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,39,12,21,0,73,156,11,9,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,6,0,0,0,7,5,0,0,15,1504,1683,680,83,3958,1686,236,284,6169,1359,1630,553,79,3616,1186,182,187,5174,168,114,118,11,406,471,30,59,962,37,26,19,0,88,57,10,14,166,202,142,139,11,494,532,37,71,1137,28,11,20,9,66,118,7,7,199,8,3,0,0,8,27,0,5,43,14,3,4,0,23,27,3,4,58,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,7,48,19,21,9,94,180,12,16,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
LGA50420,17,11,253,322,66,119,757,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,548,232,108,43,933,1222,190,287,2627,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,16,16,0,0,0,0,3,5,0,3,11,0,0,0,0,4,9,0,23,34,17,15,9,0,41,29,4,5,81,7035,7194,2476,398,17103,6903,1476,1448,26927,5753,6636,2069,282,14737,4313,821,510,20382,682,548,370,42,1640,1560,154,162,3511,484,292,178,35,979,889,176,96,2145,1167,834,545,76,2625,2449,330,259,5655,303,104,75,18,507,791,79,93,1473,125,37,27,13,200,334,37,33,611,84,25,12,5,127,296,22,53,499,85,31,9,0,132,180,27,25,362,0,3,0,0,5,7,0,0,14,593,200,132,36,970,1614,169,209,2961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0
LGA50490,12,22,362,275,48,151,833,..,..,..,..,..,..,..,..,..,3,0,0,0,3,0,0,0,3,488,109,67,36,702,724,136,391,1955,0,0,0,0,3,5,0,32,37,0,0,0,0,0,0,0,21,21,0,0,0,4,3,0,7,0,9,3,0,0,4,8,6,7,52,66,11,10,6,5,27,20,0,15,60,3819,3623,1491,306,9245,4360,1065,1672,16335,2787,3238,1276,238,7540,2887,636,545,11613,393,332,206,38,965,944,109,140,2156,403,245,92,35,776,508,144,104,1536,794,574,299,75,1744,1454,257,242,3697,143,62,33,7,241,322,36,32,638,126,48,28,14,207,332,43,42,628,151,31,20,4,201,247,38,40,518,290,66,22,16,395,317,57,37,803,5,0,5,0,10,8,0,0,16,707,205,102,41,1054,1217,170,158,2604,3,0,0,0,3,14,0,19,32,0,0,0,0,0,0,0,8,8,0,0,0,0
LGA50560,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,4,0,0,0,4,9,0,0,17,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,0,0,3,257,143,48,3,453,204,16,75,742,245,144,43,6,438,197,11,77,724,0,0,0,0,3,9,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,3,0,0,0,7,0,0,0,0
LGA50630,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,12,6,0,0,0,6,6,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,8,0,4,13,0,0,0,0,0,0,0,0,3,194,212,69,0,473,151,8,67,701,186,182,53,3,436,135,8,53,629,8,0,0,0,6,11,0,10,28,0,0,0,0,0,0,0,0,0,8,0,0,0,6,11,0,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,9,0,0,0,0,0,0,0,5,5,0,0,0,0
LGA50770,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,6,12,3,0,0,0,0,0,0,0,0,249,170,44,3,459,186,10,57,714,247,173,55,3,475,180,8,88,753,0,0,0,0,3,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0
