LGA_CODE_2021,C16_M_LE_NS_15_19,C16_M_LE_NS_20_24,C16_M_LE_NS_25_34,C16_M_LE_NS_35_44,C16_M_LE_NS_45_54,C16_M_LE_NS_55_64,C16_M_LE_NS_65_74,C16_M_LE_NS_75_84,C16_M_LE_NS_85over,C16_M_LE_NS_Tot,C16_M_Tot_15_19_yrs,C16_M_Tot_20_24_yrs,C16_M_Tot_25_34_yrs,C16_M_Tot_35_44_yrs,C16_M_Tot_45_54_yrs,C16_M_Tot_55_64_yrs,C16_M_Tot_65_74_yrs,C16_M_Tot_75_84_yrs,C16_M_Tot_85over,C16_M_Tot_Tot,C21_M_Post_Deg_15_19_yrs,C21_M_Post_Deg_20_24_yrs,C21_M_Post_Deg_25_34_yrs,C21_M_Post_Deg_35_44_yrs,C21_M_Post_Deg_45_54_yrs,C21_M_Post_Deg_55_64_yrs,C21_M_Post_Deg_65_74_yrs,C21_M_Post_Deg_75_84_yrs,C21_M_Post_Deg_85over,C21_M_Post_Deg_Tot,C21_M_GrDip_GrCe_15_19,C21_M_GrDip_GrCe_20_24,C21_M_GrDip_GrCe_25_34,C21_M_GrDip_GrCe_35_44,C21_M_GrDip_GrCe_45_54,C21_M_GrDip_GrCe_55_64,C21_M_GrDip_GrCe_65_74,C21_M_GrDip_GrCe_75_84,C21_M_GrDip_GrCe_85over,C21_M_GrDip_GrCe_Tot,C21_M_BD_15_19,C21_M_BD_20_24,C21_M_BD_25_34,C21_M_BD_35_44,C21_M_BD_45_54,C21_M_BD_55_64,C21_M_BD_65_74,C21_M_BD_75_84,C21_M_BD_85over,C21_M_BD_Tot,C21_M_AdD_DL_15_19,C21_M_AdD_DL_20_24,C21_M_AdD_DL_25_34,C21_M_AdD_DL_35_44,C21_M_AdD_DL_45_54,C21_M_AdD_DL_55_64,C21_M_AdD_DL_65_74,C21_M_AdD_DL_75_84,C21_M_AdD_DL_85over,C21_M_AdD_DL_Tot,C21_M_CL_C_III_IV_15_19,C21_M_CL_C_III_IV_20_24,C21_M_CL_C_III_IV_25_34,C21_M_CL_C_III_IV_35_44,C21_M_CL_C_III_IV_45_54,C21_M_CL_C_III_IV_55_64,C21_M_CL_C_III_IV_65_74,C21_M_CL_C_III_IV_75_84,C21_M_CL_C_III_IV_85over,C21_M_CL_C_III_IV_Tot,C21_M_CL_C_I_II_15_19,C21_M_CL_C_I_II_20_24,C21_M_CL_C_I_II_25_34,C21_M_CL_C_I_II_35_44,C21_M_CL_C_I_II_45_54,C21_M_CL_C_I_II_55_64,C21_M_CL_C_I_II_65_74,C21_M_CL_C_I_II_75_84,C21_M_CL_C_I_II_85over,C21_M_CL_C_I_II_Tot,C21_M_CL_CL_nfd_15_19,C21_M_CL_CL_nfd_20_24,C21_M_CL_CL_nfd_25_34,C21_M_CL_CL_nfd_35_44,C21_M_CL_CL_nfd_45_54,C21_M_CL_CL_nfd_55_64,C21_M_CL_CL_nfd_65_74,C21_M_CL_CL_nfd_75_84,C21_M_CL_CL_nfd_85over,C21_M_CL_CL_nfd_Tot,C21_M_CL_Tot_15_19,C21_M_CL_Tot_20_24,C21_M_CL_Tot_25_34,C21_M_CL_Tot_35_44,C21_M_CL_Tot_45_54,C21_M_CL_Tot_55_64,C21_M_CL_Tot_65_74,C21_M_CL_Tot_75_84,C21_M_CL_Tot_85over,C21_M_CL_Tot_Tot,C21_M_LE_ID_15_19,C21_M_LE_ID_20_24,C21_M_LE_ID_25_34,C21_M_LE_ID_35_44,C21_M_LE_ID_45_54,C21_M_LE_ID_55_64,C21_M_LE_ID_65_74,C21_M_LE_ID_75_84,C21_M_LE_ID_85over,C21_M_LE_ID_Tot,C21_M_LE_NS_15_19,C21_M_LE_NS_20_24,C21_M_LE_NS_25_34,C21_M_LE_NS_35_44,C21_M_LE_NS_45_54,C21_M_LE_NS_55_64,C21_M_LE_NS_65_74,C21_M_LE_NS_75_84,C21_M_LE_NS_85over,C21_M_LE_NS_Tot,C21_M_Tot_15_19_yrs,C21_M_Tot_20_24_yrs,C21_M_Tot_25_34_yrs,C21_M_Tot_35_44_yrs,C21_M_Tot_45_54_yrs,C21_M_Tot_55_64_yrs,C21_M_Tot_65_74_yrs,C21_M_Tot_75_84_yrs,C21_M_Tot_85over,C21_M_Tot_Tot,C11_F_Post_Deg_15_19_yrs,C11_F_Post_Deg_20_24_yrs,C11_F_Post_Deg_25_34_yrs,C11_F_Post_Deg_35_44_yrs,C11_F_Post_Deg_45_54_yrs,C11_F_Post_Deg_55_64_yrs,C11_F_Post_Deg_65_74_yrs,C11_F_Post_Deg_75_84_yrs,C11_F_Post_Deg_85over,C11_F_Post_Deg_Tot,C11_F_GrDip_GrCe_15_19,C11_F_GrDip_GrCe_20_24,C11_F_GrDip_GrCe_25_34,C11_F_GrDip_GrCe_35_44,C11_F_GrDip_GrCe_45_54,C11_F_GrDip_GrCe_55_64,C11_F_GrDip_GrCe_65_74,C11_F_GrDip_GrCe_75_84,C11_F_GrDip_GrCe_85over,C11_F_GrDip_GrCe_Tot,C11_F_BD_15_19,C11_F_BD_20_24,C11_F_BD_25_34,C11_F_BD_35_44,C11_F_BD_45_54,C11_F_BD_55_64,C11_F_BD_65_74,C11_F_BD_75_84,C11_F_BD_85over,C11_F_BD_Tot,C11_F_AdD_DL_15_19,C11_F_AdD_DL_20_24,C11_F_AdD_DL_25_34,C11_F_AdD_DL_35_44,C11_F_AdD_DL_45_54,C11_F_AdD_DL_55_64,C11_F_AdD_DL_65_74,C11_F_AdD_DL_75_84,C11_F_AdD_DL_85over,C11_F_AdD_DL_Tot,C11_F_CL_C_III_IV_15_19,C11_F_CL_C_III_IV_20_24,C11_F_CL_C_III_IV_25_34,C11_F_CL_C_III_IV_35_44,C11_F_CL_C_III_IV_45_54,C11_F_CL_C_III_IV_55_64,C11_F_CL_C_III_IV_65_74,C11_F_CL_C_III_IV_75_84,C11_F_CL_C_III_IV_85over,C11_F_CL_C_III_IV_Tot,C11_F_CL_C_I_II_15_19,C11_F_CL_C_I_II_20_24,C11_F_CL_C_I_II_25_34,C11_F_CL_C_I_II_35_44,C11_F_CL_C_I_II_45_54,C11_F_CL_C_I_II_55_64,C11_F_CL_C_I_II_65_74,C11_F_CL_C_I_II_75_84,C11_F_CL_C_I_II_85over,C11_F_CL_C_I_II_Tot,C11_F_CL_CL_nfd_15_19,C11_F_CL_CL_nfd_20_24,C11_F_CL_CL_nfd_25_34,C11_F_CL_CL_nfd_35_44,C11_F_CL_CL_nfd_45_54,C11_F_CL_CL_nfd_55_64,C11_F_CL_CL_nfd_65_74,C11_F_CL_CL_nfd_75_84,C11_F_CL_CL_nfd_85over,C11_F_CL_CL_nfd_Tot
LGA50080,128,129,317,254,228,256,224,184,114,1821,291,566,1381,1420,1527,1587,1153,562,222,8699,0,5,41,59,66,52,78,33,4,338,0,3,22,32,42,46,39,11,3,194,0,28,171,227,259,240,234,82,18,1257,0,24,121,170,213,262,228,110,14,1144,100,282,804,709,734,735,541,269,85,4258,96,58,42,34,22,28,12,6,0,300,5,10,19,21,31,43,61,20,8,222,199,351,863,769,790,803,615,289,99,4775,0,0,15,11,8,12,22,14,3,86,74,67,181,143,172,198,190,146,84,1253,271,472,1412,1404,1557,1606,1409,677,229,9045,0,0,17,32,48,43,11,0,0,147,0,3,33,71,71,61,14,0,0,253,0,59,269,383,299,237,127,55,15,1432,13,48,184,270,362,255,142,54,26,1346,82,186,346,351,359,199,70,22,9,1621,66,39,63,60,32,24,12,3,0,299,19,17,72,73,69,72,27,14,10,375
LGA50210,157,190,503,487,407,344,294,207,92,2664,392,1288,4683,4018,3082,2441,1692,751,205,18555,0,18,224,675,267,144,79,28,8,1440,0,0,70,136,99,60,44,14,0,434,0,189,898,1435,730,387,250,81,26,3989,12,124,636,922,566,431,257,126,15,3086,177,590,2062,1913,1515,1401,987,401,81,9124,129,156,146,70,47,16,16,6,0,593,8,27,61,87,73,73,71,36,7,450,317,773,2272,2067,1633,1489,1074,442,89,10163,0,19,36,70,46,44,30,27,7,273,185,192,518,564,451,347,222,165,79,2732,521,1321,4661,5864,3779,2906,1963,888,226,22123,0,3,108,90,65,37,12,0,0,323,0,12,65,97,82,64,16,10,0,340,0,189,795,543,399,278,131,44,9,2392,31,168,510,472,440,324,140,54,7,2157,184,445,831,558,513,384,128,80,24,3145,69,93,106,94,54,59,10,9,0,490,24,54,111,132,117,99,39,17,5,606
LGA50250,14,70,534,506,401,216,24,7,0,1790,28,237,2044,1896,1447,732,85,7,0,6492,0,0,25,16,4,9,0,0,0,54,0,0,7,3,6,3,0,0,0,25,0,10,57,61,32,20,3,0,0,186,0,5,38,49,43,32,11,0,0,172,0,56,343,380,217,129,32,5,0,1162,4,8,10,12,3,0,0,0,0,40,0,0,4,11,7,4,0,0,0,30,12,67,353,392,223,138,32,8,0,1231,0,0,0,0,6,0,0,0,0,18,36,62,205,208,163,114,21,4,0,813,44,139,687,738,481,312,65,19,0,2490,0,0,8,12,0,3,0,0,0,23,0,0,16,16,3,3,3,0,0,48,0,43,128,99,27,16,3,0,0,310,0,9,70,83,36,10,0,0,0,214,9,51,148,68,50,22,0,0,0,350,3,12,29,17,10,0,0,0,0,71,0,3,17,22,18,0,0,0,0,59
LGA50280,64,24,93,121,111,97,75,33,24,643,95,110,605,883,718,636,419,163,53,3678,0,0,31,29,46,32,51,18,7,213,0,0,7,28,27,25,20,12,0,114,0,13,141,213,188,155,128,48,8,892,0,5,64,113,125,93,113,45,4,564,16,66,285,401,368,351,226,52,16,1781,19,22,9,14,13,8,0,3,4,94,0,3,9,21,23,18,19,6,0,106,39,91,307,434,401,378,248,68,20,1986,0,0,0,7,9,12,7,3,0,42,47,27,107,142,176,89,95,40,21,742,90,141,654,963,973,774,655,234,68,4549,0,0,17,21,12,10,11,0,0,68,0,0,14,32,32,22,10,3,0,118,0,22,161,218,138,96,56,18,0,709,0,12,81,126,114,113,56,16,8,532,21,34,135,113,79,65,21,8,4,484,9,9,11,16,20,14,0,0,0,77,0,0,19,36,27,14,6,9,0,110
LGA50350,17,33,74,77,84,72,58,57,16,493,57,197,831,824,718,561,364,181,42,3777,0,7,68,109,64,46,21,7,0,325,0,0,19,26,34,33,11,3,0,135,0,51,269,243,176,109,61,23,7,943,4,22,97,122,120,90,64,30,9,550,28,85,268,283,269,250,215,93,24,1515,19,18,18,13,11,11,3,0,0,89,4,7,0,8,19,15,10,8,0,70,42,111,293,313,290,275,229,101,26,1680,0,4,9,0,3,6,4,5,5,30,19,42,106,91,75,62,61,37,11,493,66,237,857,906,762,615,460,205,48,4161,0,4,45,43,36,20,4,0,0,145,0,0,30,50,32,14,3,0,0,141,0,66,293,231,152,103,38,8,3,893,5,34,101,116,119,84,40,15,5,530,21,77,146,108,113,64,21,12,3,569,11,17,25,15,10,10,4,0,0,87,8,7,14,28,48,19,9,0,0,133
LGA50420,116,161,486,386,324,319,295,210,150,2454,260,1160,4676,3791,2910,2403,1638,815,315,17967,0,40,475,559,278,207,121,53,6,1732,0,13,108,156,126,105,55,23,6,593,0,296,1644,1521,900,559,408,132,22,5490,18,188,573,572,512,385,316,153,33,2765,81,334,1197,1033,859,924,731,395,108,5666,60,75,66,31,44,15,17,4,3,317,6,14,59,61,57,57,66,21,9,346,151,426,1318,1123,959,999,816,417,115,6323,0,19,32,47,35,31,25,22,4,219,66,137,403,367,281,253,187,181,82,1961,243,1119,4554,4353,3099,2541,1929,980,275,19079,0,27,312,268,130,86,35,4,0,859,0,3,202,185,113,81,31,12,0,622,5,439,1701,1063,597,374,171,54,15,4418,26,224,573,556,488,386,165,80,25,2517,70,291,543,408,354,271,77,38,13,2067,29,56,84,73,51,35,15,0,0,353,12,46,96,104,117,95,54,18,5,549
LGA50490,109,213,587,362,278,257,182,157,65,2213,191,914,3380,2224,1590,1230,754,442,147,10874,0,14,367,381,156,79,52,22,3,1078,0,5,60,65,46,48,20,0,0,246,3,195,1061,740,411,233,143,44,16,2845,10,136,478,411,257,233,135,40,14,1725,67,280,850,651,609,566,382,212,66,3675,59,64,69,35,15,16,3,4,0,272,4,17,42,37,45,40,28,11,3,227,132,359,957,722,662,630,418,226,74,4178,0,8,28,38,28,12,10,12,8,154,64,159,413,342,265,207,143,102,61,1750,212,884,3371,2704,1827,1442,918,447,178,11980,0,16,194,99,49,26,11,0,0,393,0,4,90,63,36,17,6,6,0,228,4,210,896,432,224,137,55,29,5,1983,11,116,346,288,226,132,81,29,14,1249,54,187,315,216,174,115,48,33,10,1143,17,27,63,31,25,17,0,6,0,188,6,29,58,72,54,52,27,11,4,304
LGA50560,0,5,10,9,21,26,16,20,3,121,3,14,44,46,69,96,75,48,6,406,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,5,11,6,4,13,0,0,42,0,0,0,3,10,6,16,5,0,44,6,3,26,17,26,35,37,19,3,169,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,9,0,0,11,0,4,30,23,22,35,39,20,3,183,0,0,0,0,0,0,3,0,0,8,12,3,11,12,21,18,25,15,8,124,17,6,49,51,65,77,93,43,20,414,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,12,16,5,20,11,3,0,57,0,0,3,7,11,21,10,0,0,56,0,3,4,9,16,7,0,0,0,46,0,5,3,0,0,3,0,0,0,15,0,0,5,0,3,5,0,0,0,11
LGA50630,10,7,20,16,21,16,13,13,0,108,9,26,96,103,96,78,43,16,0,469,0,0,0,0,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,5,8,4,6,0,0,35,0,0,3,5,4,4,13,3,0,26,0,10,42,31,42,49,25,9,0,198,0,3,0,0,0,0,0,0,0,9,0,0,0,4,3,0,0,4,0,13,4,15,42,30,43,51,27,8,0,221,0,0,0,0,0,3,0,0,0,8,3,0,14,7,18,23,10,6,3,89,7,15,71,56,80,90,54,24,0,392,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,3,0,0,0,14,0,3,36,25,4,3,4,0,0,79,0,0,7,16,3,16,0,0,0,52,4,10,11,18,17,7,3,0,0,69,4,0,8,0,0,6,0,0,0,22,0,0,0,8,5,0,0,0,0,9
LGA50770,8,0,4,4,19,29,22,10,0,93,9,12,27,57,65,77,52,28,3,330,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,7,4,9,11,5,3,0,45,0,0,0,4,5,15,6,3,0,38,0,11,20,32,37,37,26,7,0,178,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,10,0,11,20,36,40,44,26,8,0,197,0,0,0,0,0,0,0,0,0,0,5,5,10,8,19,19,13,17,6,95,8,15,40,60,75,84,58,30,7,384,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,0,3,24,17,8,12,12,0,0,79,0,5,3,8,16,12,10,0,0,56,8,3,18,17,18,8,5,0,0,65,4,0,3,6,0,3,0,0,0,14,0,0,6,4,4,3,4,0,0,18
