LGA_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA50080,1171,2176,76,80,157,1345,1547,2890,180,312,493,284,309,593,37,38,76,501,659,1164,1191,1273,2462,16396,17472,33871,1450,989,2434,19037,19734,38763
LGA50210,1231,2433,92,108,193,1590,1700,3289,158,267,419,216,242,464,53,70,117,427,579,1006,2157,2220,4373,41692,42999,84691,2756,2359,5123,46605,47578,94184
LGA50250,13,36,4,0,7,30,16,54,0,4,5,0,0,0,0,0,0,0,4,10,52,39,89,3346,2549,5893,899,511,1408,4297,3099,7391
LGA50280,283,605,17,15,30,372,362,746,43,81,126,66,77,139,11,16,20,120,174,286,285,301,579,7338,7464,14798,766,643,1409,8389,8408,16791
LGA50350,348,612,37,23,61,359,475,839,49,130,179,65,90,153,7,15,25,121,235,360,426,531,954,6871,7216,14091,503,386,888,7800,8133,15932
LGA50420,1411,2781,102,103,202,1817,2014,3832,264,614,878,281,321,595,57,103,162,602,1038,1634,1580,2079,3663,31019,31343,62360,1787,1474,3263,34386,34896,69283
LGA50490,663,1261,59,81,142,830,1000,1827,132,273,407,155,218,376,39,83,127,326,574,902,919,1124,2042,18839,18319,37152,1660,1405,3063,21418,20848,42257
LGA50560,54,121,15,4,18,99,69,165,10,7,16,13,12,29,4,4,9,27,23,58,65,51,115,686,696,1381,114,91,202,865,838,1694
LGA50630,31,67,4,5,9,42,39,86,0,6,5,6,8,11,0,0,0,6,14,20,26,30,60,769,723,1491,87,72,163,882,825,1705
LGA50770,54,116,8,14,23,83,78,158,4,7,12,10,11,21,3,0,0,17,18,35,46,38,86,774,780,1550,100,94,194,920,912,1834
