LGA_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
LGA50080,3578,3492,1207,104,8380,2455,293,396,11521,121,47,50,4,216,399,24,24,663,32,19,5,0,59,31,6,12,109,146,66,60,10,278,431,26,34,773,70,28,36,4,142,311,9,30,489,3,5,0,0,5,8,0,0,12,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,9,0,4,13,67,36,36,4,150,327,9,32,521,32,3,5,0,42,93,8,81,230,6,0,0,0,5,3,0,6,15,10,3,0,0,11,0,0,0,16,44,10,12,0,63,100,9,87,261,3,0,0,0,3,0,0,0,8,3847,3599,1311,114,8872,3317,336,553,13075,3974,3556,1312,111,8959,2807,326,659,12754,158,43,50,3,250,661,19,90,1025,18,4,13,0,31,46,9,15,97,175,49,58,4,285,708,21,108,1123,3,6,0,0,8,28,0,10,52,0,0,0,0,0,0,0,0,0,0,0
LGA50210,5543,7116,2588,227,15470,3500,541,882,20395,260,173,183,20,628,557,63,63,1314,4,6,4,0,16,36,0,3,61,268,178,183,20,644,597,64,67,1375,188,118,177,17,497,460,48,67,1065,3,0,6,0,11,13,5,9,34,0,0,0,0,0,4,0,0,4,..,..,..,..,..,..,..,..,..,0,0,0,0,5,4,0,0,9,197,120,181,21,513,474,47,74,1112,16,0,4,0,18,65,0,27,110,0,4,0,0,10,5,0,6,10,0,3,0,0,4,0,0,0,6,17,7,5,0,29,68,0,32,130,0,0,0,0,0,4,0,5,9,6025,7423,2962,263,16669,4642,658,1055,23025,6280,9456,3020,315,19077,4148,676,1274,25178,662,606,458,45,1767,1250,113,242,3368,21,22,8,0,46,22,4,7,77,681,627,463,48,1814,1267,114,249,3446,27,16,18,0,67,83,5,18,178,11,7,13,0,37,26,3,14,69,0,0
LGA50250,380,777,128,9,1292,285,41,204,1827,53,15,10,0,75,74,0,22,170,0,0,0,0,5,12,0,7,29,52,14,10,0,78,83,3,29,194,9,0,0,0,9,25,4,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,9,0,0,0,9,25,4,8,45,30,11,0,0,45,45,0,529,623,0,0,0,0,0,3,0,37,42,0,0,0,0,0,0,0,6,7,37,11,0,0,52,53,0,572,673,3,0,0,0,7,3,0,49,65,482,805,140,13,1434,455,54,857,2802,364,764,113,13,1260,334,32,182,1805,57,13,7,0,77,54,0,31,168,0,0,0,0,0,3,0,0,11,56,17,7,0,82,61,5,30,175,6,6,4,0,11,29,0,32,70,8,0,0,0,8,9,0,0,14,0,0
LGA50280,1219,1294,381,26,2919,799,142,382,4250,28,16,17,0,59,90,8,10,169,18,0,5,0,20,17,5,10,56,40,20,23,0,81,106,16,16,221,7,8,4,0,18,33,4,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,0,7,8,4,0,18,35,4,7,63,14,0,0,0,19,41,0,76,141,0,0,0,0,0,0,0,14,17,4,4,0,0,6,3,0,4,14,22,6,4,0,30,49,4,92,170,0,0,0,0,0,0,0,12,11,1294,1327,411,26,3053,993,163,509,4717,1454,1551,477,19,3507,984,172,452,5120,23,14,22,3,66,73,4,10,145,0,6,4,0,6,22,0,3,35,24,18,22,3,74,92,4,11,182,11,3,4,0,23,39,0,5,62,0,0,0,0,0,0,0,0,0,0,0
LGA50350,1256,1418,549,81,3301,1112,202,170,4784,101,40,56,6,205,246,18,18,489,24,21,13,5,62,23,9,9,102,131,60,75,8,266,268,26,25,589,94,59,84,5,247,256,24,36,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4,0,0,0,0,0,0,0,5,94,59,79,5,250,256,26,36,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1485,1532,700,98,3817,1641,254,227,5940,1247,1513,527,75,3364,1107,187,200,4851,175,122,113,10,426,382,45,63,919,34,32,16,0,87,33,0,7,131,217,158,135,17,516,417,48,70,1048,19,11,20,0,51,117,9,9,181,5,0,4,0,7,24,0,0,33,9,0
LGA50420,4954,5727,1836,260,12782,3585,794,600,17761,730,513,347,56,1646,1432,200,166,3439,277,168,100,28,575,414,129,97,1210,1008,682,443,82,2220,1839,325,264,4650,381,166,119,18,688,844,121,115,1765,172,81,44,11,306,401,94,85,890,197,65,41,9,310,435,63,91,906,..,..,..,..,..,..,..,..,..,6,4,0,0,7,3,0,0,10,752,313,202,39,1315,1684,278,293,3566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0,0,0,4,7,0,0,11,3,0,0,0,4,7,0,5,15,4,0,0,0,7,9,4,0,19,6723,6729,2483,379,16325,7123,1404,1163,26005,5186,6080,1854,284,13403,3555,902,748,18610,840,574,377,47,1836,1471,208,255,3769,438,281,131,28,880,630,166,132,1811,1285,858,509,74,2720,2094,374,390,5579,254,117,70,16,456,627,86,117,1284,137,50,19,17,228,273,37,47,580,159,67
LGA50490,2662,2808,1193,211,6875,2479,634,599,10589,321,255,149,31,765,738,109,107,1719,131,77,39,16,261,134,63,45,502,457,333,184,49,1025,872,176,151,2222,168,108,105,23,404,434,65,68,974,113,54,30,8,208,245,58,60,567,76,17,11,3,116,40,21,23,198,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,358,186,151,32,727,719,144,150,1738,3,0,0,0,4,5,0,33,51,0,0,0,0,0,0,0,4,8,0,0,0,0,3,0,0,0,3,3,3,4,0,6,13,0,41,60,5,0,0,0,10,8,3,0,22,3488,3336,1528,294,8646,4090,958,940,14636,2555,2891,1126,199,6772,2423,665,797,10649,429,415,218,41,1102,901,130,276,2405,336,195,83,28,633,286,132,147,1205,761,613,298,67,1738,1187,259,425,3613,104,28,31,8,174,227,22,120,545,109,30,18,6,164,219,63,120,570,267,50
LGA50560,245,144,40,10,433,176,10,25,654,0,0,4,0,4,9,0,3,18,0,0,0,0,0,0,0,0,0,0,0,4,0,4,9,0,3,18,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,4,15,0,0,0,0,0,3,0,0,3,249,144,48,10,442,198,8,31,684,254,143,40,3,444,191,11,75,714,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,4,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0
LGA50630,165,197,43,3,408,103,7,29,549,6,4,0,0,17,3,0,6,25,0,0,0,0,0,0,0,0,0,6,4,0,0,17,3,0,6,25,3,0,0,0,10,7,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,3,0,0,0,10,7,5,0,17,6,0,0,0,6,10,0,8,22,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,10,7,0,0,10,8,0,8,29,0,0,0,0,0,0,0,0,0,179,211,50,5,446,121,10,43,621,183,211,60,0,456,128,9,55,655,4,3,7,0,7,3,0,5,14,0,0,0,0,0,0,0,0,0,4,3,7,0,7,3,0,5,14,0,0,0,0,0,9,0,3,12,0,0,0,0,0,0,0,0,0,0,0
LGA50770,222,173,40,4,437,168,10,18,622,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,227,173,42,4,444,169,7,18,631,247,165,45,3,450,175,10,55,693,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50840,612,438,151,11,1205,407,31,38,1684,9,0,4,0,14,34,0,0,53,3,0,0,0,3,0,0,0,7,13,0,4,0,16,40,0,0,50,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,4,4,0,0,5,3,0,7,12,3,0,0,0,3,4,4,4,12,0,3,0,0,3,3,0,0,5,7,3,0,0,12,8,4,10,28,0,0,0,0,6,0,0,0,6,631,443,150,11,1233,456,32,50,1774,669,419,137,7,1236,495,44,141,1917,7,0,0,0,7,40,0,3,52,0,0,0,0,0,0,0,0,0,7,0,0,0,7,40,0,3,52,3,0,0,0,3,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0
LGA50910,110,92,12,3,223,83,0,18,326,5,3,0,0,5,15,0,0,22,0,0,0,0,0,0,0,0,0,5,3,0,0,5,15,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,4,6,0,0,11,0,0,0,0,0,0,0,0,0,114,97,17,3,237,100,0,24,359,124,95,25,0,234,101,3,30,375,0,0,3,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,4,0,0,4,0,6,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0
LGA50980,822,1264,460,43,2592,450,202,399,3631,66,57,62,7,195,166,20,58,438,33,9,7,0,45,29,9,20,107,101,64,66,7,239,194,24,79,540,77,40,34,7,160,154,32,84,429,0,0,0,0,0,3,0,13,18,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,3,3,83,40,34,7,160,153,32,104,448,145,35,21,4,202,179,19,1784,2184,11,6,3,0,16,16,3,96,138,17,16,0,0,34,17,6,19,67,167,53,24,4,248,215,29,1890,2383,5,4,8,0,19,20,3,62,110,1185,1426,590,62,3259,1038,291,2530,7120,939,1417,555,60,2980,729,176,658,4539,43,24,31,6,104,100,13,59,281,53,8,13,0,84,50,18,51,203,101,32,48,8,190,156,32,116,488,76,54,29,5,162,123,29,80,400,3,0,0,0,3,0,0,3,4,0,0
LGA51080,121,138,40,3,299,82,6,13,398,0,4,0,0,3,4,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,121,140,41,3,306,94,6,18,414,118,109,36,4,263,83,4,52,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51120,137,99,29,0,267,103,4,17,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,144,99,29,0,269,121,3,18,408,119,93,25,0,236,101,3,22,366,3,0,0,0,3,16,0,4,23,0,0,0,0,0,0,0,0,0,3,0,0,0,3,16,0,4,23,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
LGA51190,2923,2737,1266,90,7016,2173,360,496,10042,317,132,171,14,640,887,75,95,1692,69,28,16,5,122,80,23,34,251,389,163,191,16,761,960,96,124,1942,122,62,54,11,259,376,29,71,737,26,6,8,0,35,69,15,36,161,11,4,0,0,16,17,0,8,38,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,163,79,57,17,311,463,49,112,937,47,6,0,0,55,79,4,52,182,0,0,0,0,0,0,0,3,3,6,0,0,0,7,0,0,0,6,48,4,0,0,57,79,4,54,198,4,4,0,0,8,0,0,0,5,3523,2983,1519,125,8151,3678,504,784,13120,2897,2635,1251,91,6868,2109,343,596,9918,332,158,227,13,731,995,77,140,1948,137,51,43,0,229,116,28,57,430,468,209,268,13,963,1109,107,200,2375,120,34,25,0,179,410,7,64,656,24,7,9,0,43,34,4,9,89,20,6
