LGA_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
LGA50080,415,213,196,227,229,236,175,103,38,1844,5,0,0,5,6,0,5,0,4,26,1961,1185,1041,1277,1920,2421,2628,1900,836,15174,24,9,22,27,19,10,3,0,0,121,21,12,7,25,17,6,4,3,0,95,4,7,5,0,0,4,4,0,0,19,0,0,0,0,0,0,0,0,0,6,9,0,19,4,0,0,0,0,0,28,9,22,18,33,34,36,17,14,0,187,20,25,33,37,34,39,17,14,0,218,4284,2557,2524,2387,2506,2489,1911,738,227,19624,443,315,477,430,422,414,383,223,93,3207,6798,4134,4150,4231,4976,5440,4990,2890,1164,38763
LGA50210,1274,617,631,813,573,401,250,98,28,4687,27,24,22,24,25,25,20,0,4,169,7477,3809,3788,5489,4941,4737,4255,2174,639,37306,1468,274,667,1416,277,139,77,14,0,4334,904,325,457,563,234,140,64,25,4,2713,0,0,3,5,6,9,5,4,0,37,0,0,0,0,3,0,0,0,0,10,724,100,582,560,63,64,45,5,0,2141,59,42,80,91,63,62,33,12,0,443,783,145,657,659,127,128,74,12,3,2587,9644,5253,7224,5762,4328,3352,2069,775,209,38611,1407,755,1038,1062,800,650,355,248,147,6461,22087,10747,14140,15526,11039,9336,7019,3289,1006,94184
LGA50250,35,19,31,28,25,8,9,0,0,156,5,0,0,0,0,0,0,0,0,6,440,146,327,419,336,302,90,26,0,2088,7,0,7,13,9,0,0,0,0,31,8,3,18,17,10,0,0,0,0,56,0,0,0,0,0,0,0,0,0,3,19,11,15,6,14,6,9,4,0,89,0,0,0,0,0,0,0,0,0,3,0,0,3,9,4,0,0,0,0,15,19,17,20,14,13,8,9,4,0,106,976,306,773,662,405,241,58,15,4,3447,262,154,346,327,233,181,37,7,0,1557,1727,637,1511,1494,1021,744,200,54,10,7391
LGA50280,66,17,37,48,44,60,47,15,0,333,0,0,0,4,0,0,0,0,0,10,472,255,270,457,673,862,840,459,189,4469,11,0,3,8,10,3,3,0,0,37,9,0,7,11,11,0,0,0,0,38,0,0,0,5,0,6,0,0,0,9,0,3,0,0,0,0,0,0,0,4,5,0,9,3,0,0,0,0,0,14,3,0,3,17,9,6,4,0,0,51,7,3,10,24,9,8,3,0,0,70,2513,871,1205,1825,1459,1109,853,229,64,10127,376,132,214,298,321,196,192,52,36,1818,3423,1275,1734,2673,2511,2214,1925,746,286,16791
LGA50350,99,59,70,83,63,62,46,18,3,503,3,5,0,4,5,5,4,0,0,26,954,584,579,769,888,971,925,566,256,6483,59,12,31,70,18,0,5,0,0,199,52,21,34,25,13,12,6,7,4,170,0,0,3,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,8,7,0,0,6,0,0,27,4,3,23,13,15,13,5,0,0,82,17,3,35,18,13,12,7,0,0,111,1499,867,1322,1273,1007,799,491,194,68,7513,190,99,199,164,169,130,102,65,29,1147,2799,1601,2231,2389,2165,1971,1574,839,360,15932
LGA50420,321,181,322,304,262,180,212,80,25,1884,5,6,16,8,10,13,12,11,0,74,4310,2771,3190,3691,3908,3996,3988,2672,1132,29660,387,151,485,468,91,71,46,13,3,1718,595,320,447,359,215,145,79,30,8,2196,69,54,48,51,55,80,108,43,8,513,0,0,0,0,0,3,0,0,0,3,92,47,174,79,17,15,22,0,0,448,19,43,55,79,52,44,30,11,6,335,110,87,235,153,65,58,52,16,6,789,4797,3279,5987,4815,3460,2584,1696,692,240,27562,543,423,777,687,503,426,339,249,192,4141,11024,7332,11640,10678,8739,7799,6607,3832,1634,69283
LGA50490,267,160,272,261,137,134,102,38,8,1376,3,3,4,3,3,10,4,0,3,42,2261,1543,2080,2061,2107,2186,1956,1225,590,16005,244,153,454,266,83,37,13,6,3,1277,1101,462,635,607,342,136,53,21,0,3358,0,5,3,3,0,3,9,3,0,24,0,0,0,0,0,0,0,0,0,0,73,46,165,56,9,6,3,0,0,367,14,20,33,31,20,29,13,7,0,178,94,68,202,84,33,35,22,3,0,542,2357,2139,3937,2590,1786,1556,848,341,131,15689,518,390,781,607,442,363,242,200,169,3704,6725,4879,8528,6610,5019,4498,3282,1827,902,42257
LGA50560,4,0,5,10,7,7,13,6,0,47,0,0,0,0,0,0,0,6,0,0,46,31,27,55,91,151,201,117,42,749,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,4,0,0,0,9,137,60,71,85,90,102,104,30,6,689,19,26,19,26,39,33,44,24,4,238,204,117,124,161,220,292,349,165,58,1694
LGA50630,21,0,5,7,9,0,5,6,0,50,0,0,0,0,0,0,0,0,0,0,100,23,37,58,91,121,123,49,14,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,5,0,0,0,7,229,89,129,129,115,110,58,18,3,866,38,16,22,20,35,32,22,17,0,192,375,126,183,208,242,266,197,86,20,1705
LGA50770,11,5,4,5,8,7,17,4,0,68,0,0,0,0,0,0,0,0,0,0,112,34,33,76,106,148,146,96,24,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,13,0,0,0,7,0,5,0,0,0,13,199,99,80,112,105,104,67,34,5,804,48,12,13,34,35,43,26,26,3,239,361,145,129,220,243,295,245,158,35,1834
