LGA_CODE_2021,C11_1_74_1PF_CU15DS,C11_1_74_1PF_CU15NDS,C11_1_74_1PFnCU15DS,C11_1_74_1PF_NDCO,C11_1_74_Tot,C11_75_99_1PF_CU15DS,C11_75_99_1PF_CU15NDS,C11_75_99_1PFnCU15DS,C11_75_99_1PF_NDCO,C11_75_99_Tot,C11_100_149_1PF_CU15DS,C11_100_149_1PF_CU15NDS,C11_100_149_1PFnCU15DS,C11_100_149_1PF_NDCO,C11_100_149_Tot,C11_150_199_1PF_CU15DS,C11_150_199_1PF_CU15NDS,C11_150_199_1PFnCU15DS,C11_150_199_1PF_NDCO,C11_150_199_Tot,C11_200_224_1PF_CU15DS,C11_200_224_1PF_CU15NDS,C11_200_224_1PFnCU15DS,C11_200_224_1PF_NDCO,C11_200_224_Tot,C11_225_274_1PF_CU15DS,C11_225_274_1PF_CU15NDS,C11_225_274_1PFnCU15DS,C11_225_274_1PF_NDCO,C11_225_274_Tot,C11_275_349_1PF_CU15DS,C11_275_349_1PF_CU15NDS,C11_275_349_1PFnCU15DS,C11_275_349_1PF_NDCO,C11_275_349_Tot,C11_350_449_1PF_CU15DS,C11_350_449_1PF_CU15NDS,C11_350_449_1PFnCU15DS,C11_350_449_1PF_NDCO,C11_350_449_Tot,C11_450_549_1PF_CU15DS,C11_450_549_1PF_CU15NDS,C11_450_549_1PFnCU15DS,C11_450_549_1PF_NDCO,C11_450_549_Tot,C11_550_649_1PF_CU15DS,C11_550_649_1PF_CU15NDS,C11_550_649_1PFnCU15DS,C11_550_649_1PF_NDCO,C11_550_649_Tot,C11_650_749_1PF_CU15DS,C11_650_749_1PF_CU15NDS,C11_650_749_1PFnCU15DS,C11_650_749_1PF_NDCO,C11_650_749_Tot,C11_750_849_1PF_CU15DS,C11_750_849_1PF_CU15NDS,C11_750_849_1PFnCU15DS,C11_750_849_1PF_NDCO,C11_750_849_Tot,C11_850_949_1PF_CU15DS,C11_850_949_1PF_CU15NDS,C11_850_949_1PFnCU15DS,C11_850_949_1PF_NDCO,C11_850_949_Tot,C11_950over_1PF_CU15DS,C11_950over_1PF_CU15NDS,C11_950over_1PFnCU15DS,C11_950over_1PF_NDCO,C11_950over_Tot,C11_Rns_1PF_CU15DS,C11_Rns_1PF_CU15NDS,C11_Rns_1PFnCU15DS,C11_Rns_1PF_NDCO,C11_Rns_Tot,C11_Tot_1PF_CU15DS,C11_Tot_1PF_CU15NDS,C11_Tot_1PFnCU15DS,C11_Tot_1PF_NDCO,C11_Tot_Tot,C16_1_74_1PF_CU15DS,C16_1_74_1PF_CU15NDS,C16_1_74_1PFnCU15DS,C16_1_74_1PF_NDCO,C16_1_74_Tot,C16_75_99_1PF_CU15DS,C16_75_99_1PF_CU15NDS,C16_75_99_1PFnCU15DS,C16_75_99_1PF_NDCO,C16_75_99_Tot,C16_100_149_1PF_CU15DS,C16_100_149_1PF_CU15NDS,C16_100_149_1PFnCU15DS,C16_100_149_1PF_NDCO,C16_100_149_Tot,C16_150_199_1PF_CU15DS,C16_150_199_1PF_CU15NDS,C16_150_199_1PFnCU15DS,C16_150_199_1PF_NDCO,C16_150_199_Tot,C16_200_224_1PF_CU15DS,C16_200_224_1PF_CU15NDS,C16_200_224_1PFnCU15DS,C16_200_224_1PF_NDCO,C16_200_224_Tot,C16_225_274_1PF_CU15DS,C16_225_274_1PF_CU15NDS,C16_225_274_1PFnCU15DS,C16_225_274_1PF_NDCO,C16_225_274_Tot,C16_275_349_1PF_CU15DS,C16_275_349_1PF_CU15NDS,C16_275_349_1PFnCU15DS,C16_275_349_1PF_NDCO,C16_275_349_Tot,C16_350_449_1PF_CU15DS,C16_350_449_1PF_CU15NDS,C16_350_449_1PFnCU15DS,C16_350_449_1PF_NDCO,C16_350_449_Tot,C16_450_549_1PF_CU15DS,C16_450_549_1PF_CU15NDS,C16_450_549_1PFnCU15DS,C16_450_549_1PF_NDCO,C16_450_549_Tot,C16_550_649_1PF_CU15DS,C16_550_649_1PF_CU15NDS,C16_550_649_1PFnCU15DS,C16_550_649_1PF_NDCO,C16_550_649_Tot,C16_650_749_1PF_CU15DS,C16_650_749_1PF_CU15NDS,C16_650_749_1PFnCU15DS,C16_650_749_1PF_NDCO,C16_650_749_Tot,C16_750_849_1PF_CU15DS,C16_750_849_1PF_CU15NDS,C16_750_849_1PFnCU15DS,C16_750_849_1PF_NDCO,C16_750_849_Tot,C16_850_949_1PF_CU15DS,C16_850_949_1PF_CU15NDS,C16_850_949_1PFnCU15DS,C16_850_949_1PF_NDCO,C16_850_949_Tot,C16_950over_1PF_CU15_DS,C16_950over_1PF_CU15_NDS,C16_950over_1PFnoCU15_DS,C16_950over_1PF_NDCO,C16_950over_Tot,C16_Rns_1PF_CU15DS,C16_Rns_1PF_CU15NDS,C16_Rns_1PFnCU15DS,C16_Rns_1PF_NDCO,C16_Rns_Tot,C16_Tot_1PF_CU15DS,C16_Tot_1PF_CU15NDS,C16_Tot_1PFnCU15DS,C16_Tot_1PF_NDCO,C16_Tot_Tot,C21_1_74_1PF_CU15DS,C21_1_74_1PF_CU15NDS,C21_1_74_1PFnCU15DS,C21_1_74_1PF_NDCO,C21_1_74_Tot,C21_75_99_1PF_CU15DS,C21_75_99_1PF_CU15NDS,C21_75_99_1PFnCU15DS,C21_75_99_1PF_NDCO,C21_75_99_Tot,C21_100_149_1PF_CU15DS,C21_100_149_1PF_CU15NDS,C21_100_149_1PFnCU15DS,C21_100_149_1PF_NDCO,C21_100_149_Tot,C21_150_199_1PF_CU15DS,C21_150_199_1PF_CU15NDS,C21_150_199_1PFnCU15DS,C21_150_199_1PF_NDCO,C21_150_199_Tot,C21_200_224_1PF_CU15DS,C21_200_224_1PF_CU15NDS,C21_200_224_1PFnCU15DS,C21_200_224_1PF_NDCO,C21_200_224_Tot,C21_225_274_1PF_CU15DS,C21_225_274_1PF_CU15NDS,C21_225_274_1PFnCU15DS,C21_225_274_1PF_NDCO,C21_225_274_Tot,C21_275_349_1PF_CU15DS,C21_275_349_1PF_CU15NDS,C21_275_349_1PFnCU15DS,C21_275_349_1PF_NDCO,C21_275_349_Tot,C21_350_449_1PF_CU15DS,C21_350_449_1PF_CU15NDS,C21_350_449_1PFnCU15DS,C21_350_449_1PF_NDCO,C21_350_449_Tot
LGA50080,0,3,0,0,6,3,37,7,15,59,10,60,14,24,109,17,55,10,23,100,5,34,5,12,52,9,102,12,30,160,15,110,19,28,169,5,33,4,8,49,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,20,62,455,69,141,726,0,0,0,0,3,0,0,0,5,3,3,29,0,15,47,8,35,12,11,65,7,28,8,16,60,14,38,12,30,94,23,155,27,42,244,12,91,18,29,147,0,9,0,0,7,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,4,21,76,392,68,162,698,0,3,0,0,0,0,3,3,0,11,6,18,5,5,35,8,28,7,17,57,0,24,3,13,43,14,50,7,18,89,25,141,28,61,258,30,122,20,45,217
LGA50210,4,10,5,0,18,0,31,0,8,44,3,45,5,20,82,10,43,9,30,95,3,35,14,26,74,11,138,24,45,212,47,372,52,96,567,22,109,13,29,171,3,19,4,5,29,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,28,6,13,50,108,833,124,267,1343,0,3,0,4,6,0,0,0,0,5,5,45,7,15,78,10,40,4,24,78,4,27,11,9,50,9,91,9,33,141,38,369,62,97,572,47,284,40,79,450,17,55,12,14,94,0,9,0,0,16,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,5,18,4,15,29,139,945,152,288,1529,0,6,0,3,6,0,0,0,0,6,4,9,5,18,40,3,59,5,18,93,10,45,10,35,90,20,174,25,63,285,48,363,47,139,598,66,304,42,83,489
LGA50250,5,45,0,24,72,0,11,0,6,11,0,8,0,4,8,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,17,3,82,0,31,119,3,43,5,15,68,0,0,0,4,3,0,7,0,3,9,0,3,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,9,9,66,9,37,114,7,36,10,7,56,0,0,0,3,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,3,0,0,4
LGA50280,0,0,0,0,0,0,10,0,0,7,0,7,3,0,13,0,8,0,3,19,0,11,0,4,13,3,33,3,5,46,9,61,5,10,83,0,13,4,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,140,16,35,213,0,4,0,0,3,0,0,0,0,0,0,7,0,6,15,0,7,3,7,17,3,9,0,5,18,5,22,5,6,32,4,36,9,16,61,8,44,10,13,78,0,12,5,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,21,139,31,48,238,0,0,0,0,3,0,0,0,0,0,0,3,0,9,8,0,5,0,7,10,0,6,0,0,3,0,15,0,0,21,5,26,0,10,45,10,45,13,19,91
LGA50350,0,0,0,0,0,0,9,0,3,18,0,19,0,3,27,4,18,0,12,35,0,13,0,9,23,0,16,0,9,23,4,56,15,22,98,6,28,11,16,64,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,16,25,174,32,83,313,0,0,0,0,0,0,0,0,0,0,0,6,0,3,24,5,15,3,6,26,0,5,0,8,15,0,14,0,7,24,4,36,6,18,61,5,59,13,31,110,0,16,7,5,29,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,21,160,37,84,308,0,0,0,0,0,0,0,0,0,0,0,9,0,3,10,5,9,3,8,25,0,8,3,5,12,4,12,0,10,31,7,56,7,24,94,9,66,6,29,112
LGA50420,5,5,3,5,16,0,31,3,5,38,8,36,5,14,73,7,40,9,34,83,9,25,6,24,56,8,54,20,38,117,15,173,43,80,316,40,166,35,81,325,7,30,5,16,44,0,4,0,0,13,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,4,17,7,0,31,95,587,138,303,1127,0,5,0,5,6,0,7,0,0,6,4,29,6,17,59,3,25,11,17,56,6,32,5,26,59,5,39,9,17,63,14,86,30,44,181,30,202,57,98,387,21,77,26,35,158,9,18,3,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,9,15,28,83,524,155,274,1042,0,4,0,0,5,0,0,0,3,3,4,15,0,12,36,6,30,3,16,58,10,31,4,15,58,9,69,11,31,115,15,139,31,74,260,29,206,65,104,400
LGA50490,0,9,0,4,16,3,50,4,11,70,8,49,8,28,92,11,37,9,38,91,0,18,7,19,45,3,30,6,17,60,12,115,11,47,190,14,101,30,41,188,7,13,4,14,35,0,6,3,5,5,0,4,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,31,56,440,94,241,838,0,3,0,3,3,0,4,0,6,13,4,45,8,24,75,7,45,12,14,72,8,14,3,29,48,9,17,0,20,50,11,59,10,36,113,24,118,31,78,257,6,49,12,35,107,0,5,3,4,14,0,4,0,0,3,0,6,0,3,4,0,0,0,0,0,0,0,0,3,0,0,14,0,8,23,68,380,82,262,788,0,0,0,6,8,0,6,0,6,9,0,22,7,28,51,3,35,8,15,61,9,28,9,7,50,9,48,4,37,97,20,109,23,62,215,24,134,33,94,289
LGA50560,0,0,0,0,0,0,4,0,0,4,0,6,0,0,3,0,4,0,4,12,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,3,0,0,6,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,23,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,4,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,4,0,0,4,0,3,0,4,8,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,4,10,0,0,13,4,8,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,8,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,5,0,4,10,0,5,0,0,3
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,3,0,0,4,0,0,0,0,6,0,0,0,0,0
