LGA_CODE_2021,C11_SH_0b_s_a_b_NPFH_2,C11_SH_0b_s_a_b_NPFH_3,C11_SH_0b_s_a_b_NPFH_4,C11_SH_0b_s_a_b_NPFH_5,C11_SH_0b_s_a_b_NPFH_6_mor,C11_SH_0b_s_a_b_Tot,C11_SH_1b_NPFH_2,C11_SH_1b_NPFH_3,C11_SH_1b_NPFH_4,C11_SH_1b_NPFH_5,C11_SH_1b_NPFH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPFH_2,C11_SH_2b_NPFH_3,C11_SH_2b_NPFH_4,C11_SH_2b_NPFH_5,C11_SH_2b_NPFH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPFH_2,C11_SH_3b_NPFH_3,C11_SH_3b_NPFH_4,C11_SH_3b_NPFH_5,C11_SH_3b_NPFH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPFH_2,C11_SH_4mb_NPFH_3,C11_SH_4mb_NPFH_4,C11_SH_4mb_NPFH_5,C11_SH_4mb_NPFH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPFH_2,C11_SH_NB_NS_NPFH_3,C11_SH_NB_NS_NPFH_4,C11_SH_NB_NS_NPFH_5,C11_SH_NB_NS_NPFH_6_mor,C11_SH_NB_NS_Tot,C11_SH_Tot_NPFH_2,C11_SH_Tot_NPFH_3,C11_SH_Tot_NPFH_4,C11_SH_Tot_NPFH_5,C11_SH_Tot_NPFH_6_mor,C11_SH_Tot_Tot,C11_SDRTHT_0b_s_a_b_NPFH_2,C11_SDRTHT_0b_s_a_b_NPFH_3,C11_SDRTHT_0b_s_a_b_NPFH_4,C11_SDRTHT_0b_s_a_b_NPFH_5,C11_SDRTHT_0b_s_a_b_NPFH_6mor,C11_SDRTHT_0b_s_a_b_Tot,C11_SDRTHT_1b_NPFH_2,C11_SDRTHT_1b_NPFH_3,C11_SDRTHT_1b_NPFH_4,C11_SDRTHT_1b_NPFH_5,C11_SDRTHT_1b_NPFH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPFH_2,C11_SDRTHT_2b_NPFH_3,C11_SDRTHT_2b_NPFH_4,C11_SDRTHT_2b_NPFH_5,C11_SDRTHT_2b_NPFH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPFH_2,C11_SDRTHT_3b_NPFH_3,C11_SDRTHT_3b_NPFH_4,C11_SDRTHT_3b_NPFH_5,C11_SDRTHT_3b_NPFH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPFH_2,C11_SDRTHT_4mb_NPFH_3,C11_SDRTHT_4mb_NPFH_4,C11_SDRTHT_4mb_NPFH_5,C11_SDRTHT_4mb_NPFH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPFH_2,C11_SDRTHT_NB_NS_NPFH_3,C11_SDRTHT_NB_NS_NPFH_4,C11_SDRTHT_NB_NS_NPFH_5,C11_SDRTHT_NB_NS_NPFH_6_mor,C11_SDRTHT_NB_NS_Tot,C11_SDRTHT_Tot_NPFH_2,C11_SDRTHT_Tot_NPFH_3,C11_SDRTHT_Tot_NPFH_4,C11_SDRTHT_Tot_NPFH_5,C11_SDRTHT_Tot_NPFH_6_mor,C11_SDRTHT_Tot_Tot,C11_F_a_0b_s_a_b_NPFH_2,C11_F_a_0b_s_a_b_NPFH_3,C11_F_a_0b_s_a_b_NPFH_4,C11_F_a_0b_s_a_b_NPFH_5,C11_F_a_0b_s_a_b_NPFH_6_mor,C11_F_a_0b_s_a_b_Tot,C11_F_a_1b_NPFH_2,C11_F_a_1b_NPFH_3,C11_F_a_1b_NPFH_4,C11_F_a_1b_NPFH_5,C11_F_a_1b_NPFH_6_mor,C11_F_a_1b_Tot,C11_F_a_2b_NPFH_2,C11_F_a_2b_NPFH_3,C11_F_a_2b_NPFH_4,C11_F_a_2b_NPFH_5,C11_F_a_2b_NPFH_6_mor,C11_F_a_2b_Tot,C11_F_a_3b_NPFH_2,C11_F_a_3b_NPFH_3,C11_F_a_3b_NPFH_4,C11_F_a_3b_NPFH_5,C11_F_a_3b_NPFH_6_mor,C11_F_a_3b_Tot,C11_F_a_4mb_NPFH_2,C11_F_a_4mb_NPFH_3,C11_F_a_4mb_NPFH_4,C11_F_a_4mb_NPFH_5,C11_F_a_4mb_NPFH_6_mor,C11_F_a_4mb_Tot,C11_F_a_NB_NS_NPFH_2,C11_F_a_NB_NS_NPFH_3,C11_F_a_NB_NS_NPFH_4,C11_F_a_NB_NS_NPFH_5,C11_F_a_NB_NS_NPFH_6_mor,C11_F_a_NB_NS_Tot,C11_F_a_Tot_NPFH_2,C11_F_a_Tot_NPFH_3,C11_F_a_Tot_NPFH_4,C11_F_a_Tot_NPFH_5,C11_F_a_Tot_NPFH_6_mor,C11_F_a_Tot_Tot,C11_OD_0b_s_a_b_NPFH_2,C11_OD_0b_s_a_b_NPFH_3,C11_OD_0b_s_a_b_NPFH_4,C11_OD_0b_s_a_b_NPFH_5,C11_OD_0b_s_a_b_NPFH_6_mor,C11_OD_0b_s_a_b_Tot,C11_OD_1b_NPFH_2,C11_OD_1b_NPFH_3,C11_OD_1b_NPFH_4,C11_OD_1b_NPFH_5,C11_OD_1b_NPFH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPFH_2,C11_OD_2b_NPFH_3,C11_OD_2b_NPFH_4,C11_OD_2b_NPFH_5,C11_OD_2b_NPFH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPFH_2,C11_OD_3b_NPFH_3,C11_OD_3b_NPFH_4,C11_OD_3b_NPFH_5,C11_OD_3b_NPFH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPFH_2,C11_OD_4mb_NPFH_3,C11_OD_4mb_NPFH_4,C11_OD_4mb_NPFH_5,C11_OD_4mb_NPFH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPFH_2,C11_OD_NB_NS_NPFH_3,C11_OD_NB_NS_NPFH_4,C11_OD_NB_NS_NPFH_5,C11_OD_NB_NS_NPFH_6_mor,C11_OD_NB_NS_Tot,C11_OD_Tot_NPFH_2,C11_OD_Tot_NPFH_3,C11_OD_Tot_NPFH_4,C11_OD_Tot_NPFH_5,C11_OD_Tot_NPFH_6_mor,C11_OD_Tot_Tot,C11_DS_NS_NPFH_2,C11_DS_NS_NPFH_3,C11_DS_NS_NPFH_4,C11_DS_NS_NPFH_5,C11_DS_NS_NPFH_6_mor,C11_DS_NS_Tot,C11_Tot_NPFH_2,C11_Tot_NPFH_3,C11_Tot_NPFH_4,C11_Tot_NPFH_5,C11_Tot_NPFH_6_mor,C11_Tot_Tot,C16_SH_0b_s_a_b_NPFH_2,C16_SH_0b_s_a_b_NPFH_3,C16_SH_0b_s_a_b_NPFH_4,C16_SH_0b_s_a_b_NPFH_5,C16_SH_0b_s_a_b_NPFH_6_mor,C16_SH_0b_s_a_b_Tot,C16_SH_1b_NPFH_2,C16_SH_1b_NPFH_3,C16_SH_1b_NPFH_4,C16_SH_1b_NPFH_5,C16_SH_1b_NPFH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPFH_2,C16_SH_2b_NPFH_3,C16_SH_2b_NPFH_4,C16_SH_2b_NPFH_5,C16_SH_2b_NPFH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPFH_2,C16_SH_3b_NPFH_3
LGA50080,5,0,3,0,0,9,54,6,5,3,3,63,446,103,55,5,0,616,2166,796,649,189,64,3859,1374,716,892,487,282,3756,44,12,7,7,4,74,4080,1640,1610,692,358,8380,0,0,0,0,0,0,8,0,0,0,0,13,82,17,3,0,0,108,80,27,16,9,0,135,14,8,3,3,0,26,0,0,0,0,0,0,187,57,28,9,0,278,0,0,0,0,0,0,6,0,0,0,0,6,46,8,5,0,0,55,36,10,11,5,0,59,9,0,3,0,3,19,0,3,0,0,0,0,102,22,15,6,4,150,4,0,0,0,0,3,11,0,0,0,0,17,22,3,0,0,0,18,5,0,4,0,0,11,6,0,0,0,0,3,5,0,0,0,0,4,50,3,0,3,0,63,3,0,0,0,0,3,4423,1720,1652,710,365,8872,4,0,0,0,0,7,47,6,3,0,5,64,505,117,40,12,4,676,2264,771
LGA50210,5,6,0,0,0,14,39,7,6,0,0,56,339,68,30,8,3,441,3046,1469,998,303,155,5969,2931,1861,2210,1146,699,8849,55,32,26,13,14,139,6413,3440,3272,1471,872,15470,0,0,0,0,0,0,31,0,0,0,0,29,78,15,5,0,0,92,228,99,61,19,3,411,28,23,23,12,11,99,4,0,0,0,0,11,369,141,93,32,15,644,0,0,0,0,0,0,6,0,0,0,0,6,102,27,9,0,0,141,186,95,40,12,4,340,4,7,4,4,3,16,9,3,0,0,0,12,302,130,57,17,9,513,0,0,0,0,0,5,4,0,0,0,0,6,10,0,0,0,0,14,0,0,0,0,0,6,4,0,0,0,0,5,0,0,0,0,0,0,23,5,3,4,0,29,0,0,0,0,0,0,7111,3713,3424,1518,895,16669,8,3,3,0,4,15,44,14,3,6,3,62,303,79,31,14,4,432,3352,1746
LGA50250,0,0,0,0,0,0,5,0,0,0,0,6,14,6,4,0,0,24,342,223,311,98,36,1011,40,18,54,75,50,242,3,4,6,0,0,10,410,253,369,177,86,1292,0,0,0,0,0,0,0,0,0,0,0,0,32,11,4,0,0,45,20,0,0,0,0,32,0,0,0,0,0,0,4,0,0,0,0,4,55,6,0,0,6,78,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,6,0,0,0,0,6,12,5,0,0,0,20,0,0,0,0,0,0,8,0,0,0,0,10,9,0,0,0,0,9,6,0,0,0,0,3,35,4,3,4,0,52,3,0,0,5,0,7,517,266,381,184,90,1434,0,0,0,0,0,0,6,5,5,0,0,13,31,12,4,0,0,45,294,199
LGA50280,4,3,0,0,0,3,30,5,5,0,0,40,181,63,29,5,0,276,682,307,258,77,16,1337,463,270,314,155,38,1244,13,0,5,0,0,20,1374,643,604,242,56,2919,0,0,0,0,0,0,8,0,0,0,0,11,14,4,3,0,0,29,30,6,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,58,12,6,7,0,81,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,8,8,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,18,0,0,0,0,0,3,4,0,0,0,0,7,3,0,0,0,0,10,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,22,0,8,0,0,30,0,0,0,0,0,0,1459,669,621,245,60,3053,6,0,0,0,0,6,43,7,4,0,0,57,193,66,38,8,5,308,770,337
LGA50350,0,0,0,0,0,0,9,0,0,0,0,9,216,70,33,4,0,322,842,390,325,73,16,1650,417,256,331,195,98,1300,14,5,0,3,5,30,1495,725,685,281,116,3301,0,0,0,0,0,0,5,0,0,0,0,5,63,7,0,0,0,67,97,40,20,5,0,162,9,7,3,5,0,23,0,0,0,0,0,7,172,62,24,11,0,266,0,0,0,0,0,0,4,0,0,0,0,4,37,4,0,0,0,45,92,49,32,5,3,182,5,5,3,0,0,15,3,0,0,0,0,3,138,61,34,6,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805,848,746,295,121,3817,3,0,0,0,0,3,11,0,4,0,0,12,190,44,21,3,0,272,806,388
LGA50420,6,0,0,0,0,14,36,3,6,0,0,49,682,196,98,30,0,1004,2963,1370,1089,299,116,5838,1920,1240,1548,734,325,5765,65,22,16,7,12,117,5672,2828,2749,1073,452,12782,0,0,0,0,0,3,32,0,0,0,0,35,431,114,39,8,0,592,705,319,173,45,28,1268,82,66,93,36,13,297,18,9,0,0,0,26,1266,510,311,91,37,2220,0,0,0,0,0,4,158,20,6,0,0,193,488,185,59,13,0,747,172,70,46,17,4,305,14,7,4,12,5,29,19,11,3,0,0,32,853,287,120,42,8,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,0,7,7798,3631,3180,1204,505,16325,0,0,0,0,0,4,39,4,0,0,0,49,598,175,78,14,4,873,3038,1496
LGA50490,3,3,0,0,0,12,15,3,0,0,0,20,371,117,44,15,6,543,1885,913,616,232,85,3730,791,540,620,318,191,2455,55,16,18,16,16,115,3120,1586,1296,573,302,6875,4,0,0,0,0,5,18,3,0,0,0,24,135,53,17,5,0,217,331,175,97,34,15,657,41,18,25,13,5,105,13,0,0,5,0,20,538,257,140,61,32,1025,0,0,0,0,0,0,45,10,0,0,0,60,175,48,19,3,3,241,198,89,51,15,7,363,14,13,19,5,0,54,8,3,0,0,0,14,441,159,99,23,11,727,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,0,0,0,0,10,4105,2001,1544,655,341,8646,0,3,0,0,0,9,21,3,0,0,7,33,328,120,43,11,11,512,1680,839
LGA50560,0,0,0,0,0,0,5,0,0,0,0,5,55,9,5,0,0,65,146,38,29,8,5,230,61,27,20,15,14,131,3,0,0,0,0,5,268,69,53,25,17,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,272,69,56,25,17,442,0,0,0,0,0,0,8,0,0,0,0,4,49,4,5,0,0,64,147,38
LGA50630,0,0,0,0,0,0,3,0,0,0,0,3,10,6,0,0,0,22,103,35,36,7,4,187,62,43,46,29,16,189,0,0,3,4,0,9,185,79,88,44,25,408,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,205,83,89,42,25,446,0,0,0,0,0,3,4,0,0,0,0,4,12,6,5,0,0,27,95,31
LGA50770,0,0,0,0,0,0,5,0,0,0,0,5,38,4,6,0,0,54,109,23,35,9,0,178,87,25,44,29,18,198,3,0,0,0,0,9,239,61,84,37,12,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,247,61,84,37,12,444,0,0,0,0,0,0,5,0,0,0,0,5,28,6,4,0,0,41,130,31
