LGA_CODE_2021,C16_SH_3b_NPFH_4,C16_SH_3b_NPFH_5,C16_SH_3b_NPFH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPFH_2,C16_SH_4mb_NPFH_3,C16_SH_4mb_NPFH_4,C16_SH_4mb_NPFH_5,C16_SH_4mb_NPFH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPFH_2,C16_SH_NB_NS_NPFH_3,C16_SH_NB_NS_NPFH_4,C16_SH_NB_NS_NPFH_5,C16_SH_NB_NS_NPFH_6_mor,C16_SH_NB_NS_Tot,C16_SH_Tot_NPFH_2,C16_SH_Tot_NPFH_3,C16_SH_Tot_NPFH_4,C16_SH_Tot_NPFH_5,C16_SH_Tot_NPFH_6_mor,C16_SH_Tot_Tot,C16_SDRTHT_0b_s_a_b_NPFH_2,C16_SDRTHT_0b_s_a_b_NPFH_3,C16_SDRTHT_0b_s_a_b_NPFH_4,C16_SDRTHT_0b_s_a_b_NPFH_5,C16_SDRTHT_0b_s_a_b_NPFH_6mor,C16_SDRTHT_0b_s_a_b_Tot,C16_SDRTHT_1b_NPFH_2,C16_SDRTHT_1b_NPFH_3,C16_SDRTHT_1b_NPFH_4,C16_SDRTHT_1b_NPFH_5,C16_SDRTHT_1b_NPFH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPFH_2,C16_SDRTHT_2b_NPFH_3,C16_SDRTHT_2b_NPFH_4,C16_SDRTHT_2b_NPFH_5,C16_SDRTHT_2b_NPFH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPFH_2,C16_SDRTHT_3b_NPFH_3,C16_SDRTHT_3b_NPFH_4,C16_SDRTHT_3b_NPFH_5,C16_SDRTHT_3b_NPFH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPFH_2,C16_SDRTHT_4mb_NPFH_3,C16_SDRTHT_4mb_NPFH_4,C16_SDRTHT_4mb_NPFH_5,C16_SDRTHT_4mb_NPFH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPFH_2,C16_SDRTHT_NB_NS_NPFH_3,C16_SDRTHT_NB_NS_NPFH_4,C16_SDRTHT_NB_NS_NPFH_5,C16_SDRTHT_NB_NS_NPFH_6_mor,C16_SDRTHT_NB_NS_Tot,C16_SDRTHT_Tot_NPFH_2,C16_SDRTHT_Tot_NPFH_3,C16_SDRTHT_Tot_NPFH_4,C16_SDRTHT_Tot_NPFH_5,C16_SDRTHT_Tot_NPFH_6_mor,C16_SDRTHT_Tot_Tot,C16_F_a_0b_s_a_b_NPFH_2,C16_F_a_0b_s_a_b_NPFH_3,C16_F_a_0b_s_a_b_NPFH_4,C16_F_a_0b_s_a_b_NPFH_5,C16_F_a_0b_s_a_b_NPFH_6_mor,C16_F_a_0b_s_a_b_Tot,C16_F_a_1b_NPFH_2,C16_F_a_1b_NPFH_3,C16_F_a_1b_NPFH_4,C16_F_a_1b_NPFH_5,C16_F_a_1b_NPFH_6_mor,C16_F_a_1b_Tot,C16_F_a_2b_NPFH_2,C16_F_a_2b_NPFH_3,C16_F_a_2b_NPFH_4,C16_F_a_2b_NPFH_5,C16_F_a_2b_NPFH_6_mor,C16_F_a_2b_Tot,C16_F_a_3b_NPFH_2,C16_F_a_3b_NPFH_3,C16_F_a_3b_NPFH_4,C16_F_a_3b_NPFH_5,C16_F_a_3b_NPFH_6_mor,C16_F_a_3b_Tot,C16_F_a_4mb_NPFH_2,C16_F_a_4mb_NPFH_3,C16_F_a_4mb_NPFH_4,C16_F_a_4mb_NPFH_5,C16_F_a_4mb_NPFH_6_mor,C16_F_a_4mb_Tot,C16_F_a_NB_NS_NPFH_2,C16_F_a_NB_NS_NPFH_3,C16_F_a_NB_NS_NPFH_4,C16_F_a_NB_NS_NPFH_5,C16_F_a_NB_NS_NPFH_6_mor,C16_F_a_NB_NS_Tot,C16_F_a_Tot_NPFH_2,C16_F_a_Tot_NPFH_3,C16_F_a_Tot_NPFH_4,C16_F_a_Tot_NPFH_5,C16_F_a_Tot_NPFH_6_mor,C16_F_a_Tot_Tot,C16_OD_0b_s_a_b_NPFH_2,C16_OD_0b_s_a_b_NPFH_3,C16_OD_0b_s_a_b_NPFH_4,C16_OD_0b_s_a_b_NPFH_5,C16_OD_0b_s_a_b_NPFH_6_mor,C16_OD_0b_s_a_b_Tot,C16_OD_1b_NPFH_2,C16_OD_1b_NPFH_3,C16_OD_1b_NPFH_4,C16_OD_1b_NPFH_5,C16_OD_1b_NPFH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPFH_2,C16_OD_2b_NPFH_3,C16_OD_2b_NPFH_4,C16_OD_2b_NPFH_5,C16_OD_2b_NPFH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPFH_2,C16_OD_3b_NPFH_3,C16_OD_3b_NPFH_4,C16_OD_3b_NPFH_5,C16_OD_3b_NPFH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPFH_2,C16_OD_4mb_NPFH_3,C16_OD_4mb_NPFH_4,C16_OD_4mb_NPFH_5,C16_OD_4mb_NPFH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPFH_2,C16_OD_NB_NS_NPFH_3,C16_OD_NB_NS_NPFH_4,C16_OD_NB_NS_NPFH_5,C16_OD_NB_NS_NPFH_6_mor,C16_OD_NB_NS_Tot,C16_OD_Tot_NPFH_2,C16_OD_Tot_NPFH_3,C16_OD_Tot_NPFH_4,C16_OD_Tot_NPFH_5,C16_OD_Tot_NPFH_6_mor,C16_OD_Tot_Tot,C16_DS_NS_NPFH_2,C16_DS_NS_NPFH_3,C16_DS_NS_NPFH_4,C16_DS_NS_NPFH_5,C16_DS_NS_NPFH_6_mor,C16_DS_NS_Tot,C16_Tot_NPFH_2,C16_Tot_NPFH_3,C16_Tot_NPFH_4,C16_Tot_NPFH_5,C16_Tot_NPFH_6_mor,C16_Tot_Tot,C21_SH_0b_s_a_b_NPFH_2,C21_SH_0b_s_a_b_NPFH_3,C21_SH_0b_s_a_b_NPFH_4,C21_SH_0b_s_a_b_NPFH_5,C21_SH_0b_s_a_b_NPFH_6_mor,C21_SH_0b_s_a_b_Tot,C21_SH_1b_NPFH_2,C21_SH_1b_NPFH_3,C21_SH_1b_NPFH_4,C21_SH_1b_NPFH_5,C21_SH_1b_NPFH_6_mor,C21_SH_1b_Tot,C21_SH_2b_NPFH_2,C21_SH_2b_NPFH_3,C21_SH_2b_NPFH_4,C21_SH_2b_NPFH_5,C21_SH_2b_NPFH_6_mor,C21_SH_2b_Tot,C21_SH_3b_NPFH_2,C21_SH_3b_NPFH_3,C21_SH_3b_NPFH_4,C21_SH_3b_NPFH_5,C21_SH_3b_NPFH_6_mor,C21_SH_3b_Tot,C21_SH_4mb_NPFH_2,C21_SH_4mb_NPFH_3,C21_SH_4mb_NPFH_4,C21_SH_4mb_NPFH_5,C21_SH_4mb_NPFH_6_mor,C21_SH_4mb_Tot,C21_SH_NB_NS_NPFH_2,C21_SH_NB_NS_NPFH_3,C21_SH_NB_NS_NPFH_4,C21_SH_NB_NS_NPFH_5,C21_SH_NB_NS_NPFH_6_mor,C21_SH_NB_NS_Tot,C21_SH_Tot_NPFH_2,C21_SH_Tot_NPFH_3,C21_SH_Tot_NPFH_4,C21_SH_Tot_NPFH_5
LGA50080,654,222,83,3997,1585,740,993,538,273,4125,54,23,11,0,3,88,4458,1655,1703,772,372,8959,0,0,0,0,0,0,11,0,0,0,0,17,104,21,6,0,0,132,69,24,14,3,0,111,5,0,3,0,0,13,13,0,0,0,0,13,209,42,24,11,0,285,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,4,4,3,0,0,15,5,0,0,0,0,5,21,0,0,0,0,21,23,4,0,0,0,24,7,4,3,0,0,16,3,0,3,0,0,10,5,0,0,0,0,5,61,7,9,0,0,76,24,5,7,0,0,45,4764,1717,1745,788,369,9381,7,4,0,0,0,10,73,3,3,0,0,76,508,92,39,12,7,655,2430,847,649,195,60,4181,1846,855,1033,557,325,4621,46,11,7,3,5,78,4905,1816,1729,776
LGA50210,1163,345,154,6773,3475,2672,3043,1475,910,11577,101,44,33,23,22,215,7289,4550,4274,1870,1102,19077,0,0,0,0,0,0,29,0,0,0,0,34,202,39,14,4,0,254,610,320,188,46,27,1190,96,65,82,44,22,309,18,6,3,0,0,32,956,432,285,91,49,1814,0,0,0,0,0,0,0,0,0,0,0,0,34,17,4,0,0,59,16,7,3,0,0,31,0,0,0,3,0,11,0,0,0,0,0,0,54,30,9,4,0,99,3,0,0,0,0,3,4,0,0,0,0,3,7,0,0,0,0,7,8,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,19,3,0,0,0,28,15,10,3,3,0,28,8334,5024,4577,1969,1153,21050,4,0,0,0,0,7,17,6,0,4,0,29,290,83,32,9,9,422,3855,2006,1549,437,187,8035,4116,3137,4195,1969,1171,14580,79,49,39,11,19,193,8362,5282,5815,2431
LGA50250,307,85,17,900,44,34,61,74,57,277,7,6,3,4,0,22,390,250,372,162,80,1260,0,0,0,0,0,0,4,0,0,0,0,4,28,3,0,0,0,33,30,4,6,0,0,32,0,0,5,0,0,5,0,0,0,0,0,0,62,8,7,0,0,82,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,0,0,4,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,15,4,0,0,0,0,3,15,0,0,0,0,15,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,27,3,0,0,0,0,3,496,266,388,166,80,1387,0,0,0,0,0,0,4,0,0,0,0,6,36,0,4,0,0,47,279,184,216,72,16,762,57,26,59,68,31,247,11,6,3,0,0,19,388,218,282,139
LGA50280,286,74,18,1482,573,341,438,216,59,1627,21,3,4,0,0,28,1605,750,764,308,83,3507,0,0,0,0,0,0,5,0,0,0,0,3,19,11,3,0,0,29,17,7,3,0,0,31,0,0,0,0,0,5,0,0,0,0,0,0,40,20,9,5,0,74,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,23,4,0,0,0,0,3,14,0,0,0,0,16,7,0,0,0,0,11,3,4,0,0,0,4,5,0,3,0,0,7,0,0,0,0,0,0,31,10,3,0,0,48,11,11,6,4,3,33,1705,789,788,316,80,3683,8,0,0,0,0,11,55,8,8,5,3,75,240,76,32,7,0,362,871,392,305,72,15,1649,691,366,550,249,75,1935,25,4,5,3,0,36,1881,844,902,341
LGA50350,313,84,23,1621,426,320,390,189,97,1424,20,3,8,3,0,35,1458,765,732,282,123,3364,0,0,0,0,0,0,14,0,0,0,0,14,74,23,4,0,0,103,194,85,53,14,4,354,12,17,13,7,0,47,8,0,0,0,0,8,295,125,79,17,5,516,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,0,43,7,11,5,0,0,23,0,0,0,0,0,0,5,0,0,0,0,5,52,15,5,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,1806,911,811,302,132,3958,0,0,0,0,0,0,12,3,0,0,0,14,173,40,23,0,0,242,857,437,324,72,22,1706,522,374,459,188,85,1629,13,10,0,0,0,23,1576,868,805,266
LGA50420,1161,279,112,6094,2070,1358,1701,709,368,6206,97,40,25,13,13,185,5838,3079,2972,1017,497,13403,0,4,0,0,0,5,55,8,3,0,0,61,534,134,60,18,5,752,842,361,248,67,28,1547,80,89,87,31,23,305,22,5,3,0,0,41,1539,598,402,124,56,2720,4,0,0,0,0,4,125,28,13,0,0,163,409,125,56,7,0,597,89,37,24,3,0,153,0,0,0,0,0,5,4,0,3,0,0,11,632,192,92,13,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,21,4,7,8,0,41,8030,3878,3474,1162,555,17103,4,0,0,0,0,6,47,4,6,6,0,56,636,177,74,5,5,898,3360,1648,1329,256,76,6672,2451,1582,1843,767,370,7013,43,21,19,5,4,96,6544,3434,3264,1043
LGA50490,634,208,74,3438,833,574,687,332,243,2670,42,31,11,7,16,109,2903,1570,1379,565,347,6772,4,0,0,0,0,4,38,0,0,0,0,40,205,67,27,8,3,314,468,256,174,65,37,1003,103,83,84,47,28,347,18,9,0,0,3,35,834,419,291,120,67,1738,0,0,0,0,0,4,148,10,3,0,0,159,253,82,10,0,0,345,104,34,25,6,0,163,3,0,0,0,0,7,19,4,0,0,0,26,526,126,37,4,5,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,8,13,4,3,0,3,27,4281,2126,1712,700,426,9245,0,0,0,0,0,4,29,8,4,0,0,37,354,110,42,4,4,513,1792,922,655,201,79,3644,1065,728,829,395,265,3282,31,11,4,3,0,62,3273,1780,1539,606
LGA50560,36,7,5,235,58,32,17,14,12,129,7,0,0,0,0,5,258,78,64,24,14,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,265,80,61,19,14,453,0,0,0,0,0,0,7,0,0,0,0,11,52,9,0,0,0,64,146,44,25,13,0,224,56,23,28,12,7,132,3,0,0,0,0,5,272,76,50,23
LGA50630,33,11,0,172,92,47,67,34,18,243,0,0,0,0,0,0,214,84,105,40,17,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,223,91,103,44,17,473,0,0,0,0,0,0,0,0,0,0,0,3,23,9,3,0,0,27,90,30,21,8,0,154,95,44,58,34,15,242,7,0,0,5,0,9,211,86,80,39
LGA50770,27,7,5,199,90,29,44,32,8,203,0,0,0,0,0,4,253,66,74,44,15,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,0,260,65,74,44,15,459,0,0,0,0,0,0,3,0,0,0,0,3,52,7,0,0,0,56,120,40,31,5,0,195,100,20,40,37,11,211,0,0,0,0,0,3,275,72,75,44
