LGA_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
LGA50080,3,0,0,4,20,0,10,0,0,33,58,0,12,0,3,71,47,0,18,0,4,76,75,3,40,4,7,134,216,28,164,14,22,442,208,33,216,23,33,506,57,9,59,9,11,144,12,3,10,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,24,0,4,50,722,85,557,50,77,1493
LGA50210,0,0,0,6,23,0,3,0,3,26,59,0,11,0,3,74,72,0,40,3,4,117,165,11,107,10,16,310,335,46,361,18,45,799,344,77,501,43,64,1023,121,44,224,21,16,426,24,15,41,9,6,90,5,4,5,0,0,12,0,0,3,0,0,5,0,0,0,0,0,0,0,0,3,0,0,9,43,0,18,0,9,71,1194,192,1325,103,167,2977
LGA50250,17,4,0,25,22,0,18,0,0,42,11,0,7,0,3,24,6,0,13,6,0,21,3,0,9,0,0,10,0,0,0,0,0,12,12,0,0,3,0,18,6,0,11,0,0,17,4,0,4,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,25,4,38,0,3,72,298,48,415,34,30,822
LGA50280,0,0,0,0,5,0,0,0,0,9,8,0,6,3,0,14,16,0,9,0,0,26,15,3,10,3,0,34,60,6,40,5,9,111,114,11,127,6,9,268,54,13,55,4,0,122,7,0,24,0,0,30,0,0,0,0,0,4,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,5,17,4,0,37,307,36,301,23,17,678
LGA50350,0,0,0,0,4,0,0,6,0,5,26,0,0,0,0,30,14,0,3,0,0,15,23,3,6,0,0,30,72,0,62,8,7,154,146,12,100,6,12,279,30,9,29,6,6,78,9,4,6,4,0,22,5,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,8,0,4,0,0,18,340,25,222,24,38,647
LGA50420,0,0,0,8,25,0,5,0,0,31,65,0,21,0,5,88,67,3,26,0,3,108,197,0,98,5,10,310,422,23,224,23,28,720,727,52,441,39,63,1324,314,40,219,29,31,638,72,9,60,6,13,169,14,3,19,8,4,45,10,4,3,4,0,22,0,0,0,0,0,3,5,0,0,0,0,9,33,5,27,3,7,77,1959,146,1167,114,164,3541
LGA50490,5,0,0,8,17,0,3,0,3,22,52,3,5,8,4,72,44,3,15,0,4,65,104,7,53,8,5,172,401,19,240,20,28,710,693,69,472,46,51,1335,233,22,151,23,15,445,50,10,28,4,7,98,26,5,6,0,0,38,6,0,3,0,0,3,0,0,0,0,0,4,3,0,0,0,0,4,30,4,21,3,9,67,1665,142,1009,105,125,3045
LGA50560,0,0,0,0,5,0,0,0,0,4,5,0,0,0,0,4,0,0,0,0,0,0,3,0,4,0,0,4,3,0,0,0,4,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,12,0,3,35
LGA50630,5,0,0,8,0,0,0,0,0,3,3,0,0,0,0,6,5,0,0,0,0,0,7,0,0,0,0,7,11,0,7,0,0,26,4,4,9,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,7,28,8,35,3,3,75
LGA50770,0,0,0,0,0,0,3,0,0,4,9,0,0,0,0,7,9,0,0,0,0,6,7,0,5,0,0,7,9,0,3,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,7,30,0,18,0,0,50
