LGA_CODE_2021,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_F_a,C11_OO_DS_OD,C11_OO_DS_NS,C11_Owned_Outright_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_F_a,C11_OWM_DS_OD,C11_OWM_DS_NS,C11_Owned_with_mortgage_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_F_a,C11_R_REA_DS_OD,C11_R_REA_DS_NS,C11_R_Real_Estate_Agent_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_F_a,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS,C11_R_ST_House_Auth_Tot,C11_R_CHP_DS_Sep_house,C11_R_CHP_DS_SemiDRTHT,C11_R_CHP_DS_F_a,C11_R_CHP_DS_OD,C11_R_CHP_DS_NS,C11_R_CHP_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemDRTHT,C11_R_PNISH_DS_F_a,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS,C11_R_PNISH_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemDRTHT,C11_R_OLT_DS_F_a,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS,C11_R_Oth_Llord_Type_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemDRTHT,C11_R_LT_NS_DS_F_a,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS,C11_R_Llord_Type_NS_Tot,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemDRTHT,C11_R_Tot_DS_F_a,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS,C11_R_Tot_Tot,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT,C11_OTT_DS_F_a,C11_OTT_DS_OD,C11_OTT_DS_NS,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_F_a,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS,C11_TT_NS_Tot,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_F_a,C11_Tot_DS_OD,C11_Tot_DS_NS,C11_Tot_Tot,C16_OO_DS_Sep_house,C16_OO_DS_SemiDRTHT,C16_OO_DS_F_a,C16_OO_DS_OD,C16_OO_DS_NS,C16_OO_Tot,C16_OWM_DS_Sep_house,C16_OWM_DS_SemiDRTHT,C16_OWM_DS_F_a,C16_OWM_DS_OD,C16_OWM_DS_NS,C16_OWM_Tot,C16_R_REA_DS_Sep_house,C16_R_REA_DS_SemiDRTHT,C16_R_REA_DS_F_a,C16_R_REA_DS_OD,C16_R_REA_DS_NS,C16_R_REA_Tot,C16_R_STHA_DS_Sep_house,C16_R_STHA_DS_SemiDRTHT,C16_R_STHA_DS_F_a,C16_R_STHA_DS_OD,C16_R_STHA_DS_NS,C16_R_STHA_Tot,C16_R_CHP_DS_Sep_house,C16_R_CHP_DS_SemiDRTHT,C16_R_CHP_DS_F_a,C16_R_CHP_DS_OD,C16_R_CHP_DS_NS,C16_R_CHP_Tot,C16_R_PNISH_DS_Sep_house,C16_R_PNISH_DS_SemDRTHT,C16_R_PNISH_DS_F_a,C16_R_PNISH_DS_OD,C16_R_PNISH_DS_NS,C16_R_PNISH_Tot,C16_R_OLT_DS_Sep_house,C16_R_OLT_DS_SemDRTHT,C16_R_OLT_DS_F_a,C16_R_OLT_DS_OD,C16_R_OLT_DS_NS,C16_R_OLT_Tot,C16_R_LT_NS_DS_Sep_house,C16_R_LT_NS_DS_SemDRTHT,C16_R_LT_NS_DS_F_a,C16_R_LT_NS_DS_OD,C16_R_LT_NS_DS_NS,C16_R_LT_NS_Tot,C16_R_Tot_DS_Sep_house,C16_R_Tot_DS_SemiDRTHT,C16_R_Tot_DS_F_a,C16_R_Tot_DS_OD,C16_R_Tot_DS_NS,C16_R_Tot_Tot,C16_OTT_DS_Sep_house,C16_OTT_DS_SemiDRTHT,C16_OTT_DS_F_a,C16_OTT_DS_OD,C16_OTT_DS_NS,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_F_a,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS,C16_TT_NS_Tot,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_F_a,C16_Tot_DS_OD,C16_Tot_DS_NS,C16_Tot_Tot,C21_OO_DS_Sep_house,C21_OO_DS_SemiDRTHT,C21_OO_DS_F_a,C21_OO_DS_OD,C21_OO_DS_NS,C21_OO_Tot,C21_OWM_DS_Sep_house,C21_OWM_DS_SemiDRTHT,C21_OWM_DS_F_a,C21_OWM_DS_OD,C21_OWM_DS_NS,C21_OWM_Tot,C21_R_REA_DS_Sep_house,C21_R_REA_DS_SemiDRTHT,C21_R_REA_DS_F_a,C21_R_REA_DS_OD,C21_R_REA_DS_NS,C21_R_REA_Tot,C21_R_STHA_DS_Sep_house,C21_R_STHA_DS_SemiDRTHT,C21_R_STHA_DS_F_a,C21_R_STHA_DS_OD,C21_R_STHA_DS_NS,C21_R_STHA_Tot,C21_R_CHP_DS_Sep_house,C21_R_CHP_DS_SemiDRTHT,C21_R_CHP_DS_F_a,C21_R_CHP_DS_OD,C21_R_CHP_DS_NS,C21_R_CHP_Tot,C21_R_PNISH_DS_Sep_house,C21_R_PNISH_DS_SemDRTHT,C21_R_PNISH_DS_F_a,C21_R_PNISH_DS_OD,C21_R_PNISH_DS_NS,C21_R_PNISH_Tot,C21_R_OLT_DS_Sep_house,C21_R_OLT_DS_SemDRTHT,C21_R_OLT_DS_F_a,C21_R_OLT_DS_OD,C21_R_OLT_DS_NS,C21_R_OLT_Tot,C21_R_LT_NS_DS_Sep_house,C21_R_LT_NS_DS_SemDRTHT,C21_R_LT_NS_DS_F_a,C21_R_LT_NS_DS_OD,C21_R_LT_NS_DS_NS,C21_R_LT_NS_Tot,C21_R_Tot_DS_Sep_house,C21_R_Tot_DS_SemiDRTHT,C21_R_Tot_DS_F_a,C21_R_Tot_DS_OD,C21_R_Tot_DS_NS,C21_R_Tot_Tot,C21_OTT_DS_Sep_house,C21_OTT_DS_SemiDRTHT
LGA50080,4147,148,96,115,3,4508,3722,65,28,13,0,3827,1384,131,75,3,0,1598,385,176,69,0,0,628,44,48,61,0,0,156,865,51,47,9,0,973,130,5,12,46,0,193,10,8,7,0,0,30,2827,419,279,58,0,3578,258,64,40,9,0,377,448,53,59,68,0,623,11400,748,506,259,6,12910,4560,226,3,179,21,4991,4152,61,0,19,18,4249,1356,193,11,6,6,1571,401,174,0,0,6,578,47,112,17,0,0,171,914,79,3,4,3,1001,122,29,4,44,0,200,19,10,0,0,0,27,2853,586,32,60,17,3546,293,79,0,10,9,391,803,141,16,55,5,1029,12666,1100,55,317,67,14205,5293,183,12,173,16,5666,4704,89,12,7,9,4818,1349,241,16,4,0,1603,432,165,7,0,3,605,96,158,10,0,0,270,1023,90,4,6,0,1125,164,40,9,85,5,303,15,16,0,0,0,33,3076,704,48,93,11,3938,284,96
LGA50210,5334,198,158,41,3,5733,10003,366,161,8,0,10540,1739,269,317,0,5,2330,346,95,224,0,0,663,21,65,14,0,0,99,1283,118,92,7,0,1496,111,26,10,42,0,187,8,16,5,0,0,28,3512,586,660,53,4,4815,259,81,15,5,0,361,1150,113,105,23,0,1387,20253,1345,1096,130,9,22838,5605,419,25,29,7,6078,13462,955,37,7,10,14470,2306,873,63,4,16,3269,268,313,59,0,0,637,29,38,8,0,0,81,1383,257,21,0,3,1663,130,28,0,42,5,201,17,9,0,4,0,33,4140,1530,147,46,22,5884,221,127,3,0,3,361,1607,375,35,37,8,2063,25038,3405,243,119,54,28859,6445,442,24,155,8,7070,16983,541,35,9,8,17578,3310,913,55,0,8,4284,283,300,32,0,0,618,24,114,25,0,0,170,1593,238,17,3,6,1859,171,55,3,48,0,278,23,17,4,0,0,43,5413,1637,138,58,11,7248,229,133
LGA50250,129,0,0,368,38,543,68,0,0,17,0,85,36,8,0,4,0,46,47,20,5,6,0,74,56,0,0,0,0,52,19,0,0,8,0,26,1023,112,26,38,0,1195,3,0,0,0,0,9,1191,137,34,45,0,1410,194,23,0,47,12,279,126,19,4,170,4,331,1707,184,38,648,59,2642,103,0,0,340,4,453,47,0,4,23,0,75,77,19,13,0,0,112,66,8,3,0,0,75,48,4,0,0,0,50,35,0,5,14,0,48,1015,105,13,31,0,1169,12,0,0,0,0,12,1253,131,32,46,0,1466,150,11,25,45,7,238,139,17,12,181,27,381,1690,158,73,633,47,2605,111,0,4,437,47,597,36,3,0,24,8,68,65,9,15,3,0,88,77,9,0,0,3,92,48,4,3,3,0,60,32,3,3,28,6,79,927,44,15,145,44,1174,6,0,4,0,0,8,1153,76,36,180,55,1501,176,17
LGA50280,1269,36,15,58,4,1376,1372,22,0,0,0,1402,504,67,11,0,0,582,50,25,7,0,0,79,5,14,4,0,0,24,441,22,10,3,0,479,64,0,0,27,0,93,10,0,0,0,0,10,1067,131,27,38,0,1263,162,11,13,24,0,212,329,21,6,32,5,394,4194,213,63,152,11,4643,1533,22,7,74,14,1648,1837,26,0,15,16,1903,497,64,6,0,5,569,46,26,23,0,0,99,14,0,4,0,0,19,522,18,3,7,5,560,52,0,0,45,0,99,9,0,0,0,0,9,1144,112,32,58,13,1358,172,0,17,8,13,211,384,10,0,64,16,477,5068,175,63,219,63,5589,1994,62,3,65,13,2135,2162,55,9,4,8,2230,499,50,3,3,4,564,56,39,10,0,0,95,8,11,0,0,0,14,615,43,8,11,5,687,75,0,0,57,8,136,4,0,0,0,0,9,1257,138,21,73,13,1512,144,36
LGA50350,1528,114,117,0,0,1758,1908,154,121,0,0,2180,450,89,82,0,0,624,139,90,87,0,0,307,5,8,4,0,0,22,372,55,58,0,0,492,28,3,7,0,0,36,6,4,5,0,0,14,995,249,245,0,0,1495,70,14,20,0,0,110,242,40,41,0,0,323,4745,574,546,0,0,5864,1508,191,55,0,0,1755,1978,274,63,0,4,2322,487,199,45,0,0,731,132,136,40,0,0,310,18,14,0,0,0,34,342,94,15,0,6,451,19,5,0,0,0,31,9,0,0,0,0,9,1006,455,101,0,4,1568,56,32,9,0,0,97,271,82,17,5,6,375,4814,1039,244,3,15,6118,1630,202,69,0,0,1909,2170,312,75,0,6,2555,588,214,80,0,4,885,125,149,30,0,0,298,35,31,0,0,0,65,327,93,23,0,0,447,15,8,0,0,0,26,6,7,0,0,0,18,1095,501,137,5,4,1738,60,35
LGA50420,6455,896,384,0,0,7736,6455,1260,631,0,4,8351,1730,946,1089,0,4,3770,226,341,285,0,0,848,17,77,50,0,0,144,1477,540,561,0,3,2576,156,47,65,0,0,264,22,7,22,0,0,55,3633,1961,2062,0,10,7664,245,126,67,4,0,446,857,349,359,5,0,1570,17638,4593,3503,15,13,25774,6410,925,242,4,12,7595,6937,1536,499,10,27,9001,2092,1243,918,0,10,4263,211,429,161,0,0,800,17,77,17,0,0,107,1367,576,358,0,9,2307,117,59,48,0,0,229,11,12,8,0,0,32,3815,2391,1513,5,23,7742,243,161,28,0,0,432,1083,482,323,21,13,1921,18485,5491,2606,34,76,26692,7046,988,280,7,0,8323,7999,1550,589,4,4,10145,2576,1510,1263,0,7,5350,235,410,142,0,0,788,35,80,19,0,0,135,1477,571,380,0,0,2433,164,82,36,0,5,293,11,19,7,0,0,40,4502,2666,1849,3,11,9037,208,139
LGA50490,3021,295,239,25,4,3583,3478,484,319,0,5,4285,1458,497,466,0,7,2428,487,388,248,0,0,1118,17,20,19,0,0,51,948,229,182,0,3,1363,95,35,26,7,0,163,31,5,4,0,0,35,3028,1172,937,13,6,5158,145,32,53,5,0,238,806,204,163,15,0,1186,10473,2188,1704,57,22,14449,2886,454,134,24,0,3505,3406,860,351,0,10,4629,1631,861,714,0,17,3223,505,441,71,0,0,1020,32,18,0,0,0,55,860,310,160,3,5,1343,80,39,17,0,0,140,12,5,3,0,0,27,3131,1678,968,7,22,5808,140,51,21,0,0,221,968,511,472,33,14,2002,10537,3560,1940,65,59,16157,3097,464,236,20,4,3813,3954,831,542,0,5,5334,2207,1188,1277,0,4,4681,502,461,57,0,0,1027,70,70,7,0,0,148,896,325,248,0,3,1476,129,49,18,6,8,218,31,11,5,0,0,54,3834,2110,1617,9,18,7593,143,42
LGA50560,339,0,0,9,0,353,183,0,0,0,0,185,7,0,0,0,0,7,16,7,0,0,0,21,0,0,0,0,0,0,31,3,0,3,0,39,3,0,0,0,0,3,0,0,0,0,0,0,60,6,0,3,0,73,42,0,0,0,0,42,21,11,0,0,0,31,644,19,3,14,3,678,332,0,0,5,0,339,195,0,0,0,0,200,15,0,0,0,0,15,17,0,5,0,0,22,0,0,0,0,0,5,23,0,3,0,0,26,5,0,0,0,0,9,0,0,0,0,0,6,65,0,12,0,5,75,32,0,0,0,0,32,87,0,8,0,0,94,713,3,17,5,3,739,366,0,0,5,0,375,175,0,0,5,0,180,19,0,0,0,0,19,7,6,0,0,0,10,0,0,0,3,0,4,36,0,0,0,0,42,7,0,0,0,0,7,0,0,0,0,0,0,70,6,0,8,0,83,37,0
LGA50630,163,0,0,10,0,175,185,0,0,11,0,200,26,13,0,0,0,39,9,0,6,0,0,15,0,0,0,0,0,0,59,8,0,0,0,64,16,3,4,0,0,27,0,0,0,0,0,4,115,16,13,0,0,151,36,3,0,0,0,39,30,4,0,0,0,37,539,26,16,23,0,602,188,0,0,5,0,194,228,0,0,0,0,230,66,5,5,0,0,74,7,4,3,0,0,15,0,0,0,0,0,0,45,0,0,0,0,48,31,0,0,0,0,30,0,0,0,0,0,5,152,7,13,0,0,172,19,0,0,0,0,22,54,0,4,6,4,71,642,14,12,12,3,692,204,0,0,8,0,206,200,0,0,0,0,201,62,9,0,0,0,71,12,0,0,0,0,17,4,3,0,0,0,5,44,0,0,0,0,44,37,0,0,3,0,39,0,0,0,0,0,0,158,15,0,3,0,178,17,5
LGA50770,307,0,0,0,3,308,172,0,0,0,0,171,21,0,0,0,0,21,14,0,0,0,0,14,0,0,0,0,0,0,40,0,0,0,0,39,6,0,0,0,0,12,0,0,0,0,0,0,82,3,0,0,0,87,38,0,0,0,0,38,22,0,0,0,0,22,618,3,0,0,3,626,312,0,0,3,0,319,181,0,0,0,0,183,22,0,0,0,0,22,10,0,0,0,0,15,0,0,0,0,0,0,47,0,0,0,0,47,13,0,0,0,0,8,0,0,0,0,0,0,89,3,0,0,0,96,40,0,0,0,0,43,63,0,0,0,0,65,683,5,0,12,0,706,346,0,0,0,0,352,170,0,0,0,0,170,21,0,0,0,0,21,12,0,0,0,0,12,0,0,0,0,0,0,55,0,0,0,0,60,20,0,0,0,0,20,0,0,0,0,0,0,114,3,0,0,0,121,37,0
