LGA_CODE_2021,C11_CFNC_BF_Neg_ni_inc,C11_CFNC_BF_1_149,C11_CFNC_BF_150_399,C11_CFNC_BF_400_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_1249,C11_CFNC_BF_1250_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000more,C11_CFNC_BF_Ns,C11_CFNC_BF_Tot,C11_CFNC_BPT_Neg_ni_inc,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_399,C11_CFNC_BPT_400_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_1249,C11_CFNC_BPT_1250_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000more,C11_CFNC_BPT_Ns,C11_CFNC_BPT_Tot,C11_CFNC_1F1P_Neg_ni_inc,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_399,C11_CFNC_1F1P_400_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_1249,C11_CFNC_1F1P_1250_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000more,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_Tot,C11_CFNC_1E1A_Neg_ni_inc,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_399,C11_CFNC_1E1A_400_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_1249,C11_CFNC_1E1A_1250_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000more,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_Tot,C11_CFNC_1F1NW_Neg_ni_inc,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_399,C11_CFNC_1F1NW_400_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_1249,C11_CFNC_1F1NW_1250_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000more,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_Tot,C11_CFNC_1P1NW_Neg_ni_inc,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_399,C11_CFNC_1P1NW_400_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_1249,C11_CFNC_1P1NW_1250_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000more,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_Tot,C11_CFNC_1A1NW_Neg_ni_inc,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_399,C11_CFNC_1A1NW_400_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_1249,C11_CFNC_1A1NW_1250_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000more,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_Tot,C11_CFNC_BA_Neg_ni_inc,C11_CFNC_BA_1_149,C11_CFNC_BA_150_399,C11_CFNC_BA_400_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_1249,C11_CFNC_BA_1250_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000_3999,C11_CFNC_BA_4000more,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_Neg_ni_inc,C11_CFNC_BNW_1_149,C11_CFNC_BNW_150_399,C11_CFNC_BNW_400_649,C11_CFNC_BNW_650_799,C11_CFNC_BNW_800_1249,C11_CFNC_BNW_1250_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000_3999,C11_CFNC_BNW_4000more,C11_CFNC_BNW_Ns,C11_CFNC_BNW_Tot,C11_CFNC_LFns_Neg_ni_inc,C11_CFNC_LFns_1_149,C11_CFNC_LFns_150_399,C11_CFNC_LFns_400_649,C11_CFNC_LFns_650_799,C11_CFNC_LFns_800_1249,C11_CFNC_LFns_1250_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000_3999,C11_CFNC_LFns_4000more,C11_CFNC_LFns_Ns,C11_CFNC_LFns_Tot,C11_CFNC_Tot_Neg_ni_inc,C11_CFNC_Tot_1_149,C11_CFNC_Tot_150_399,C11_CFNC_Tot_400_649,C11_CFNC_Tot_650_799,C11_CFNC_Tot_800_1249,C11_CFNC_Tot_1250_1999,C11_CFNC_Tot_2000_2499,C11_CFNC_Tot_2500_2999,C11_CFNC_Tot_3000_3999,C11_CFNC_Tot_4000more,C11_CFNC_Tot_Ns,C11_CFNC_Tot_Tot,C11_CF_BFT_Neg_ni_inc,C11_CF_BFT_1_149,C11_CF_BFT_150_399,C11_CF_BFT_400_649,C11_CF_BFT_650_799,C11_CF_BFT_800_1249,C11_CF_BFT_1250_1999,C11_CF_BFT_2000_2499,C11_CF_BFT_2500_2999,C11_CF_BFT_3000_3999,C11_CF_BFT_4000more,C11_CF_BFT_Ns,C11_CF_BFT_Tot,C11_CF_BPT_Neg_ni_inc,C11_CF_BPT_1_149,C11_CF_BPT_150_399,C11_CF_BPT_400_649,C11_CF_BPT_650_799,C11_CF_BPT_800_1249,C11_CF_BPT_1250_1999,C11_CF_BPT_2000_2499,C11_CF_BPT_2500_2999,C11_CF_BPT_3000_3999,C11_CF_BPT_4000more,C11_CF_BPT_Ns,C11_CF_BPT_Tot,C11_CF_1F1P_Neg_ni_inc,C11_CF_1F1P_1_149,C11_CF_1F1P_150_399,C11_CF_1F1P_400_649,C11_CF_1F1P_650_799,C11_CF_1F1P_800_1249,C11_CF_1F1P_1250_1999,C11_CF_1F1P_2000_2499,C11_CF_1F1P_2500_2999,C11_CF_1F1P_3000_3999,C11_CF_1F1P_4000more,C11_CF_1F1P_Ns,C11_CF_1F1P_Tot,C11_CF_1E1A_Neg_ni_inc,C11_CF_1E1A_1_149,C11_CF_1E1A_150_399,C11_CF_1E1A_400_649,C11_CF_1E1A_650_799,C11_CF_1E1A_800_1249,C11_CF_1E1A_1250_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_3999,C11_CF_1E1A_4000more,C11_CF_1E1A_Ns,C11_CF_1E1A_Tot,C11_CF_1F1NW_Neg_ni_inc,C11_CF_1F1NW_1_149,C11_CF_1F1NW_150_399,C11_CF_1F1NW_400_649,C11_CF_1F1NW_650_799
LGA50080,13,0,5,9,16,49,218,170,59,95,33,13,688,6,0,5,13,15,69,51,21,6,10,0,3,198,3,0,4,8,23,125,202,99,36,49,16,5,562,0,0,0,6,4,24,38,15,5,8,4,4,103,0,0,3,17,30,100,100,12,29,6,3,16,327,0,0,20,62,37,88,36,12,5,0,4,14,288,0,0,0,10,6,14,9,4,8,0,0,5,57,0,0,0,0,5,11,10,9,3,6,0,0,46,36,0,85,471,216,291,118,25,14,7,9,44,1316,4,0,0,12,3,4,0,0,0,0,0,299,326,58,6,132,615,361,780,784,366,164,186,62,405,3913,3,0,0,4,4,31,124,137,61,100,34,57,544,0,0,5,5,14,53,54,23,9,7,8,14,192,0,0,6,7,8,125,407,216,95,113,38,80,1098,0,0,0,0,3,26,60,27,23,19,8,10,179,4,5,5,9,33
LGA50210,4,0,0,3,4,51,414,496,199,270,89,27,1553,0,0,8,12,25,71,53,22,11,13,3,3,218,3,0,0,11,17,144,330,181,93,91,11,9,890,0,0,0,0,4,24,55,39,26,30,4,8,193,3,0,3,32,62,223,246,43,114,26,3,25,780,0,3,15,74,62,92,35,12,12,9,0,23,335,0,0,3,12,3,23,18,4,8,0,0,5,72,0,0,0,0,5,11,20,10,10,10,0,11,78,35,3,93,691,291,318,97,14,14,6,10,49,1626,0,0,4,11,8,12,4,3,0,0,0,456,504,48,9,124,854,474,967,1277,826,487,450,126,615,6261,3,0,5,0,10,25,233,248,186,296,152,129,1293,6,0,0,0,12,31,74,24,10,23,13,14,208,0,0,6,11,9,168,596,405,245,316,101,163,2021,0,0,0,5,4,33,74,58,51,51,16,39,329,3,10,10,14,64
LGA50250,4,0,0,0,0,0,16,20,19,88,79,5,241,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,10,12,31,5,0,79,0,0,0,0,0,0,3,3,0,6,7,3,19,0,0,0,0,0,8,8,3,27,0,0,0,57,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,4,0,15,4,0,3,5,6,5,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,45,45,4,0,3,12,7,18,51,46,69,139,97,56,501,0,0,0,0,0,0,5,16,14,60,52,18,168,0,0,0,0,0,0,8,0,0,4,0,0,15,0,0,0,0,0,0,21,17,54,96,17,10,209,0,0,0,0,0,4,3,4,14,18,10,0,57,0,0,0,0,3
LGA50280,0,0,6,3,5,26,83,60,17,27,4,3,237,0,0,3,12,8,42,30,6,0,0,0,0,105,5,0,3,6,3,56,79,43,15,15,0,0,224,0,0,0,0,0,10,16,3,3,8,0,0,41,0,0,0,3,8,19,32,5,4,4,0,3,74,0,0,10,12,9,17,16,3,8,3,0,0,76,0,0,0,3,3,0,4,0,0,0,0,0,14,0,0,0,0,0,0,5,3,6,3,0,0,18,10,0,20,106,59,93,45,11,6,0,0,14,367,0,0,0,0,0,0,0,0,0,0,0,142,149,20,0,46,143,96,253,307,132,49,61,16,169,1307,0,0,3,0,0,13,38,28,19,32,16,26,181,0,0,0,8,0,28,38,10,3,5,0,3,99,5,0,0,10,8,54,134,65,42,35,6,32,390,0,0,0,3,0,11,21,9,10,8,0,7,66,0,3,0,10,20
LGA50350,0,0,0,0,0,19,82,88,61,107,44,9,412,0,0,0,0,4,13,18,10,0,0,0,0,54,0,0,0,5,0,38,75,48,24,25,0,4,216,0,0,0,0,5,0,14,8,4,10,4,4,50,0,0,0,6,9,36,56,8,20,3,0,5,149,0,0,6,22,19,25,15,0,3,4,0,0,92,0,0,0,3,0,5,0,0,0,0,0,7,11,0,0,0,0,0,0,0,4,0,4,0,0,10,3,3,20,180,62,93,23,5,0,0,0,15,406,0,0,0,0,0,7,3,0,0,0,0,115,128,10,3,31,225,103,236,286,165,112,156,54,155,1529,0,0,0,0,0,8,36,46,47,64,39,32,276,0,0,0,0,0,9,13,12,0,12,0,3,54,0,0,3,0,0,25,113,96,69,78,23,28,435,0,0,0,0,0,3,14,18,13,34,10,4,94,0,0,0,4,12
LGA50420,8,0,4,0,4,60,354,440,269,488,241,11,1877,9,0,11,19,38,88,66,19,13,14,7,7,272,6,0,3,8,20,174,304,175,81,141,31,6,941,0,0,0,0,4,20,47,39,22,27,13,8,173,0,0,6,22,60,188,209,31,117,21,9,22,688,5,3,33,94,65,116,72,10,8,3,0,9,420,3,0,3,6,6,13,18,0,5,0,3,0,68,0,0,0,0,0,10,16,5,5,14,11,3,66,53,0,115,764,303,385,79,14,9,4,9,64,1801,0,0,5,30,6,9,3,3,0,0,0,538,602,75,7,168,946,510,1065,1162,742,538,720,328,668,6920,6,0,5,0,0,35,190,214,156,269,203,134,1213,3,0,0,12,11,52,78,43,19,26,10,44,296,6,0,0,3,13,147,507,362,256,399,120,116,1933,0,0,0,0,8,25,70,65,55,74,30,32,357,5,6,10,29,69
LGA50490,6,0,0,0,5,23,202,295,151,219,138,9,1046,0,0,4,6,16,31,26,9,4,5,0,0,112,0,0,0,5,3,73,165,86,44,72,11,6,463,0,0,0,4,0,12,21,11,15,26,8,7,98,0,0,3,17,38,101,130,14,47,14,7,7,377,0,0,21,37,29,34,21,0,4,0,0,3,164,0,0,0,7,3,11,4,0,8,4,0,3,40,0,0,0,0,0,4,11,6,5,7,4,6,40,29,7,71,421,131,151,45,12,3,0,4,40,917,0,0,4,7,4,8,0,0,0,0,0,298,323,38,3,109,503,231,448,621,439,286,349,171,386,3582,5,0,0,6,0,17,99,116,99,117,68,45,573,7,0,0,5,11,27,27,25,4,13,3,6,118,0,4,3,12,3,68,224,159,103,126,42,47,792,0,0,0,3,9,7,28,45,24,44,14,21,183,7,4,4,17,33
LGA50560,0,0,0,0,3,3,12,6,0,4,0,3,40,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,5,3,9,5,3,0,0,4,23,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,3,3,0,0,0,0,0,14,0,0,0,3,11,3,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,7,46,13,16,3,0,0,0,0,6,101,0,0,0,0,0,0,0,0,0,0,0,18,24,3,0,9,60,35,39,36,14,8,11,3,32,246,0,0,0,5,0,0,4,0,4,3,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,11,5,6,0,5,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
LGA50630,0,0,0,0,0,3,7,6,0,14,9,0,47,0,0,0,0,0,0,0,5,0,4,0,0,9,0,0,0,0,0,0,7,6,3,8,0,0,22,0,0,0,0,0,0,3,4,4,5,0,0,16,0,0,0,0,3,3,9,0,8,0,0,0,23,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,13,4,9,0,0,0,0,0,4,34,0,0,0,0,0,0,0,0,0,0,0,16,16,3,0,5,21,11,14,30,17,15,33,9,23,189,0,0,0,0,0,0,0,3,6,10,10,14,42,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,10,12,8,6,9,63,0,0,0,0,0,0,4,4,0,3,0,3,9,0,0,0,0,0
LGA50770,0,0,5,7,0,3,6,10,8,4,0,3,42,3,0,0,5,0,0,3,0,0,0,0,0,14,0,0,0,0,0,3,8,6,0,3,0,0,28,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,5,3,0,0,0,0,0,16,0,0,0,3,11,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,4,31,4,9,8,0,0,0,0,3,61,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,16,43,19,26,43,14,8,8,6,32,226,0,0,0,3,0,5,0,10,0,0,0,7,34,0,0,0,0,0,4,3,0,0,4,0,0,14,0,0,0,0,3,9,17,3,0,5,0,9,47,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0
