LGA_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
LGA50080,41,43,45,1600,1600,1517,521,611,710,240,285,300,1268,1508,1757,0.8,0.8,0.7,1003,1209,1350,2.4,2.4,2.4
LGA50210,34,33,35,1842,1950,1750,621,698,815,295,330,305,1533,1719,2061,0.8,0.8,0.8,1309,1497,1774,2.7,2.7,2.8
LGA50250,33,36,34,327,2000,1613,1872,2381,1865,35,42,48,2830,2889,3310,0.9,0.9,0.9,2710,2456,2937,2.8,2.7,2.7
LGA50280,39,39,42,1733,1733,1733,593,671,785,275,320,350,1326,1524,1871,0.8,0.8,0.8,1099,1285,1529,2.5,2.5,2.5
LGA50350,38,39,40,1842,1922,1801,643,731,872,300,350,330,1620,1904,2278,0.8,0.8,0.7,1274,1508,1738,2.4,2.4,2.4
LGA50420,37,37,38,1950,2000,1880,660,729,869,300,350,340,1624,1869,2228,0.8,0.8,0.8,1294,1508,1739,2.4,2.4,2.3
LGA50490,35,34,36,2000,1950,1733,659,722,886,300,360,350,1557,1725,2086,0.8,0.8,0.8,1263,1431,1641,2.4,2.4,2.3
LGA50560,51,53,55,1083,1170,1160,405,532,567,143,200,200,920,1264,1406,0.7,0.7,0.7,746,991,1053,2.2,2.2,2.2
LGA50630,38,39,42,1750,1733,1690,1222,809,834,300,290,280,2237,2097,2131,0.8,0.8,0.7,1796,1843,1760,2.6,2.5,2.5
LGA50770,44,49,47,1077,1300,1212,495,600,705,150,170,220,1170,1363,1581,0.7,0.7,0.7,882,1096,1265,2.4,2.3,2.3
LGA50840,46,49,51,1427,1517,1408,467,518,621,190,250,280,1118,1284,1632,0.8,0.7,0.7,881,1024,1218,2.4,2.3,2.3
LGA50910,45,48,50,1100,1090,1300,458,661,614,148,180,200,1144,1468,1616,0.8,0.7,0.8,869,1107,1284,2.4,2.3,2.3
LGA50980,32,33,34,2600,2573,2167,779,898,1078,203,290,300,1817,2076,2428,1,1,1,1607,1796,2091,2.8,2.7,2.7
LGA51080,37,39,41,867,800,781,457,643,793,120,150,168,1031,1404,1836,0.8,0.8,0.7,880,1242,1366,2.7,2.6,2.5
LGA51120,42,47,48,650,800,748,499,687,817,100,132,160,1111,1583,1762,0.7,0.7,0.8,820,1090,1284,2.3,2.2,2.4
LGA51190,39,41,43,1680,1600,1480,582,632,725,250,300,300,1443,1502,1760,0.7,0.7,0.7,1139,1197,1326,2.3,2.3,2.2
LGA51260,39,42,45,1842,1863,1755,556,653,751,275,350,366,1334,1581,1866,0.7,0.7,0.7,1078,1300,1459,2.5,2.5,2.5
LGA51310,39,40,41,2600,2800,3000,916,1034,1222,390,470,450,2751,3309,3898,0.8,0.8,0.8,2296,2450,2964,2.6,2.7,2.7
LGA51330,34,34,36,1918,1950,1828,594,615,768,340,380,355,1719,1788,2130,0.8,0.8,0.8,1422,1560,1838,2.7,2.8,2.8
LGA51400,34,36,38,1993,1950,1733,664,716,831,320,350,350,1776,1937,2206,0.8,0.8,0.7,1624,1726,1949,2.9,2.8,2.8
LGA51470,43,46,46,675,737,867,552,698,731,120,130,150,1307,1489,1766,0.7,0.7,0.7,989,1136,1234,2.2,2.1,2
LGA51540,38,39,40,1517,1517,1300,594,693,793,160,203,209,1369,1604,1909,0.9,0.9,0.9,1111,1261,1401,2.5,2.4,2.3
LGA51610,41,43,44,1700,2167,2000,575,732,932,175,245,260,1411,1932,2286,0.8,0.9,0.8,1200,1625,2046,2.6,2.7,2.7
LGA51680,41,43,44,2100,2167,2100,563,641,798,300,335,320,1585,1856,2258,0.8,0.8,0.8,1371,1640,2044,2.8,2.8,2.8
LGA51710,31,38,38,1509,1717,1300,1021,1164,1233,138,182,150,2176,2389,2659,1.1,1,1,1859,2141,2109,2.5,2.7,2.5
LGA51750,41,43,43,2817,2600,3000,826,960,1142,400,470,485,2619,2989,3388,0.8,0.8,0.8,1789,2073,2252,2.3,2.3,2.3
LGA51820,34,35,37,2000,2058,1950,691,761,920,330,385,370,1819,2038,2344,0.8,0.8,0.8,1554,1756,1995,2.7,2.7,2.6
LGA51860,40,42,40,910,1029,1972,487,563,741,148,200,231,1108,1375,1678,1.1,1,1.1,1522,1859,2519,3.8,3.8,3.8
LGA51890,39,41,44,1517,1517,1300,557,512,591,200,230,250,1703,1488,1618,0.8,0.7,0.7,1338,1161,1234,2.5,2.4,2.3
LGA51960,31,33,38,1240,1083,975,848,757,929,200,200,200,2130,2094,2303,0.8,0.8,0.8,1820,1805,1893,2.6,2.5,2.3
LGA52030,47,52,57,1192,1400,1200,498,549,619,175,213,210,1114,1239,1392,0.7,0.6,0.7,921,957,1030,2.2,2.1,2.1
LGA52100,47,44,47,715,1000,867,547,748,838,106,150,180,1154,1672,2007,0.7,0.7,0.7,900,1332,1399,2.2,2.3,2.3
LGA52170,40,42,44,3000,3250,3835,1025,1218,1447,475,550,535,2800,3659,4597,0.8,0.8,0.8,2411,2631,3303,2.5,2.5,2.5
LGA52240,41,46,46,867,878,1083,487,612,762,120,150,168,1004,1281,1762,0.7,0.8,0.7,854,1047,1287,2.4,2.4,2.3
