LGA_CODE_2021,C16_C_Lat_Da_Saint_0_14,C16_C_Lat_Da_Saint_15_24,C16_C_Lat_Da_Saint_25_34,C16_C_Lat_Da_Saint_35_44,C16_C_Lat_Da_Saint_45_54,C16_C_Lat_Da_Saint_55_64,C16_C_Lat_Da_Saint_65_74,C16_C_Lat_Da_Saint_75_84,C16_C_Lat_Da_Saint_85ov,C16_C_Lat_Da_Saint_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Orth_Tot,C16_C_Oth_Prot_0_14,C16_C_Oth_Prot_15_24,C16_C_Oth_Prot_25_34,C16_C_Oth_Prot_35_44,C16_C_Oth_Prot_45_54,C16_C_Oth_Prot_55_64,C16_C_Oth_Prot_65_74,C16_C_Oth_Prot_75_84,C16_C_Oth_Prot_85ov,C16_C_Oth_Prot_Tot,C16_C_Pentec_0_14,C16_C_Pentec_15_24,C16_C_Pentec_25_34,C16_C_Pentec_35_44,C16_C_Pentec_45_54,C16_C_Pentec_55_64,C16_C_Pentec_65_74,C16_C_Pentec_75_84,C16_C_Pentec_85ov,C16_C_Pentec_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_C_Unit_Chur_0_14,C16_C_Unit_Chur_15_24,C16_C_Unit_Chur_25_34,C16_C_Unit_Chur_35_44,C16_C_Unit_Chur_45_54,C16_C_Unit_Chur_55_64,C16_C_Unit_Chur_65_74,C16_C_Unit_Chur_75_84,C16_C_Unit_Chur_85ov,C16_C_Unit_Chur_Tot,C16_Chr_Ch_nfd_0_14,C16_Chr_Ch_nfd_15_24,C16_Chr_Ch_nfd_25_34,C16_Chr_Ch_nfd_35_44,C16_Chr_Ch_nfd_45_54,C16_Chr_Ch_nfd_55_64,C16_Chr_Ch_nfd_65_74,C16_Chr_Ch_nfd_75_84,C16_Chr_Ch_nfd_85ov,C16_Chr_Ch_nfd_Tot,C16_Chr_Oth_Ch_0_14,C16_Chr_Oth_Ch_15_24,C16_Chr_Oth_Ch_25_34,C16_Chr_Oth_Ch_35_44,C16_Chr_Oth_Ch_45_54,C16_Chr_Oth_Ch_55_64,C16_Chr_Oth_Ch_65_74,C16_Chr_Oth_Ch_75_84,C16_Chr_Oth_Ch_85ov,C16_Chr_Oth_Ch_Tot,C16_Chr_Tot_0_14,C16_Chr_Tot_15_24,C16_Chr_Tot_25_34,C16_Chr_Tot_35_44,C16_Chr_Tot_45_54,C16_Chr_Tot_55_64,C16_Chr_Tot_65_74,C16_Chr_Tot_75_84,C16_Chr_Tot_85ov,C16_Chr_Tot_Tot,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85ov,C16_OR_AusAborTrade_Tot,C16_OR_Sikh_0_14,C16_OR_Sikh_15_24,C16_OR_Sikh_25_34,C16_OR_Sikh_35_44,C16_OR_Sikh_45_54,C16_OR_Sikh_55_64,C16_OR_Sikh_65_74,C16_OR_Sikh_75_84,C16_OR_Sikh_85ov,C16_OR_Sikh_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_OR_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_OthRel_Tot_0_14,C16_OthRel_Tot_15_24,C16_OthRel_Tot_25_34,C16_OthRel_Tot_35_44,C16_OthRel_Tot_45_54,C16_OthRel_Tot_55_64,C16_OthRel_Tot_65_74,C16_OthRel_Tot_75_84,C16_OthRel_Tot_85ov,C16_OthRel_Tot_Tot,C16_SBOSB_N_RA_0_14,C16_SBOSB_N_RA_15_24,C16_SBOSB_N_RA_25_34,C16_SBOSB_N_RA_35_44,C16_SBOSB_N_RA_45_54,C16_SBOSB_N_RA_55_64,C16_SBOSB_N_RA_65_74,C16_SBOSB_N_RA_75_84,C16_SBOSB_N_RA_85ov,C16_SBOSB_N_RA_Tot
LGA50080,14,10,8,6,6,7,13,3,9,81,30,15,12,20,23,25,20,15,6,173,0,3,0,0,4,0,0,0,0,11,41,20,16,30,31,46,28,15,17,245,145,66,77,68,76,49,26,12,0,529,233,138,88,124,147,148,157,103,59,1207,8,7,11,10,21,21,35,13,5,126,14,10,17,10,16,16,19,5,8,115,149,82,60,114,191,285,295,201,96,1473,318,190,165,165,201,193,154,85,28,1510,3,3,0,5,4,0,4,3,3,31,2732,1632,1365,1828,2530,2765,2686,1677,764,17984,27,6,28,13,14,3,3,3,0,91,15,11,8,21,7,3,0,0,0,72,0,0,0,4,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,4,6,0,26,5,0,0,0,0,0,40,40,19,26,32,42,25,17,5,6,200,47,13,49,36,42,25,15,5,6,237,3340,2063,1854,1764,1794,1710,991,400,162,14081
LGA50210,56,46,34,44,29,37,18,17,0,282,23,15,19,24,18,46,27,13,5,193,59,20,39,38,11,4,5,0,0,173,109,63,82,112,93,88,58,39,19,652,379,169,230,213,159,126,76,16,8,1381,498,307,280,262,288,333,283,145,38,2434,5,14,5,16,28,20,30,15,7,142,151,48,88,72,51,50,30,13,3,495,155,113,129,122,178,195,165,85,15,1159,1037,548,696,592,447,261,185,51,18,3836,29,16,17,33,29,17,12,4,0,156,7458,4310,5235,5242,5265,4954,3753,1842,574,38621,689,161,767,519,159,65,26,8,0,2398,467,229,381,247,126,68,39,13,0,1568,7,3,3,8,9,6,4,0,0,42,11,3,0,0,6,0,0,0,0,21,271,90,437,141,32,24,12,4,0,1007,56,35,72,70,67,45,19,0,4,367,332,124,504,212,107,69,33,4,4,1389,6975,4173,5287,3680,2914,2102,1062,343,106,26659
LGA50250,0,5,9,4,12,5,0,0,0,32,9,4,11,18,3,3,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,3,5,16,16,9,0,0,0,54,10,0,10,18,12,7,0,0,0,58,5,4,24,41,65,76,12,0,0,228,0,0,3,0,0,0,0,0,0,10,4,4,6,3,0,0,0,0,0,23,34,12,44,51,65,40,6,0,0,259,60,22,81,81,47,25,6,0,0,327,0,0,5,0,5,0,0,0,0,13,702,276,1240,1280,1167,692,114,17,5,5502,8,5,38,38,22,5,0,0,0,110,8,3,40,33,16,6,0,0,0,103,0,0,0,0,0,0,0,0,0,8,27,18,16,11,9,13,3,0,0,101,0,0,0,0,0,0,0,0,0,3,4,0,18,12,6,3,0,0,0,42,31,21,40,26,11,18,8,0,0,147,815,331,1298,975,627,337,40,8,0,4435
LGA50280,10,0,0,8,0,0,0,0,0,25,4,0,0,8,11,8,8,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,15,0,0,33,3,0,4,3,5,9,0,0,0,30,14,13,12,17,33,47,28,24,11,186,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,3,0,3,4,13,37,21,16,27,46,83,71,54,29,380,53,23,32,41,54,42,35,7,5,286,0,0,0,0,0,7,0,0,0,11,801,373,426,711,805,908,732,380,164,5299,10,0,8,4,0,0,0,3,0,29,19,4,9,9,0,0,4,0,0,55,3,0,0,0,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,22,3,4,7,10,6,7,4,4,0,46,6,6,20,10,9,9,4,4,0,66,1855,614,1070,1291,877,714,361,121,41,6946
LGA50350,7,0,0,3,6,3,10,6,0,36,3,3,3,4,10,3,13,0,6,45,3,0,0,4,0,0,0,0,0,9,10,5,7,13,8,17,8,5,0,75,11,8,10,10,21,14,15,5,3,98,14,10,10,20,33,36,39,37,14,203,3,7,5,5,0,10,9,13,6,63,0,5,0,0,4,3,0,0,0,14,12,19,24,23,25,48,52,28,9,240,95,79,79,64,63,63,44,16,0,506,9,3,3,8,7,9,0,3,3,38,1194,706,768,975,1087,1041,867,578,224,7437,48,18,62,36,12,6,3,0,0,193,57,31,33,34,15,10,3,3,4,187,4,6,4,0,0,4,0,0,0,11,6,4,0,6,0,0,0,0,0,11,0,3,10,4,0,0,0,0,0,33,11,9,21,14,5,10,7,0,0,79,18,16,31,20,8,10,7,0,0,110,1123,703,1078,889,715,494,257,97,69,5424
LGA50420,28,15,18,29,10,17,11,9,0,130,19,9,18,25,26,30,33,21,13,194,24,11,19,24,9,0,7,4,0,105,26,15,51,56,48,61,52,23,11,352,67,54,82,71,46,63,50,17,6,457,43,36,72,65,94,171,144,91,35,743,8,8,9,11,18,25,24,19,11,133,19,14,16,12,17,19,11,14,8,121,61,62,87,95,131,198,198,99,60,988,304,251,352,305,235,245,140,59,17,1905,0,15,0,12,12,13,7,3,6,75,4950,3122,4159,4266,4261,4343,3763,2388,1054,32305,356,160,618,328,86,45,28,8,4,1646,529,298,474,294,183,84,50,23,6,1941,75,44,39,56,73,103,86,34,7,516,6,3,0,0,0,0,0,0,0,4,73,90,200,48,12,25,12,0,0,462,31,25,62,64,50,31,22,12,0,301,109,114,268,113,66,49,31,12,3,766,3313,2880,4952,3357,2561,1795,905,369,158,20285
LGA50490,17,13,18,17,10,13,8,6,0,104,6,7,7,11,10,7,17,11,4,79,10,0,6,4,0,0,0,0,0,24,28,31,49,26,35,36,26,20,7,254,72,52,57,56,45,36,17,8,0,343,37,14,80,40,58,114,91,65,30,548,9,10,6,10,20,16,13,14,0,92,20,22,25,15,13,14,11,8,6,121,58,43,85,84,66,106,93,55,18,618,224,158,277,216,119,136,58,27,12,1243,0,8,5,5,12,16,5,4,3,62,2606,1765,2663,2380,2271,2298,1772,1306,536,17608,171,153,384,156,48,32,8,5,0,962,911,402,655,452,198,85,34,8,0,2742,9,0,10,3,0,7,0,3,0,29,3,0,0,0,0,0,0,0,0,8,48,69,178,25,9,10,0,0,0,342,13,15,30,34,21,17,10,5,0,142,63,87,204,66,29,30,8,5,0,496,1737,1805,3075,1706,1244,903,478,210,115,11274
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,9,0,4,0,24,0,0,4,3,0,4,0,0,0,13,0,0,0,0,0,0,8,0,0,6,4,3,0,8,8,19,19,7,0,67,5,4,3,5,3,12,11,12,0,56,0,0,0,0,0,0,0,0,0,6,102,50,61,90,140,203,185,106,32,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,4,0,0,0,8,120,30,48,52,68,87,71,15,5,502
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,5,0,0,0,5,0,0,0,0,7,0,0,0,0,3,6,12,0,0,16,0,0,0,0,0,4,3,0,0,3,6,5,0,0,0,0,0,6,0,14,10,0,0,7,3,3,3,0,0,24,17,0,3,11,8,7,3,0,0,44,0,0,0,0,0,0,0,0,0,0,143,48,70,113,159,155,104,47,8,851,4,0,3,0,0,0,0,0,0,20,0,5,0,5,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,3,0,3,0,0,0,0,0,9,4,6,0,3,7,0,0,0,0,20,216,76,130,126,95,58,30,15,0,739
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,10,4,4,27,0,0,0,0,0,0,0,0,0,0,6,4,0,0,4,4,8,0,0,19,5,0,0,9,6,20,18,15,5,80,11,3,3,3,6,10,15,0,0,56,0,0,0,0,0,0,0,0,0,0,159,47,54,115,131,169,175,86,26,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,0,4,4,0,0,0,0,8,141,38,58,90,82,70,45,10,6,530
