POW_SA4_CODE_2021,TaTW_650_799_H_0,TaTW_650_799_H_1_19,TaTW_650_799_H_20_29,TaTW_650_799_H_30_34,TaTW_650_799_H_35_39,TaTW_650_799_H_40_44,TaTW_650_799_H_45_49,TaTW_650_799_H_50ov,TaTW_650_799_H_NS,TaTW_650_799_H_Tot,TaTW_800_999_H_0,TaTW_800_999_H_1_19,TaTW_800_999_H_20_29,TaTW_800_999_H_30_34,TaTW_800_999_H_35_39,TaTW_800_999_H_40_44,TaTW_800_999_H_45_49,TaTW_800_999_H_50ov,TaTW_800_999_H_NS,TaTW_800_999_H_Tot,TaTW_1000_1249_H_0,TaTW_1000_1249_H_1_19,TaTW_1000_1249_H_20_29,TaTW_1000_1249_H_30_34,TaTW_1000_1249_H_35_39,TaTW_1000_1249_H_40_44,TaTW_1000_1249_H_45_49,TaTW_1000_1249_H_50ov,TaTW_1000_1249_H_NS,TaTW_1000_1249_H_Tot,TaTW_1250_1499_H_0,TaTW_1250_1499_H_1_19,TaTW_1250_1499_H_20_29,TaTW_1250_1499_H_30_34,TaTW_1250_1499_H_35_39,TaTW_1250_1499_H_40_44,TaTW_1250_1499_H_45_49,TaTW_1250_1499_H_50ov,TaTW_1250_1499_H_NS,TaTW_1250_1499_H_Tot,TaTW_1500_1749_H_0,TaTW_1500_1749_H_1_19,TaTW_1500_1749_H_20_29,TaTW_1500_1749_H_30_34,TaTW_1500_1749_H_35_39,TaTW_1500_1749_H_40_44,TaTW_1500_1749_H_45_49,TaTW_1500_1749_H_50ov,TaTW_1500_1749_H_NS,TaTW_1500_1749_H_Tot,TaTW_1750_1999_H_0,TaTW_1750_1999_H_1_19,TaTW_1750_1999_H_20_29,TaTW_1750_1999_H_30_34,TaTW_1750_1999_H_35_39,TaTW_1750_1999_H_40_44,TaTW_1750_1999_H_45_49,TaTW_1750_1999_H_50ov,TaTW_1750_1999_H_NS,TaTW_1750_1999_H_Tot,TaTW_2000_2999_H_0,TaTW_2000_2999_H_1_19,TaTW_2000_2999_H_20_29,TaTW_2000_2999_H_30_34,TaTW_2000_2999_H_35_39,TaTW_2000_2999_H_40_44,TaTW_2000_2999_H_45_49,TaTW_2000_2999_H_50ov,TaTW_2000_2999_H_NS,TaTW_2000_2999_H_Tot,TaTW_3000_3499_H_0,TaTW_3000_3499_H_1_19,TaTW_3000_3499_H_20_29,TaTW_3000_3499_H_30_34,TaTW_3000_3499_H_35_39,TaTW_3000_3499_H_40_44,TaTW_3000_3499_H_45_49,TaTW_3000_3499_H_50ov,TaTW_3000_3499_H_NS,TaTW_3000_3499_H_Tot,TaTW_3500mo_H_0,TaTW_3500mo_H_1_19,TaTW_3500mo_H_20_29,TaTW_3500mo_H_30_34,TaTW_3500mo_H_35_39,TaTW_3500mo_H_40_44,TaTW_3500mo_H_45_49,TaTW_3500mo_H_50ov,TaTW_3500mo_H_NS,TaTW_3500mo_H_Tot,TaTW_PINS_H_0,TaTW_PINS_H_1_19,TaTW_PINS_H_20_29,TaTW_PINS_H_30_34,TaTW_PINS_H_35_39,TaTW_PINS_H_40_44,TaTW_PINS_H_45_49,TaTW_PINS_H_50ov,TaTW_PINS_H_NS,TaTW_PINS_H_Tot,TaTW_Tot_H_0,TaTW_Tot_H_1_19,TaTW_Tot_H_20_29,TaTW_Tot_H_30_34,TaTW_Tot_H_35_39,TaTW_Tot_H_40_44,TaTW_Tot_H_45_49,TaTW_Tot_H_50ov,TaTW_Tot_H_NS,TaTW_Tot_H_Tot,CoPSW_NNI_H_0,CoPSW_NNI_H_1_19,CoPSW_NNI_H_20_29,CoPSW_NNI_H_30_34,CoPSW_NNI_H_35_39,CoPSW_NNI_H_40_44,CoPSW_NNI_H_45_49,CoPSW_NNI_H_50ov,CoPSW_NNI_H_NS,CoPSW_NNI_H_Tot,CoPSW_1_149_H_0,CoPSW_1_149_H_1_19,CoPSW_1_149_H_20_29,CoPSW_1_149_H_30_34,CoPSW_1_149_H_35_39,CoPSW_1_149_H_40_44,CoPSW_1_149_H_45_49,CoPSW_1_149_H_50ov,CoPSW_1_149_H_NS,CoPSW_1_149_H_Tot,CoPSW_150_299_H_0,CoPSW_150_299_H_1_19,CoPSW_150_299_H_20_29,CoPSW_150_299_H_30_34,CoPSW_150_299_H_35_39,CoPSW_150_299_H_40_44,CoPSW_150_299_H_45_49,CoPSW_150_299_H_50ov,CoPSW_150_299_H_NS,CoPSW_150_299_H_Tot,CoPSW_300_399_H_0,CoPSW_300_399_H_1_19,CoPSW_300_399_H_20_29,CoPSW_300_399_H_30_34,CoPSW_300_399_H_35_39,CoPSW_300_399_H_40_44,CoPSW_300_399_H_45_49,CoPSW_300_399_H_50ov,CoPSW_300_399_H_NS,CoPSW_300_399_H_Tot,CoPSW_400_499_H_0,CoPSW_400_499_H_1_19,CoPSW_400_499_H_20_29,CoPSW_400_499_H_30_34,CoPSW_400_499_H_35_39,CoPSW_400_499_H_40_44,CoPSW_400_499_H_45_49,CoPSW_400_499_H_50ov,CoPSW_400_499_H_NS,CoPSW_400_499_H_Tot,CoPSW_500_649_H_0,CoPSW_500_649_H_1_19,CoPSW_500_649_H_20_29,CoPSW_500_649_H_30_34,CoPSW_500_649_H_35_39,CoPSW_500_649_H_40_44,CoPSW_500_649_H_45_49,CoPSW_500_649_H_50ov,CoPSW_500_649_H_NS,CoPSW_500_649_H_Tot,CoPSW_650_799_H_0,CoPSW_650_799_H_1_19,CoPSW_650_799_H_20_29,CoPSW_650_799_H_30_34,CoPSW_650_799_H_35_39,CoPSW_650_799_H_40_44,CoPSW_650_799_H_45_49,CoPSW_650_799_H_50ov,CoPSW_650_799_H_NS,CoPSW_650_799_H_Tot,CoPSW_800_999_H_0,CoPSW_800_999_H_1_19,CoPSW_800_999_H_20_29,CoPSW_800_999_H_30_34,CoPSW_800_999_H_35_39,CoPSW_800_999_H_40_44,CoPSW_800_999_H_45_49,CoPSW_800_999_H_50ov,CoPSW_800_999_H_NS,CoPSW_800_999_H_Tot,CoPSW_1000_1249_H_0,CoPSW_1000_1249_H_1_19,CoPSW_1000_1249_H_20_29,CoPSW_1000_1249_H_30_34,CoPSW_1000_1249_H_35_39,CoPSW_1000_1249_H_40_44,CoPSW_1000_1249_H_45_49,CoPSW_1000_1249_H_50ov,CoPSW_1000_1249_H_NS,CoPSW_1000_1249_H_Tot
501,44,73,156,124,201,216,64,89,13,976,49,69,116,137,354,329,88,138,11,1291,83,73,84,115,470,566,163,241,33,1829,51,38,48,62,306,489,174,284,19,1468,45,28,32,31,199,385,171,354,14,1263,44,5,21,28,151,311,144,330,8,1055,111,26,33,48,258,590,257,777,30,2121,24,6,9,11,53,97,60,206,10,468,22,4,3,0,34,44,41,161,4,318,3,10,4,4,15,28,10,25,26,125,548,941,862,683,2275,3344,1233,2775,193,12853,9,27,9,0,5,3,0,5,4,53,66,496,13,0,4,0,0,3,10,589,32,329,58,11,0,0,0,5,9,445,18,291,111,21,15,15,4,5,5,487,47,333,217,54,26,18,4,7,9,704,69,348,459,163,85,34,17,20,11,1201,86,222,506,353,199,96,15,44,20,1535,60,130,307,364,384,147,29,58,18,1495,64,78,175,225,332,198,54,104,14,1247
502,16,35,82,64,104,77,12,30,4,423,14,30,54,70,149,100,28,34,3,485,17,25,47,50,221,214,52,62,0,695,13,9,19,22,130,138,43,66,3,446,9,7,9,15,91,108,47,80,8,372,9,3,6,7,71,69,37,55,4,260,32,3,25,10,196,120,71,150,6,616,3,0,4,3,41,25,20,43,0,128,7,5,0,0,10,7,14,28,0,76,0,5,4,0,3,6,3,5,18,36,159,404,418,313,1146,969,347,603,67,4432,3,12,0,0,0,0,0,3,0,25,21,273,9,4,0,3,0,0,3,307,10,267,33,7,0,0,0,0,7,330,13,217,83,14,9,7,4,0,6,341,16,213,133,29,11,9,5,5,5,423,26,214,292,74,47,25,0,12,5,693,49,131,300,150,135,49,3,15,7,837,31,90,188,180,217,65,17,37,10,838,26,43,119,131,209,91,26,41,5,686
503,36,137,321,215,329,153,46,54,25,1311,57,119,258,236,663,439,88,114,22,1982,70,110,185,202,997,890,196,248,36,2932,78,66,121,144,810,817,224,255,23,2541,84,51,69,86,614,695,181,354,27,2162,87,35,45,53,370,495,151,336,23,1600,235,72,66,86,518,989,336,984,38,3313,100,16,23,15,108,326,144,398,5,1128,226,33,25,21,118,299,140,583,15,1458,8,9,3,3,21,30,0,22,68,178,1067,1529,1673,1213,4782,5365,1539,3417,338,20917,24,58,11,5,9,10,4,6,4,130,76,1054,41,4,6,6,0,8,6,1191,94,1251,156,28,5,10,4,4,19,1571,72,1027,311,52,21,5,8,3,23,1524,72,851,590,88,39,25,6,23,24,1715,96,848,1095,290,129,81,13,30,46,2630,120,512,1002,552,396,159,46,72,37,2895,119,314,734,613,840,359,75,128,40,3230,112,208,444,476,979,722,185,236,28,3388
504,26,122,260,167,334,327,88,111,12,1436,46,83,167,208,653,559,125,168,26,2038,71,85,135,157,806,945,270,369,35,2875,46,60,60,91,567,791,263,393,26,2297,32,33,43,59,378,691,229,446,29,1953,28,24,26,30,208,401,189,421,3,1329,59,29,27,37,199,365,263,836,13,1822,21,0,4,6,14,53,31,169,5,309,18,9,3,4,22,38,12,140,5,242,0,8,10,3,28,31,12,24,41,157,424,1120,1241,932,3538,4573,1569,3220,247,16870,6,22,16,6,8,4,0,0,3,65,29,579,20,8,0,0,0,6,10,647,26,595,88,9,6,6,0,0,10,749,23,420,157,28,14,18,0,4,7,672,31,379,279,57,25,10,11,16,17,838,48,415,564,163,98,40,15,39,14,1389,69,277,565,293,271,97,25,40,21,1661,73,159,375,379,542,191,38,68,23,1852,61,91,229,294,519,252,57,147,30,1686
505,59,221,397,276,524,486,112,159,28,2255,80,157,304,336,1059,849,189,231,33,3235,116,164,217,311,1397,1470,332,425,50,4473,115,85,112,156,937,1318,318,510,37,3595,83,55,77,137,609,1192,329,579,28,3082,57,38,32,64,297,650,249,476,21,1877,89,31,38,60,276,607,272,824,25,2224,20,11,11,3,46,88,35,189,8,418,13,10,12,7,31,61,35,185,6,352,8,9,14,13,40,54,9,35,102,285,817,2113,2086,1639,5798,7355,1995,3794,390,25981,28,68,26,7,5,9,0,5,10,153,72,1378,52,5,5,3,0,0,11,1538,62,1220,213,32,15,16,4,5,17,1579,67,1013,387,52,23,14,0,12,17,1581,57,971,640,115,62,34,6,24,22,1941,125,912,1349,365,188,93,15,47,44,3133,146,527,1275,700,455,194,46,85,27,3456,137,345,892,842,1132,429,79,148,44,4028,117,193,447,576,1104,542,115,205,31,3340
506,59,180,423,260,644,568,146,183,45,2513,73,196,322,350,1159,1004,253,279,73,3714,112,159,206,242,1634,1619,428,566,53,5033,132,123,121,170,1167,1484,498,676,29,4405,119,82,79,102,865,1352,496,825,42,3970,100,30,44,58,441,828,339,846,24,2702,206,59,62,76,507,977,556,1807,27,4265,76,24,15,13,75,177,101,473,11,968,76,16,10,13,41,97,85,422,3,765,10,13,10,14,37,65,17,47,97,302,1102,2210,2186,1579,7131,8751,3072,6329,482,32844,41,58,19,0,4,6,4,7,8,144,69,1089,51,7,4,4,5,5,9,1237,77,1282,200,26,18,8,0,12,25,1653,61,1039,365,53,35,23,0,15,30,1622,90,937,659,137,60,43,9,15,22,1969,112,973,1279,395,188,92,22,47,47,3157,180,566,1305,732,591,204,37,93,29,3746,190,418,910,975,1177,428,86,184,47,4418,163,232,520,750,1330,688,152,267,58,4168
507,55,189,369,270,457,417,93,129,26,2007,79,163,287,299,867,744,183,230,35,2889,115,138,164,263,1176,1313,352,454,42,4020,94,88,87,154,906,1281,377,586,35,3619,97,72,63,112,702,1163,386,763,36,3381,75,48,55,56,367,811,335,679,23,2450,179,46,67,86,587,1145,523,1484,21,4146,42,17,18,8,102,179,102,354,11,838,39,13,18,9,86,97,73,292,10,631,6,9,11,0,40,49,10,38,75,243,935,1964,1867,1533,5723,7696,2555,5193,375,27841,16,52,8,3,7,6,0,9,9,113,73,1103,35,5,0,5,0,5,11,1239,72,1080,167,19,5,6,0,9,10,1376,82,894,322,43,21,24,4,10,17,1410,55,758,522,109,66,33,4,28,24,1598,121,806,1126,342,151,89,28,32,42,2733,138,483,1076,606,469,194,37,87,42,3139,139,279,694,770,898,343,67,125,23,3338,127,184,401,504,908,513,96,200,35,2967
509,20,46,100,90,145,163,52,58,7,690,25,46,80,108,274,208,62,96,17,915,37,44,57,58,279,371,139,171,16,1170,38,25,25,21,180,281,111,162,18,857,32,21,39,25,107,204,109,245,12,786,23,22,4,18,60,137,87,210,6,568,90,15,24,18,120,196,130,557,17,1163,28,3,8,0,30,28,35,191,6,333,18,6,10,0,12,27,23,133,8,238,8,3,3,0,12,12,5,22,16,83,382,591,574,442,1383,1862,812,1965,150,8165,6,15,3,0,0,0,0,4,6,36,24,190,6,3,3,5,0,3,7,232,12,200,28,11,0,5,0,5,3,262,16,138,56,15,0,8,4,7,5,257,22,172,105,40,15,16,6,9,3,383,54,192,266,84,42,29,8,13,15,700,41,141,275,163,118,60,13,32,7,849,36,81,213,212,212,97,23,43,8,932,34,54,101,156,213,149,37,78,16,828
510,20,24,31,33,45,55,11,62,6,287,23,19,31,36,89,91,38,111,14,456,45,22,26,25,137,175,65,244,16,764,59,45,21,24,91,172,90,400,11,917,111,39,33,22,119,187,90,671,14,1284,142,44,30,21,93,148,105,885,28,1508,670,154,160,58,268,421,469,3737,80,6023,406,84,85,20,114,195,325,2058,35,3323,563,77,67,31,143,200,286,2419,36,3818,21,4,6,3,6,17,10,68,44,182,2101,655,572,327,1152,1710,1511,10755,305,19085,6,8,4,3,0,0,0,6,0,25,8,121,4,0,5,0,0,3,4,145,14,103,33,5,5,5,0,4,0,179,3,87,26,11,0,6,0,3,0,144,6,70,46,11,13,10,4,6,3,168,16,78,98,50,45,29,12,10,14,355,19,49,106,70,69,38,10,28,11,398,30,44,67,121,184,93,25,62,8,642,35,33,57,100,232,138,41,104,13,760
511,20,34,80,51,110,137,30,77,12,542,29,30,49,70,194,215,55,132,8,783,41,36,50,52,205,329,101,239,12,1075,42,31,18,34,154,287,128,331,26,1052,60,28,31,22,132,237,126,566,16,1203,79,23,23,15,77,170,119,607,20,1124,326,81,75,38,185,370,397,2225,42,3741,120,36,26,9,49,62,117,936,14,1378,79,21,11,5,24,42,64,685,9,946,11,10,4,7,8,14,6,48,44,140,861,579,545,366,1297,2002,1191,5949,228,13020,8,15,3,0,0,0,0,0,0,28,11,208,8,3,6,0,0,0,5,242,10,144,40,6,3,0,0,0,5,209,13,113,61,12,6,3,0,9,8,223,9,122,102,34,15,8,0,4,0,313,42,142,207,83,52,29,11,17,17,599,53,97,227,162,135,61,16,41,9,817,46,50,158,191,247,120,28,58,15,911,35,41,81,118,238,197,51,80,13,846
