POW_SA4_CODE_2021,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20mo_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20mo_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
501,235,68,3,8,311,4981,1859,67,45,6953
502,94,32,0,0,123,1882,579,29,12,2504
503,358,60,10,9,435,6694,1919,487,19,9112
504,317,71,0,0,385,6094,1495,81,17,7689
505,573,92,5,0,678,12555,2543,139,38,15271
506,574,108,3,3,691,10437,2437,134,39,13045
507,466,72,8,9,551,9435,2233,107,24,11803
509,135,35,6,4,179,4229,2555,45,69,6894
510,66,8,0,0,77,1100,335,18,7,1455
511,126,22,0,6,152,2305,1288,36,29,3656
597,7,0,0,0,7,18,4,0,0,17
599,486,35,4,7,535,15566,1650,50,78,17340
