POW_SA4_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
501,224,402,50,51,722,44014,29633,3913,1337,78895
502,35,134,7,17,185,14473,13949,1292,520,30240
503,314,800,63,77,1247,170316,76165,11513,3282,261272
504,159,414,34,14,617,59335,36071,3411,1640,100464
505,164,682,40,41,936,96802,74151,6222,2669,179841
506,259,730,60,57,1105,135368,75861,8239,3679,223150
507,178,582,35,27,829,102346,65127,7089,2602,177166
509,374,553,68,73,1066,35545,19436,3093,1215,59284
510,64,55,5,13,135,52309,10207,6640,1614,70762
511,178,213,29,42,463,44564,15716,4086,1414,65776
597,0,0,0,0,0,1046,77,235,27,1386
599,81,326,76,36,516,31634,23168,4409,1359,60566
