POW_SA4_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
501,23,4678,4208,405,408,61,14,5097,4443,509,504,92,39,5583,4428,510,508,96,41,5578,3752,456,509,98,37,4848,2559,345,369,84,30,3395,785,155,234,82,24,1279,133,88,115,71,18,414,36,33,83,63,10,224,36358,3118,3516,741,277,44014,3794,3,25,23,3,3846,1760,3,39,19,6,1828,1641,9,111,21,11,1792,2031,60,228,40,12,2376,2475,129,323,58,13,3000,2361,136,313,63,19,2890,2372,119,326,54,25,2896,2239,137,313,62,30,2788,2108,132,324,83,20,2673,1959,182,401,110,21,2670,1029,126,321,159,22,1656,370,88,205,129,17,812,137,44,98,113,10,402,24278,1173,3030,940,204,29633,3324,153,294,95,41,3913,991,55,106,73,113,1337,64950,4498,6953,1853,642,78895
502,3,1586,1305,145,129,9,6,1596,1495,192,156,18,10,1870,1525,165,169,14,13,1882,1270,160,194,18,10,1649,789,104,121,22,7,1043,240,48,47,10,0,353,51,30,15,14,4,113,6,11,4,8,0,35,11994,1123,1153,140,57,14473,2229,0,12,6,9,2250,1486,9,37,4,6,1539,873,12,77,11,5,968,967,36,102,24,5,1131,1074,50,135,19,0,1271,964,36,121,19,4,1158,970,43,123,24,9,1168,962,67,141,23,7,1203,951,71,127,22,8,1185,803,74,163,38,9,1083,376,63,104,29,3,575,142,25,69,25,3,268,54,18,32,25,5,134,11854,506,1243,266,83,13949,1141,34,67,26,19,1292,394,14,36,24,56,520,25386,1683,2504,460,212,30240
503,27,24538,20267,1303,542,51,23,22187,18696,1430,618,63,48,20844,16752,1393,712,75,35,18960,12856,1140,607,41,22,14666,7832,787,441,42,25,9128,2797,453,252,22,18,3542,624,174,108,13,13,941,133,91,54,23,6,314,156294,8808,4514,413,281,170316,5591,8,57,20,10,5687,10232,20,196,24,16,10481,6671,59,274,12,16,7034,7325,173,329,49,16,7894,8301,286,443,73,17,9116,6848,317,419,72,4,7655,5662,317,429,70,9,6483,4943,355,472,90,24,5882,4491,313,452,78,17,5354,4001,336,469,84,23,4915,2437,351,372,74,17,3244,1053,235,235,81,10,1618,411,144,133,93,14,800,67959,2909,4270,829,200,76165,11048,164,175,52,74,11513,2633,138,159,106,246,3282,237929,12030,9112,1404,797,261272
504,26,7051,5731,610,401,47,20,6813,5550,694,503,69,24,6844,5667,785,538,63,42,7095,4690,698,522,61,27,6004,3039,484,380,39,30,3978,1049,252,189,34,12,1534,219,97,78,26,0,425,40,45,38,27,4,159,49960,4888,3784,458,232,59335,5391,6,40,26,11,5479,4331,16,139,24,3,4518,2616,34,217,32,12,2917,2532,123,356,59,12,3087,2688,178,422,82,19,3389,2372,188,353,60,15,2990,2229,184,353,75,13,2862,2161,182,399,60,15,2819,2079,210,396,67,22,2767,1774,197,400,74,20,2467,995,201,298,85,16,1595,421,121,162,59,12,773,177,67,103,60,9,414,29759,1720,3642,774,177,36071,3069,122,147,37,38,3411,1272,82,110,47,122,1640,84061,6813,7689,1322,575,100464
505,40,11924,8866,1296,827,64,39,11099,9096,1476,964,87,53,11685,8669,1470,1011,91,49,11283,7122,1245,902,78,36,9381,4647,847,602,69,28,6190,1542,384,300,25,7,2261,300,190,118,19,4,629,63,59,32,6,0,164,79468,9462,6971,581,323,96802,11117,19,98,51,24,11311,9181,47,288,38,22,9565,4904,100,453,44,20,5519,5090,242,700,107,24,6159,5474,410,915,148,17,6964,5011,440,867,138,33,6490,4850,423,814,151,31,6267,4558,438,899,118,31,6045,4116,428,798,116,34,5491,3654,432,791,156,35,5059,1925,387,609,138,28,3084,805,240,320,137,12,1518,297,155,136,79,14,682,60973,3761,7687,1414,320,74151,5451,238,410,63,59,6222,2015,165,210,89,195,2669,147905,13623,15271,2148,901,179841
506,48,17859,13834,1289,725,66,37,15959,13552,1205,794,78,33,15660,12839,1290,856,94,61,15138,10751,1147,805,91,50,12841,7183,814,576,63,33,8662,2530,450,320,44,17,3358,520,189,126,32,9,881,95,86,48,29,3,259,118970,9084,6254,680,382,135368,9431,20,87,58,15,9611,10410,43,272,33,24,10794,6408,117,417,52,18,7011,6063,272,598,105,38,7078,6374,357,737,139,41,7641,5447,378,658,126,34,6646,4843,353,617,105,37,5957,4428,361,638,103,25,5551,4142,404,636,122,32,5344,3686,396,642,109,27,4869,2140,318,526,122,24,3126,882,205,306,118,12,1526,335,109,157,109,14,730,64591,3330,6293,1306,336,75861,7575,231,269,84,77,8239,2891,181,228,110,267,3679,194031,12826,13045,2179,1066,223150
507,38,12706,10189,1032,650,60,28,11960,10204,1147,767,61,32,12211,9854,1121,810,92,43,11929,8197,1048,683,78,32,10043,5236,698,486,54,32,6503,1767,324,205,36,19,2355,305,130,93,28,3,562,67,58,29,19,4,178,88835,7318,5359,545,292,102346,9314,15,96,33,10,9471,8169,25,221,25,9,8455,4828,70,326,30,18,5270,4841,195,566,81,16,5696,5203,295,709,111,22,6332,4871,323,659,105,21,5985,4372,315,657,110,24,5474,3897,313,621,106,16,4962,3728,308,631,112,26,4799,3171,318,618,129,21,4257,1755,266,471,103,16,2605,662,184,257,108,17,1234,235,114,139,85,6,582,55039,2727,5977,1151,227,65127,6489,163,302,76,70,7089,2088,101,162,60,185,2602,152456,10309,11803,1833,771,177166
509,27,3421,2602,452,401,101,31,3593,2925,452,488,164,43,4075,3097,509,548,195,58,4402,2729,494,644,215,69,4151,2117,405,556,240,32,3352,721,218,396,170,31,1546,169,128,212,155,23,679,45,62,137,110,10,374,25934,3453,4191,1569,393,35545,1838,0,12,58,6,1911,1012,4,30,15,7,1072,1040,17,62,26,13,1155,1144,48,129,65,9,1396,1412,75,206,82,11,1787,1340,101,187,75,13,1710,1283,95,205,71,16,1671,1429,115,232,87,19,1886,1467,125,279,134,20,2024,1524,124,311,143,25,2136,752,129,280,180,20,1361,308,90,195,158,22,776,131,60,155,183,18,553,14674,992,2275,1282,207,19436,2399,155,314,159,71,3093,788,59,112,125,127,1215,43798,4665,6894,3129,803,59284
510,13,7414,5941,205,94,15,29,6283,5805,184,131,19,24,6162,5424,213,115,19,13,5791,4422,202,109,15,22,4768,2842,127,85,12,17,3077,986,54,51,13,10,1114,188,29,11,14,0,243,35,13,3,11,0,64,49675,1452,862,145,178,52309,1125,3,8,8,5,1151,670,0,14,3,3,694,915,0,27,8,5,961,1314,22,75,13,3,1426,1274,43,91,14,4,1417,1027,27,53,14,13,1133,818,34,38,15,10,911,705,25,42,9,13,799,568,28,33,17,4,651,483,32,51,9,4,579,250,30,25,12,0,314,80,7,19,10,5,120,31,8,13,12,0,55,9255,259,484,137,66,10207,6419,79,75,16,42,6640,1424,30,37,21,107,1614,66775,1825,1455,313,393,70762
511,14,5033,4154,303,240,53,13,4762,4302,390,286,67,27,5082,4237,439,333,88,34,5125,3716,387,346,66,21,4539,2606,277,291,100,27,3299,914,145,180,72,22,1331,180,60,77,39,10,366,33,30,55,52,6,178,38857,2587,2274,626,210,44564,1883,0,6,23,7,1920,1109,4,19,3,0,1138,1100,9,52,16,10,1187,1343,46,91,31,6,1520,1349,71,118,53,10,1594,1163,60,97,37,8,1367,1162,76,115,36,4,1393,1155,83,138,42,14,1436,1143,71,151,67,10,1442,1001,77,176,78,19,1351,510,74,111,67,12,777,200,34,71,66,3,374,84,31,50,49,10,213,13188,649,1188,563,121,15716,3718,109,138,60,60,4086,1147,65,49,55,105,1414,56911,3411,3656,1305,494,65776
