POW_SA4_CODE_2021,TaTW_1500_1749_A_45_54,TaTW_1500_1749_A_55_64,TaTW_1500_1749_A_65_74,TaTW_1500_1749_A_75ov,TaTW_1500_1749_Tot,TaTW_1750_1999_A_15_19,TaTW_1750_1999_A_20_24,TaTW_1750_1999_A_25_34,TaTW_1750_1999_A_35_44,TaTW_1750_1999_A_45_54,TaTW_1750_1999_A_55_64,TaTW_1750_1999_A_65_74,TaTW_1750_1999_A_75ov,TaTW_1750_1999_Tot,TaTW_2000_2999_A_15_19,TaTW_2000_2999_A_20_24,TaTW_2000_2999_A_25_34,TaTW_2000_2999_A_35_44,TaTW_2000_2999_A_45_54,TaTW_2000_2999_A_55_64,TaTW_2000_2999_A_65_74,TaTW_2000_2999_A_75ov,TaTW_2000_2999_Tot,TaTW_3000_3499_A_15_19,TaTW_3000_3499_A_20_24,TaTW_3000_3499_A_25_34,TaTW_3000_3499_A_35_44,TaTW_3000_3499_A_45_54,TaTW_3000_3499_A_55_64,TaTW_3000_3499_A_65_74,TaTW_3000_3499_A_75ov,TaTW_3000_3499_Tot,TaTW_3500mo_A_15_19,TaTW_3500mo_A_20_24,TaTW_3500mo_A_25_34,TaTW_3500mo_A_35_44,TaTW_3500mo_A_45_54,TaTW_3500mo_A_55_64,TaTW_3500mo_A_65_74,TaTW_3500mo_A_75ov,TaTW_3500mo_Tot,TaTW_PINS_A_15_19,TaTW_PINS_A_20_24,TaTW_PINS_A_25_34,TaTW_PINS_A_35_44,TaTW_PINS_A_45_54,TaTW_PINS_A_55_64,TaTW_PINS_A_65_74,TaTW_PINS_A_75ov,TaTW_PINS_Tot,TaTW_Tot_A_15_19,TaTW_Tot_A_20_24,TaTW_Tot_A_25_34,TaTW_Tot_A_35_44,TaTW_Tot_A_45_54,TaTW_Tot_A_55_64,TaTW_Tot_A_65_74,TaTW_Tot_A_75ov,TaTW_Tot_Tot,CoPSW_NNI_A_15_19,CoPSW_NNI_A_20_24,CoPSW_NNI_A_25_34,CoPSW_NNI_A_35_44,CoPSW_NNI_A_45_54,CoPSW_NNI_A_55_64,CoPSW_NNI_A_65_74,CoPSW_NNI_A_75ov,CoPSW_NNI_Tot,CoPSW_1_149_A_15_19,CoPSW_1_149_A_20_24,CoPSW_1_149_A_25_34,CoPSW_1_149_A_35_44,CoPSW_1_149_A_45_54,CoPSW_1_149_A_55_64,CoPSW_1_149_A_65_74,CoPSW_1_149_A_75ov,CoPSW_1_149_Tot,CoPSW_150_299_A_15_19,CoPSW_150_299_A_20_24,CoPSW_150_299_A_25_34,CoPSW_150_299_A_35_44,CoPSW_150_299_A_45_54,CoPSW_150_299_A_55_64,CoPSW_150_299_A_65_74,CoPSW_150_299_A_75ov,CoPSW_150_299_Tot,CoPSW_300_399_A_15_19,CoPSW_300_399_A_20_24,CoPSW_300_399_A_25_34,CoPSW_300_399_A_35_44,CoPSW_300_399_A_45_54,CoPSW_300_399_A_55_64,CoPSW_300_399_A_65_74,CoPSW_300_399_A_75ov,CoPSW_300_399_Tot,CoPSW_400_499_A_15_19,CoPSW_400_499_A_20_24,CoPSW_400_499_A_25_34,CoPSW_400_499_A_35_44,CoPSW_400_499_A_45_54,CoPSW_400_499_A_55_64,CoPSW_400_499_A_65_74,CoPSW_400_499_A_75ov,CoPSW_400_499_Tot,CoPSW_500_649_A_15_19,CoPSW_500_649_A_20_24,CoPSW_500_649_A_25_34,CoPSW_500_649_A_35_44,CoPSW_500_649_A_45_54,CoPSW_500_649_A_55_64,CoPSW_500_649_A_65_74,CoPSW_500_649_A_75ov,CoPSW_500_649_Tot,CoPSW_650_799_A_15_19,CoPSW_650_799_A_20_24,CoPSW_650_799_A_25_34,CoPSW_650_799_A_35_44,CoPSW_650_799_A_45_54,CoPSW_650_799_A_55_64,CoPSW_650_799_A_65_74,CoPSW_650_799_A_75ov,CoPSW_650_799_Tot,CoPSW_800_999_A_15_19,CoPSW_800_999_A_20_24,CoPSW_800_999_A_25_34,CoPSW_800_999_A_35_44,CoPSW_800_999_A_45_54,CoPSW_800_999_A_55_64,CoPSW_800_999_A_65_74,CoPSW_800_999_A_75ov,CoPSW_800_999_Tot,CoPSW_1000_1249_A_15_19,CoPSW_1000_1249_A_20_24,CoPSW_1000_1249_A_25_34,CoPSW_1000_1249_A_35_44,CoPSW_1000_1249_A_45_54,CoPSW_1000_1249_A_55_64,CoPSW_1000_1249_A_65_74,CoPSW_1000_1249_A_75ov,CoPSW_1000_1249_Tot,CoPSW_1250_1499_A_15_19,CoPSW_1250_1499_A_20_24,CoPSW_1250_1499_A_25_34,CoPSW_1250_1499_A_35_44,CoPSW_1250_1499_A_45_54,CoPSW_1250_1499_A_55_64,CoPSW_1250_1499_A_65_74,CoPSW_1250_1499_A_75ov,CoPSW_1250_1499_Tot,CoPSW_1500_1749_A_15_19,CoPSW_1500_1749_A_20_24,CoPSW_1500_1749_A_25_34,CoPSW_1500_1749_A_35_44,CoPSW_1500_1749_A_45_54,CoPSW_1500_1749_A_55_64,CoPSW_1500_1749_A_65_74,CoPSW_1500_1749_A_75ov,CoPSW_1500_1749_Tot,CoPSW_1750_1999_A_15_19,CoPSW_1750_1999_A_20_24,CoPSW_1750_1999_A_25_34,CoPSW_1750_1999_A_35_44,CoPSW_1750_1999_A_45_54,CoPSW_1750_1999_A_55_64,CoPSW_1750_1999_A_65_74,CoPSW_1750_1999_A_75ov,CoPSW_1750_1999_Tot,CoPSW_2000_2999_A_15_19,CoPSW_2000_2999_A_20_24,CoPSW_2000_2999_A_25_34,CoPSW_2000_2999_A_35_44,CoPSW_2000_2999_A_45_54,CoPSW_2000_2999_A_55_64,CoPSW_2000_2999_A_65_74,CoPSW_2000_2999_A_75ov,CoPSW_2000_2999_Tot,CoPSW_3000_3499_A_15_19,CoPSW_3000_3499_A_20_24,CoPSW_3000_3499_A_25_34,CoPSW_3000_3499_A_35_44,CoPSW_3000_3499_A_45_54,CoPSW_3000_3499_A_55_64,CoPSW_3000_3499_A_65_74,CoPSW_3000_3499_A_75ov,CoPSW_3000_3499_Tot,CoPSW_3500mo_A_15_19,CoPSW_3500mo_A_20_24,CoPSW_3500mo_A_25_34,CoPSW_3500mo_A_35_44,CoPSW_3500mo_A_45_54,CoPSW_3500mo_A_55_64,CoPSW_3500mo_A_65_74,CoPSW_3500mo_A_75ov,CoPSW_3500mo_Tot,CoPSW_PINS_A_15_19,CoPSW_PINS_A_20_24,CoPSW_PINS_A_25_34,CoPSW_PINS_A_35_44,CoPSW_PINS_A_45_54,CoPSW_PINS_A_55_64
501,290,208,38,0,1263,0,60,261,282,252,175,30,0,1055,0,62,507,573,564,364,44,0,2121,0,10,87,117,153,86,12,0,468,3,5,42,100,83,74,10,0,318,12,19,19,25,23,22,9,0,125,752,1330,2852,2838,2621,1972,466,27,12853,21,0,9,9,5,3,0,0,53,446,24,27,44,22,19,9,0,589,175,43,73,50,47,39,23,0,445,84,64,83,101,67,73,19,0,487,93,87,129,148,112,109,36,0,704,107,129,193,256,238,217,52,7,1201,93,172,275,309,362,253,61,4,1535,48,174,291,316,367,258,40,3,1495,17,118,220,229,351,273,40,5,1247,4,41,110,135,156,127,21,0,584,0,19,70,99,107,88,14,0,406,0,3,42,65,85,69,3,0,275,0,0,42,93,100,90,8,0,336,0,0,4,8,11,6,0,0,34,0,0,0,4,10,5,0,0,19,10,10,16,14,17,14
502,91,63,5,0,372,0,9,64,59,72,57,7,0,260,0,13,132,175,151,125,17,0,616,0,0,29,40,39,26,3,0,128,0,0,11,19,29,9,5,0,76,10,0,3,5,6,13,0,0,36,282,481,1020,907,869,718,136,20,4432,6,3,4,3,9,5,0,0,25,213,27,17,30,7,7,0,0,307,117,55,48,47,35,27,6,0,330,59,63,66,63,40,39,13,0,341,39,87,70,70,66,61,19,0,423,39,115,140,129,149,93,22,0,693,23,119,160,180,177,148,25,0,837,20,108,158,176,204,150,25,0,838,4,50,109,153,179,166,10,0,686,5,22,67,65,78,45,3,4,287,0,10,35,53,51,45,0,0,203,0,3,22,40,43,22,0,0,133,0,3,23,31,55,22,0,0,138,0,0,0,5,3,4,0,0,6,0,0,3,4,3,0,0,0,15,4,5,7,14,12,0
503,459,333,71,8,2162,0,44,370,496,403,226,60,0,1600,0,45,722,1104,840,511,76,0,3313,0,9,210,371,339,161,39,0,1128,0,14,225,482,458,248,32,0,1458,3,16,45,30,36,25,13,0,178,513,1802,5670,5449,4095,2686,656,42,20917,36,17,26,25,7,8,4,0,130,801,227,50,57,19,24,9,0,1191,510,605,181,113,73,71,20,0,1571,237,582,300,177,119,80,29,6,1524,180,639,404,189,137,118,38,4,1715,120,804,762,367,274,217,77,3,2630,90,707,881,473,334,306,103,10,2895,64,574,1059,615,431,364,111,6,3230,34,370,1047,732,557,519,124,11,3388,12,174,634,502,343,301,59,3,2026,13,96,437,370,268,209,34,0,1425,0,43,306,310,301,168,24,0,1157,0,34,350,500,608,282,30,0,1807,0,5,26,40,89,38,5,0,206,0,12,32,29,59,34,6,0,172,17,36,49,20,23,14
504,433,331,68,0,1953,0,43,339,379,322,203,36,3,1329,0,48,494,498,474,259,49,0,1822,0,10,98,85,67,39,4,0,309,0,10,47,83,60,34,7,0,242,6,15,40,36,29,25,6,0,157,799,1807,4252,3728,3213,2375,629,56,16870,13,9,12,24,6,3,0,0,65,472,68,25,40,15,18,4,4,647,271,171,99,90,61,39,13,4,749,159,157,88,120,84,49,16,0,672,94,203,174,125,131,88,21,4,838,90,276,293,241,256,173,62,8,1389,40,281,388,359,292,219,70,0,1661,29,235,482,381,434,243,39,0,1852,14,152,410,382,380,288,60,0,1686,10,70,233,226,175,160,33,0,914,0,35,170,192,210,157,35,4,807,0,12,114,173,171,134,13,0,621,0,14,101,218,282,234,18,0,861,0,0,6,11,28,20,4,0,68,0,4,9,6,21,9,0,0,45,4,15,15,10,23,16
505,636,441,80,3,3082,0,52,491,511,473,297,45,5,1877,0,46,512,692,581,331,55,3,2224,0,8,95,127,119,60,8,0,418,0,0,73,109,115,53,7,4,352,12,45,70,51,55,50,5,0,285,1199,2972,6631,5847,4820,3506,932,84,25981,47,18,26,29,23,10,0,0,153,1088,184,81,83,50,39,11,3,1538,565,365,190,179,147,101,21,3,1579,308,431,243,226,185,151,41,5,1581,216,431,369,299,284,248,82,10,1941,169,612,669,565,569,416,123,5,3133,113,584,791,687,677,482,112,0,3456,79,568,993,813,916,564,96,10,4028,29,356,894,692,749,516,97,0,3340,11,150,437,417,352,286,47,0,1704,0,77,291,263,226,157,38,0,1047,0,35,155,212,206,99,10,0,713,0,14,142,237,242,146,12,0,790,0,0,4,19,29,10,0,0,62,0,5,11,22,12,8,0,0,54,21,39,33,28,37,41
506,863,654,106,5,3970,0,100,712,753,621,439,56,5,2702,0,146,1073,1213,1064,676,98,0,4265,0,36,245,309,216,141,24,0,968,0,18,191,220,212,107,19,3,765,15,39,63,59,65,49,12,0,302,1343,3712,8548,7640,6054,4407,1048,94,32844,20,21,38,30,16,11,6,0,144,743,220,85,81,62,24,13,3,1237,506,470,224,184,136,94,21,7,1653,246,482,305,246,169,137,38,7,1622,187,497,401,350,254,196,70,11,1969,187,688,744,601,457,357,113,3,3157,139,710,905,786,649,459,104,5,3746,78,624,1178,946,881,577,122,7,4418,32,405,1137,1013,870,601,117,0,4168,3,167,640,565,484,326,67,5,2253,8,79,473,452,394,324,73,0,1810,0,34,268,324,237,199,41,0,1090,0,21,244,365,383,206,36,0,1261,0,7,16,24,38,17,4,0,103,0,14,31,19,16,15,3,0,96,12,39,37,23,35,30
507,709,511,86,4,3381,0,95,649,684,590,387,50,3,2450,4,101,1068,1207,1021,634,110,6,4146,0,13,178,257,235,139,20,0,838,0,8,102,218,169,119,9,0,631,18,38,46,40,52,35,5,0,243,1159,3113,7117,6364,5350,3788,880,65,27841,26,15,20,20,12,13,4,0,113,881,146,54,73,42,27,14,3,1239,478,342,164,184,122,68,19,5,1376,236,435,230,197,133,126,39,4,1410,196,397,319,254,217,168,46,6,1598,185,587,576,520,454,329,85,5,2733,113,575,760,608,609,369,98,4,3139,73,463,840,692,686,485,83,4,3338,30,334,742,677,661,438,82,6,2967,11,188,396,383,343,238,52,0,1611,8,109,363,270,275,176,33,0,1231,7,38,200,216,195,139,17,0,818,5,46,211,319,306,132,17,0,1035,0,9,20,32,35,25,0,0,127,0,11,25,29,23,16,0,0,105,15,35,42,25,36,29
509,174,130,28,0,786,0,24,160,136,136,93,19,0,568,0,44,312,330,254,194,21,0,1163,0,10,79,102,81,51,9,0,333,0,3,41,65,73,44,7,0,238,6,11,15,13,14,20,8,0,83,495,837,1797,1648,1578,1385,388,37,8165,11,4,6,7,5,4,0,0,36,161,9,20,21,12,16,3,0,232,84,23,33,48,43,27,4,0,262,31,23,40,47,45,46,19,9,257,55,42,57,64,64,71,32,4,383,53,84,116,124,126,138,38,0,700,49,105,158,143,197,148,45,4,849,25,92,133,189,245,198,45,0,932,5,75,156,174,189,201,38,3,828,3,30,89,86,112,99,23,0,443,4,15,82,83,106,82,12,0,386,0,8,37,60,61,62,13,0,238,0,0,44,84,130,69,10,0,341,0,0,0,4,15,12,4,0,37,0,3,0,3,10,7,0,0,30,4,8,10,3,6,11
510,268,163,27,0,1284,11,105,435,411,300,219,34,0,1508,7,269,1820,1723,1356,769,89,0,6023,0,82,970,1078,749,394,45,0,3323,0,58,862,1343,995,520,42,0,3818,3,15,46,48,40,29,4,0,182,321,1066,5242,5498,4177,2419,345,13,19085,3,3,9,5,0,3,3,0,25,94,5,17,13,8,5,0,0,145,59,17,44,40,13,6,3,3,179,20,20,37,41,20,6,7,0,144,21,19,37,40,21,16,10,0,168,30,41,99,85,46,31,10,0,355,24,49,123,105,60,31,10,0,398,29,93,189,165,87,63,12,0,642,13,90,239,167,144,85,26,0,760,3,60,193,119,111,80,13,0,583,3,24,127,120,104,83,9,0,473,0,18,85,95,75,58,19,0,353,3,17,200,201,173,114,16,0,717,0,0,17,38,36,19,3,0,108,0,0,6,20,31,17,4,0,71,4,8,18,8,14,9
511,231,163,22,0,1203,5,91,322,279,228,154,43,0,1124,5,207,1076,1025,802,545,76,5,3741,0,37,402,391,321,206,18,0,1378,4,25,217,260,245,164,25,0,946,8,14,38,23,26,27,10,0,140,617,1290,3351,2907,2538,1908,380,23,13020,6,3,3,3,6,4,0,0,28,179,3,14,14,14,13,0,0,242,63,28,36,30,31,18,3,0,209,34,25,45,44,40,25,10,6,223,41,45,69,64,52,34,8,0,313,53,86,115,116,98,93,25,0,599,46,125,186,140,148,141,22,0,817,36,127,215,173,170,155,35,4,911,17,83,187,166,203,156,34,0,846,3,42,109,95,106,97,22,4,474,0,27,115,91,108,91,19,3,444,0,11,67,81,86,56,8,0,314,0,16,85,145,137,65,16,0,465,0,0,14,15,27,20,3,0,66,0,0,11,15,6,11,0,0,48,3,7,9,5,5,12
